"Order","SourceGroup","LevelId","Guid","Width","Height","Chains","ScreeningTag","ScreeningScore","ScreeningReason","OriginalAssetPath","ExportAsset"
"94","topup","hole_topup_038_topup_std_30x30_dense","7d3440da5c3fe614fb0385e771b1cde9","30","30","81","check","972.6","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_038_topup_std_30x30_dense.asset","Levels/094_hole_topup_038_topup_std_30x30_dense.asset"
"95","topup","hole_topup_039_topup_std_30x30_dual","38b5bbd95e3f1ad4baf9c6935f8eace6","30","30","83","check","1044.3","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_039_topup_std_30x30_dual.asset","Levels/095_hole_topup_039_topup_std_30x30_dual.asset"
"96","topup","hole_topup_041_topup_wide_26x22_dense","df17ef0966fb94c42a7aaff186b8845c","26","22","51","keep","1113","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_041_topup_wide_26x22_dense.asset","Levels/096_hole_topup_041_topup_wide_26x22_dense.asset"
"97","topup","hole_topup_043_topup_wide_26x22_maze","f6889f809f08af144b50107a56ec994e","26","22","53","keep","1030.4","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset","Levels/097_hole_topup_043_topup_wide_26x22_maze.asset"
"98","topup","hole_topup_044_topup_wide_28x22_dense","64062066f32741646ad63aafeb0b5cb9","28","22","52","drop","1080.5","lowCoverage;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_044_topup_wide_28x22_dense.asset","Levels/098_hole_topup_044_topup_wide_28x22_dense.asset"
"99","topup","hole_topup_045_topup_wide_28x22_dual","e90e4e47094d3a1489022264bd1c3365","28","22","58","keep","1128.7","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_045_topup_wide_28x22_dual.asset","Levels/099_hole_topup_045_topup_wide_28x22_dual.asset"
"100","topup","hole_topup_046_topup_wide_28x22_maze","b8235709440ce0f4eb47bf6dc43530ca","28","22","64","check","998.4","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_046_topup_wide_28x22_maze.asset","Levels/100_hole_topup_046_topup_wide_28x22_maze.asset"
"101","topup","hole_topup_049_topup_wide_30x24_maze","5887cd8a16394f9429c42620b637dcd1","30","24","67","keep","1013.4","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_049_topup_wide_30x24_maze.asset","Levels/101_hole_topup_049_topup_wide_30x24_maze.asset"
"102","topup","hole_topup_050_topup_wide_30x26_dense","deab1cf5790453541826ca0315d72bfc","30","26","77","keep","1083.1","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_050_topup_wide_30x26_dense.asset","Levels/102_hole_topup_050_topup_wide_30x26_dense.asset"
"103","topup","hole_topup_051_topup_wide_30x26_dual","e8487eb294cea6840878dc5fdbaf14c1","30","26","79","check","1004.5","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_051_topup_wide_30x26_dual.asset","Levels/103_hole_topup_051_topup_wide_30x26_dual.asset"
"104","topup","hole_topup_055_topup_wide_32x24_maze","95f20d5c6727d8846bff2902b58a6271","32","24","73","check","960.1","manyShort;chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_055_topup_wide_32x24_maze.asset","Levels/104_hole_topup_055_topup_wide_32x24_maze.asset"
"105","topup","hole_topup_056_topup_wide_34x26_dense","d8c5e0ed3e19421489780567828c9a66","34","26","85","check","1053","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_056_topup_wide_34x26_dense.asset","Levels/105_hole_topup_056_topup_wide_34x26_dense.asset"
"106","topup","hole_topup_057_topup_wide_34x26_dual","38495e212301fab4ca6b8e7d067d5e51","34","26","98","check","938.8","manyShort;chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_057_topup_wide_34x26_dual.asset","Levels/106_hole_topup_057_topup_wide_34x26_dual.asset"
"107","topup","hole_topup_059_topup_notch_24x28_dense_a","0c35884742296504eb685647a9046cdd","24","28","53","check","1019.5","chainDrift;straight;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_059_topup_notch_24x28_dense_a.asset","Levels/107_hole_topup_059_topup_notch_24x28_dense_a.asset"
"108","topup","hole_topup_060_topup_notch_24x28_dual_a","846a7bd1a81a75c4390c9df18bcbb372","24","28","53","keep","1022.9","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_060_topup_notch_24x28_dual_a.asset","Levels/108_hole_topup_060_topup_notch_24x28_dual_a.asset"
"109","topup","hole_topup_064_topup_notch_24x28_dual_b","9dda3b698a70d5448b7479328b1ab2fd","24","28","61","check","1027.7","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_064_topup_notch_24x28_dual_b.asset","Levels/109_hole_topup_064_topup_notch_24x28_dual_b.asset"
