"order","section10","mainMissionId","levelName","roleInSection","originalDifficultyNameZh","productionLane","productionChainLanguage","productionDifficultyBand","sourceKind","replacementLevelId","replacementAssetPath","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"329","33","429","Main/Level_Main_329","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","0.983","9","5","3","0.936","0.104","7","4"
"336","34","436","Main/Level_Main_336","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","0.981","9","4","3","0.858","0.24","7","7"
"337","34","437","Main/Level_Main_337","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","strict152","campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset","0.996","10","5","3","0.903","0.133","6","6"
"339","34","439","Main/Level_Main_339","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","0.986","8","6","4","0.933","0.094","7","4"
"345","35","445","Main/Level_Main_345","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset","0.991","10","4","4","0.886","0.217","7","7"
"346","35","446","Main/Level_Main_346","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","strict152","campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","0.994","10","4","2","0.926","0.127","7","5"
"355","36","455","Main/Level_Main_355","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset","0.983","9","5","4","0.898","0.13","6","6"
"357","36","457","Main/Level_Main_357","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","strict152","campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","0.989","8","5","5","0.911","0.19","7","6"
"362","37","462","Main/Level_Main_362","NormalA_FlowOrNeutral","普通/恢复","","","NormalNeutral","raw_rescue","campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset","0.991","8","3","2","0.835","0.264","8","8"
"365","37","465","Main/Level_Main_365","Peak","特别困难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","0.982","8","5","5","0.831","0.264","8","7"
"366","37","466","Main/Level_Main_366","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","0.993","9","5","3","0.836","0.221","8","5"
"369","37","469","Main/Level_Main_369","Hard","特别困难","PeelMid","rail_chain","Hard","strict152","campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","0.991","10","6","3","0.891","0.127","5","5"
"371","38","471","Main/Level_Main_371","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset","0.994","9","7","5","0.86","0.217","7","7"
"374","38","474","Main/Level_Main_374","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","0.986","6","5","5","0.866","0.208","6","6"
"376","38","476","Main/Level_Main_376","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","0.985","9","4","4","0.884","0.169","6","6"
"384","39","484","Main/Level_Main_384","Hard","特别困难","PeelMid","rail_chain","Hard","strict152","c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","0.987","8","3","3","0.918","0.142","6","6"
"386","39","486","Main/Level_Main_386","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","strict152","c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain.asset","0.975","8","5","4","0.833","0.274","7","7"
"394","40","494","Main/Level_Main_394","Hard","特别困难","PeelMid","rail_chain","Hard","strict152","c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","0.981","8","5","3","0.872","0.177","6","6"
"395","40","495","Main/Level_Main_395","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset","0.984","9","5","3","0.87","0.217","7","7"
"402","41","502","Main/Level_Main_402","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","curve_chain","NormalPeelLight","strict152","c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain.asset","0.965","10","5","4","0.866","0.109","6","4"
"405","41","505","Main/Level_Main_405","Hard","困难","PeelMid","curve_chain","Hard","strict152","c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","0.988","9","5","2","0.862","0.161","6","5"
"406","41","506","Main/Level_Main_406","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain.asset","0.985","10","6","4","0.86","0.134","5","5"
"407","41","507","Main/Level_Main_407","Peak","极难","","","PeakReview","raw_rescue","campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","0.975","11","6","2","0.831","0.234","8","6"
"411","42","511","Main/Level_Main_411","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","rail_chain","NormalPeelLight","strict152","campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain.asset","0.979","10","5","5","0.832","0.245","7","7"
"414","42","514","Main/Level_Main_414","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","strict152","campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","0.986","10","5","3","0.913","0.161","6","6"
"422","43","522","Main/Level_Main_422","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","0.991","10","5","2","0.914","0.14","8","5"
"424","43","524","Main/Level_Main_424","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","curve_chain","NormalPeelLight","strict152","c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset","0.985","8","6","5","0.869","0.192","6","6"
"439","44","539","Main/Level_Main_439","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","rail_chain","NormalPeelLight","strict152","c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset","0.988","9","6","5","0.836","0.236","7","7"
"445","45","545","Main/Level_Main_445","Hard","困难","PeelMid","rail_chain","Hard","strict152","c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset","0.981","9","7","3","0.844","0.213","8","5"
"455","46","555","Main/Level_Main_455","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","rail_chain","NormalPeelLight","strict152","c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","0.986","10","4","4","0.84","0.249","7","6"
"457","46","557","Main/Level_Main_457","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset","0.982","9","7","5","0.824","0.238","8","7"
"459","46","559","Main/Level_Main_459","Hard","困难","PeelMid","curve_chain","Hard","strict152","c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset","0.987","9","6","5","0.823","0.225","6","6"
"464","47","564","Main/Level_Main_464","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","0.982","9","7","2","0.869","0.246","7","7"
"471","48","571","Main/Level_Main_471","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","strict152","campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","0.993","9","3","3","0.919","0.047","4","4"
"476","48","576","Main/Level_Main_476","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","rail_chain","NormalPeelLight","strict152","c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","0.985","10","5","2","0.903","0.152","7","6"
"481","49","581","Main/Level_Main_481","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain.asset","0.994","10","7","5","0.863","0.226","7","6"
"482","49","582","Main/Level_Main_482","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","curve_chain","NormalPeelLight","strict152","c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","0.988","10","6","4","0.852","0.218","7","7"
"491","50","591","Main/Level_Main_491","Hard","普通/恢复","PeelMid","curve_chain","Hard","strict152","c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","0.976","10","4","3","0.924","0.113","6","5"
"495","50","595","Main/Level_Main_495","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain.asset","0.989","10","5","3","0.868","0.141","5","4"
"496","50","596","Main/Level_Main_496","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","rail_chain","NormalPeelLight","strict152","c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset","0.983","10","3","2","0.897","0.187","7","7"
