order,????,??,type,slotRole,relativeDifficulty,chains,width,height,score,coverage,openers,packs,levelId,sourceAsset,exportAsset,exportMeta,qualityFlags,portableQuality
107,??,3,lock,Peak,VeryHard,105,21,36,173.6,0.983,17,direct_normal_candidates,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_53_direct_normal_rect_lock_buckle_g5_v06.asset,Levels/107_lock_direct_normal_53_direct_normal_rect_lock_buckle_g5_v06.asset,Levels/107_lock_direct_normal_53_direct_normal_rect_lock_buckle_g5_v06.asset.meta,ok,ok
108,??,1,shape_symbol,Shape,Novelty,93,28,42,263,0.985,13,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall_20260611_115702.asset,Levels/108_shape_symbol_r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctd.asset,Levels/108_shape_symbol_r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctd.asset.meta,rel:Hard:ShapePressure:Shape:Symbol:letters-symbols:symbol:main,Normal
109,??,2,section,Pressure,Hard,108,23,37,137.0,0.976,18,direct_normal_topup_candidates,direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04.asset,Levels/109_section_direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04.asset,Levels/109_section_direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04.asset.meta,ok,ok
110,??,1,section,Recovery,Recovery,104,21,37,152.7,0.979,25,direct_normal_candidates,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset,Levels/110_section_direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset,Levels/110_section_direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset.meta,ok,ok
111,??,1,dense,Recovery,Recovery,89,20,35,141.9,0.990,22,direct_pure_topup_slice05_candidates,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset,Levels/111_dense_direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset,Levels/111_dense_direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset.meta,ok,too-open|long-straight-run
112,??,2,lock,Pressure,Hard,108,22,38,159.6,0.984,18,direct_pure_topup_slice06_candidates,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset,Levels/112_lock_direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset,Levels/112_lock_direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset.meta,ok,ok
113,??,1,shape_magic,Shape,Novelty,98,28,42,258,0.694,14,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset,Levels/113_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestone.asset,Levels/113_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestone.asset.meta,NoRisk|yellow_replacement:GrindyLowClear,Normal
114,??,1,maze,Recovery,Recovery,94,18,37,141.0,0.989,17,direct_pure_topup_slice04_candidates,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset,Levels/114_maze_direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset,Levels/114_maze_direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset.meta,ok,ok
115,??,1,section,Normal,Normal,74,18,33,164.9,0.983,6,direct_pure_normal_extra_slice01_candidates,direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset,Levels/115_section_direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset,Levels/115_section_direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset.meta,ok,long-straight-run
116,??,2,lock,Pressure,Hard,89,20,34,151.9,0.990,19,direct_pure_topup_slice05_candidates,direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset,Levels/116_lock_direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset,Levels/116_lock_direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset.meta,ok,ok
117,hole,1,hole_rescue,HoleRescue,Mechanic,49,22,26,244,0.978,10,hole_combined_20260613,hole_topup_018_topup_std_22x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset,Levels/117_hole_rescue_hole_topup_018_topup_std_22x26_dual.asset,Levels/117_hole_rescue_hole_topup_018_topup_std_22x26_dual.asset.meta,hole10_v4:DualZone:keep,hole10_v4_keep
118,??,1,shape_ocean,Shape,Novelty,96,30,44,251,0.984,13,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,Levels/118_shape_ocean_r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyf.asset,Levels/118_shape_ocean_r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyf.asset.meta,rel:Novelty:ShapeVisual:Shape:Ocean:sea-creature:creature:main,Normal
119,??,3,section,Peak,VeryHard,102,21,36,158.3,0.989,15,direct_normal_candidates,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset,Levels/119_section_direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset,Levels/119_section_direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset.meta,ok,ok
120,??,1,sweep,Recovery,Recovery,106,22,38,165.7,0.982,22,direct_normal_candidates,direct_normal_65_direct_normal_rect_sweep_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset,Levels/120_sweep_direct_normal_65_direct_normal_rect_sweep_g0_v07.asset,Levels/120_sweep_direct_normal_65_direct_normal_rect_sweep_g0_v07.asset.meta,ok,ok
121,??,1,maze,Recovery,Recovery,51,17,24,160.4,0.995,13,no_mask_type_preview,nomask_04_maze_long_chain,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset,Levels/121_maze_nomask_04_maze_long_chain.asset,Levels/121_maze_nomask_04_maze_long_chain.asset.meta,ok,long-straight-run
122,??,1,dense,Normal,Normal,89,20,32,141.3,0.984,15,direct_pure_normal_extra_slice01_candidates,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,Levels/122_dense_direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,Levels/122_dense_direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset.meta,ok,ok
123,??,1,shape_magic,Shape,Novelty,92,30,42,240,,,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,Levels/123_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragonegg.asset,Levels/123_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragonegg.asset.meta,MagicShape,MagicShape
124,??,1,section,Normal,Normal,105,21,38,142.9,0.980,18,direct_normal_topup_candidates,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset,Levels/124_section_direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset,Levels/124_section_direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset.meta,ok,ok
125,??,2,lock,Pressure,Hard,93,21,34,191.4,0.983,14,direct_pure_normal_extra_slice01_candidates,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset,Levels/125_lock_direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset,Levels/125_lock_direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset.meta,ok,ok
126,hole,1,hole_rescue,HoleRescue,Mechanic,50,20,26,245,0.98,8,hole_combined_20260613,hole_candidate_016_std_20x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset,Levels/126_hole_rescue_hole_candidate_016_std_20x26_section.asset,Levels/126_hole_rescue_hole_candidate_016_std_20x26_section.asset.meta,hole10_v4:SectionUnlock:keep,hole10_v4_keep
127,??,1,shape_character,Shape,Novelty,99,30,42,259,0.976,14,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,Levels/127_shape_character_r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall.asset,Levels/127_shape_character_r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall.asset.meta,rel:Novelty:ShapeVisual:Shape:Character:animals-mascots:character:main,Normal
128,??,1,lock,Normal,Normal,79,18,35,153.2,0.984,15,direct_pure_topup_slice06_candidates,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset,Levels/128_lock_direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset,Levels/128_lock_direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset.meta,ok,ok
129,??,2,section,Pressure,Hard,102,22,35,162.9,0.990,18,direct_normal_topup_candidates,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,Levels/129_section_direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,Levels/129_section_direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset.meta,ok,ok
130,??,1,section,Normal,Normal,96,22,31,149.7,0.987,15,direct_pure_topup_slice06_candidates,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,Levels/130_section_direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,Levels/130_section_direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset.meta,ok,ok
131,??,1,dense,Normal,Normal,81,18,31,160.8,0.982,14,direct_pure_topup_slice04_candidates,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset,Levels/131_dense_direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset,Levels/131_dense_direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset.meta,ok,ok
132,??,2,lock,Pressure,Hard,86,19,32,158.9,0.987,15,direct_pure_topup_slice04_candidates,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,Levels/132_lock_direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,Levels/132_lock_direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset.meta,ok,ok
133,??,1,shape_magic,Shape,Novelty,95,30,42,267,0.535,13,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,Levels/133_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascott.asset,Levels/133_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascott.asset.meta,NoRisk|yellow_replacement:StartFakeWide,Normal
134,??,1,maze,Normal,Normal,56,14,29,176.7,0.983,7,direct_pure_topup_slice01_candidates,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,Levels/134_maze_direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,Levels/134_maze_direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset.meta,ok,ok
135,hole,1,hole_rescue,HoleRescue,Mechanic,52,20,30,246,0.966,5,hole_combined_20260613,hole_topup_012_topup_tall_20x30_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset,Levels/135_hole_rescue_hole_topup_012_topup_tall_20x30_shell.asset,Levels/135_hole_rescue_hole_topup_012_topup_tall_20x30_shell.asset.meta,hole10_v4:OuterShell:keep,hole10_v4_keep
136,??,3,section,Peak,VeryHard,113,23,36,129.8,0.987,18,direct_normal_candidates,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset,Levels/136_section_direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset,Levels/136_section_direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset.meta,ok,ok
137,??,1,lock,Normal,Normal,80,21,31,169.7,0.982,14,direct_pure_topup_slice04_candidates,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset,Levels/137_lock_direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset,Levels/137_lock_direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset.meta,ok,ok
138,??,1,shape_space,Shape,Novelty,96,30,42,270,0.982,13,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,Levels/138_shape_space_r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometi.asset,Levels/138_shape_space_r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometi.asset.meta,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,Normal
139,??,1,section,Recovery,Recovery,101,20,39,145.6,0.976,20,direct_normal_candidates,direct_normal_68_direct_normal_rect_stair_push_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,Levels/139_section_direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,Levels/139_section_direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset.meta,ok,ok
140,??,1,section,Normal,Normal,102,23,34,145.9,0.983,17,direct_normal_candidates,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset,Levels/140_section_direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset,Levels/140_section_direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset.meta,ok,ok
141,??,1,sweep,Recovery,Recovery,114,23,39,155.6,0.981,25,direct_normal_candidates,direct_normal_35_direct_normal_rect_sweep_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,Levels/141_sweep_direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,Levels/141_sweep_direct_normal_35_direct_normal_rect_sweep_g3_v04.asset.meta,ok,ok
142,hole,1,hole_rescue,HoleRescue,Mechanic,50,26,24,245,0.971,6,hole_combined_20260613,hole_candidate_038_std_26x24_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset,Levels/142_hole_rescue_hole_candidate_038_std_26x24_dual.asset,Levels/142_hole_rescue_hole_candidate_038_std_26x24_dual.asset.meta,hole10_v4:DualZone:keep,hole10_v4_keep
143,??,1,shape_magic,Shape,Novelty,91,30,42,254,,,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,Levels/143_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall.asset,Levels/143_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall.asset.meta,MagicShape,MagicShape
144,??,2,lock,Pressure,Hard,113,22,40,152.1,0.984,19,direct_normal_candidates,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset,Levels/144_lock_direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset,Levels/144_lock_direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset.meta,ok,ok
145,??,1,maze,Recovery,Recovery,95,21,34,153.0,0.986,21,direct_pure_normal_extra_slice02_candidates,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,Levels/145_maze_direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,Levels/145_maze_direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset.meta,ok,ok
146,??,1,dense,Normal,Normal,95,22,31,147.0,0.979,18,direct_pure_topup_slice06_candidates,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,Levels/146_dense_direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,Levels/146_dense_direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset.meta,ok,ok
147,??,1,shape_landmark,Shape,Novelty,101,30,44,268,0.615,14,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,Levels/147_shape_landmark_r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuet.asset,Levels/147_shape_landmark_r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuet.asset.meta,NoRisk|yellow_replacement:GrindyLowClear,Normal
148,??,2,section,Pressure,Hard,105,22,34,154.4,0.985,18,direct_normal_candidates,direct_normal_08_direct_normal_rect_stair_push_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset,Levels/148_section_direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset,Levels/148_section_direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset.meta,ok,ok
149,??,3,lock,Peak,VeryHard,114,22,39,176.1,0.983,13,direct_normal_candidates,direct_normal_126_direct_normal_rect_core_burst_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,Levels/149_lock_direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,Levels/149_lock_direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset.meta,ok,ok
150,??,1,section,Normal,Normal,104,20,37,146.8,0.980,17,direct_normal_topup_candidates,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset,Levels/150_section_direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset,Levels/150_section_direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset.meta,ok,ok
151,hole,1,hole_rescue,HoleRescue,Mechanic,51,20,28,246,0.975,12,hole_combined_20260613,hole_candidate_060_tall_20x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset,Levels/151_hole_rescue_hole_candidate_060_tall_20x28_lock.asset,Levels/151_hole_rescue_hole_candidate_060_tall_20x28_lock.asset.meta,hole10_v4:LockBuckle:keep,hole10_v4_keep
152,??,1,lock,Normal,Normal,106,21,39,138.5,0.982,25,direct_normal_candidates,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,Levels/152_lock_direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,Levels/152_lock_direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset.meta,ok,ok
153,??,1,shape_character,Shape,Novelty,101,30,42,266,0.982,14,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,Levels/153_shape_character_r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmasc.asset,Levels/153_shape_character_r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmasc.asset.meta,rel:Novelty:ShapeVisual:Shape:Character:animals-mascots:character:main,Normal
154,??,2,section,Pressure,Hard,113,23,38,133.0,0.982,18,direct_normal_candidates,direct_normal_98_direct_normal_rect_stair_push_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset,Levels/154_section_direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset,Levels/154_section_direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset.meta,ok,ok
155,??,1,dense,Normal,Normal,84,18,35,173.6,0.976,15,direct_pure_normal_extra_slice02_candidates,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,Levels/155_dense_direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,Levels/155_dense_direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset.meta,ok,ok
156,??,3,section,Peak,VeryHard,108,22,34,175.3,0.989,17,direct_normal_candidates,direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset,Levels/156_section_direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset,Levels/156_section_direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset.meta,ok,ok
