order,oldLevelId,newLevelId,newAssetPath,sourcePool,gateClass,experienceRole,oldStatus,style,chain,band,coverage,maxChoices,local,near,sts,collapse,copyRequired,sourceRoot
164,direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03,nutation_longchain_candidate80_v1_36_nutation_longchain_spine_v1_rect_c80_09_d2_core_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_36_nutation_longchain_spine_v1_rect_c80_09_d2_core_spine.asset,NutationLongChainStrict60Front300,NutationLongChainStrictFront300Remap,Pressure,OriginalNonTarget,maze_long_chain,spine_chain,,0.918,8,5,2,0.895,0.174,True,.worktrees/nutation-peel
170,direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09,c5nep_w11d_51_nutation_strict_mixed_hard_v1_rect_s49_o489_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_51_nutation_strict_mixed_hard_v1_rect_s49_o489_v00_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_mid,rail_chain,Hard,0.983,9,4,3,0.765,0.325,False,
171,direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01,nutation_hub_mixed_v1_strict30_refill_10_s03_r02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_10_s03_r02.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.951,9,9,4,0.813,0.277,True,.worktrees/nutation-hub-maze-mixed
176,direct_normal_16_direct_normal_rect_core_burst_g1_v02,nutation_longchain_candidate80_holefix_s3_v1_02_nutation_longchain_rail_v1_rect_c80hf3_01_d1_lock_rail,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_02_nutation_longchain_rail_v1_rect_c80hf3_01_d1_lock_rail.asset,NutationLongChainStrict60Front300,NutationLongChainStrictFront300Remap,Pressure,OriginalNonTarget,maze_long_chain,rail_chain,,0.945,7,7,7,0.909,0.15,True,.worktrees/nutation-peel
180,direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07,nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Recovery,OriginalNonTarget,LongChain,,LongChain,0.947,6,3,2,0.903,0.176,True,.worktrees/nutation-peel
181,direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09,nutation_hub_mixed_v1_strict30_refill_14_s04_r02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_14_s04_r02.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.951,9,9,4,0.808,0.271,True,.worktrees/nutation-hub-maze-mixed
188,direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08,nutation_longchain_candidate80_holefix_s3_v1_16_nutation_longchain_spine_v1_rect_c80hf3_04_d1_core_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_16_nutation_longchain_spine_v1_rect_c80hf3_04_d1_core_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalNonTarget,LongChain,,LongChain,0.947,7,3,3,0.831,0.177,True,.worktrees/nutation-peel
190,direct_normal_topup_54_direct_normal_topup_rect_stair_push_g6_v07,nutation_hub_mixed_v1_strict30_refill_12_s03_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_12_s03_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.962,9,9,4,0.812,0.277,True,.worktrees/nutation-hub-maze-mixed
191,direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06,nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalNonTarget,LongChain,,LongChain,0.949,8,7,4,0.867,0.227,True,.worktrees/nutation-peel
195,direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01,c5nep_w11b_42_nutation_strict_mixed_hard_v1_rect_s43_o429_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_42_nutation_strict_mixed_hard_v1_rect_s43_o429_v01_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_mid,rail_chain,Hard,0.987,8,9,4,0.822,0.261,False,
200,direct_normal_topup_06_direct_normal_topup_rect_stair_push_g6_v01,nutation_hub_mixed_v1_strict30_refill_16_s04_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_16_s04_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.962,9,9,4,0.802,0.271,True,.worktrees/nutation-hub-maze-mixed
202,direct_pure_topup_06_09_direct_normal_pure_rect_outer_shell_g7_v08,nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalTargetMissingHardGate,LongChain,,LongChain,0.948,8,5,5,0.833,0.184,True,.worktrees/nutation-peel
204,direct_normal_67_direct_normal_rect_dual_zone_g0_v07,nutation_longchain_candidate80_v1_24_nutation_longchain_spine_v1_rect_c80_06_d2_lock_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_24_nutation_longchain_spine_v1_rect_c80_06_d2_lock_spine.asset,NutationLongChainStrict60Front300,NutationLongChainStrictFront300Remap,Pressure,OriginalNonTarget,maze_long_chain,spine_chain,,0.929,7,5,4,0.909,0.157,True,.worktrees/nutation-peel
205,direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03,nutation_hub_mixed_v1_strict30_refill_44_s11_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_44_s11_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.968,10,9,5,0.802,0.288,True,.worktrees/nutation-hub-maze-mixed
206,direct_normal_topup_04_direct_normal_topup_rect_core_burst_g6_v01,nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalTargetMissingHardGate,LongChain,,LongChain,0.95,6,5,5,0.862,0.248,True,.worktrees/nutation-peel
210,direct_normal_149_direct_normal_rect_quasi_symmetry_g2_v15,nutation_hub_mixed_v1_strict30_refill_48_s12_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_48_s12_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.968,10,9,5,0.802,0.288,True,.worktrees/nutation-hub-maze-mixed
211,direct_normal_135_direct_normal_rect_sweep_g1_v14,c5nep_w12b_34_nutation_strict_mixed_hard_v1_rect_s47_o469_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_34_nutation_strict_mixed_hard_v1_rect_s47_o469_v01_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_mid,curve_chain,Hard,0.992,9,9,4,0.864,0.145,False,
214,direct_normal_66_direct_normal_rect_core_burst_g0_v07,nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset,NutationLongChainStrict60Front300,NutationLongChainStrictFront300Remap,Pressure,OriginalNonTarget,maze_long_chain,spine_chain,,0.924,6,6,5,0.961,0.037,True,.worktrees/nutation-peel
215,direct_pure_topup_05_12_direct_normal_pure_rect_dense_weave_g10_v05,nutation_hub_mixed_v1_strict30_refill_41_s11_r01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_41_s11_r01.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.967,10,9,5,0.795,0.288,True,.worktrees/nutation-hub-maze-mixed
224,direct_normal_27_direct_normal_rect_dual_zone_g2_v03,nutation_longchain_candidate80_holefix_s3_v1_03_nutation_longchain_patch_v1_rect_c80hf3_01_d1_lock_patch,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_03_nutation_longchain_patch_v1_rect_c80hf3_01_d1_lock_patch.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Pressure,OriginalNonTarget,LongChain,,LongChain,0.95,11,6,6,0.842,0.128,True,.worktrees/nutation-peel
226,direct_normal_69_direct_normal_rect_quasi_symmetry_g0_v07,nutation_hub_mixed_v1_strict30_refill_45_s12_r01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_45_s12_r01.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.967,10,9,5,0.795,0.288,True,.worktrees/nutation-hub-maze-mixed
229,direct_normal_152_direct_normal_rect_section_unlock_g3_v16,campaign500_longchain_prod200_pool_v1_18_l022_long_normal_b_section_s03_slot_seedweave_dense_support,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_18_l022_long_normal_b_section_s03_slot_seedweave_dense_support.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Pressure,OriginalNonTarget,slot_seedweave_dense_support,slot_dense_support;slot_seedweave_dense_support;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalB,0.9339,10,5,5,0.893,0.012,True,.worktrees/campaign500-longchain-prod200-pool
231,direct_pure_normal_extra_03_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v07,nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Recovery,OriginalTargetMissingHardGate,LongChain,,LongChain,0.946,8,4,3,0.848,0.261,True,.worktrees/nutation-peel
232,direct_polish_clean_04_direct_polish_normal_rect_core_burst_g0_v01,campaign500_longchain_prod200_pool_v1_72_l092_long_normal_a_lock_s10_slot_headmix_outerclean,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_72_l092_long_normal_a_lock_s10_slot_headmix_outerclean.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Pressure,OriginalNonTarget,slot_headmix_outerclean,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9540,8,5,4,0.925,0.1,True,.worktrees/campaign500-longchain-prod200-pool
237,direct_normal_71_direct_normal_rect_outer_shell_g1_v08,nutation_hub_mixed_v1_strict30_refill_68_s17_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_68_s17_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.968,10,9,5,0.768,0.321,True,.worktrees/nutation-hub-maze-mixed
240,direct_polish_clean_05_direct_polish_normal_rect_dual_zone_g0_v01,nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Recovery,OriginalNonTarget,LongChain,,LongChain,0.933,8,7,4,0.825,0.245,True,.worktrees/nutation-peel
241,direct_diff120_105_direct_diff_hard_long_spine_long_corridor_g1_v07,nutation_hub_mixed_v1_strict30_refill_72_s18_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_72_s18_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.968,10,9,5,0.768,0.321,True,.worktrees/nutation-hub-maze-mixed
244,direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08,nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalNonTarget,LongChain,,LongChain,0.947,9,5,5,0.822,0.273,True,.worktrees/nutation-peel
246,direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15,nutation_hub_mixed_v1_strict30_refill_65_s17_r01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_65_s17_r01.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.967,10,9,5,0.76,0.321,True,.worktrees/nutation-hub-maze-mixed
248,direct_normal_07_direct_normal_rect_dual_zone_g0_v01,nutation_longchain_candidate80_holefix_s2_v1_62_nutation_longchain_rail_v1_rect_c80hf2_16_d3_lock_rail,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_62_nutation_longchain_rail_v1_rect_c80hf2_16_d3_lock_rail.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalTargetMissingHardGate,LongChain,,LongChain,0.956,11,7,4,0.853,0.255,True,.worktrees/nutation-peel
254,direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05,nutation_hub_mixed_v1_strict30_refill_69_s18_r01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_69_s18_r01.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalTargetMissingHardGate,hub_spoke,mixed_chain,,0.967,10,9,5,0.76,0.321,True,.worktrees/nutation-hub-maze-mixed
255,direct_normal_151_direct_normal_rect_outer_shell_g3_v16,nutation_hub_mixed_v1_strict30_refill_96_s24_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_96_s24_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.97,12,6,4,0.819,0.312,True,.worktrees/nutation-hub-maze-mixed
257,direct_normal_153_direct_normal_rect_lock_buckle_g3_v16,campaign500_longchain_prod200_pool_v1_33_l041_long_normal_a_dense_s05_slot_seedmaze_section_weave,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_33_l041_long_normal_a_dense_s05_slot_seedmaze_section_weave.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Normal,OriginalNonTarget,slot_seedmaze_section_weave,slot_seedmaze_chamber_corridor;slot_seedmaze_section_weave;slot_seedweave_braid_carrier,LongNormalA,0.9437,8,3,3,0.93,0.022,True,.worktrees/campaign500-longchain-prod200-pool
259,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,nutation_hub_mixed_v1_strict30_refill_100_s25_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_100_s25_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.97,12,6,4,0.825,0.321,True,.worktrees/nutation-hub-maze-mixed
261,sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri,nutation_hub_mixed_v1_strict30_refill_99_s25_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_99_s25_r03.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.962,12,6,4,0.82,0.321,True,.worktrees/nutation-hub-maze-mixed
265,direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07,nutation_hub_mixed_v1_strict30_refill_95_s24_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_95_s24_r03.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.962,12,6,4,0.813,0.313,True,.worktrees/nutation-hub-maze-mixed
270,direct_normal_147_direct_normal_rect_dual_zone_g2_v15,campaign500_longchain_prod200_pool_v1_26_l031_long_normal_a_sweep_s04_slot_seedweave_braid_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_26_l031_long_normal_a_sweep_s04_slot_seedweave_braid_carrier.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Normal,OriginalNonTarget,slot_seedweave_braid_carrier,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9463,9,3,3,0.96,0.062,True,.worktrees/campaign500-longchain-prod200-pool
271,direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05,nutation_hub_mixed_v1_strict30_refill_91_s23_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_91_s23_r03.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.962,12,6,4,0.812,0.315,True,.worktrees/nutation-hub-maze-mixed
272,direct_normal_33_direct_normal_rect_lock_buckle_g3_v04,campaign500_longchain_prod200_pool_v1_25_l031_long_normal_a_sweep_s04_slot_seedmaze_chamber_corridor,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_25_l031_long_normal_a_sweep_s04_slot_seedmaze_chamber_corridor.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Normal,OriginalNonTarget,slot_seedmaze_chamber_corridor,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9335,9,3,1,0.909,0.062,True,.worktrees/campaign500-longchain-prod200-pool
280,direct_normal_113_direct_normal_rect_lock_buckle_g5_v12,campaign500_longchain_prod200_pool_v1_15_l021_long_normal_a_sweep_s03_slot_seedlock_section_bridge,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_15_l021_long_normal_a_sweep_s03_slot_seedlock_section_bridge.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Normal,OriginalNonTarget,slot_seedlock_section_bridge,slot_runbreak;slot_seedlock_section_bridge;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9412,9,4,4,0.919,0.028,True,.worktrees/campaign500-longchain-prod200-pool
284,direct_pure_topup_07_22_direct_polish_hard_pure_rect_lock_buckle_g11_v03,campaign500_longchain_prod200_pool_v1_10_l011_long_normal_a_normal_s02_slot_seedmaze_chamber_corridor,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_10_l011_long_normal_a_normal_s02_slot_seedmaze_chamber_corridor.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Pressure,OriginalNonTarget,slot_seedmaze_chamber_corridor,slot_seedmaze_chamber_corridor;slot_seedmaze_section_weave;slot_seedweave_braid_carrier,LongNormalA,0.9457,9,5,5,0.94,0.038,True,.worktrees/campaign500-longchain-prod200-pool
286,direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05,campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Normal,OriginalNonTarget,slot_seedweave_braid_carrier,slot_dense_support;slot_seedweave_dense_support;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalB,0.9524,8,3,2,0.919,0.054,True,.worktrees/campaign500-longchain-prod200-pool
290,direct_normal_82_direct_normal_rect_section_unlock_g2_v09,campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Recovery,OriginalNonTarget,slot_headmix_outerclean,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9375,8,3,3,0.947,0.06,True,.worktrees/campaign500-longchain-prod200-pool
294,direct_normal_155_direct_normal_rect_sweep_g3_v16,campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Recovery,OriginalNonTarget,slot_seedmaze_chamber_corridor,slot_seedlock_gate_carrier;slot_headmix_outerclean;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalB,0.9332,8,2,2,0.904,0.045,True,.worktrees/campaign500-longchain-prod200-pool
297,direct_normal_128_direct_normal_rect_stair_push_g0_v13,campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Normal,OriginalNonTarget,slot_seedweave_braid_carrier,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9427,8,3,3,0.924,0.123,True,.worktrees/campaign500-longchain-prod200-pool
300,direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11,campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Recovery,OriginalNonTarget,slot_seedweave_braid_carrier,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9427,8,3,3,0.924,0.123,True,.worktrees/campaign500-longchain-prod200-pool
