"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","targetWidth","targetHeight","plannedWidth","plannedHeight","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"133","14","233","Main/Level_Main_133","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L133_r2_outer_strong_005_r2_006_a401_maskonlyb01_05_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L133_r2_outer_strong_005_r2_006_a401_maskonlyb01_05_lar.asset","","","","","34","47","","","","","","","","","",""
"134","14","234","Main/Level_Main_134","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset","direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L134_direct_pure_topup_01_24_direct_refresh_topup_rect_.asset","strict152","FlowRail","rail_chain","NormalFlow","14","29","18","24","0.988","9","3","3","0.915","0.144","6","6"
"135","14","235","Main/Level_Main_135_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_topup_012_topup_tall_20x30_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L135_hole_topup_012_topup_tall_20x30_shell.asset","hole_topup_012_topup_tall_20x30_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L135_hole_topup_012_topup_tall_20x30_shell.asset","","","","","20","30","","","","","","","","","",""
"136","14","236","Main/Level_Main_136","normal","极难","Peak","Peak","ReplacedStrict0910","c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L136_direct_normal_39_direct_normal_rect_quasi_symmetry.asset","lowchoice","","","","23","36","24","32","0.984","8","4","4","0.905","0.153","7","5"
"137","14","237","Main/Level_Main_137","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain.asset","direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L137_direct_pure_topup_04_19_direct_normal_pure_rect_lo.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","21","31","22","30","0.985","10","4","4","0.923","0.125","6","5"
"138","14","238","Main/Level_Main_138","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L138_r2_outer_strong_005_r2_006_a401_maskonlyb05_03_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L138_r2_outer_strong_005_r2_006_a401_maskonlyb05_03_mai.asset","","","","","28","44","","","","","","","","","",""
"139","14","239","Main/Level_Main_139","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_normal_68_direct_normal_rect_stair_push_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L139_direct_normal_68_direct_normal_rect_stair_push_g0_.asset","direct_normal_68_direct_normal_rect_stair_push_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L139_direct_normal_68_direct_normal_rect_stair_push_g0_.asset","","","","","20","39","","","","","","","","","",""
"140","14","240","Main/Level_Main_140","normal","困难","Normal","Hard","ReplacedStrict0910","c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset","direct_normal_92_direct_normal_rect_section_unlock_g3_v10","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L140_direct_normal_92_direct_normal_rect_section_unlock.asset","strict152","PeelMid","curve_chain","Hard","23","34","23","31","0.985","10","6","3","0.87","0.189","6","6"
"141","15","241","Main/Level_Main_141","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_normal_35_direct_normal_rect_sweep_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L141_direct_normal_35_direct_normal_rect_sweep_g3_v04.asset","direct_normal_35_direct_normal_rect_sweep_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L141_direct_normal_35_direct_normal_rect_sweep_g3_v04.asset","","","","","23","39","","","","","","","","","",""
"142","15","242","Main/Level_Main_142_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_038_std_26x24_dual","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L142_hole_candidate_038_std_26x24_dual.asset","hole_candidate_038_std_26x24_dual","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L142_hole_candidate_038_std_26x24_dual.asset","","","","","26","24","","","","","","","","","",""
"143","15","243","Main/Level_Main_143","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb05_19_large_watermelonslice","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L143_r2_outer_strong_005_r2_006_a401_maskonlyb05_19_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_19_large_watermelonslice","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L143_r2_outer_strong_005_r2_006_a401_maskonlyb05_19_lar.asset","","","","","42","34","","","","","","","","","",""
"144","15","244","Main/Level_Main_144","normal","特别困难","Pressure","","OriginalNonTarget","direct_normal_103_direct_normal_rect_lock_buckle_g4_v11","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L144_direct_normal_103_direct_normal_rect_lock_buckle_g.asset","direct_normal_103_direct_normal_rect_lock_buckle_g4_v11","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L144_direct_normal_103_direct_normal_rect_lock_buckle_g.asset","","","","","22","40","","","","","","","","","",""
"145","15","245","Main/Level_Main_145","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L145_direct_pure_normal_extra_02_16_direct_normal_pure_.asset","strict152","FlowPatch","patch_chain","NormalFlow","21","34","20","27","0.991","7","3","2","0.94","0.064","7","3"
"146","15","246","Main/Level_Main_146","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_17_nutation_mixed_neutral_v1_rect_s15_o146_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_17_nutation_mixed_neutral_v1_rect_s15_o146_v01_neutralmixed_mixed_chain.asset","direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L146_direct_pure_topup_06_12_direct_normal_pure_rect_de.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","22","31","22","30","0.992","10","3","3","0.922","0.166","6","6"
"147","15","247","Main/Level_Main_147","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb08_09_large_caveentrance","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L147_r2_outer_strong_005_r2_006_a401_maskonlyb08_09_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb08_09_large_caveentrance","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L147_r2_outer_strong_005_r2_006_a401_maskonlyb08_09_lar.asset","","","","","44","43","","","","","","","","","",""
"148","15","248","Main/Level_Main_148","normal","困难","Pressure","Hard","ReplacedStrict0910","c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_maze_08_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L148_sgp_merged_final_outer_repair_quality_filtered26_h.asset","lowchoice","","","","23","37","23","31","0.99","9","5","4","0.888","0.144","6","5"
"149","15","249","Main/Level_Main_149","normal","极难","Peak","Peak","ReplacedStrict0910","c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset","direct_normal_126_direct_normal_rect_core_burst_g0_v13","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L149_direct_normal_126_direct_normal_rect_core_burst_g0.asset","strict152","PeelHard","rail_chain","Peak","22","39","24","32","0.986","9","6","4","0.868","0.232","7","7"
"150","15","250","Main/Level_Main_150","normal","普通/恢复","Normal","","OriginalNonTarget","direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L150_direct_normal_topup_65_direct_normal_topup_rect_se.asset","direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L150_direct_normal_topup_65_direct_normal_topup_rect_se.asset","","","","","20","37","","","","","","","","","",""
"151","16","251","Main/Level_Main_151_hole","hole","困难","HoleRescue","","OriginalNonTarget","hole_candidate_054_std_30x30_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L151_hole_candidate_054_std_30x30_lock.asset","hole_candidate_054_std_30x30_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L151_hole_candidate_054_std_30x30_lock.asset","","","","","30","30","","","","","","","","","",""
"152","16","252","Main/Level_Main_152","normal","困难","Normal","Hard","ReplacedStrict0910","c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","direct_normal_133_direct_normal_rect_lock_buckle_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L152_direct_normal_133_direct_normal_rect_lock_buckle_g.asset","lowchoice","","","","21","39","23","31","0.98","8","3","3","0.907","0.118","6","5"
"153","16","253","Main/Level_Main_153","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb02_16_large_pumpkin","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L153_r2_outer_strong_005_r2_006_a401_maskonlyb02_16_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_16_large_pumpkin","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L153_r2_outer_strong_005_r2_006_a401_maskonlyb02_16_lar.asset","","","","","43","38","","","","","","","","","",""
"154","16","254","Main/Level_Main_154","normal","特别困难","Pressure","Peak","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_36_nutation_peel_v2_rect_s16_o154_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_36_nutation_peel_v2_rect_s16_o154_v02_peelhard_curve_chain.asset","direct_normal_98_direct_normal_rect_stair_push_g3_v10","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L154_direct_normal_98_direct_normal_rect_stair_push_g3_.asset","strict152","PeelHard","curve_chain","Peak","23","38","24","32","0.984","10","7","2","0.791","0.281","7","7"
"155","16","255","Main/Level_Main_155","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain.asset","direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L155_direct_pure_normal_extra_02_19_direct_normal_pure_.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","18","35","22","30","0.985","8","5","4","0.916","0.145","6","6"
"156","16","256","Main/Level_Main_156","normal","特别困难","Peak","","OriginalNonTarget","direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L156_direct_diff120_55_direct_diff_normal_near_square_s.asset","direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L156_direct_diff120_55_direct_diff_normal_near_square_s.asset","","","","","26","29","","","","","","","","","",""
"157","16","257","Main/Level_Main_157","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L157_direct_pure_topup_06_05_direct_normal_pure_rect_sw.asset","direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L157_direct_pure_topup_06_05_direct_normal_pure_rect_sw.asset","","","","","20","33","","","","","","","","","",""
"158","16","258","Main/Level_Main_158","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb01_07_large_starfish","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L158_r2_outer_strong_005_r2_006_a401_maskonlyb01_07_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb01_07_large_starfish","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L158_r2_outer_strong_005_r2_006_a401_maskonlyb01_07_lar.asset","","","","","43","43","","","","","","","","","",""
"159","16","259","Main/Level_Main_159","normal","困难","Normal","","OriginalNonTarget","direct_normal_137_direct_normal_rect_dual_zone_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L159_direct_normal_137_direct_normal_rect_dual_zone_g1_.asset","direct_normal_137_direct_normal_rect_dual_zone_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L159_direct_normal_137_direct_normal_rect_dual_zone_g1_.asset","","","","","21","37","","","","","","","","","",""
"160","16","260","Main/Level_Main_160","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedStrict0910","c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L160_direct_pure_topup_04_14_direct_normal_pure_rect_co.asset","strict152","FlowCurve","curve_chain","NormalFlow","21","31","20","27","0.983","8","6","4","0.864","0.206","7","7"
"161","17","261","Main/Level_Main_161","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","nomask_style_expansion_36_snake_spine_tall","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L161_nomask_style_expansion_36_snake_spine_tall.asset","strict152","FlowRail","rail_chain","NormalFlow","17","30","18","24","0.991","9","2","2","0.908","0.089","6","4"
"162","17","262","Main/Level_Main_162","normal","普通/恢复","Normal","","OriginalNonTarget","direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L162_direct_pure_topup_06_04_direct_normal_pure_rect_de.asset","direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L162_direct_pure_topup_06_04_direct_normal_pure_rect_de.asset","","","","","19","38","","","","","","","","","",""
"163","17","263","Main/Level_Main_163","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb05_16_main_ring","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L163_r2_outer_strong_005_r2_006_a401_maskonlyb05_16_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_16_main_ring","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L163_r2_outer_strong_005_r2_006_a401_maskonlyb05_16_mai.asset","","","","","34","42","","","","","","","","","",""
"164","17","264","Main/Level_Main_164","normal","特别困难","Pressure","","OriginalNonTarget","direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L164_direct_normal_topup_18_direct_normal_topup_rect_lo.asset","direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L164_direct_normal_topup_18_direct_normal_topup_rect_lo.asset","","","","","23","38","","","","","","","","","",""
"165","17","265","Main/Level_Main_165","normal","普通/恢复","Recovery","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_41_nutation_mixed_neutral_v1_rect_s17_o165_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_41_nutation_mixed_neutral_v1_rect_s17_o165_v01_neutralmixed_mixed_chain.asset","direct_pure_normal_extra_02_24_direct_normal_pure_extra_rect_maze_long_chain_g20_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L165_direct_pure_normal_extra_02_24_direct_normal_pure_.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","19","35","22","30","0.991","10","7","5","0.827","0.255","8","6"
"166","17","266","Main/Level_Main_166","normal","困难","Normal","Hard","ReplacedStrict0910","c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L166_direct_polish_clean_19_direct_polish_normal_rect_s.asset","lowchoice","","","","20","38","23","31","0.983","10","6","4","0.916","0.093","5","5"
"167","17","267","Main/Level_Main_167_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_021_std_22x26_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L167_hole_candidate_021_std_22x26_lock.asset","hole_candidate_021_std_22x26_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L167_hole_candidate_021_std_22x26_lock.asset","","","","","22","26","","","","","","","","","",""
"168","17","268","Main/Level_Main_168","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb06_01_large_brickcellphone","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L168_r2_outer_strong_005_r2_006_a401_maskonlyb06_01_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb06_01_large_brickcellphone","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L168_r2_outer_strong_005_r2_006_a401_maskonlyb06_01_lar.asset","","","","","38","49","","","","","","","","","",""
"169","17","269","Main/Level_Main_169","normal","特别困难","Pressure","Peak","ReplacedStrict0910","c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset","direct_diff120_84_direct_diff_hard_dag_unlock_stair_ladder_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L169_direct_diff120_84_direct_diff_hard_dag_unlock_stai.asset","strict152","PeelHard","rail_chain","Peak","25","40","24","32","0.982","10","4","3","0.937","0.086","5","5"
"170","17","270","Main/Level_Main_170","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L170_direct_normal_topup_71_direct_normal_topup_rect_qu.asset","direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L170_direct_normal_topup_71_direct_normal_topup_rect_qu.asset","","","","","22","37","","","","","","","","","",""
"171","18","271","Main/Level_Main_171","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L171_direct_normal_topup_03_direct_normal_topup_rect_de.asset","direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L171_direct_normal_topup_03_direct_normal_topup_rect_de.asset","","","","","22","38","","","","","","","","","",""
"172","18","272","Main/Level_Main_172","normal","困难","Pressure","Hard","ReplacedStrict0910","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L172_direct_normal_topup_22_direct_normal_topup_rect_st.asset","lowchoice","","","","23","34","23","31","0.982","7","6","6","0.845","0.254","7","7"
"173","18","273","Main/Level_Main_173","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb05_18_large_teapot","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L173_r2_outer_strong_005_r2_006_a401_maskonlyb05_18_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_18_large_teapot","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L173_r2_outer_strong_005_r2_006_a401_maskonlyb05_18_lar.asset","","","","","44","38","","","","","","","","","",""
"174","18","274","Main/Level_Main_174","normal","普通/恢复","Recovery","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain.asset","direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L174_direct_pure_topup_06_24_direct_normal_pure_rect_ma.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","19","36","22","30","0.973","9","5","5","0.926","0.092","7","4"
"175","18","275","Main/Level_Main_175","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedStrict0910","c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L175_direct_pure_normal_extra_01_09_direct_normal_pure_.asset","strict152","FlowPatch","patch_chain","NormalFlow","20","33","20","27","0.991","9","6","4","0.898","0.091","5","4"
"176","18","276","Main/Level_Main_176","normal","特别困难","Pressure","","OriginalNonTarget","direct_normal_16_direct_normal_rect_core_burst_g1_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L176_direct_normal_16_direct_normal_rect_core_burst_g1_.asset","direct_normal_16_direct_normal_rect_core_burst_g1_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L176_direct_normal_16_direct_normal_rect_core_burst_g1_.asset","","","","","23","37","","","","","","","","","",""
"177","18","277","Main/Level_Main_177_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_074_wide_28x22_dense","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L177_hole_candidate_074_wide_28x22_dense.asset","hole_candidate_074_wide_28x22_dense","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L177_hole_candidate_074_wide_28x22_dense.asset","","","","","28","22","","","","","","","","","",""
