order,assetPath,levelId,assetName,type,levelType,difficulty,stage,width,height,chains,arrowCells,validationStatus,validationFlags,shapeId
78,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall_20260611_111451.asset,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall_20260611_111451,shape_music,普通,4,51-100,28,42,92,658,Green,None,shape_main_distinct_music_note_tall
79,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_19_long_corridor_a.asset,nomask_style_expansion_19_long_corridor_a,nomask_style_expansion_19_long_corridor_a,maze,普通,1,51-100,19,27,58,504,Green,None,
80,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07.asset,direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07,direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07,section,普通,1,51-100,22,32,89,689,Green,None,
81,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_04_snake_spine_a.asset,nomask_style_expansion_04_snake_spine_a,nomask_style_expansion_04_snake_spine_a,sweep,普通,1,51-100,16,24,46,380,Green,None,
82,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset,hole_candidate_018_std_22x24_lock,hole_candidate_018_std_22x24_lock,hole_rescue,hole,1,51-100,22,24,45,441,Green,None,
83,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447.asset,r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall,procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447,shape_symbol,普通,1,51-100,30,40,91,667,Green,None,shape_main_heart_tall
84,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01.asset,direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01,direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01,lock,普通,1,51-100,21,32,88,665,Green,PeakTooFlat,
85,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01.asset,direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01,direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01,maze,普通,1,51-100,20,36,92,710,Green,None,
86,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03.asset,direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03,direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03,dense,普通,1,51-100,16,28,55,442,Green,None,
87,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall_20260611_110916.asset,r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall,procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall_20260611_110916,shape_object,普通,4,51-100,30,40,95,861,Green,None,shape_main_paint_palette_tall
88,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_28_direct_normal_rect_stair_push_g2_v03.asset,direct_normal_28_direct_normal_rect_stair_push_g2_v03,direct_normal_28_direct_normal_rect_stair_push_g2_v03,section,普通,1,51-100,20,38,101,746,Green,PeakTooFlat,
89,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05.asset,direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05,direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05,lock,普通,3,51-100,21,34,100,700,Green,PeakTooFlat,
90,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02.asset,direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02,direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02,section,普通,1,51-100,22,34,98,738,Green,None,
91,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset,hole_candidate_071_wide_26x22_maze,hole_candidate_071_wide_26x22_maze,hole_rescue,hole,1,51-100,26,22,47,491,Green,BottleneckHeavy,
92,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_30_vertical_gate_a.asset,nomask_style_expansion_30_vertical_gate_a,nomask_style_expansion_30_vertical_gate_a,lock,普通,1,51-100,16,25,48,393,Green,None,
93,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450.asset,r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall,procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450,shape_symbol,普通,2,51-100,28,42,92,631,Green,None,shape_main_lightning_tall
94,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_112_direct_normal_rect_section_unlock_g5_v12.asset,direct_normal_112_direct_normal_rect_section_unlock_g5_v12,direct_normal_112_direct_normal_rect_section_unlock_g5_v12,section,普通,3,51-100,21,39,107,809,Green,PeakTooFlat,
95,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04.asset,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,dense,普通,1,51-100,15,27,61,391,Green,None,
96,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02.asset,direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02,direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02,section,普通,2,51-100,23,37,110,840,Green,PeakTooFlat,
97,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04.asset,direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04,direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04,sweep,普通,1,51-100,21,38,102,785,Green,None,
98,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall_20260611_110914.asset,r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall,procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall_20260611_110914,shape_music,普通,2,51-100,28,42,94,766,Green,None,shape_main_microphone_tall
99,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01.asset,direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01,direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01,section,普通,3,51-100,22,34,101,736,Green,None,
100,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02.asset,direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02,direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02,lock,普通,1,51-100,15,28,51,415,Yellow,StartFakeWide,
101,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset,hole_candidate_020_std_22x24_dense,hole_candidate_020_std_22x24_dense,hole_rescue,hole,1,101-150,22,24,47,448,Green,BottleneckHeavy,
102,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02.asset,direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02,direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02,dense,普通,1,101-150,15,26,57,378,Green,None,
103,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall_20260611_111240.asset,r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall,procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall_20260611_111240,shape_ocean,普通,2,101-150,30,42,93,646,Green,None,shape_main_ocean_drift_bottle_tall
104,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03.asset,direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03,direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03,lock,普通,1,101-150,21,36,102,747,Green,PeakTooFlat,
105,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06.asset,direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06,direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06,maze,普通,2,101-150,23,37,108,840,Yellow,GrindyLowClear,
106,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04.asset,direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04,direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04,section,普通,1,101-150,18,36,86,641,Green,None,
107,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_53_direct_normal_rect_lock_buckle_g5_v06.asset,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,lock,普通,3,101-150,21,36,105,743,Green,PeakTooFlat,
108,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall_20260611_115702.asset,r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall,procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall_20260611_115702,shape_symbol,普通,2,101-150,28,42,93,646,Green,None,shape_main_distinct_digit2_tall
109,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04.asset,direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04,direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04,section,普通,1,101-150,23,37,108,831,Green,PeakTooFlat,
110,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,section,普通,1,101-150,21,37,104,761,Green,None,
111,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,dense,普通,1,101-150,20,35,89,693,Green,None,
112,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,lock,普通,1,101-150,22,38,108,823,Green,PeakTooFlat,
113,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341,shape_magic,普通,4,101-150,28,42,98,816,Green,None,shape_main_magic_rune_stone_tall
114,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,maze,普通,2,101-150,18,37,94,659,Green,None,
115,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset,direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02,direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02,section,普通,1,101-150,18,33,74,584,Green,None,
116,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset,direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06,direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06,lock,普通,1,101-150,20,34,89,673,Green,PeakTooFlat,
117,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset,hole_topup_018_topup_std_22x26_dual,hole_topup_018_topup_std_22x26_dual,hole_rescue,hole,1,101-150,22,26,49,489,Green,None,
118,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459,shape_ocean,普通,1,101-150,30,44,96,817,Green,None,shape_main_distinct_jellyfish_tall
119,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,section,普通,2,101-150,21,36,102,748,Green,PeakTooFlat,
120,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset,direct_normal_65_direct_normal_rect_sweep_g0_v07,direct_normal_65_direct_normal_rect_sweep_g0_v07,sweep,普通,1,101-150,22,38,106,821,Green,None,
121,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset,nomask_04_maze_long_chain,nomask_04_maze_long_chain,maze,普通,1,101-150,17,24,51,406,Green,None,
122,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,dense,普通,1,101-150,20,32,89,630,Green,None,
123,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354,shape_magic,普通,3,101-150,30,42,92,805,Green,None,shape_main_magic_dragon_egg_tall
124,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,section,普通,3,101-150,21,38,105,782,Yellow,GrindyLowClear,
125,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,lock,普通,1,101-150,21,34,93,702,Green,PeakTooFlat,
126,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset,hole_candidate_016_std_20x26_section,hole_candidate_016_std_20x26_section,hole_rescue,hole,1,101-150,20,26,50,439,Green,None,
127,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820,shape_character,普通,2,101-150,30,42,99,851,Green,None,shape_main_owl_tall
128,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,lock,普通,1,101-150,18,35,79,620,Green,None,
129,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,section,普通,1,101-150,22,35,102,762,Green,PeakTooFlat,
130,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,section,普通,1,101-150,22,31,96,673,Green,None,
131,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,dense,普通,1,101-150,18,31,81,548,Green,None,
132,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,lock,普通,1,101-150,19,32,86,600,Green,PeakTooFlat,
133,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528,shape_magic,普通,1,101-150,30,42,95,674,Green,None,shape_main_knight_mascot_tall
134,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,maze,普通,1,101-150,14,29,56,399,Green,None,
135,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset,hole_topup_012_topup_tall_20x30_shell,hole_topup_012_topup_tall_20x30_shell,hole_rescue,hole,2,101-150,20,30,52,510,Green,None,
136,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,section,普通,3,101-150,23,36,113,817,Green,PeakTooFlat,
137,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,lock,普通,1,101-150,21,31,80,639,Green,None,
138,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233,shape_space,普通,1,101-150,30,42,96,665,Green,None,shape_main_space_comet_icon_tall
139,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,direct_normal_68_direct_normal_rect_stair_push_g0_v07,direct_normal_68_direct_normal_rect_stair_push_g0_v07,section,普通,1,101-150,20,39,101,761,Green,None,
140,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,section,普通,2,101-150,23,34,102,769,Green,None,
141,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,direct_normal_35_direct_normal_rect_sweep_g3_v04,direct_normal_35_direct_normal_rect_sweep_g3_v04,sweep,普通,1,101-150,23,39,114,880,Green,None,
142,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset,hole_candidate_038_std_26x24_dual,hole_candidate_038_std_26x24_dual,hole_rescue,hole,1,101-150,26,24,50,536,Green,None,
143,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314,shape_magic,普通,1,101-150,30,42,91,675,Green,None,shape_main_magic_hat_tall
144,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,lock,普通,1,101-150,22,40,113,866,Green,PeakTooFlat,
145,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,maze,普通,1,101-150,21,34,95,704,Green,None,
146,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,dense,普通,1,101-150,22,31,95,668,Green,None,
147,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545,shape_landmark,普通,2,101-150,30,44,101,812,Green,None,shape_main_liberty_statue_tall
148,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset,direct_normal_08_direct_normal_rect_stair_push_g0_v01,direct_normal_08_direct_normal_rect_stair_push_g0_v01,section,普通,4,101-150,22,34,105,737,Yellow,StartFakeWide|PeakTooFlat,
149,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,direct_normal_126_direct_normal_rect_core_burst_g0_v13,direct_normal_126_direct_normal_rect_core_burst_g0_v13,lock,普通,2,101-150,22,39,114,843,Green,PeakTooFlat,
150,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,section,普通,3,101-150,20,37,104,725,Green,None,
151,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset,hole_highchain_016_hc_30x28_dual_a,hole_highchain_016_hc_30x28_dual_a,hole_rescue,hole,3,151-200,30,28,80,750,Yellow,StartFakeWide|BottleneckHeavy,
152,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,lock,普通,1,151-200,21,39,106,804,Green,None,
153,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517,shape_character,普通,4,151-200,30,42,101,831,Green,None,shape_main_raised_hand_mascot_tall
