order,stage,currentDifficulty,proposedDifficulty,difficultyDelta,reviewWarnings,evidenceScore,difficultyScore,difficultyScorePctInStage,chainPctInStage,bottleneckPctInStage,grindPctInStage,openerPressureInStage,levelType,type,slotRole,relativeDifficulty,chains,openingGoodMoves,openingGoodMoveRatio,avgAvailableMoves,avgGoodMoveRatio,bottleneckStepRatio,hardBottleneckStepRatio,lowClearRatio,avgClearPerMove,maxLowClearStreak,validationStatus,validationSeverity,validationFlags,shapeId,levelId,assetPath,proposalReason
111,101-150,1,1,0,,0.233,104.0,0.2,0.34,0.1,0.8,0.02,普通,dense,Recovery,Recovery,89,13.0,0.591,9.079,0.55,0.213,0.011,0.067,7.787,6.0,Green,0,None,,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset,slot=Recovery
112,101-150,2,1,-1,,0.302,86.0,0.08,0.92,0.36,0.14,0.04,普通,lock,Pressure,Hard,108,12.0,0.667,7.991,0.529,0.287,0.009,0.037,7.62,2.0,Green,12,PeakTooFlat,,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset,chain_top10;rhythm=Hard;slot=Pressure
113,101-150,1,4,3,ShapeOrNoveltyAsHard,0.813,199.0,0.96,0.6,0.66,0.92,0.82,普通,shape_magic,Shape,Novelty,98,4.0,0.444,7.398,0.507,0.327,0.041,0.143,8.327,7.0,Green,0,None,shape_main_magic_rune_stone_tall,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset,validation_difficulty_top10;grind_high;few_good_openers;slot=Shape;shape_visible_level
114,101-150,1,2,1,,0.59,158.0,0.74,0.46,0.86,0.54,0.5,普通,maze,Recovery,Recovery,94,7.0,0.412,9.394,0.455,0.351,0.011,0.085,7.011,4.0,Green,0,None,,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset,bottleneck_high;slot=Recovery
115,101-150,1,1,0,,0.268,90.0,0.14,0.18,0.34,0.14,0.82,普通,section,Normal,Normal,74,4.0,0.667,6.095,0.571,0.284,0.041,0.054,7.892,2.0,Green,0,None,,direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset,few_good_openers
116,101-150,2,1,-1,,0.409,121.0,0.28,0.34,0.62,0.52,0.24,普通,lock,Pressure,Hard,89,9.0,0.474,7.056,0.586,0.326,0.034,0.056,7.562,4.0,Green,12,PeakTooFlat,,direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset,rhythm=Hard;slot=Pressure
117,101-150,1,1,0,,0.171,70.0,0.04,0.04,0.26,0.78,0.64,hole,hole_rescue,HoleRescue,Mechanic,49,6.0,0.6,7.327,0.485,0.265,0.02,0.122,9.98,5.0,Green,0,None,,hole_topup_018_topup_std_22x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset,slot=HoleRescue;hole_stage_relative
118,101-150,1,1,0,,0.423,125.0,0.32,0.58,0.46,0.88,0.24,普通,shape_ocean,Shape,Novelty,96,9.0,0.529,10.76,0.457,0.302,0.01,0.135,8.51,5.0,Green,0,None,shape_main_distinct_jellyfish_tall,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,grind_high;slot=Shape;shape_visible_level
119,101-150,3,2,-1,,0.667,155.0,0.72,0.74,0.34,0.34,0.64,普通,section,Peak,VeryHard,102,6.0,0.4,7.716,0.544,0.284,0.02,0.069,7.333,3.0,Green,12,PeakTooFlat,,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset,rhythm=VeryHard;slot=Peak
120,101-150,1,1,0,,0.439,138.0,0.52,0.86,0.02,0.66,0.38,普通,sweep,Recovery,Recovery,106,8.0,0.364,7.858,0.597,0.198,0.009,0.047,7.745,5.0,Green,0,None,,direct_normal_65_direct_normal_rect_sweep_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset,chain_top25;slot=Recovery
121,101-150,1,1,0,,0.212,86.0,0.08,0.1,0.4,0.92,0.24,普通,maze,Recovery,Recovery,51,9.0,0.692,7.647,0.528,0.294,0.02,0.137,7.961,7.0,Green,0,None,,nomask_04_maze_long_chain,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset,grind_high;slot=Recovery
122,101-150,1,1,0,,0.586,165.0,0.8,0.34,0.22,0.96,0.5,普通,dense,Normal,Normal,89,7.0,0.467,13.011,0.488,0.258,0.011,0.157,7.079,8.0,Green,0,None,,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,validation_difficulty_top25;grind_high
123,101-150,1,3,2,ShapeOrNoveltyAsHard,0.717,182.0,0.88,0.38,0.92,0.8,0.74,普通,shape_magic,Shape,Novelty,92,5.0,0.357,10.141,0.435,0.37,0.011,0.098,8.75,6.0,Green,0,None,shape_main_magic_dragon_egg_tall,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,validation_difficulty_top25;bottleneck_high;slot=Shape;shape_visible_level
124,101-150,1,3,2,ValidationYellow:GrindyLowClear,0.753,234.0,0.98,0.84,0.18,0.98,0.74,普通,section,Normal,Normal,105,5.0,0.278,12.143,0.537,0.238,0.01,0.095,7.448,10.0,Yellow,18,GrindyLowClear,,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset,validation_difficulty_top10;chain_top25;grind_high
125,101-150,2,1,-1,,0.332,93.0,0.16,0.44,0.72,0.14,0.38,普通,lock,Pressure,Hard,93,8.0,0.571,6.538,0.482,0.333,0.011,0.054,7.548,2.0,Green,12,PeakTooFlat,,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset,rhythm=Hard;slot=Pressure
126,101-150,1,1,0,,0.443,131.0,0.44,0.08,0.74,0.98,0.88,hole,hole_rescue,HoleRescue,Mechanic,50,3.0,0.375,8.36,0.442,0.34,0.02,0.16,8.78,4.0,Green,0,None,,hole_candidate_016_std_20x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset,grind_high;few_good_openers;slot=HoleRescue;hole_stage_relative
127,101-150,1,2,1,,0.711,151.0,0.7,0.62,0.9,0.96,0.64,普通,shape_character,Shape,Novelty,99,6.0,0.75,10.323,0.444,0.364,0.02,0.121,8.596,8.0,Green,0,None,shape_main_owl_tall,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,bottleneck_high;grind_high;slot=Shape;shape_visible_level
128,101-150,1,1,0,,0.19,41.0,0.02,0.2,0.68,0.04,0.04,普通,lock,Normal,Normal,79,12.0,0.8,8.785,0.533,0.329,0.013,0.013,7.848,1.0,Green,0,None,,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset,stage_relative_quota
129,101-150,2,1,-1,,0.418,106.0,0.22,0.74,0.8,0.34,0.12,普通,section,Pressure,Hard,102,11.0,0.611,9.373,0.429,0.343,0.01,0.069,7.471,2.0,Green,12,PeakTooFlat,,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,rhythm=Hard;slot=Pressure
130,101-150,1,1,0,,0.559,137.0,0.5,0.58,0.98,0.8,0.16,普通,section,Normal,Normal,96,10.0,0.667,8.896,0.501,0.417,0.01,0.073,7.01,6.0,Green,0,None,,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,bottleneck_high
131,101-150,1,1,0,,0.33,107.0,0.24,0.24,0.5,0.58,0.5,普通,dense,Normal,Normal,81,7.0,0.5,8.358,0.587,0.309,0.012,0.086,6.765,2.0,Green,0,None,,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset,stage_relative_quota
132,101-150,2,1,-1,,0.585,167.0,0.84,0.28,0.06,0.8,0.74,普通,lock,Pressure,Hard,86,5.0,0.333,6.895,0.595,0.209,0.012,0.093,6.977,6.0,Green,12,PeakTooFlat,,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,validation_difficulty_top25;rhythm=Hard;slot=Pressure
133,101-150,1,1,0,,0.508,146.0,0.64,0.52,0.16,0.52,0.5,普通,shape_magic,Shape,Novelty,95,7.0,0.35,12.895,0.542,0.232,0.011,0.084,7.095,4.0,Green,0,None,shape_main_knight_mascot_tall,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,slot=Shape;shape_visible_level
134,101-150,1,1,0,,0.379,130.0,0.4,0.14,0.16,0.52,0.88,普通,maze,Normal,Normal,56,3.0,0.429,6.554,0.499,0.232,0.036,0.071,7.125,4.0,Green,0,None,,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,few_good_openers
135,101-150,2,2,0,,0.678,183.0,0.9,0.12,0.82,0.92,0.98,hole,hole_rescue,HoleRescue,Mechanic,52,2.0,0.4,6.75,0.44,0.346,0.038,0.135,9.808,7.0,Green,0,None,,hole_topup_012_topup_tall_20x30_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset,validation_difficulty_top10;grind_high;few_good_openers;slot=HoleRescue;hole_stage_relative
136,101-150,3,3,0,,0.725,161.0,0.76,0.96,0.66,0.52,0.38,普通,section,Peak,VeryHard,113,8.0,0.444,9.841,0.454,0.327,0.009,0.08,7.23,4.0,Green,12,PeakTooFlat,,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset,validation_difficulty_top25;chain_top10;rhythm=VeryHard;slot=Peak
137,101-150,1,1,0,,0.452,141.0,0.56,0.22,0.24,0.66,0.74,普通,lock,Normal,Normal,80,5.0,0.357,7.325,0.445,0.263,0.013,0.063,7.988,5.0,Green,0,None,,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset,stage_relative_quota
138,101-150,1,1,0,,0.437,127.0,0.38,0.58,0.2,0.62,0.38,普通,shape_space,Shape,Novelty,96,8.0,0.5,10.135,0.501,0.25,0.021,0.094,6.927,4.0,Green,0,None,shape_main_space_comet_icon_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,slot=Shape;shape_visible_level
139,101-150,1,1,0,,0.546,164.0,0.78,0.66,0.28,0.32,0.64,普通,section,Recovery,Recovery,101,6.0,0.3,10.98,0.519,0.267,0.01,0.059,7.535,3.0,Green,0,None,,direct_normal_68_direct_normal_rect_stair_push_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,validation_difficulty_top25;slot=Recovery
140,101-150,1,2,1,,0.674,150.0,0.68,0.74,0.88,0.32,0.5,普通,section,Normal,Normal,102,7.0,0.412,9.039,0.501,0.363,0.029,0.059,7.539,3.0,Green,0,None,,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset,bottleneck_high
141,101-150,1,1,0,,0.533,141.0,0.56,1.0,0.44,0.7,0.16,普通,sweep,Recovery,Recovery,114,10.0,0.4,8.14,0.513,0.298,0.009,0.096,7.719,3.0,Green,0,None,,direct_normal_35_direct_normal_rect_sweep_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,chain_top10;slot=Recovery
142,101-150,1,1,0,,0.244,87.0,0.1,0.08,0.94,0.04,0.88,hole,hole_rescue,HoleRescue,Mechanic,50,3.0,0.5,7.14,0.454,0.38,0.02,0.02,10.72,1.0,Green,0,None,,hole_candidate_038_std_26x24_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset,bottleneck_high;few_good_openers;slot=HoleRescue;hole_stage_relative
143,101-150,1,1,0,,0.558,146.0,0.64,0.36,0.6,0.94,0.24,普通,shape_magic,Shape,Novelty,91,9.0,0.429,9.78,0.439,0.319,0.011,0.154,7.418,5.0,Green,0,None,shape_main_magic_hat_tall,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,grind_high;slot=Shape;shape_visible_level
144,101-150,2,1,-1,,0.571,134.0,0.46,0.96,0.52,0.52,0.24,普通,lock,Pressure,Hard,113,9.0,0.474,7.611,0.501,0.31,0.018,0.071,7.664,4.0,Green,12,PeakTooFlat,,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset,chain_top10;rhythm=Hard;slot=Pressure
145,101-150,1,1,0,,0.35,122.0,0.3,0.52,0.3,0.66,0.04,普通,maze,Recovery,Recovery,95,12.0,0.571,8.779,0.554,0.274,0.021,0.095,7.411,5.0,Green,0,None,,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,slot=Recovery
146,101-150,1,1,0,,0.377,126.0,0.36,0.52,0.04,0.8,0.16,普通,dense,Normal,Normal,95,10.0,0.556,10.989,0.518,0.2,0.011,0.084,7.032,6.0,Green,0,None,,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,stage_relative_quota
147,101-150,1,2,1,,0.611,144.0,0.58,0.66,0.84,0.92,0.38,普通,shape_landmark,Shape,Novelty,101,8.0,0.571,11.723,0.47,0.347,0.01,0.119,8.04,7.0,Green,0,None,shape_main_liberty_statue_tall,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,grind_high;slot=Shape;shape_visible_level
148,101-150,2,4,2,ValidationYellow:StartFakeWide|PeakTooFlat,0.833,237.0,1.0,0.84,0.8,0.32,0.88,普通,section,Pressure,Hard,105,3.0,0.167,9.371,0.557,0.343,0.019,0.057,7.019,3.0,Yellow,28,StartFakeWide|PeakTooFlat,,direct_normal_08_direct_normal_rect_stair_push_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset,validation_difficulty_top10;chain_top25;few_good_openers;rhythm=Hard;slot=Pressure
149,101-150,3,2,-1,,0.667,146.0,0.64,1.0,0.56,0.46,0.5,普通,lock,Peak,VeryHard,114,7.0,0.538,6.693,0.419,0.316,0.009,0.079,7.395,3.0,Green,12,PeakTooFlat,,direct_normal_126_direct_normal_rect_core_burst_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,chain_top10;rhythm=VeryHard;slot=Peak
150,101-150,1,3,2,,0.753,185.0,0.92,0.78,0.58,0.92,0.5,普通,section,Normal,Normal,104,7.0,0.412,10.462,0.483,0.317,0.01,0.096,6.971,7.0,Green,0,None,,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset,validation_difficulty_top10;chain_top25;grind_high
151,151-200,2,3,1,HardHoleCheck|ValidationYellow:StartFakeWide|BottleneckHeavy,0.72,201.0,0.92,0.14,1.0,0.98,0.92,hole,hole_rescue,HoleRescue,Mechanic,80,4.0,0.235,13.425,0.373,0.45,0.013,0.138,9.375,4.0,Yellow,30,StartFakeWide|BottleneckHeavy,,hole_highchain_016_hc_30x28_dual_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset,validation_difficulty_top10;bottleneck_high;grind_high;few_good_openers;slot=HoleRescue;hole_stage_relative
152,151-200,1,1,0,,0.501,139.0,0.54,0.74,0.26,0.8,0.12,普通,lock,Normal,Normal,106,11.0,0.44,11.698,0.522,0.264,0.009,0.085,7.585,5.0,Green,0,None,,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,stage_relative_quota
153,151-200,1,4,3,ShapeOrNoveltyAsHard,0.751,204.0,0.94,0.44,0.66,0.86,0.92,普通,shape_character,Shape,Novelty,101,4.0,0.267,9.069,0.503,0.327,0.02,0.109,8.228,4.0,Green,0,None,shape_main_raised_hand_mascot_tall,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,validation_difficulty_top10;grind_high;few_good_openers;slot=Shape;shape_visible_level
154,151-200,2,2,0,,0.693,172.0,0.8,0.9,0.4,0.8,0.52,普通,section,Pressure,Hard,113,7.0,0.389,10.504,0.48,0.283,0.009,0.053,7.593,5.0,Green,12,PeakTooFlat,,direct_normal_98_direct_normal_rect_stair_push_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset,validation_difficulty_top25;chain_top10;rhythm=Hard;slot=Pressure
155,151-200,1,1,0,,0.315,121.0,0.28,0.22,0.2,0.8,0.52,普通,dense,Normal,Normal,84,7.0,0.467,7.321,0.576,0.262,0.012,0.095,7.321,5.0,Green,0,None,,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,stage_relative_quota
156,151-200,3,3,0,ValidationYellow:GrindyLowClear|PeakTooFlat,0.724,155.0,0.72,0.82,0.48,1.0,0.08,普通,section,Peak,VeryHard,108,12.0,0.706,6.787,0.525,0.296,0.019,0.111,6.852,9.0,Yellow,30,GrindyLowClear|PeakTooFlat,,direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset,chain_top25;grind_high;rhythm=VeryHard;slot=Peak
157,151-200,1,1,0,,0.362,126.0,0.38,0.22,0.82,0.24,0.74,普通,sweep,Recovery,Recovery,84,6.0,0.4,9.571,0.51,0.357,0.012,0.024,7.726,2.0,Green,0,None,,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset,slot=Recovery
158,151-200,1,1,0,,0.574,149.0,0.66,0.4,0.7,0.8,0.52,普通,shape_symbol,Shape,Novelty,100,7.0,0.5,13.57,0.478,0.33,0.01,0.05,7.48,5.0,Green,0,None,shape_main_distinct_letter_mtall,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,slot=Shape;shape_visible_level
159,151-200,1,1,0,,0.437,134.0,0.46,0.4,0.18,0.66,0.52,普通,section,Normal,Normal,100,7.0,0.412,7.75,0.553,0.25,0.02,0.04,7.66,4.0,Green,0,None,,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset,stage_relative_quota
160,151-200,1,1,0,,0.202,60.0,0.04,0.1,0.76,0.02,0.52,普通,lock,Normal,Normal,76,7.0,0.583,6.684,0.563,0.342,0.013,0.0,8.395,0.0,Green,0,None,,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset,stage_relative_quota
161,151-200,1,1,0,,0.141,70.0,0.1,0.06,0.02,0.4,0.86,普通,sweep,Recovery,Recovery,53,5.0,0.357,8.849,0.551,0.208,0.019,0.057,9.547,2.0,Green,0,None,,nomask_style_expansion_36_snake_spine_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_36_snake_spine_tall.asset,few_good_openers;slot=Recovery
162,151-200,1,1,0,,0.503,142.0,0.58,0.34,0.58,0.66,0.52,普通,dense,Normal,Normal,95,7.0,0.412,9.2,0.502,0.316,0.011,0.063,7.421,4.0,Green,0,None,,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset,stage_relative_quota
163,151-200,1,1,0,,0.403,121.0,0.28,0.44,0.34,0.8,0.08,普通,shape_ocean,Shape,Novelty,101,12.0,0.632,11.228,0.535,0.277,0.04,0.099,7.475,4.0,Green,0,None,shape_main_ocean_pufferfish_tall,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,slot=Shape;shape_visible_level
164,151-200,2,1,-1,,0.57,134.0,0.46,0.92,0.42,0.48,0.42,普通,lock,Pressure,Hard,114,8.0,0.471,8.254,0.483,0.289,0.026,0.061,7.553,2.0,Green,12,PeakTooFlat,,direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03.asset,chain_top10;rhythm=Hard;slot=Pressure
165,151-200,1,1,0,,0.199,69.0,0.08,0.12,0.5,0.9,0.04,普通,maze,Recovery,Recovery,77,13.0,0.867,5.74,0.621,0.299,0.013,0.078,7.545,6.0,Green,0,None,,direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset,grind_high;slot=Recovery
166,151-200,1,2,1,,0.63,150.0,0.68,0.98,0.04,0.9,0.02,普通,section,Normal,Normal,119,14.0,0.636,13.714,0.557,0.21,0.025,0.076,6.261,6.0,Green,0,None,,direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset,chain_top10;grind_high
