"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile"
"93","10","193","Main/Level_Main_93","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L093_r2_outer_strong_005_r2_006_a401_maskonlyb02_10_lar.asset","shape_psg_inventory","","","","0.988","8","8","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","Sweep","","TraceKeeper","False","False","","","","92","3.73","","","","Sweep"
"96","10","196","Main/Level_Main_96","normal","极难","Peak","Peak","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain.asset","direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L096_direct_normal_topup_13_direct_normal_topup_rect_du.asset","raw_rescue","","","Peak","0.968","10","4","3","0.858","0.214","8","6","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain.asset","","","","False","False","","","","","","","","",""
"97","10","197","Main/Level_Main_97","normal","困难","Recovery","Hard","ExternalCandidatePlanned","nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve.asset","direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L097_direct_pure_topup_05_05_direct_normal_pure_rect_sw.asset","nutation_longchain_strict60_campaign_gate","PeelMid","curve_chain","Hard","0.948","8","3","3","0.887","0.19","7","7","ActiveReplace","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit.","True","nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve.asset","maze_long_chain","curve_chain","LongChainHardPeak","False","False","","22","30","57","4.58","23","10.98","0.348","holefix"
"98","10","198","Main/Level_Main_98","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10_tail9_05_L098_phonehandset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_16_main_phonehandset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L098_r2_outer_strong_005_r2_006_a401_maskonlyb04_16_mai.asset","shape_psg_inventory","","","","0.985","9","11","5","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10_tail9_05_L098_phonehandset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","Sweep","","TraceKeeper","False","False","","","","70","4.39","","","","Sweep"
"100","10","200","Main/Level_Main_100","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset","direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L100_direct_diff120_24_direct_diff_refresh_dag_unlock_z.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.993","9","5","3","0.91","0.067","4","4","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"102","11","202","Main/Level_Main_102","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L102_direct_pure_topup_01_09_direct_refresh_topup_rect_.asset","strict152","FlowRail","rail_chain","NormalFlow","0.991","9","4","4","0.911","0.106","5","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","","rail_chain","","False","False","","","","","","","","",""
"103","11","203","Main/Level_Main_103","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L103_r2_outer_strong_005_r2_006_a401_maskonlyb02_01_lar.asset","shape_psg_inventory","","","","0.994","10","12","1","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","CoreBurst","","TraceKeeper","False","False","","","","101","5.7","","","","CoreBurst"
"105","11","205","Main/Level_Main_105","normal","困难","Recovery","Hard","ReplacedHardGate0910","c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L105_direct_diff120_81_direct_diff_hard_long_spine_hui_.asset","lowchoice","","","","0.983","10","6","4","0.87","0.214","8","6","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","","","","False","False","","","","","","","","",""
"106","11","206","Main/Level_Main_106","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain.asset","direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L106_direct_pure_topup_05_07_direct_normal_pure_rect_du.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.991","9","4","3","0.939","0.082","6","4","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"108","11","208","Main/Level_Main_108","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_08_main_hammer","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L108_r2_outer_strong_005_r2_006_a401_maskonlyb05_08_mai.asset","shape_psg_inventory","","","","0.989","8","9","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","LockBuckle","","TraceKeeper","False","False","","","","80","3.79","","","","LockBuckle"
"109","11","209","Main/Level_Main_109","normal","特别困难","Pressure","Peak","ReplacedHardGate0910","c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain.asset","direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L109_direct_normal_topup_31_direct_normal_topup_rect_qu.asset","strict152","PeelHard","curve_chain","Peak","0.989","10","7","2","0.9","0.214","7","7","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain.asset","","curve_chain","","False","False","","","","","","","","",""
"111","12","211","Main/Level_Main_111","normal","普通/恢复","Recovery","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset","direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L111_direct_pure_topup_05_04_direct_normal_pure_rect_de.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.986","9","6","3","0.859","0.225","7","7","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"112","12","212","Main/Level_Main_112","normal","特别困难","Pressure","Peak","ReplacedHardGate0910","c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L112_direct_pure_topup_06_22_direct_normal_pure_rect_co.asset","lowchoice","","","","0.982","8","5","4","0.919","0.117","5","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","","","","False","False","","","","","","","","",""
"113","12","213","Main/Level_Main_113","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10_tail9_08_L113_lightningbolt","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset","r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L113_r2_outer_strong_005_r2_006_a401_maskonlyb09_23_lar.asset","shape_psg_inventory","","","","0.980","11","6","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10_tail9_08_L113_lightningbolt","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset","Sweep","","TraceKeeper","False","False","","","","95","4.64","","","","Sweep"
"115","12","215","Main/Level_Main_115","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedHardGate0910","c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L115_direct_pure_normal_extra_01_15_direct_normal_pure_.asset","strict152","FlowPatch","patch_chain","NormalFlow","0.991","9","6","6","0.908","0.057","5","4","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","","patch_chain","","False","False","","","","","","","","",""
"116","12","216","Main/Level_Main_116","normal","困难","Pressure","Hard","ReplacedHardGate0910","c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain.asset","direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L116_direct_pure_topup_05_19_direct_normal_pure_rect_lo.asset","strict152","PeelMid","rail_chain","Hard","0.986","9","4","3","0.875","0.14","4","4","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain.asset","","rail_chain","","False","False","","","","","","","","",""
"118","12","218","Main/Level_Main_118","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_12_large_carrot","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L118_r2_outer_strong_005_r2_006_a401_maskonlyb02_12_lar.asset","shape_psg_inventory","","","","0.991","11","14","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","SectionUnlock","","TraceKeeper","False","False","","","","98","5.07","","","","SectionUnlock"
"121","13","221","Main/Level_Main_121","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset","nomask_04_maze_long_chain","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L121_nomask_04_maze_long_chain.asset","strict152","FlowCurve","curve_chain","NormalFlow","0.988","10","5","5","0.895","0.133","5","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset","","curve_chain","","False","False","","","","","","","","",""
"123","13","223","Main/Level_Main_123","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_22_L123_car_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L123_r2_outer_strong_005_r2_006_a401_maskonlyb04_08_mai.asset","shape_psg_inventory","","","","0.993","7","10","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_22_L123_car_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","CoreBurst","","TraceKeeper","False","False","","","","86","4.03","","","","CoreBurst"
"125","13","225","Main/Level_Main_125","normal","特别困难","Pressure","Hard","ReplacedHardGate0910","c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset","direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L125_direct_pure_normal_extra_01_20_direct_normal_pure_.asset","strict152","PeelMid","rail_chain","Hard","0.986","8","6","5","0.865","0.176","6","6","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset","","rail_chain","","False","False","","","","","","","","",""
"127","13","227","Main/Level_Main_127","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L127_r2_outer_strong_005_r2_006_a401_maskonlyb01_01_mai.asset","shape_psg_inventory","","","","0.992","11","10","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","LockBuckle","","TraceKeeper","False","False","","","","88","5.43","","","","LockBuckle"
"128","13","228","Main/Level_Main_128","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset","direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L128_direct_pure_normal_extra_01_02_direct_normal_pure_.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.992","9","6","3","0.9","0.149","5","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"129","13","229","Main/Level_Main_129","normal","特别困难","Pressure","Peak","ReplacedHardGate0910","c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1.asset","direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L129_direct_normal_topup_30_direct_normal_topup_rect_st.asset","lowchoice","","","","0.986","10","6","3","0.866","0.176","6","6","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1.asset","","","","False","False","","","","","","","","",""
