"order","section10","category","roleInSection","productionLane","productionChainLanguage","productionDifficultyBand","assemblySourcePool","assemblySourceRoot","assemblyGateClass","finalLevelId","finalAssetPath","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateMaxChain","assemblyCandidateAvgChoices","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","assemblySelectionReason"
"243","25","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10d_05_L243_house","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_05_L243_house.asset","","","115","","5.83","0.991","9","8","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"247","25","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section.asset","","","113","","6.43","0.991","12","13","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"252","26","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail.asset","25","34","68","22","5.66","0.953","10","7","2","0.892","0.124","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"253","26","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","","","108","","5.2","0.988","10","6","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"258","26","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10d_08_L258_questionmarkvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_08_L258_questionmarkvarianta.asset","","","107","","5.33","0.989","10","10","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"263","27","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section.asset","","","94","","5.39","0.985","9","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"264","27","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail.asset","27","36","78","22","4.94","0.955","8","4","2","0.895","0.187","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"268","27","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep.asset","","","95","","4.47","0.986","10","10","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"273","28","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_drop_top3_23_L273_gameportal_r2section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_23_L273_gameportal_r2section.asset","","","111","","5.69","0.983","11","8","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"274","28","normal","Hard","PeelMid","curve_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_09_nutation_longchain_curve_v1_rect_c80hf3_03_d1_weave_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_09_nutation_longchain_curve_v1_rect_c80hf3_03_d1_weave_curve.asset","24","32","66","23","5.68","0.947","9","5","5","0.918","0.101","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"278","28","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_next10e_02_L278_tree","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_02_L278_tree.asset","","","116","","7.77","0.988","12","8","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"283","29","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_86_L283_volcano_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_86_L283_volcano_sweep.asset","","","114","","4.46","0.991","10","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"288","29","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10e_04_L288_knighthelmet","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_04_L288_knighthelmet.asset","","","101","","5.21","0.988","9","9","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"293","30","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_drop_top3_26_L293_potionbottle_r2dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_26_L293_potionbottle_r2dense.asset","","","128","","5.04","0.987","10","15","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"298","30","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_93_L298_rocketvarianta_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_93_L298_rocketvarianta_dense.asset","","","108","","4.32","0.985","9","10","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"299","30","normal","Peak","PressurePeak","mixed_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s2_v1_20_nutation_longchain_spine_v1_rect_c80hf2_05_d1_section_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_20_nutation_longchain_spine_v1_rect_c80hf2_05_d1_section_spine.asset","25","34","68","26","4.47","0.948","8","5","5","0.88","0.079","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"303","31","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_remaining_drop_top3_29_L303_virtualpetkeychain_r2dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_29_L303_virtualpetkeychain_r2dense.asset","","","103","","6.11","0.983","12","7","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"307","31","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_99_L307_pear_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_99_L307_pear_dense.asset","","","118","","4.48","0.984","9","7","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"312","32","normal","Hard","PeelMid","rail_chain","Hard","HubMixedStrict30Refill",".worktrees/nutation-hub-maze-mixed","StyleLocal9ManualAllowed","nutation_hub_mixed_v1_strict30_refill_02_s01_r02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_02_s01_r02.asset","23","31","99","15","4.81","0.951","9","9","4","0.851","0.24","User allowed a small number of Hub local9 rows; placed only on late Hard slots for style variety, not broad filler."
"313","32","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_101_L313_apple_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_101_L313_apple_sweep.asset","","","119","","5.35","0.991","11","8","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"318","32","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10e_10_L318_flame","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_10_L318_flame.asset","","","113","","5.5","0.984","10","8","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"323","33","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_104_L323_hotairballoon_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_104_L323_hotairballoon_core.asset","","","118","","6.08","0.987","10","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"324","33","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_20_nutation_longchain_spine_v1_rect_c80hf_05_d1_section_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_20_nutation_longchain_spine_v1_rect_c80hf_05_d1_section_spine.asset","25","34","63","26","5.33","0.949","9","5","3","0.943","0.096","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"327","33","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_remaining_drop_top3_31_L327_compass_r2lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_31_L327_compass_r2lock.asset","","","126","","5.72","0.984","12","7","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"331","34","normal","Hard","PeelMid","curve_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s2_v1_25_nutation_longchain_curve_v1_rect_c80hf2_07_d2_maze_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_25_nutation_longchain_curve_v1_rect_c80hf2_07_d2_maze_curve.asset","27","36","85","23","4.64","0.948","7","3","3","0.866","0.192","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"333","34","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_drop_top3_35_L333_leaf_r2section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_35_L333_leaf_r2section.asset","","","132","","4.94","0.993","9","9","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"338","34","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_113_L338_television_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_113_L338_television_sweep.asset","","","136","","5.71","0.988","11","13","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"341","35","normal","Hard","PeelMid","curve_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_v1_21_nutation_longchain_curve_v1_rect_c80_06_d2_lock_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_21_nutation_longchain_curve_v1_rect_c80_06_d2_lock_curve.asset","26","35","69","23","4.45","0.933","8","6","6","0.858","0.178","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"343","35","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_115_L343_skeletonskull_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_115_L343_skeletonskull_lock.asset","","","121","","5.21","0.981","10","7","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"347","35","normal","Peak","PressurePeak","mixed_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine.asset","26","35","71","26","4.41","0.946","9","7","3","0.889","0.102","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"348","35","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_hard_r3_12_L348_donut_r3lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_12_L348_donut_r3lock.asset","","","145","","4.63","0.985","9","13","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"352","36","normal","Hard","PeelMid","rail_chain","Hard","HubMixedStrict30Refill",".worktrees/nutation-hub-maze-mixed","StyleLocal9ManualAllowed","nutation_hub_mixed_v1_strict30_refill_04_s01_r04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_04_s01_r04.asset","23","31","101","15","5.23","0.962","9","9","4","0.847","0.236","User allowed a small number of Hub local9 rows; placed only on late Hard slots for style variety, not broad filler."
"353","36","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_no_b_r4_15_L353_slimecrown_r4stair","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_15_L353_slimecrown_r4stair.asset","","","125","","6.84","0.989","12","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"358","36","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_125_L358_clover_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_125_L358_clover_sweep.asset","","","143","","6.2","0.989","11","11","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"359","36","normal","Peak","PressurePeak","mixed_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail.asset","26","35","76","22","4.66","0.954","10","5","5","0.852","0.25","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"363","37","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_review_top3_rescue_129_L363_bell_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_129_L363_bell_core.asset","","","149","","6.85","0.988","12","8","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"368","37","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_130_L368_hourglass_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_130_L368_hourglass_sweep.asset","","","154","","5.06","0.986","9","16","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"372","38","normal","Hard","PeelMid","curve_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_21_nutation_longchain_curve_v1_rect_c80hf_06_d2_lock_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_21_nutation_longchain_curve_v1_rect_c80hf_06_d2_lock_curve.asset","26","35","79","23","5.71","0.946","9","6","3","0.825","0.25","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"373","38","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_no_b_r4_20_L373_glove_r4core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_20_L373_glove_r4core.asset","","","114","","5.62","0.984","10","7","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"378","38","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_137_L378_pretzel_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_137_L378_pretzel_sweep.asset","","","138","","4.86","0.983","10","9","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"383","39","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_139_L383_alarmclock_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_139_L383_alarmclock_lock.asset","","","141","","4.87","0.982","10","12","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"387","39","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","ManualAcceptedProposed","campaign500_shape_psg_no_b_r5_12_L387_d20die_r5mazeA","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR5/campaign500_shape_psg_no_b_r5_12_L387_d20die_r5mazeA.asset","","","135","","5.3","0.981","11","8","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"389","39","normal","Peak","PressurePeak","mixed_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","24","34","75","21","6.17","0.946","10","4","4","0.907","0.141","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"393","40","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_no_b_r4_33_L393_chessknight_r4lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_33_L393_chessknight_r4lock.asset","","","149","","6.03","0.986","12","8","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"396","40","normal","Peak","PressurePeak","mixed_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_19_nutation_longchain_patch_v1_rect_c80hf3_05_d1_section_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_19_nutation_longchain_patch_v1_rect_c80hf3_05_d1_section_patch.asset","25","34","84","21","5.24","0.952","9","5","4","0.853","0.253","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"398","40","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10g_06_L398_butterfly","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10G/campaign500_shape_psg_next10g_06_L398_butterfly.asset","","","154","","5.45","0.990","11","12","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"403","41","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_hard_r3_24_L403_dialphone_r3dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_24_L403_dialphone_r3dense.asset","","","139","","5.12","0.990","10","9","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"408","41","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_152_L408_arcadecabinet_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_152_L408_arcadecabinet_sweep.asset","","","135","","5.69","0.989","10","9","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"412","42","normal","Hard","PeelMid","rail_chain","Hard","HubMixedStrict30Refill",".worktrees/nutation-hub-maze-mixed","StyleLocal9ManualAllowed","nutation_hub_mixed_v1_strict30_refill_08_s02_r04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_08_s02_r04.asset","23","31","101","15","5.16","0.962","9","9","4","0.847","0.234","User allowed a small number of Hub local9 rows; placed only on late Hard slots for style variety, not broad filler."
"413","42","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_next10g_09_L413_payphone","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10G/campaign500_shape_psg_next10g_09_L413_payphone.asset","","","153","","6.57","0.986","12","14","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"418","42","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_159_L418_crystalcluster_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_159_L418_crystalcluster_dense.asset","","","130","","5.69","0.985","11","13","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"419","42","normal","Peak","LongChainProbe","rail_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_v1_27_nutation_longchain_patch_v1_rect_c80_07_d2_maze_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_27_nutation_longchain_patch_v1_rect_c80_07_d2_maze_patch.asset","27","36","92","21","4.51","0.932","8","7","4","0.821","0.247","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"423","43","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_drop_top3_58_L423_artistpalette_r2lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_58_L423_artistpalette_r2lock.asset","","","139","","6.06","0.983","11","10","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"425","43","normal","Peak","LongChainProbe","patch_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_25_nutation_longchain_curve_v1_rect_c80hf3_07_d2_maze_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_25_nutation_longchain_curve_v1_rect_c80hf3_07_d2_maze_curve.asset","27","36","86","23","5.09","0.948","9","6","5","0.862","0.23","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"427","43","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_no_b_r4_46_L427_treasurechest_r4sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_46_L427_treasurechest_r4sweep.asset","","","166","","5.25","0.988","9","12","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"429","43","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_34_nutation_longchain_rail_v1_rect_c80hf_09_d2_core_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_34_nutation_longchain_rail_v1_rect_c80hf_09_d2_core_rail.asset","28","38","84","22","5.4","0.955","10","3","3","0.881","0.181","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
