"order","levelId","type","relativeDifficulty","slotRole","chains","width","height","shapeId","shapeNameZh","assetPath","copiedAssetPath"
"333","r2_outer_strong_005_r2_006_a401_maskonlyb04_13_large_leaf","shape_ocean","Novelty","Shape","130","38","47","leaf","叶子","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L333_leaf_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L333_r2_outer_strong_005_r2_006_a401_maskonlyb04_13_lar.asset"
"338","r2_outer_strong_005_r2_006_a401_maskonlyb04_18_large_television","shape_landmark","Novelty","Shape","136","44","40","television","电视","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L338_maskonlyb04_18_large_television_20260615_154709.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L338_r2_outer_strong_005_r2_006_a401_maskonlyb04_18_lar.asset"
"343","r2_outer_strong_005_r2_006_a401_maskonlyb07_07_main_skeletonskull","shape_art","Novelty","Shape","135","38","42","skeletonskull","骷髅头","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L343_r2_outer_strong_005_r2_006_a401_maskonlyb07_07_mai.asset"
"348","r2_outer_strong_005_r2_006_a401_maskonlyb05_05_large_donut","shape_landmark","Novelty","Shape","133","43","43","donut","甜甜圈","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV3/shape_refresh_v3_L348_maskonlyb05_05_large_donut_20260615_190517.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L348_r2_outer_strong_005_r2_006_a401_maskonlyb05_05_lar.asset"
"353","r2_outer_strong_005_r2_006_a401_maskonlyb07_09_large_slimecrown","shape_magic","Novelty","Shape","128","44","43","slimecrown","史莱姆皇冠","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV3/shape_refresh_v3_L353_maskonlyb07_09_large_slimecrown_20260615_225229.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L353_r2_outer_strong_005_r2_006_a401_maskonlyb07_09_lar.asset"
"358","r2_outer_strong_005_r2_006_a401_maskonlyb01_09_large_clover","shape_ocean","Novelty","Shape","131","40","47","clover","四叶草","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L358_clover_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L358_r2_outer_strong_005_r2_006_a401_maskonlyb01_09_lar.asset"
"363","r2_outer_strong_005_r2_006_a401_maskonlyb09_26_large_bell","shape_landmark","Novelty","Shape","138","40","47","bell","铃铛","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L363_bell_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L363_r2_outer_strong_005_r2_006_a401_maskonlyb09_26_lar.asset"
"368","r2_outer_strong_005_r2_006_a401_maskonlyb01_08_large_hourglass","shape_magic","Novelty","Shape","140","36","47","hourglass","沙漏","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L368_hourglass_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L368_r2_outer_strong_005_r2_006_a401_maskonlyb01_08_lar.asset"
"373","r2_outer_strong_005_r2_006_a401_maskonlyb05_07_main_glove","shape_ocean","Novelty","Shape","142","34","42","glove","手套","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L373_glove_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L373_r2_outer_strong_005_r2_006_a401_maskonlyb05_07_mai.asset"
"378","r2_outer_strong_005_r2_006_a401_maskonlyb05_15_large_pretzel","shape_landmark","Novelty","Shape","134","44","38","pretzel","椒盐卷饼","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV3/shape_refresh_v3_L378_maskonlyb05_15_large_pretzel_20260615_191026.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L378_r2_outer_strong_005_r2_006_a401_maskonlyb05_15_lar.asset"
"383","r2_outer_strong_005_r2_006_a401_maskonlyb04_05_main_alarmclock","shape_ocean","Novelty","Shape","142","38","42","alarmclock","闹钟","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L383_alarmclock_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L383_r2_outer_strong_005_r2_006_a401_maskonlyb04_05_mai.asset"
"387","r2_outer_strong_005_r2_006_a401_maskonlyb07_04_main_d20die","shape_vehicle","Novelty","Shape","149","42","42","d20die","二十面骰","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L387_r2_outer_strong_005_r2_006_a401_maskonlyb07_04_mai.asset"
"393","r2_outer_strong_005_r2_006_a401_maskonlyb07_03_large_chessknight","shape_magic","Novelty","Shape","149","38","49","chessknight","国际象棋马","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L393_chessknight_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L393_r2_outer_strong_005_r2_006_a401_maskonlyb07_03_lar.asset"
"398","r2_outer_strong_005_r2_006_a401_maskonlyb02_17_large_butterfly","shape_landmark","Novelty","Shape","153","44","43","butterfly","蝴蝶","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L398_butterfly_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L398_r2_outer_strong_005_r2_006_a401_maskonlyb02_17_lar.asset"
"403","r2_outer_strong_005_r2_006_a401_maskonlyb06_05_large_dialphone","shape_vehicle","Novelty","Shape","150","44","38","dialphone","转盘电话","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L403_dialphone_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L403_r2_outer_strong_005_r2_006_a401_maskonlyb06_05_lar.asset"
"408","r2_outer_strong_005_r2_006_a401_maskonlyb06_04_main_arcadecabinet","shape_nature","Novelty","Shape","153","36","44","arcadecabinet","街机","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L408_arcadecabinet_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L408_r2_outer_strong_005_r2_006_a401_maskonlyb06_04_mai.asset"
"413","r2_outer_strong_005_r2_006_a401_maskonlyb06_06_large_payphone","shape_landmark","Novelty","Shape","153","38","49","payphone","公用电话","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L413_payphone_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L413_r2_outer_strong_005_r2_006_a401_maskonlyb06_06_lar.asset"
"418","r2_outer_strong_005_r2_006_a401_maskonlyb08_04_main_crystalcluster","shape_space","Novelty","Shape","157","42","42","crystalcluster","水晶簇","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L418_crystalcluster_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L418_r2_outer_strong_005_r2_006_a401_maskonlyb08_04_mai.asset"
"423","r2_outer_strong_005_r2_006_a401_maskonlyb05_01_large_artistpalette","shape_vehicle","Novelty","Shape","136","44","38","artistpalette","调色盘","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L423_artistpalette_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L423_r2_outer_strong_005_r2_006_a401_maskonlyb05_01_lar.asset"
"427","r2_outer_strong_005_r2_006_a401_maskonlyb09_25_large_treasurechest","shape_nature","Novelty","Shape","161","44","40","treasurechest","宝箱","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L427_treasurechest_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L427_r2_outer_strong_005_r2_006_a401_maskonlyb09_25_lar.asset"
"433","r2_outer_strong_005_r2_006_a401_maskonlyb06_10_large_filmroll","shape_vehicle","Novelty","Shape","161","43","47","filmroll","胶片","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L433_filmroll_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L433_r2_outer_strong_005_r2_006_a401_maskonlyb06_10_lar.asset"
"438","r2_outer_strong_005_r2_006_a401_maskonlyb09_24_large_giftbox","shape_nature","Novelty","Shape","166","43","43","giftbox","礼盒","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L438_giftbox_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L438_r2_outer_strong_005_r2_006_a401_maskonlyb09_24_lar.asset"
"443","r2_outer_strong_005_r2_006_a401_maskonlyb08_10_large_ufo","shape_symbol","Novelty","Shape","84","39","31","ufo","飞碟","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L443_ufo_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L443_r2_outer_strong_005_r2_006_a401_maskonlyb08_10_lar.asset"
"447","r2_outer_strong_005_r2_006_a401_maskonlyb02_08_compact_magicbook","shape_object","Novelty","Shape","78","31","36","magicbook","魔法书","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L447_magicbook_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L447_r2_outer_strong_005_r2_006_a401_maskonlyb02_08_com.asset"
"453","r2_outer_strong_005_r2_006_a401_maskonlyb02_09_large_fish","shape_character","Novelty","Shape","106","44","38","fish","鱼","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L453_fish_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L453_r2_outer_strong_005_r2_006_a401_maskonlyb02_09_lar.asset"
"458","r2_outer_strong_005_r2_006_a401_maskonlyb09_22_main_star","shape_nature","Novelty","Shape","112","38","38","star","星星","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L458_star_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L458_r2_outer_strong_005_r2_006_a401_maskonlyb09_22_mai.asset"
"463","r2_outer_strong_005_r2_006_a401_maskonlyb08_08_compact_castletower","shape_landmark","Novelty","Shape","71","29","38","castletower","城堡塔","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L463_castletower_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L463_r2_outer_strong_005_r2_006_a401_maskonlyb08_08_com.asset"
"468","r2_outer_strong_005_r2_006_a401_maskonlyb06_03_compact_boombox","shape_toolui","Novelty","Shape","73","37","29","boombox","收录机","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L468_boombox_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L468_r2_outer_strong_005_r2_006_a401_maskonlyb06_03_com.asset"
"473","r2_outer_strong_005_r2_006_a401_maskonlyb05_11_compact_mug","shape_landmark","Novelty","Shape","67","33","29","mug","马克杯","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L473_mug_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L473_r2_outer_strong_005_r2_006_a401_maskonlyb05_11_com.asset"
"478","r2_outer_strong_005_r2_006_a401_maskonlyb04_09_main_flag","shape_space","Novelty","Shape","112","38","42","flag","旗帜","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L478_flag_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L478_r2_outer_strong_005_r2_006_a401_maskonlyb04_09_mai.asset"
"483","r2_outer_strong_005_r2_006_a401_maskonlyb09_21_compact_heart","shape_landmark","Novelty","Shape","64","33","31","heart","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L483_heart_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L483_r2_outer_strong_005_r2_006_a401_maskonlyb09_21_com.asset"
"487","r2_outer_strong_005_r2_006_a401_maskonlyb01_10_main_sun","shape_object","Novelty","Shape","113","38","38","sun","太阳","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L487_sun_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L487_r2_outer_strong_005_r2_006_a401_maskonlyb01_10_mai.asset"
"493","r2_outer_strong_005_r2_006_a401_maskonlyb07_01_compact_dragonhead","shape_object","Novelty","Shape","64","36","38","dragonhead","龙头","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L493_dragonhead_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L493_r2_outer_strong_005_r2_006_a401_maskonlyb07_01_com.asset"
"498","r2_outer_strong_005_r2_006_a401_maskonlyb02_03_large_banana","shape_nature","Novelty","Shape","72","42","34","banana","香蕉","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L498_banana_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L498_r2_outer_strong_005_r2_006_a401_maskonlyb02_03_lar.asset"
