rank,id,path,source,transform,reversePattern,reversed,variantMode,addedChains,width,height,chains,coverage,greedy,details
72,composite_production100_072_composite_greedy_ab_005_r2_254_a887_r1_232_a845__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_072_composite_greedy_ab_005_r2_254_a887_r1_232_a845__rot90_keep_none.asset,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,rot90,keep,0,none,0,30,48,149,0.919,True,fast greedy budget=450
73,composite_production100_073_composite_greedy_ab_006_r2_249_a879_r1_232_a845__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_073_composite_greedy_ab_006_r2_249_a879_r1_232_a845__rot90_keep_none.asset,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,rot90,keep,0,none,0,30,48,148,0.933,True,fast greedy budget=450
74,composite_production100_074_composite_greedy_ab_007_z022_a883_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_074_composite_greedy_ab_007_z022_a883_h0_rot90_keep_none.asset,composite_greedy_ab_007_z022_a883_h0,rot90,keep,0,none,0,31,47,128,0.900,True,fast greedy budget=450
75,composite_production100_075_composite_greedy_ab_008_a717_a883_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_075_composite_greedy_ab_008_a717_a883_h0_rot90_keep_none.asset,composite_greedy_ab_008_a717_a883_h0,rot90,keep,0,none,0,31,49,127,0.916,True,fast greedy budget=450
76,composite_production100_076_composite_greedy_ab_009_r1_185_a731_a883_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_076_composite_greedy_ab_009_r1_185_a731_a883_h0_rot90_keep_none.asset,composite_greedy_ab_009_r1_185_a731_a883_h0,rot90,keep,0,none,0,31,48,128,0.915,True,fast greedy budget=450
77,composite_production100_077_composite_greedy_ab_010_r2_254_a887_r1_156_a672__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_077_composite_greedy_ab_010_r2_254_a887_r1_156_a672__rot90_keep_none.asset,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,rot90,keep,0,none,0,30,45,140,0.911,True,fast greedy budget=450
78,composite_production100_078_composite_greedy_ab_011_r1_249_a879_r1_156_a672__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_078_composite_greedy_ab_011_r1_249_a879_r1_156_a672__rot90_keep_none.asset,composite_greedy_ab_011_r1_249_a879_r1_156_a672_h0,rot90,keep,0,none,0,30,43,132,0.928,True,fast greedy budget=450
79,composite_production100_079_composite_greedy_ab_012_r2_049_a492_r1_271_a943__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_079_composite_greedy_ab_012_r2_049_a492_r1_271_a943__rot90_keep_none.asset,composite_greedy_ab_012_r2_049_a492_r1_271_a943_h0,rot90,keep,0,none,0,28,46,120,0.904,True,fast greedy budget=450
80,composite_production100_080_composite_greedy_ab_013_a717_r1_232_a845_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_080_composite_greedy_ab_013_a717_r1_232_a845_h0_rot90_keep_none.asset,composite_greedy_ab_013_a717_r1_232_a845_h0,rot90,keep,0,none,0,30,48,128,0.930,True,fast greedy budget=450
81,composite_production100_081_composite_greedy_ab_001_r2_254_a887_a845_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_081_composite_greedy_ab_001_r2_254_a887_a845_h0_rot270_keep_none.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,rot270,keep,0,none,0,30,46,151,0.930,True,fast greedy budget=453
82,composite_production100_082_composite_greedy_ab_002_r1_165_a691_a946_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_082_composite_greedy_ab_002_r1_165_a691_a946_h0_rot270_keep_none.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,rot270,keep,0,none,0,32,39,136,0.944,True,fast greedy budget=450
83,composite_production100_083_composite_greedy_ab_003_r2_254_a887_r1_232_a845__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_083_composite_greedy_ab_003_r2_254_a887_r1_232_a845__rot270_keep_none.asset,composite_greedy_ab_003_r2_254_a887_r1_232_a845_h0,rot270,keep,0,none,0,30,48,158,0.931,True,fast greedy budget=474
84,composite_production100_084_composite_greedy_ab_001_r1_029_a456_a845_h2_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_084_composite_greedy_ab_001_r1_029_a456_a845_h2_rot270_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,rot270,keep,0,none,0,30,47,128,0.920,True,fast greedy budget=450
85,composite_production100_085_composite_greedy_ab_002_r1_029_a456_r1_232_a845__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_085_composite_greedy_ab_002_r1_029_a456_r1_232_a845__rot270_keep_none.asset,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,rot270,keep,0,none,0,30,49,141,0.931,True,fast greedy budget=450
86,composite_production100_086_composite_greedy_ab_003_r2_254_a887_a845_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_086_composite_greedy_ab_003_r2_254_a887_a845_h0_rot270_keep_none.asset,composite_greedy_ab_003_r2_254_a887_a845_h0,rot270,keep,0,none,0,30,46,139,0.913,True,fast greedy budget=450
87,composite_production100_087_composite_greedy_ab_004_r1_249_a879_a845_h2_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_087_composite_greedy_ab_004_r1_249_a879_a845_h2_rot270_keep_none.asset,composite_greedy_ab_004_r1_249_a879_a845_h2,rot270,keep,0,none,0,30,44,131,0.930,True,fast greedy budget=450
88,composite_production100_088_composite_greedy_ab_005_r2_254_a887_r1_232_a845__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_088_composite_greedy_ab_005_r2_254_a887_r1_232_a845__rot270_keep_none.asset,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,rot270,keep,0,none,0,30,48,149,0.919,True,fast greedy budget=450
89,composite_production100_089_composite_greedy_ab_006_r2_249_a879_r1_232_a845__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_089_composite_greedy_ab_006_r2_249_a879_r1_232_a845__rot270_keep_none.asset,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,rot270,keep,0,none,0,30,48,148,0.933,True,fast greedy budget=450
90,composite_production100_090_composite_greedy_ab_007_z022_a883_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_090_composite_greedy_ab_007_z022_a883_h0_rot270_keep_none.asset,composite_greedy_ab_007_z022_a883_h0,rot270,keep,0,none,0,31,47,128,0.900,True,fast greedy budget=450
91,composite_production100_091_composite_greedy_ab_008_a717_a883_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_091_composite_greedy_ab_008_a717_a883_h0_rot270_keep_none.asset,composite_greedy_ab_008_a717_a883_h0,rot270,keep,0,none,0,31,49,127,0.916,True,fast greedy budget=450
92,composite_production100_092_composite_greedy_ab_009_r1_185_a731_a883_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_092_composite_greedy_ab_009_r1_185_a731_a883_h0_rot270_keep_none.asset,composite_greedy_ab_009_r1_185_a731_a883_h0,rot270,keep,0,none,0,31,48,128,0.915,True,fast greedy budget=450
93,composite_production100_093_composite_greedy_ab_010_r2_254_a887_r1_156_a672__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_093_composite_greedy_ab_010_r2_254_a887_r1_156_a672__rot270_keep_none.asset,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,rot270,keep,0,none,0,30,45,140,0.911,True,fast greedy budget=450
94,composite_production100_094_composite_greedy_ab_011_r1_249_a879_r1_156_a672__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_094_composite_greedy_ab_011_r1_249_a879_r1_156_a672__rot270_keep_none.asset,composite_greedy_ab_011_r1_249_a879_r1_156_a672_h0,rot270,keep,0,none,0,30,43,132,0.928,True,fast greedy budget=450
95,composite_production100_095_composite_greedy_ab_012_r2_049_a492_r1_271_a943__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_095_composite_greedy_ab_012_r2_049_a492_r1_271_a943__rot270_keep_none.asset,composite_greedy_ab_012_r2_049_a492_r1_271_a943_h0,rot270,keep,0,none,0,28,46,120,0.904,True,fast greedy budget=450
96,composite_production100_096_composite_greedy_ab_013_a717_r1_232_a845_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_096_composite_greedy_ab_013_a717_r1_232_a845_h0_rot270_keep_none.asset,composite_greedy_ab_013_a717_r1_232_a845_h0,rot270,keep,0,none,0,30,48,128,0.930,True,fast greedy budget=450
97,composite_production100_097_composite_greedy_ab_001_r2_254_a887_a845_h0_transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_097_composite_greedy_ab_001_r2_254_a887_a845_h0_transpose_keep_none.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,transpose,keep,0,none,0,30,46,151,0.930,True,fast greedy budget=453
98,composite_production100_098_composite_greedy_ab_002_r1_165_a691_a946_h0_transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_098_composite_greedy_ab_002_r1_165_a691_a946_h0_transpose_keep_none.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,transpose,keep,0,none,0,32,39,136,0.944,True,fast greedy budget=450
99,composite_production100_099_composite_greedy_ab_003_r2_254_a887_r1_232_a845__transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_099_composite_greedy_ab_003_r2_254_a887_r1_232_a845__transpose_keep_none.asset,composite_greedy_ab_003_r2_254_a887_r1_232_a845_h0,transpose,keep,0,none,0,30,48,158,0.931,True,fast greedy budget=474
100,composite_production100_100_composite_greedy_ab_001_r1_029_a456_a845_h2_transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_100_composite_greedy_ab_001_r1_029_a456_a845_h2_transpose_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,transpose,keep,0,none,0,30,47,128,0.920,True,fast greedy budget=450
