rank,id,path,source,transform,reversePattern,reversed,variantMode,addedChains,width,height,chains,coverage,greedy,details
1,composite_final100_001_composite_greedy_ab_001_r1_029_a456_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_001_composite_greedy_ab_001_r1_029_a456_a845_h2_identity_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,identity,keep,0,none,0,47,30,131,0.926,True,fast greedy budget=450; localEmpty=0.266
69,composite_final100_069_composite_greedy_ab_001_r1_029_a456_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_069_composite_greedy_ab_001_r1_029_a456_a845_h2_vflip_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,vflip,keep,0,none,0,47,30,131,0.926,True,fast greedy budget=450; localEmpty=0.297
70,composite_final100_070_composite_greedy_ab_002_r1_249_a879_a966_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_070_composite_greedy_ab_002_r1_249_a879_a966_h0_vflip_keep_none.asset,composite_greedy_ab_002_r1_249_a879_a966_h0,vflip,keep,0,none,0,38,28,125,0.930,True,fast greedy budget=450; localEmpty=0.250
71,composite_final100_071_composite_greedy_ab_003_r1_249_a879_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_071_composite_greedy_ab_003_r1_249_a879_a845_h2_vflip_keep_none.asset,composite_greedy_ab_003_r1_249_a879_a845_h2,vflip,keep,0,none,0,44,30,131,0.930,True,fast greedy budget=450; localEmpty=0.281
72,composite_final100_072_composite_greedy_ab_004_a515_a672_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_072_composite_greedy_ab_004_a515_a672_h2_vflip_keep_none.asset,composite_greedy_ab_004_a515_a672_h2,vflip,keep,0,none,0,45,35,127,0.917,True,fast greedy budget=450; localEmpty=0.375
73,composite_final100_073_composite_greedy_ab_005_a857_r1_282_a966_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_073_composite_greedy_ab_005_a857_r1_282_a966_h0_vflip_keep_none.asset,composite_greedy_ab_005_a857_r1_282_a966_h0,vflip,keep,0,none,0,39,28,137,0.922,True,fast greedy budget=450; localEmpty=0.250
74,composite_final100_074_composite_greedy_ab_006_r2_152_a661_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_074_composite_greedy_ab_006_r2_152_a661_a845_h0_vflip_keep_none.asset,composite_greedy_ab_006_r2_152_a661_a845_h0,vflip,keep,0,none,0,47,30,131,0.922,True,fast greedy budget=450; localEmpty=0.266
75,composite_final100_075_composite_greedy_ab_007_r1_278_a955_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_075_composite_greedy_ab_007_r1_278_a955_a845_h0_vflip_keep_none.asset,composite_greedy_ab_007_r1_278_a955_a845_h0,vflip,keep,0,none,0,42,30,131,0.934,True,fast greedy budget=450; localEmpty=0.266
76,composite_final100_076_composite_greedy_ab_008_r2_020_a435_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_076_composite_greedy_ab_008_r2_020_a435_a845_h0_vflip_keep_none.asset,composite_greedy_ab_008_r2_020_a435_a845_h0,vflip,keep,0,none,0,44,30,121,0.905,True,fast greedy budget=450; localEmpty=0.297
77,composite_final100_077_composite_greedy_ab_009_a876_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_077_composite_greedy_ab_009_a876_a845_h2_vflip_keep_none.asset,composite_greedy_ab_009_a876_a845_h2,vflip,keep,0,none,0,44,30,126,0.924,True,fast greedy budget=450; localEmpty=0.281
78,composite_final100_078_composite_greedy_ab_010_r1_097_a581_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_078_composite_greedy_ab_010_r1_097_a581_a845_h2_vflip_keep_none.asset,composite_greedy_ab_010_r1_097_a581_a845_h2,vflip,keep,0,none,0,46,32,144,0.932,True,fast greedy budget=450; localEmpty=0.297
79,composite_final100_079_composite_greedy_ab_011_r1_063_a515_a672_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_079_composite_greedy_ab_011_r1_063_a515_a672_h0_vflip_keep_none.asset,composite_greedy_ab_011_r1_063_a515_a672_h0,vflip,keep,0,none,0,47,35,141,0.922,True,fast greedy budget=450; localEmpty=0.391
80,composite_final100_080_composite_greedy_ab_012_a754_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_080_composite_greedy_ab_012_a754_a845_h2_vflip_keep_none.asset,composite_greedy_ab_012_a754_a845_h2,vflip,keep,0,none,0,44,31,124,0.933,True,fast greedy budget=450; localEmpty=0.375
81,composite_final100_081_composite_greedy_ab_013_r1_249_a879_r1_156_a672__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_081_composite_greedy_ab_013_r1_249_a879_r1_156_a672__vflip_keep_none.asset,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,vflip,keep,0,none,0,43,30,133,0.938,True,fast greedy budget=450; localEmpty=0.266
82,composite_final100_082_composite_greedy_ab_014_r1_264_a906_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_082_composite_greedy_ab_014_r1_264_a906_a845_h0_vflip_keep_none.asset,composite_greedy_ab_014_r1_264_a906_a845_h0,vflip,keep,0,none,0,45,30,134,0.959,True,fast greedy budget=450; localEmpty=0.250
83,composite_final100_083_composite_greedy_ab_015_r2_029_a456_a966_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_083_composite_greedy_ab_015_r2_029_a456_a966_h2_vflip_keep_none.asset,composite_greedy_ab_015_r2_029_a456_a966_h2,vflip,keep,0,none,0,43,28,130,0.920,True,fast greedy budget=450; localEmpty=0.250
84,composite_final100_084_composite_greedy_ab_017_r1_179_a717_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_084_composite_greedy_ab_017_r1_179_a717_a845_h0_vflip_keep_none.asset,composite_greedy_ab_017_r1_179_a717_a845_h0,vflip,keep,0,none,0,48,30,130,0.915,True,fast greedy budget=450; localEmpty=0.281
85,composite_final100_085_composite_greedy_ab_018_r2_237_a857_r1_271_a943__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_085_composite_greedy_ab_018_r2_237_a857_r1_271_a943__vflip_keep_none.asset,composite_greedy_ab_018_r2_237_a857_r1_271_a943_h0,vflip,keep,0,none,0,46,28,128,0.931,True,fast greedy budget=450; localEmpty=0.281
86,composite_final100_086_composite_greedy_ab_020_a665_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_086_composite_greedy_ab_020_a665_a845_h2_vflip_keep_none.asset,composite_greedy_ab_020_a665_a845_h2,vflip,keep,0,none,0,48,31,122,0.911,True,fast greedy budget=450; localEmpty=0.375
87,composite_final100_087_composite_greedy_ab_021_r1_249_a879_a883_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_087_composite_greedy_ab_021_r1_249_a879_a883_h2_vflip_keep_none.asset,composite_greedy_ab_021_r1_249_a879_a883_h2,vflip,keep,0,none,0,47,31,139,0.902,True,fast greedy budget=450; localEmpty=0.391
88,composite_final100_088_composite_greedy_ab_022_r1_165_a691_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_088_composite_greedy_ab_022_r1_165_a691_a845_h0_vflip_keep_none.asset,composite_greedy_ab_022_r1_165_a691_a845_h0,vflip,keep,0,none,0,42,32,132,0.906,True,fast greedy budget=450; localEmpty=0.375
89,composite_final100_089_composite_greedy_ab_023_a754_a946_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_089_composite_greedy_ab_023_a754_a946_h2_vflip_keep_none.asset,composite_greedy_ab_023_a754_a946_h2,vflip,keep,0,none,0,41,32,121,0.923,True,fast greedy budget=450; localEmpty=0.422
90,composite_final100_090_composite_greedy_ab_026_r2_012_a419_a966_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_090_composite_greedy_ab_026_r2_012_a419_a966_h0_vflip_keep_none.asset,composite_greedy_ab_026_r2_012_a419_a966_h0,vflip,keep,0,none,0,37,28,133,0.921,True,fast greedy budget=450; localEmpty=0.266
91,composite_final100_091_composite_greedy_ab_027_r2_211_a789_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_091_composite_greedy_ab_027_r2_211_a789_a845_h2_vflip_keep_none.asset,composite_greedy_ab_027_r2_211_a789_a845_h2,vflip,keep,0,none,0,44,30,129,0.914,True,fast greedy budget=450; localEmpty=0.281
92,composite_final100_092_composite_greedy_ab_028_a515_r1_195_a754_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_092_composite_greedy_ab_028_a515_r1_195_a754_h0_vflip_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,vflip,keep,0,none,0,48,35,143,0.906,True,fast greedy budget=450; localEmpty=0.328
93,composite_final100_093_composite_greedy_ab_029_r2_237_a857_a946_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_093_composite_greedy_ab_029_r2_237_a857_a946_h0_vflip_keep_none.asset,composite_greedy_ab_029_r2_237_a857_a946_h0,vflip,keep,0,none,0,41,32,139,0.931,True,fast greedy budget=450; localEmpty=0.281
94,composite_final100_094_composite_greedy_ab_030_a491_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_094_composite_greedy_ab_030_a491_a845_h0_vflip_keep_none.asset,composite_greedy_ab_030_a491_a845_h0,vflip,keep,0,none,0,48,30,120,0.939,True,fast greedy budget=450; localEmpty=0.281
95,composite_final100_095_composite_greedy_ab_031_r2_012_a419_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_095_composite_greedy_ab_031_r2_012_a419_a845_h2_vflip_keep_none.asset,composite_greedy_ab_031_r2_012_a419_a845_h2,vflip,keep,0,none,0,43,30,137,0.917,True,fast greedy budget=450; localEmpty=0.281
96,composite_final100_096_composite_greedy_ab_032_r1_236_a855_r1_282_a966__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_096_composite_greedy_ab_032_r1_236_a855_r1_282_a966__vflip_keep_none.asset,composite_greedy_ab_032_r1_236_a855_r1_282_a966_h2,vflip,keep,0,none,0,38,28,141,0.922,True,fast greedy budget=450; localEmpty=0.313
97,composite_final100_097_composite_greedy_ab_034_z166_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_097_composite_greedy_ab_034_z166_a845_h0_vflip_keep_none.asset,composite_greedy_ab_034_z166_a845_h0,vflip,keep,0,none,0,46,30,128,0.907,True,fast greedy budget=450; localEmpty=0.281
98,composite_final100_098_composite_greedy_ab_036_r2_020_a435_r1_156_a672__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_098_composite_greedy_ab_036_r2_020_a435_r1_156_a672__vflip_keep_none.asset,composite_greedy_ab_036_r2_020_a435_r1_156_a672_h0,vflip,keep,0,none,0,43,30,122,0.900,True,fast greedy budget=450; localEmpty=0.297
99,composite_final100_099_composite_greedy_ab_037_r2_264_a906_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_099_composite_greedy_ab_037_r2_264_a906_a845_h0_vflip_keep_none.asset,composite_greedy_ab_037_r2_264_a906_a845_h0,vflip,keep,0,none,0,47,30,140,0.945,True,fast greedy budget=450; localEmpty=0.250
100,composite_final100_100_composite_greedy_ab_038_r1_165_a691_a946_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_100_composite_greedy_ab_038_r1_165_a691_a946_h2_vflip_keep_none.asset,composite_greedy_ab_038_r1_165_a691_a946_h2,vflip,keep,0,none,0,39,32,130,0.951,True,fast greedy budget=450; localEmpty=0.172
