rank,status,pack,sourceId,sourcePath,outputId,outputPath,mode,width,height,chainsBefore,chainsAfter,tilesBefore,tilesAfter,coverageBefore,coverageAfter,outer1Before,outer1After,outer2Before,outer2After,maxOuterEmptyBefore,maxOuterEmptyAfter,edgeShortBefore,edgeShortAfter,edgeLongBefore,edgeLongAfter,maxEdgeRunBefore,maxEdgeRunAfter,trimmedOuterExit,trimmedOuterShort,filled,greedy,score,details
26,repaired,R2,r1_ab_040_above300_level_472_final_take_refill_v2_p2_delta11_occ11_addcells_rewrite_v2_v2_l2_added56_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_040_above300_level_472_final_take_refill_v2_p2_delta11_occ11_addcells_rewrite_v2_v2_l2_added56_rotation_vflip.asset,r2_outer_strong_026_r2_040_a472,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_026_r2_040_a472.asset,fill_outer,20,29,68,71,540,563,0.931,0.971,0.745,0.989,0.867,0.994,20,1,7,9,3,4,12,18,0,0,6,True,10247.3,original:greedy=True:outer1=0.745:outer2=0.867:empty=20:edgeShort=7:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.989:outer2=0.994:empty=1:edgeShort=9:edgeLong=4:filled=6:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.989:outer2=0.994:empty=1:edgeShort=9:edgeLong=4:filled=6:trim=0/0:fast greedy budget=450
27,repaired,R2,r1_ab_041_above300_level_473_final_take_refill_v2_p2_delta26_occ18_addcells_rewrite_v2_v2_r2_added48_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_041_above300_level_473_final_take_refill_v2_p2_delta26_occ18_addcells_rewrite_v2_v2_r2_added48_rotation_vflip.asset,r2_outer_strong_027_r2_041_a473,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_027_r2_041_a473.asset,fill_outer,22,26,64,69,531,557,0.928,0.974,0.707,0.989,0.824,0.972,20,1,10,12,2,3,13,18,0,0,9,True,10239.3,original:greedy=True:outer1=0.707:outer2=0.824:empty=20:edgeShort=10:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.989:outer2=0.972:empty=1:edgeShort=12:edgeLong=3:filled=9:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.989:outer2=0.972:empty=1:edgeShort=12:edgeLong=3:filled=9:trim=0/0:fast greedy budget=450
28,repaired,R2,r1_ab_042_above300_level_474_final_sparse_prefill_fill8_hole9_addcells_rewrite_v2_v2_t2_added18_rotation_hflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_042_above300_level_474_final_sparse_prefill_fill8_hole9_addcells_rewrite_v2_v2_t2_added18_rotation_hflip.asset,r2_outer_strong_028_r2_042_a474,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_028_r2_042_a474.asset,fill_outer,9,6,13,15,39,50,0.722,0.926,0.692,1.000,0.727,0.977,6,0,12,13,0,0,3,6,0,0,3,True,10759.0,original:greedy=True:outer1=0.692:outer2=0.727:empty=6:edgeShort=12:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=0.977:empty=0:edgeShort=13:edgeLong=0:filled=3:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.977:empty=0:edgeShort=13:edgeLong=0:filled=3:trim=0/0:fast greedy budget=450
29,kept,R2,r1_ab_043_above300_level_475_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_l3_added61_rotation_hflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_043_above300_level_475_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_l3_added61_rotation_hflip.asset,r2_outer_strong_029_r2_043_a475,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_029_r2_043_a475.asset,original,24,22,66,66,504,504,0.955,0.955,0.932,0.932,0.929,0.929,2,2,20,20,1,1,12,12,0,0,0,True,9606.9,original:greedy=True:outer1=0.932:outer2=0.929:empty=2:edgeShort=20:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=1.000:outer2=0.964:empty=0:edgeShort=23:edgeLong=1:filled=6:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=1.000:outer2=0.964:empty=0:edgeShort=23:edgeLong=1:filled=6:trim=0/0:fast greedy failed budget=450
30,repaired,R2,r1_ab_046_above300_level_484_final_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_046_above300_level_484_final_rotation_vflip.asset,r2_outer_strong_030_r2_046_a484,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_030_r2_046_a484.asset,fill_outer,27,43,5,93,11,1152,0.009,0.992,0.015,0.985,0.023,0.977,93,1,5,6,0,42,2,18,0,0,90,True,7929.2,original:greedy=True:outer1=0.015:outer2=0.023:empty=93:edgeShort=5:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.985:outer2=0.977:empty=1:edgeShort=6:edgeLong=42:filled=90:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.985:outer2=0.977:empty=1:edgeShort=6:edgeLong=42:filled=90:trim=0/0:fast greedy budget=450
31,repaired,R2,r1_ab_048_above300_level_491_final_take_refill_v2_p2_delta12_occ4_addcells_rewrite_v2_v2_r3_added93_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_048_above300_level_491_final_take_refill_v2_p2_delta12_occ4_addcells_rewrite_v2_v2_r3_added93_rotation_vflip.asset,r2_outer_strong_031_r2_048_a491,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_031_r2_048_a491.asset,fill_outer,27,32,86,87,844,850,0.977,0.984,0.956,1.000,0.973,1.000,3,0,18,19,5,5,19,19,0,0,5,True,10245.8,original:greedy=True:outer1=0.956:outer2=0.973:empty=3:edgeShort=18:edgeLong=5:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=1.000:empty=0:edgeShort=19:edgeLong=5:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=1.000:empty=0:edgeShort=19:edgeLong=5:filled=5:trim=0/0:fast greedy budget=450
32,repaired,R2,r1_ab_049_above300_level_492_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_r2_added54_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_049_above300_level_492_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_r2_added54_rotation_vflip.asset,r2_outer_strong_032_r2_049_a492,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_032_r2_049_a492.asset,fill_outer,20,28,58,59,542,547,0.968,0.977,0.924,0.978,0.949,0.977,3,2,11,11,2,2,13,13,0,0,5,True,10223.8,original:greedy=True:outer1=0.924:outer2=0.949:empty=3:edgeShort=11:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.978:outer2=0.977:empty=2:edgeShort=11:edgeLong=2:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.978:outer2=0.977:empty=2:edgeShort=11:edgeLong=2:filled=5:trim=0/0:fast greedy budget=450
33,repaired,R2,r1_ab_052_above300_level_497_final_take_refill_v2_p2_delta14_occ14_addcells_rewrite_v2_v2_l3_added68_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_052_above300_level_497_final_take_refill_v2_p2_delta14_occ14_addcells_rewrite_v2_v2_l3_added68_rotation_vflip.asset,r2_outer_strong_033_r2_052_a497,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_033_r2_052_a497.asset,trim_refill,20,25,57,59,483,482,0.966,0.964,0.919,1.000,0.945,0.988,3,0,9,11,3,2,12,12,1,0,5,True,10687.0,original:greedy=True:outer1=0.919:outer2=0.945:empty=3:edgeShort=9:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.977:outer2=0.982:empty=2:edgeShort=10:edgeLong=3:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.988:empty=0:edgeShort=11:edgeLong=2:filled=5:trim=1/0:fast greedy budget=450
34,kept,R2,r1_ab_054_above300_level_500_final_take_refill_v2_p2_delta6_occ6_addcells_rewrite_v2_v2_t3_added91_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_054_above300_level_500_final_take_refill_v2_p2_delta6_occ6_addcells_rewrite_v2_v2_t3_added91_rotation_vflip.asset,r2_outer_strong_034_r2_054_a500,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_034_r2_054_a500.asset,original,32,50,183,183,1548,1548,0.968,0.968,0.938,0.938,0.955,0.955,2,2,31,31,8,8,16,16,0,0,0,True,9061.6,original:greedy=True:outer1=0.938:outer2=0.955:empty=2:edgeShort=31:edgeLong=8:filled=0:trim=0/0:fast greedy budget=549 | fill_outer:greedy=False:outer1=0.988:outer2=0.981:empty=1:edgeShort=30:edgeLong=8:filled=8:trim=0/0:fast greedy failed budget=552 | trim_refill:greedy=False:outer1=0.981:outer2=0.978:empty=1:edgeShort=29:edgeLong=8:filled=9:trim=0/1:fast greedy failed budget=549
35,kept,R2,r1_ab_055_above300_level_501_final_take_refill_v2_p2_delta11_occ7_addcells_rewrite_v2_v2_r2_added58_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_055_above300_level_501_final_take_refill_v2_p2_delta11_occ7_addcells_rewrite_v2_v2_r2_added58_rotation_vflip.asset,r2_outer_strong_035_r2_055_a501,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_035_r2_055_a501.asset,original,23,30,76,76,665,665,0.964,0.964,0.892,0.892,0.923,0.923,3,3,11,11,2,2,14,14,0,0,0,True,9172.1,original:greedy=True:outer1=0.892:outer2=0.923:empty=3:edgeShort=11:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.961:outer2=0.980:empty=2:edgeShort=11:edgeLong=2:filled=5:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.961:outer2=0.980:empty=2:edgeShort=11:edgeLong=2:filled=5:trim=0/0:fast greedy failed budget=450
36,repaired,R2,r1_ab_060_above300_level_510_final_take_refill_v2_p1_delta6_occ6_addcells_rewrite_v2_v2_l2_added109_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_060_above300_level_510_final_take_refill_v2_p1_delta6_occ6_addcells_rewrite_v2_v2_l2_added109_rotation_vflip.asset,r2_outer_strong_036_r2_060_a510,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_036_r2_060_a510.asset,fill_outer,38,56,199,202,2062,2073,0.969,0.974,0.951,0.995,0.956,0.986,3,1,20,21,7,7,20,14,0,0,8,True,10053.4,original:greedy=True:outer1=0.951:outer2=0.956:empty=3:edgeShort=20:edgeLong=7:filled=0:trim=0/0:fast greedy budget=597 | fill_outer:greedy=True:outer1=0.995:outer2=0.986:empty=1:edgeShort=21:edgeLong=7:filled=8:trim=0/0:fast greedy budget=606 | trim_refill:greedy=True:outer1=0.995:outer2=0.986:empty=1:edgeShort=21:edgeLong=7:filled=8:trim=0/0:fast greedy budget=606
37,kept,R2,r1_ab_063_above300_level_515_final_take_refill_v2_p2_delta13_occ13_addcells_rewrite_v2_v2_t3_added74_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_063_above300_level_515_final_take_refill_v2_p2_delta13_occ13_addcells_rewrite_v2_v2_t3_added74_rotation_vflip.asset,r2_outer_strong_037_r2_063_a515,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_037_r2_063_a515.asset,original,27,38,104,104,979,979,0.954,0.954,0.913,0.913,0.947,0.947,2,2,23,23,1,1,12,12,0,0,0,True,9382.2,original:greedy=True:outer1=0.913:outer2=0.947:empty=2:edgeShort=23:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.976:outer2=0.980:empty=1:edgeShort=25:edgeLong=1:filled=8:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.976:outer2=0.980:empty=1:edgeShort=25:edgeLong=1:filled=8:trim=0/0:fast greedy failed budget=450
38,repaired,R2,r1_ab_067_above300_level_524_final_take_refill_v2_p2_delta13_occ7_addcells_rewrite_v2_v2_l2_added61_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_067_above300_level_524_final_take_refill_v2_p2_delta13_occ7_addcells_rewrite_v2_v2_l2_added61_rotation_vflip.asset,r2_outer_strong_038_r2_067_a524,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_038_r2_067_a524.asset,fill_outer,27,32,97,97,833,841,0.964,0.973,0.895,0.965,0.945,0.982,5,3,15,13,4,4,17,17,0,0,8,True,9704.3,original:greedy=True:outer1=0.895:outer2=0.945:empty=5:edgeShort=15:edgeLong=4:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.965:outer2=0.982:empty=3:edgeShort=13:edgeLong=4:filled=8:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.965:outer2=0.982:empty=3:edgeShort=13:edgeLong=4:filled=9:trim=1/0:fast greedy budget=450
39,repaired,R2,r1_ab_069_above300_level_526_final_take_refill_v2_p2_delta22_occ18_addcells_rewrite_v2_v2_r2_added52_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_069_above300_level_526_final_take_refill_v2_p2_delta22_occ18_addcells_rewrite_v2_v2_r2_added52_rotation_vflip.asset,r2_outer_strong_039_r2_069_a526,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_039_r2_069_a526.asset,fill_outer,20,28,61,63,530,543,0.946,0.970,0.870,0.989,0.920,0.994,2,1,14,16,4,4,11,11,0,0,9,True,10264.7,original:greedy=True:outer1=0.870:outer2=0.920:empty=2:edgeShort=14:edgeLong=4:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.989:outer2=0.994:empty=1:edgeShort=16:edgeLong=4:filled=9:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.989:outer2=0.994:empty=1:edgeShort=16:edgeLong=4:filled=10:trim=1/0:fast greedy budget=450
40,repaired,R2,r1_ab_070_above300_level_527_final_take_refill_v2_p2_delta16_occ10_addcells_rewrite_v2_v2_t2_added35_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_070_above300_level_527_final_take_refill_v2_p2_delta16_occ10_addcells_rewrite_v2_v2_t2_added35_rotation_vflip.asset,r2_outer_strong_040_r2_070_a527,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_040_r2_070_a527.asset,trim_refill,19,29,70,71,531,536,0.964,0.973,0.924,0.989,0.938,0.966,3,1,17,16,2,2,16,16,1,4,10,True,10332.6,original:greedy=True:outer1=0.924:outer2=0.938:empty=3:edgeShort=17:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.978:outer2=0.966:empty=1:edgeShort=18:edgeLong=2:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.989:outer2=0.966:empty=1:edgeShort=16:edgeLong=2:filled=10:trim=1/4:fast greedy budget=450
41,repaired,R2,r1_ab_071_above300_level_528_final_take_refill_v2_p2_delta23_occ23_addcells_rewrite_v2_v2_t3_added64_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_071_above300_level_528_final_take_refill_v2_p2_delta23_occ23_addcells_rewrite_v2_v2_t3_added64_rotation_vflip.asset,r2_outer_strong_041_r2_071_a528,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_041_r2_071_a528.asset,trim_refill,23,33,75,76,730,739,0.962,0.974,0.917,0.991,0.933,0.976,2,1,17,18,5,5,19,19,1,0,8,True,10027.9,original:greedy=True:outer1=0.917:outer2=0.933:empty=2:edgeShort=17:edgeLong=5:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.991:outer2=0.981:empty=1:edgeShort=19:edgeLong=5:filled=8:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.991:outer2=0.976:empty=1:edgeShort=18:edgeLong=5:filled=8:trim=1/0:fast greedy budget=450
42,missing_level,R2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,missing authored level
43,repaired,R2,r1_ab_074_above300_level_535_final_take_refill_v2_p2_delta16_occ16_addcells_rewrite_v2_v2_l2_added46_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_074_above300_level_535_final_take_refill_v2_p2_delta16_occ16_addcells_rewrite_v2_v2_l2_added46_rotation_vflip.asset,r2_outer_strong_042_r2_074_a535,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_042_r2_074_a535.asset,fill_outer,21,25,59,59,489,494,0.931,0.941,0.932,0.989,0.952,0.982,2,1,16,16,1,1,15,15,0,0,5,True,10409.3,original:greedy=True:outer1=0.932:outer2=0.952:empty=2:edgeShort=16:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.989:outer2=0.982:empty=1:edgeShort=16:edgeLong=1:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.989:outer2=0.982:empty=1:edgeShort=16:edgeLong=1:filled=5:trim=0/0:fast greedy budget=450
44,kept,R2,r1_ab_079_above300_level_540_final_take_refill_v2_p2_delta12_occ12_addcells_rewrite_v2_v2_b3_added102_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_079_above300_level_540_final_take_refill_v2_p2_delta12_occ12_addcells_rewrite_v2_v2_b3_added102_rotation_vflip.asset,r2_outer_strong_043_r2_079_a540,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_043_r2_079_a540.asset,original,35,58,153,153,1980,1980,0.975,0.975,0.929,0.929,0.944,0.944,4,4,24,24,11,11,33,33,0,0,0,True,8401.8,original:greedy=True:outer1=0.929:outer2=0.944:empty=4:edgeShort=24:edgeLong=11:filled=0:trim=0/0:fast greedy budget=459 | fill_outer:greedy=False:outer1=0.984:outer2=0.975:empty=2:edgeShort=25:edgeLong=11:filled=10:trim=0/0:fast greedy failed budget=471 | trim_refill:greedy=False:outer1=0.984:outer2=0.975:empty=2:edgeShort=24:edgeLong=11:filled=14:trim=0/2:fast greedy failed budget=468
45,repaired,R2,r1_ab_080_above300_level_542_final_take_refill_v2_p2_delta11_occ5_addcells_rewrite_v2_v2_l2_added64_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_080_above300_level_542_final_take_refill_v2_p2_delta11_occ5_addcells_rewrite_v2_v2_l2_added64_rotation_vflip.asset,r2_outer_strong_044_r2_080_a542,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_044_r2_080_a542.asset,fill_outer,24,33,95,97,762,768,0.962,0.970,0.955,1.000,0.953,0.981,1,0,22,23,1,1,11,11,0,0,5,True,10550.8,original:greedy=True:outer1=0.955:outer2=0.953:empty=1:edgeShort=22:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=0.981:empty=0:edgeShort=23:edgeLong=1:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.981:empty=0:edgeShort=23:edgeLong=1:filled=7:trim=2/0:fast greedy budget=450
46,kept,R2,r1_ab_084_above300_level_552_final_take_refill_v2_p2_delta11_occ9_addcells_rewrite_v2_v2_b2_added38_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_084_above300_level_552_final_take_refill_v2_p2_delta11_occ9_addcells_rewrite_v2_v2_b2_added38_rotation_vflip.asset,r2_outer_strong_045_r2_084_a552,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_045_r2_084_a552.asset,original,20,28,47,47,524,524,0.936,0.936,0.826,0.826,0.835,0.835,5,5,9,9,2,2,20,20,0,0,0,True,8101.2,original:greedy=True:outer1=0.826:outer2=0.835:empty=5:edgeShort=9:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.957:outer2=0.955:empty=2:edgeShort=11:edgeLong=2:filled=10:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.957:outer2=0.955:empty=2:edgeShort=11:edgeLong=2:filled=10:trim=0/0:fast greedy failed budget=450
47,kept,R2,r1_ab_085_above300_level_556_final_sparse_prefill_fill4_hole21_addcells_rewrite_v2_v2_l2_added66_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_085_above300_level_556_final_sparse_prefill_fill4_hole21_addcells_rewrite_v2_v2_l2_added66_rotation_vflip.asset,r2_outer_strong_046_r2_085_a556,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_046_r2_085_a556.asset,original,27,35,93,93,831,831,0.879,0.879,0.775,0.775,0.836,0.836,6,6,15,15,3,3,14,14,0,0,0,True,7429.8,original:greedy=True:outer1=0.775:outer2=0.836:empty=6:edgeShort=15:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.975:outer2=0.970:empty=2:edgeShort=24:edgeLong=3:filled=17:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.975:outer2=0.970:empty=2:edgeShort=24:edgeLong=3:filled=17:trim=0/0:fast greedy failed budget=450
48,repaired,R2,r1_ab_086_above300_level_557_final_take_refill_v2_p2_delta16_occ10_addcells_rewrite_v2_v2_t3_added67_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_086_above300_level_557_final_take_refill_v2_p2_delta16_occ10_addcells_rewrite_v2_v2_t3_added67_rotation_vflip.asset,r2_outer_strong_047_r2_086_a557,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_047_r2_086_a557.asset,fill_outer,23,36,117,118,793,799,0.958,0.965,0.921,0.974,0.945,0.973,3,1,27,28,2,2,12,12,0,0,6,True,10020.0,original:greedy=True:outer1=0.921:outer2=0.945:empty=3:edgeShort=27:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.974:outer2=0.973:empty=1:edgeShort=28:edgeLong=2:filled=6:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.974:outer2=0.973:empty=1:edgeShort=28:edgeLong=2:filled=6:trim=0/0:fast greedy budget=450
49,repaired,R2,r1_ab_087_above300_level_558_final_take_refill_v2_p2_delta10_occ4_addcells_rewrite_v2_v2_r2_added54_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_087_above300_level_558_final_take_refill_v2_p2_delta10_occ4_addcells_rewrite_v2_v2_r2_added54_rotation_vflip.asset,r2_outer_strong_048_r2_087_a558,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_048_r2_087_a558.asset,fill_outer,23,27,58,60,584,612,0.940,0.986,0.708,1.000,0.832,0.984,26,0,13,13,2,3,20,20,0,0,3,True,10434.1,original:greedy=True:outer1=0.708:outer2=0.832:empty=26:edgeShort=13:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=0.984:empty=0:edgeShort=13:edgeLong=3:filled=3:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.984:empty=0:edgeShort=13:edgeLong=3:filled=3:trim=0/0:fast greedy budget=450
50,kept,R2,r1_ab_088_above300_level_564_final_sparse_prefill_fill12_hole46_addcells_rewrite_v2_v2_t3_added69_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_088_above300_level_564_final_sparse_prefill_fill12_hole46_addcells_rewrite_v2_v2_t3_added69_rotation_vflip.asset,r2_outer_strong_049_r2_088_a564,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_049_r2_088_a564.asset,original,24,37,113,113,809,809,0.911,0.911,0.746,0.746,0.785,0.785,6,6,32,32,2,2,12,12,0,0,0,True,6890.9,original:greedy=True:outer1=0.746:outer2=0.785:empty=6:edgeShort=32:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.992:outer2=0.952:empty=1:edgeShort=37:edgeLong=2:filled=26:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.992:outer2=0.952:empty=1:edgeShort=37:edgeLong=2:filled=26:trim=0/0:fast greedy failed budget=450
51,kept,R2,r1_ab_089_above300_level_565_final_take_refill_v2_p1_delta7_occ7_addcells_rewrite_v2_v2_b2_added42_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_089_above300_level_565_final_take_refill_v2_p1_delta7_occ7_addcells_rewrite_v2_v2_b2_added42_rotation_vflip.asset,r2_outer_strong_050_r2_089_a565,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_050_r2_089_a565.asset,original,22,34,90,90,700,700,0.936,0.936,0.861,0.861,0.889,0.889,5,5,11,11,2,2,12,12,0,0,0,True,8588.8,original:greedy=True:outer1=0.861:outer2=0.889:empty=5:edgeShort=11:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=1.000:outer2=0.990:empty=0:edgeShort=19:edgeLong=2:filled=12:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=1.000:outer2=0.990:empty=0:edgeShort=19:edgeLong=2:filled=14:trim=2/0:fast greedy failed budget=450
