rank,id,path,source,transform,reversePattern,reversed,trimmedOuterExit,trimmedOuterShort,fillMode,outerProfile,addedChains,width,height,chains,coverage,outer1,outer2,maxOuterEmptyRun,visualPenalty,edgeLong,cornerLong,edgeShort,maxEdgeRun,greedy,details
1,composite_play_cand_001_composite_portrait150_001_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_001_composite_portrait150_001_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90,identity,keep,0,4,0,edge120,strict,14,30,47,139,0.972,0.980,0.973,2,68,7,4,13,18,True,localEmpty=0.109; fast greedy budget=450
54,composite_play_cand_054_composite_portrait150_106_composite_greedy_ab_11_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_054_composite_portrait150_106_composite_greedy_ab_11_hflip_keep_edge120.asset,composite_portrait150_106_composite_greedy_ab_117_r1_048_a491_r2_279_a957__rot90,hflip,keep,0,2,0,edge120,strict,13,32,45,140,0.928,0.987,0.979,1,77,8,3,20,19,True,localEmpty=0.344; fast greedy budget=450
55,composite_play_cand_055_composite_portrait150_108_composite_greedy_ab_11_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_055_composite_portrait150_108_composite_greedy_ab_11_hflip_keep_edge120.asset,composite_portrait150_108_composite_greedy_ab_119_r1_154_a665_a607_h0_rot90,hflip,keep,0,6,0,edge120,strict,23,32,46,132,0.938,0.993,0.963,1,61,5,3,20,18,True,localEmpty=0.344; fast greedy budget=450
56,composite_play_cand_056_composite_portrait150_111_composite_greedy_ab_12_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_056_composite_portrait150_111_composite_greedy_ab_12_hflip_keep_edge120.asset,composite_portrait150_111_composite_greedy_ab_122_r1_278_a955_a607_h0_rot90,hflip,keep,0,6,0,edge120,strict,20,32,38,134,0.979,0.985,0.981,2,70,6,4,20,18,True,localEmpty=0.094; fast greedy budget=450
57,composite_play_cand_057_composite_portrait150_002_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_057_composite_portrait150_002_composite_greedy_ab_00_vflip_keep_edge120.asset,composite_portrait150_002_composite_greedy_ab_002_r1_249_a879_a966_h0_rot90,vflip,keep,0,2,0,edge120,strict,11,28,38,125,0.953,0.992,0.988,1,65,7,3,14,18,True,localEmpty=0.297; fast greedy budget=450
58,composite_play_cand_058_composite_portrait150_003_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_058_composite_portrait150_003_composite_greedy_ab_00_vflip_keep_edge120.asset,composite_portrait150_003_composite_greedy_ab_003_r1_249_a879_a845_h2_rot90,vflip,keep,0,4,0,edge120,strict,12,30,44,136,0.971,0.993,0.989,1,59,5,4,14,18,True,localEmpty=0.109; fast greedy budget=450
59,composite_play_cand_059_composite_portrait150_005_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_059_composite_portrait150_005_composite_greedy_ab_00_vflip_keep_edge120.asset,composite_portrait150_005_composite_greedy_ab_005_a857_r1_282_a966_h0_rot90,vflip,keep,0,4,0,edge120,strict,10,28,39,138,0.951,1.000,0.988,0,85,9,5,16,18,True,localEmpty=0.281; fast greedy budget=450
60,composite_play_cand_060_composite_portrait150_006_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_060_composite_portrait150_006_composite_greedy_ab_00_vflip_keep_edge120.asset,composite_portrait150_006_composite_greedy_ab_006_r2_152_a661_a845_h0_rot90,vflip,keep,0,5,0,edge120,strict,14,30,47,137,0.972,1.000,0.993,0,61,5,4,16,18,True,localEmpty=0.188; fast greedy budget=450
61,composite_play_cand_061_composite_portrait150_007_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_061_composite_portrait150_007_composite_greedy_ab_00_vflip_keep_edge120.asset,composite_portrait150_007_composite_greedy_ab_007_r1_278_a955_a845_h0_rot90,vflip,keep,0,3,0,edge120,strict,11,30,42,135,0.969,0.986,0.971,2,53,4,3,17,18,True,localEmpty=0.125; fast greedy budget=450
62,composite_play_cand_062_composite_portrait150_008_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_062_composite_portrait150_008_composite_greedy_ab_00_vflip_keep_edge120.asset,composite_portrait150_008_composite_greedy_ab_008_r2_020_a435_a845_h0_rot90,vflip,keep,0,3,0,edge120,strict,12,30,44,126,0.939,0.986,0.982,1,52,4,3,16,18,True,localEmpty=0.234; fast greedy budget=450
63,composite_play_cand_063_composite_portrait150_012_composite_greedy_ab_01_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_063_composite_portrait150_012_composite_greedy_ab_01_vflip_keep_edge120.asset,composite_portrait150_012_composite_greedy_ab_012_a754_a845_h2_rot90,vflip,keep,0,1,0,edge120,strict,12,31,44,130,0.957,0.993,0.968,1,31,2,1,14,17,True,localEmpty=0.234; fast greedy budget=450
64,composite_play_cand_064_composite_portrait150_014_composite_greedy_ab_01_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_064_composite_portrait150_014_composite_greedy_ab_01_vflip_keep_edge120.asset,composite_portrait150_014_composite_greedy_ab_014_r1_264_a906_a845_h0_rot90,vflip,keep,0,2,0,edge120,strict,10,30,45,137,0.979,1.000,0.989,0,60,4,3,16,26,True,localEmpty=0.094; fast greedy budget=450
65,composite_play_cand_065_composite_portrait150_017_composite_greedy_ab_01_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_065_composite_portrait150_017_composite_greedy_ab_01_vflip_keep_edge120.asset,composite_portrait150_017_composite_greedy_ab_019_r1_249_a879_a883_h2_rot90,vflip,keep,0,5,0,edge120,strict,13,31,47,144,0.951,0.980,0.973,2,75,8,4,15,18,True,localEmpty=0.313; fast greedy budget=450
66,composite_play_cand_066_composite_portrait150_018_composite_greedy_ab_02_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_066_composite_portrait150_018_composite_greedy_ab_02_vflip_keep_edge120.asset,composite_portrait150_018_composite_greedy_ab_020_a754_a946_h2_rot90,vflip,keep,0,2,0,edge120,strict,9,32,41,124,0.941,0.986,0.971,1,44,4,3,8,18,True,localEmpty=0.391; fast greedy budget=450
67,composite_play_cand_067_composite_portrait150_019_composite_greedy_ab_02_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_067_composite_portrait150_019_composite_greedy_ab_02_vflip_keep_edge120.asset,composite_portrait150_019_composite_greedy_ab_022_r2_012_a419_a966_h0_rot90,vflip,keep,0,2,0,edge120,strict,10,28,37,135,0.945,1.000,0.980,0,62,6,3,16,18,True,localEmpty=0.297; fast greedy budget=450
68,composite_play_cand_068_composite_portrait150_026_composite_greedy_ab_02_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_068_composite_portrait150_026_composite_greedy_ab_02_vflip_keep_edge120.asset,composite_portrait150_026_composite_greedy_ab_029_z103_a672_h0_rot90,vflip,keep,0,6,0,edge120,strict,18,36,51,141,0.947,0.988,0.991,1,151,20,6,14,27,True,localEmpty=0.406; fast greedy budget=450
69,composite_play_cand_069_composite_portrait150_030_composite_greedy_ab_03_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_069_composite_portrait150_030_composite_greedy_ab_03_vflip_keep_edge120.asset,composite_portrait150_030_composite_greedy_ab_033_a754_a883_h2_rot90,vflip,keep,0,0,0,edge120,strict,9,31,47,135,0.940,0.987,0.963,2,30,3,0,15,14,True,localEmpty=0.313; fast greedy budget=450
70,composite_play_cand_070_composite_portrait150_031_composite_greedy_ab_03_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_070_composite_portrait150_031_composite_greedy_ab_03_vflip_keep_edge120.asset,composite_portrait150_031_composite_greedy_ab_034_r2_048_a491_r1_152_a661__rot90,vflip,keep,0,7,0,edge120,strict,18,32,47,138,0.957,0.994,0.993,1,82,10,3,15,19,True,localEmpty=0.297; fast greedy budget=450
71,composite_play_cand_071_composite_portrait150_055_composite_greedy_ab_06_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_071_composite_portrait150_055_composite_greedy_ab_06_vflip_keep_edge120.asset,composite_portrait150_055_composite_greedy_ab_061_a665_a883_h0_rot90,vflip,keep,0,1,0,edge120,strict,12,31,51,137,0.945,0.981,0.974,2,53,5,2,16,18,True,localEmpty=0.313; fast greedy budget=450
72,composite_play_cand_072_composite_portrait150_059_composite_greedy_ab_06_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_072_composite_portrait150_059_composite_greedy_ab_06_vflip_keep_edge120.asset,composite_portrait150_059_composite_greedy_ab_065_r2_110_a607_a754_h0_rot90,vflip,keep,0,1,0,edge120,strict,12,32,44,138,0.919,0.993,0.965,1,32,3,1,13,10,True,localEmpty=0.453; fast greedy budget=450
73,composite_play_cand_073_composite_portrait150_064_composite_greedy_ab_07_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_073_composite_portrait150_064_composite_greedy_ab_07_vflip_keep_edge120.asset,composite_portrait150_064_composite_greedy_ab_070_r1_154_a665_a757_h0_rot90,vflip,keep,0,2,1,edge120,strict,16,32,47,132,0.943,0.981,0.977,1,69,6,5,12,21,True,localEmpty=0.328; fast greedy budget=450
74,composite_play_cand_074_composite_portrait150_074_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_074_composite_portrait150_074_composite_greedy_ab_08_vflip_keep_edge120.asset,composite_portrait150_074_composite_greedy_ab_081_r2_237_a857_z106_h0_rot90,vflip,keep,0,4,0,edge120,strict,16,28,41,134,0.929,0.993,0.958,1,50,4,2,18,18,True,localEmpty=0.297; fast greedy budget=450
75,composite_play_cand_075_composite_portrait150_078_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_075_composite_portrait150_078_composite_greedy_ab_08_vflip_keep_edge120.asset,composite_portrait150_078_composite_greedy_ab_085_r2_149_a654_a966_h0_rot90,vflip,keep,0,3,0,edge120,strict,12,29,40,133,0.948,0.985,0.965,1,64,6,3,18,18,True,localEmpty=0.297; fast greedy budget=450
76,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120.asset,composite_portrait150_082_composite_greedy_ab_089_r1_249_a879_a588_h0_rot90,vflip,keep,0,3,0,edge120,strict,7,29,41,126,0.960,0.993,0.992,1,61,6,3,15,18,True,localEmpty=0.219; fast greedy budget=450
77,composite_play_cand_077_composite_portrait150_085_composite_greedy_ab_09_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_077_composite_portrait150_085_composite_greedy_ab_09_vflip_keep_edge120.asset,composite_portrait150_085_composite_greedy_ab_094_r1_097_a581_a869_h0_rot90,vflip,keep,0,4,0,edge120,strict,12,36,49,179,0.945,0.988,0.981,1,61,4,4,21,18,True,localEmpty=0.266; fast greedy budget=537
78,composite_play_cand_078_composite_portrait150_097_composite_greedy_ab_10_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_078_composite_portrait150_097_composite_greedy_ab_10_vflip_keep_edge120.asset,composite_portrait150_097_composite_greedy_ab_107_r2_012_a419_a588_h0_rot90,vflip,keep,0,3,0,edge120,strict,7,29,40,134,0.939,1.000,0.988,0,55,5,3,14,18,True,localEmpty=0.234; fast greedy budget=450
79,composite_play_cand_079_composite_portrait150_099_composite_greedy_ab_11_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_079_composite_portrait150_099_composite_greedy_ab_11_vflip_keep_edge120.asset,composite_portrait150_099_composite_greedy_ab_110_r2_012_a419_r2_069_a526__rot90,vflip,keep,0,2,0,edge120,strict,11,28,39,124,0.932,0.992,0.980,1,53,5,2,16,18,True,localEmpty=0.375; fast greedy budget=450
80,composite_play_cand_080_composite_portrait150_106_composite_greedy_ab_11_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_080_composite_portrait150_106_composite_greedy_ab_11_vflip_keep_edge120.asset,composite_portrait150_106_composite_greedy_ab_117_r1_048_a491_r2_279_a957__rot90,vflip,keep,0,2,0,edge120,strict,14,32,45,141,0.928,0.993,0.983,1,78,8,3,21,19,True,localEmpty=0.344; fast greedy budget=450
81,composite_play_cand_081_composite_portrait150_108_composite_greedy_ab_11_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_081_composite_portrait150_108_composite_greedy_ab_11_vflip_keep_edge120.asset,composite_portrait150_108_composite_greedy_ab_119_r1_154_a665_a607_h0_rot90,vflip,keep,0,6,0,edge120,strict,21,32,46,130,0.937,0.987,0.959,1,60,5,3,19,18,True,localEmpty=0.313; fast greedy budget=450
82,composite_play_cand_082_composite_portrait150_111_composite_greedy_ab_12_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_082_composite_portrait150_111_composite_greedy_ab_12_vflip_keep_edge120.asset,composite_portrait150_111_composite_greedy_ab_122_r1_278_a955_a607_h0_rot90,vflip,keep,0,6,0,edge120,strict,20,32,38,134,0.979,0.985,0.981,2,70,6,4,20,18,True,localEmpty=0.078; fast greedy budget=450
83,composite_play_cand_083_composite_portrait150_132_composite_greedy_ab_14_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_083_composite_portrait150_132_composite_greedy_ab_14_vflip_keep_edge120.asset,composite_portrait150_132_composite_greedy_ab_146_r1_221_a818_r2_041_a473__rot90,vflip,keep,0,2,0,edge120,strict,10,28,41,126,0.934,0.985,0.908,1,51,4,2,19,18,True,localEmpty=0.203; fast greedy budget=450
84,composite_play_cand_084_composite_portrait150_026_composite_greedy_ab_02_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_084_composite_portrait150_026_composite_greedy_ab_02_rot180_keep_edge120.asset,composite_portrait150_026_composite_greedy_ab_029_z103_a672_h0_rot90,rot180,keep,0,6,0,edge120,strict,18,36,51,141,0.947,0.988,0.991,1,151,20,6,14,27,True,localEmpty=0.406; fast greedy budget=450
85,composite_play_cand_085_composite_portrait150_055_composite_greedy_ab_06_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_085_composite_portrait150_055_composite_greedy_ab_06_rot180_keep_edge120.asset,composite_portrait150_055_composite_greedy_ab_061_a665_a883_h0_rot90,rot180,keep,0,1,0,edge120,strict,12,31,51,137,0.945,0.981,0.974,2,53,5,2,16,18,True,localEmpty=0.344; fast greedy budget=450
86,composite_play_cand_086_composite_portrait150_112_composite_greedy_ab_12_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_086_composite_portrait150_112_composite_greedy_ab_12_rot180_keep_edge120.asset,composite_portrait150_112_composite_greedy_ab_123_r1_165_a691_a869_h0_rot90,rot180,keep,0,5,0,edge120,strict,20,36,45,169,0.956,0.981,0.977,2,57,3,2,31,17,True,localEmpty=0.234; fast greedy budget=507
87,composite_play_cand_087_composite_portrait150_132_composite_greedy_ab_14_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_087_composite_portrait150_132_composite_greedy_ab_14_rot180_keep_edge120.asset,composite_portrait150_132_composite_greedy_ab_146_r1_221_a818_r2_041_a473__rot90,rot180,keep,0,2,0,edge120,strict,10,28,41,126,0.934,0.985,0.908,1,51,4,2,19,18,True,localEmpty=0.203; fast greedy budget=450
88,composite_play_cand_088_composite_portrait150_010_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_088_composite_portrait150_010_composite_greedy_ab_01_identity_keep_edge120.asset,composite_portrait150_010_composite_greedy_ab_010_r1_097_a581_a845_h2_rot90,identity,keep,0,2,0,edge120,balanced,12,32,46,151,0.957,0.974,0.966,2,50,3,2,23,18,True,localEmpty=0.203; fast greedy budget=453
89,composite_play_cand_089_composite_portrait150_016_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_089_composite_portrait150_016_composite_greedy_ab_01_identity_keep_edge120.asset,composite_portrait150_016_composite_greedy_ab_017_r2_237_a857_r1_271_a943__rot90,identity,keep,0,2,0,edge120,balanced,14,28,46,133,0.959,0.972,0.971,2,57,5,3,12,22,True,localEmpty=0.281; fast greedy budget=450
90,composite_play_cand_090_composite_portrait150_021_composite_greedy_ab_02_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_090_composite_portrait150_021_composite_greedy_ab_02_identity_keep_edge120.asset,composite_portrait150_021_composite_greedy_ab_024_r2_237_a857_a946_h0_rot90,identity,keep,0,5,0,edge120,balanced,12,32,41,142,0.966,0.972,0.971,1,65,6,6,7,18,True,localEmpty=0.219; fast greedy budget=450
91,composite_play_cand_091_composite_portrait150_022_composite_greedy_ab_02_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_091_composite_portrait150_022_composite_greedy_ab_02_identity_keep_edge120.asset,composite_portrait150_022_composite_greedy_ab_025_r1_236_a855_r1_282_a966__rot90,identity,keep,0,5,0,edge120,balanced,9,28,38,141,0.953,0.977,0.976,3,90,10,6,13,17,True,localEmpty=0.172; fast greedy budget=450
92,composite_play_cand_092_composite_portrait150_023_composite_greedy_ab_02_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_092_composite_portrait150_023_composite_greedy_ab_02_identity_keep_edge120.asset,composite_portrait150_023_composite_greedy_ab_026_r2_237_a857_r2_113_a616__rot270,identity,keep,0,4,0,edge120,balanced,14,28,42,124,0.940,0.971,0.958,3,48,4,2,16,18,True,localEmpty=0.250; fast greedy budget=450
93,composite_play_cand_093_composite_portrait150_032_composite_greedy_ab_03_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_093_composite_portrait150_032_composite_greedy_ab_03_identity_keep_edge120.asset,composite_portrait150_032_composite_greedy_ab_035_r2_237_a857_r1_215_a805__rot90,identity,keep,0,4,0,edge120,balanced,15,28,42,132,0.969,0.978,0.981,1,53,4,4,13,18,True,localEmpty=0.203; fast greedy budget=450
94,composite_play_cand_094_composite_portrait150_051_composite_greedy_ab_05_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_094_composite_portrait150_051_composite_greedy_ab_05_identity_keep_edge120.asset,composite_portrait150_051_composite_greedy_ab_056_z166_a883_h0_rot90,identity,keep,0,6,0,edge120,balanced,15,31,49,145,0.949,0.974,0.977,2,83,9,4,16,20,True,localEmpty=0.313; fast greedy budget=450
95,composite_play_cand_095_composite_portrait150_062_composite_greedy_ab_06_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_095_composite_portrait150_062_composite_greedy_ab_06_identity_keep_edge120.asset,composite_portrait150_062_composite_greedy_ab_068_r1_195_a754_r1_198_a757__rot90,identity,keep,0,3,0,edge120,balanced,11,32,46,150,0.955,0.961,0.956,2,48,5,1,12,21,True,localEmpty=0.250; fast greedy budget=450
96,composite_play_cand_096_composite_portrait150_065_composite_greedy_ab_07_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_096_composite_portrait150_065_composite_greedy_ab_07_identity_keep_edge120.asset,composite_portrait150_065_composite_greedy_ab_071_r2_278_a955_a883_h0_rot90,identity,keep,0,4,0,edge120,balanced,18,31,47,158,0.955,0.974,0.976,2,70,6,4,20,18,True,localEmpty=0.328; fast greedy budget=474
97,composite_play_cand_097_composite_portrait150_066_composite_greedy_ab_07_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_097_composite_portrait150_066_composite_greedy_ab_07_identity_keep_edge120.asset,composite_portrait150_066_composite_greedy_ab_072_r1_110_a607_a761_h0_rot90,identity,keep,0,3,0,edge120,balanced,9,32,43,125,0.979,0.973,0.979,3,65,7,3,14,18,True,localEmpty=0.094; fast greedy budget=450
98,composite_play_cand_098_composite_portrait150_068_composite_greedy_ab_07_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_098_composite_portrait150_068_composite_greedy_ab_07_identity_keep_edge120.asset,composite_portrait150_068_composite_greedy_ab_074_r1_071_a528_a811_h0_rot90,identity,keep,0,4,0,edge120,balanced,13,30,45,129,0.961,0.973,0.975,2,79,8,3,22,19,True,localEmpty=0.141; fast greedy budget=450
99,composite_play_cand_099_composite_portrait150_073_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_099_composite_portrait150_073_composite_greedy_ab_08_identity_keep_edge120.asset,composite_portrait150_073_composite_greedy_ab_080_r1_249_a879_a716_h0_rot90,identity,keep,0,3,0,edge120,balanced,14,29,39,132,0.970,0.970,0.980,1,70,7,3,19,18,True,localEmpty=0.078; fast greedy budget=450
100,composite_play_cand_100_composite_portrait150_076_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_100_composite_portrait150_076_composite_greedy_ab_08_identity_keep_edge120.asset,composite_portrait150_076_composite_greedy_ab_083_r1_029_a456_r2_055_a501__rot90,identity,keep,0,4,0,edge120,balanced,12,30,46,136,0.948,0.966,0.948,3,73,8,4,13,18,True,localEmpty=0.234; fast greedy budget=450
101,composite_play_cand_101_composite_portrait150_077_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_101_composite_portrait150_077_composite_greedy_ab_08_identity_keep_edge120.asset,composite_portrait150_077_composite_greedy_ab_084_r1_249_a879_r2_040_a472__rot90,identity,keep,0,4,0,edge120,balanced,11,29,40,127,0.969,0.978,0.988,1,74,9,4,9,18,True,localEmpty=0.078; fast greedy budget=450
102,composite_play_cand_102_composite_portrait150_079_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_102_composite_portrait150_079_composite_greedy_ab_08_identity_keep_edge120.asset,composite_portrait150_079_composite_greedy_ab_086_r2_237_a857_a883_h0_rot90,identity,keep,0,3,0,edge120,balanced,12,31,47,152,0.941,0.961,0.966,2,56,5,3,15,18,True,localEmpty=0.328; fast greedy budget=456
103,composite_play_cand_103_composite_portrait150_086_composite_greedy_ab_09_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_103_composite_portrait150_086_composite_greedy_ab_09_identity_keep_edge120.asset,composite_portrait150_086_composite_greedy_ab_095_r2_070_a527_a811_h0_rot90,identity,keep,0,2,4,edge120,balanced,13,29,41,127,0.929,0.963,0.955,2,44,3,2,17,18,True,localEmpty=0.375; fast greedy budget=450
104,composite_play_cand_104_composite_portrait150_098_composite_greedy_ab_10_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_104_composite_portrait150_098_composite_greedy_ab_10_identity_keep_edge120.asset,composite_portrait150_098_composite_greedy_ab_109_r2_179_a717_r2_041_a473__rot90,identity,keep,0,3,2,edge120,balanced,11,29,46,137,0.934,0.966,0.940,2,77,8,3,21,18,True,localEmpty=0.281; fast greedy budget=450
105,composite_play_cand_105_composite_portrait150_105_composite_greedy_ab_11_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_105_composite_portrait150_105_composite_greedy_ab_11_identity_keep_edge120.asset,composite_portrait150_105_composite_greedy_ab_116_r1_097_a581_r2_139_a632__rot90,identity,keep,0,3,0,edge120,balanced,17,35,44,177,0.941,0.968,0.970,2,53,3,2,26,18,True,localEmpty=0.313; fast greedy budget=531
106,composite_play_cand_106_composite_portrait150_110_composite_greedy_ab_12_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_106_composite_portrait150_110_composite_greedy_ab_12_identity_keep_edge120.asset,composite_portrait150_110_composite_greedy_ab_121_r1_290_a987_a632_h0_rot90,identity,keep,0,0,2,edge120,balanced,14,32,42,140,0.949,0.972,0.961,2,46,4,2,17,15,True,localEmpty=0.188; fast greedy budget=450
107,composite_play_cand_107_composite_portrait150_112_composite_greedy_ab_12_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_107_composite_portrait150_112_composite_greedy_ab_12_identity_keep_edge120.asset,composite_portrait150_112_composite_greedy_ab_123_r1_165_a691_a869_h0_rot90,identity,keep,0,5,0,edge120,balanced,19,36,45,168,0.954,0.968,0.971,2,56,3,2,30,17,True,localEmpty=0.250; fast greedy budget=504
