rank,id,path,type,score,width,height,chains,coverage,outer1,outer2,maxOuterEmptyRun,holeScore,localEmpty8,localEmpty6,centerEmpty,openers,avgChoices,minChoices,maxChoices,lowChoiceSteps,highChoiceSteps,unlockBursts,maxUnlockBurst,keyLockSteps,firstOuter,lastOuter,endingShort,avgChain,maxChain,regionSwitches,dependencyBlocks,dependencyCycles,dependencyLayerStuck,visualPenalty,edgeShort,maxEdgeRun,families,details
1,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120.asset,section,81.9,29,41,126,0.960,0.993,0.992,1,41.5,0.219,0.389,0.051,16,6.02,1,16,9,28,25,4,5,0.750,0.156,0.308,9.06,42,59,110,0,0,61,15,18,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,type=section; score=81.9; deps=110/0/0
45,composite_play_cand_043_composite_portrait150_036_composite_greedy_ab_03_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_043_composite_portrait150_036_composite_greedy_ab_03_hflip_keep_edge120.asset,shell,73.4,32,43,129,0.942,0.993,0.975,1,52.2,0.250,0.500,0.072,16,9.91,1,18,1,73,30,6,8,0.667,0.091,0.423,10.05,57,57,113,0,0,78,4,24,composite_play_cand_043_composite_portrait150_036_composite_greedy_ab_03_hflip_keep_edge120,type=shell; score=73.4; deps=113/0/0
46,composite_play_cand_016_composite_portrait150_036_composite_greedy_ab_03_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_016_composite_portrait150_036_composite_greedy_ab_03_identity_keep_edge120.asset,shell,72.9,32,43,129,0.942,0.993,0.975,1,47.4,0.250,0.389,0.076,16,9.95,1,18,1,73,30,6,8,0.667,0.091,0.423,10.05,57,61,113,0,0,78,4,24,composite_play_cand_016_composite_portrait150_036_composite_greedy_ab_03_identity_keep_edge120,type=shell; score=72.9; deps=113/0/0
47,composite_play_cand_116_composite_portrait150_032_composite_greedy_ab_03_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_116_composite_portrait150_032_composite_greedy_ab_03_identity_keep_edge120.asset,shell,72.1,28,42,132,0.969,0.978,0.981,1,31.9,0.203,0.250,0.031,23,7.49,1,23,6,44,27,3,7,0.697,0.000,0.370,8.64,59,77,109,0,0,53,13,18,composite_play_cand_116_composite_portrait150_032_composite_greedy_ab_03_identity_keep_edge120,type=shell; score=72.1; deps=109/0/0
48,composite_play_cand_077_composite_portrait150_085_composite_greedy_ab_09_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_077_composite_portrait150_085_composite_greedy_ab_09_vflip_keep_edge120.asset,shell,72.0,36,49,179,0.945,0.988,0.981,1,51.4,0.266,0.500,0.043,27,8.60,1,27,7,72,37,4,11,0.711,0.044,0.194,9.31,57,89,152,0,0,61,21,18,composite_play_cand_077_composite_portrait150_085_composite_greedy_ab_09_vflip_keep_edge120,type=shell; score=72.0; deps=152/0/0
49,composite_play_cand_103_composite_portrait150_085_composite_greedy_ab_09_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_103_composite_portrait150_085_composite_greedy_ab_09_rot180_keep_edge120.asset,shell,72.0,36,49,179,0.945,0.988,0.981,1,51.4,0.266,0.500,0.043,27,8.54,1,27,7,70,37,4,11,0.711,0.044,0.194,9.31,57,90,152,0,0,61,21,18,composite_play_cand_103_composite_portrait150_085_composite_greedy_ab_09_rot180_keep_edge120,type=shell; score=72.0; deps=152/0/0
50,composite_play_cand_037_composite_portrait150_014_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_037_composite_portrait150_014_composite_greedy_ab_01_hflip_keep_edge120.asset,shell,72.0,30,45,137,0.979,1.000,0.989,0,14.8,0.094,0.083,0.027,17,7.55,1,17,5,61,27,3,7,0.829,0.086,0.536,9.65,57,67,120,0,0,60,16,26,composite_play_cand_037_composite_portrait150_014_composite_greedy_ab_01_hflip_keep_edge120,type=shell; score=72.0; deps=120/0/0
51,composite_play_cand_059_composite_portrait150_005_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_059_composite_portrait150_005_composite_greedy_ab_00_vflip_keep_edge120.asset,shell,72.0,28,39,138,0.951,1.000,0.988,0,55.1,0.281,0.500,0.101,16,7.72,1,19,5,52,29,3,11,0.657,0.143,0.357,7.52,59,65,122,0,0,85,16,18,composite_play_cand_059_composite_portrait150_005_composite_greedy_ab_00_vflip_keep_edge120,type=shell; score=72.0; deps=122/0/0
52,composite_play_cand_142_composite_portrait150_051_composite_greedy_ab_05_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_142_composite_portrait150_051_composite_greedy_ab_05_hflip_keep_edge120.asset,shell,71.9,31,49,145,0.949,0.974,0.977,2,57.4,0.297,0.528,0.095,26,7.94,1,26,9,47,25,5,7,0.784,0.081,0.310,9.94,54,67,119,0,0,83,16,20,composite_play_cand_142_composite_portrait150_051_composite_greedy_ab_05_hflip_keep_edge120,type=shell; score=71.9; deps=119/0/0
53,composite_play_cand_090_composite_portrait150_014_composite_greedy_ab_01_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_090_composite_portrait150_014_composite_greedy_ab_01_rot180_keep_edge120.asset,shell,71.8,30,45,137,0.979,1.000,0.989,0,14.8,0.094,0.083,0.027,17,8.36,1,17,3,69,27,4,6,0.800,0.086,0.536,9.65,57,64,120,0,0,60,16,26,composite_play_cand_090_composite_portrait150_014_composite_greedy_ab_01_rot180_keep_edge120,type=shell; score=71.8; deps=120/0/0
54,composite_play_cand_064_composite_portrait150_014_composite_greedy_ab_01_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_064_composite_portrait150_014_composite_greedy_ab_01_vflip_keep_edge120.asset,shell,71.7,30,45,137,0.979,1.000,0.989,0,14.6,0.094,0.083,0.025,17,8.36,1,17,3,69,26,4,6,0.800,0.086,0.536,9.65,57,65,120,0,0,60,16,26,composite_play_cand_064_composite_portrait150_014_composite_greedy_ab_01_vflip_keep_edge120,type=shell; score=71.7; deps=120/0/0
55,composite_play_cand_117_composite_portrait150_051_composite_greedy_ab_05_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_117_composite_portrait150_051_composite_greedy_ab_05_identity_keep_edge120.asset,shell,71.7,31,49,145,0.949,0.974,0.977,2,56.2,0.313,0.472,0.097,26,8.12,1,26,9,53,25,5,7,0.784,0.081,0.310,9.94,54,69,119,0,0,83,16,20,composite_play_cand_117_composite_portrait150_051_composite_greedy_ab_05_identity_keep_edge120,type=shell; score=71.7; deps=119/0/0
56,composite_play_cand_061_composite_portrait150_007_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_061_composite_portrait150_007_composite_greedy_ab_00_vflip_keep_edge120.asset,shell,71.6,30,42,135,0.969,0.986,0.971,2,24.3,0.125,0.222,0.022,16,9.56,1,17,2,80,25,4,7,0.735,0.176,0.222,9.04,51,55,119,0,0,53,17,18,composite_play_cand_061_composite_portrait150_007_composite_greedy_ab_00_vflip_keep_edge120,type=shell; score=71.6; deps=119/0/0
57,composite_play_cand_087_composite_portrait150_007_composite_greedy_ab_00_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_087_composite_portrait150_007_composite_greedy_ab_00_rot180_keep_edge120.asset,shell,71.6,30,42,135,0.969,0.986,0.971,2,25.1,0.125,0.222,0.037,16,9.55,1,17,2,80,26,4,7,0.735,0.176,0.222,9.04,51,55,119,0,0,53,17,18,composite_play_cand_087_composite_portrait150_007_composite_greedy_ab_00_rot180_keep_edge120,type=shell; score=71.6; deps=119/0/0
58,composite_play_cand_100_composite_portrait150_074_composite_greedy_ab_08_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_100_composite_portrait150_074_composite_greedy_ab_08_rot180_keep_edge120.asset,shell,71.5,28,41,134,0.929,0.993,0.958,1,55.2,0.297,0.417,0.102,25,9.62,1,27,7,62,22,4,11,0.765,0.147,0.333,7.96,59,63,109,0,0,50,18,18,composite_play_cand_100_composite_portrait150_074_composite_greedy_ab_08_rot180_keep_edge120,type=shell; score=71.5; deps=109/0/0
59,composite_play_cand_074_composite_portrait150_074_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_074_composite_portrait150_074_composite_greedy_ab_08_vflip_keep_edge120.asset,shell,71.5,28,41,134,0.929,0.993,0.958,1,55.2,0.297,0.417,0.102,25,9.62,1,27,7,62,22,4,11,0.765,0.147,0.333,7.96,59,63,109,0,0,50,18,18,composite_play_cand_074_composite_portrait150_074_composite_greedy_ab_08_vflip_keep_edge120,type=shell; score=71.5; deps=109/0/0
60,composite_play_cand_086_composite_portrait150_005_composite_greedy_ab_00_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_086_composite_portrait150_005_composite_greedy_ab_00_rot180_keep_edge120.asset,shell,71.5,28,39,138,0.951,1.000,0.988,0,52.6,0.281,0.444,0.101,16,7.82,1,19,5,57,29,3,10,0.657,0.143,0.357,7.52,59,69,122,0,0,85,16,18,composite_play_cand_086_composite_portrait150_005_composite_greedy_ab_00_rot180_keep_edge120,type=shell; score=71.5; deps=122/0/0
61,composite_play_cand_169_composite_portrait150_077_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_169_composite_portrait150_077_composite_greedy_ab_08_vflip_keep_edge120.asset,shell,72.0,29,40,127,0.969,0.978,0.988,1,17.2,0.078,0.139,0.026,21,7.36,1,21,9,38,22,4,3,0.719,0.219,0.385,8.85,42,55,106,0,0,74,9,18,composite_play_cand_169_composite_portrait150_077_composite_greedy_ab_08_vflip_keep_edge120,type=shell; score=72.0; deps=106/0/0
62,composite_play_cand_191_composite_portrait150_077_composite_greedy_ab_08_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_191_composite_portrait150_077_composite_greedy_ab_08_rot180_keep_edge120.asset,shell,71.9,29,40,127,0.969,0.978,0.988,1,17.2,0.078,0.139,0.026,21,7.37,1,21,9,38,22,4,3,0.719,0.219,0.385,8.85,42,56,106,0,0,74,9,18,composite_play_cand_191_composite_portrait150_077_composite_greedy_ab_08_rot180_keep_edge120,type=shell; score=71.9; deps=106/0/0
63,composite_play_cand_007_composite_portrait150_008_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_007_composite_portrait150_008_composite_greedy_ab_00_identity_keep_edge120.asset,maze,71.4,30,44,126,0.939,0.986,0.982,1,44.3,0.234,0.333,0.079,18,7.25,1,18,6,53,31,3,6,0.781,0.156,0.423,9.83,51,62,108,0,0,52,16,18,composite_play_cand_007_composite_portrait150_008_composite_greedy_ab_00_identity_keep_edge120,type=maze; score=71.4; deps=108/0/0
64,composite_play_cand_003_composite_portrait150_003_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_003_composite_portrait150_003_composite_greedy_ab_00_identity_keep_edge120.asset,dense,71.4,30,44,136,0.971,0.993,0.989,1,18.3,0.109,0.111,0.029,15,7.23,1,15,12,66,33,3,6,0.618,0.118,0.321,9.43,42,61,121,0,0,59,14,18,composite_play_cand_003_composite_portrait150_003_composite_greedy_ab_00_identity_keep_edge120,type=dense; score=71.4; deps=121/0/0
65,composite_play_cand_096_composite_portrait150_031_composite_greedy_ab_03_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_096_composite_portrait150_031_composite_greedy_ab_03_rot180_keep_edge120.asset,sweep,71.3,32,47,138,0.957,0.994,0.993,1,48.7,0.297,0.417,0.045,28,10.22,1,30,7,69,22,5,6,0.743,0.143,0.357,10.43,75,69,110,0,0,82,15,19,composite_play_cand_096_composite_portrait150_031_composite_greedy_ab_03_rot180_keep_edge120,type=sweep; score=71.3; deps=110/0/0
66,composite_play_cand_113_composite_portrait150_021_composite_greedy_ab_02_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_113_composite_portrait150_021_composite_greedy_ab_02_identity_keep_edge120.asset,sweep,71.2,32,41,142,0.966,0.972,0.971,1,38.1,0.219,0.333,0.046,23,9.98,1,23,6,74,29,5,10,0.639,0.083,0.414,8.92,59,73,119,0,0,65,7,18,composite_play_cand_113_composite_portrait150_021_composite_greedy_ab_02_identity_keep_edge120,type=sweep; score=71.2; deps=119/0/0
67,composite_play_cand_165_composite_portrait150_065_composite_greedy_ab_07_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_165_composite_portrait150_065_composite_greedy_ab_07_vflip_keep_edge120.asset,sweep,71.2,31,47,158,0.955,0.974,0.976,2,53.5,0.313,0.444,0.086,28,11.64,1,32,3,109,28,6,7,0.775,0.100,0.281,8.81,54,66,130,0,0,70,20,18,composite_play_cand_165_composite_portrait150_065_composite_greedy_ab_07_vflip_keep_edge120,type=sweep; score=71.2; deps=130/0/0
68,composite_play_cand_175_composite_portrait150_116_composite_greedy_ab_12_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_175_composite_portrait150_116_composite_greedy_ab_12_vflip_keep_edge120.asset,sweep,71.1,29,38,141,0.961,0.977,0.976,1,30.6,0.188,0.194,0.056,28,9.04,1,29,8,48,32,4,7,0.806,0.167,0.276,7.51,28,74,113,0,0,64,18,18,composite_play_cand_175_composite_portrait150_116_composite_greedy_ab_12_vflip_keep_edge120,type=sweep; score=71.1; deps=113/0/0
69,composite_play_cand_110_composite_portrait150_132_composite_greedy_ab_14_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_110_composite_portrait150_132_composite_greedy_ab_14_rot180_keep_edge120.asset,section,71.1,28,41,126,0.934,0.985,0.908,1,40.9,0.203,0.333,0.049,18,7.18,1,18,3,32,25,4,7,0.656,0.250,0.462,8.51,46,55,108,0,0,51,19,18,composite_play_cand_110_composite_portrait150_132_composite_greedy_ab_14_rot180_keep_edge120,type=section; score=71.1; deps=108/0/0
70,composite_play_cand_070_composite_portrait150_031_composite_greedy_ab_03_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_070_composite_portrait150_031_composite_greedy_ab_03_vflip_keep_edge120.asset,sweep,71.1,32,47,138,0.957,0.994,0.993,1,48.7,0.297,0.417,0.045,28,10.20,1,30,9,69,22,5,6,0.743,0.143,0.357,10.43,75,71,110,0,0,82,15,19,composite_play_cand_070_composite_portrait150_031_composite_greedy_ab_03_vflip_keep_edge120,type=sweep; score=71.1; deps=110/0/0
71,composite_play_cand_138_composite_portrait150_021_composite_greedy_ab_02_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_138_composite_portrait150_021_composite_greedy_ab_02_hflip_keep_edge120.asset,sweep,71.1,32,41,142,0.966,0.972,0.971,1,39.3,0.219,0.361,0.046,23,10.03,1,25,6,74,29,5,10,0.639,0.083,0.414,8.92,59,74,119,0,0,65,7,18,composite_play_cand_138_composite_portrait150_021_composite_greedy_ab_02_hflip_keep_edge120,type=sweep; score=71.1; deps=119/0/0
72,composite_play_cand_127_composite_portrait150_098_composite_greedy_ab_10_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_127_composite_portrait150_098_composite_greedy_ab_10_identity_keep_edge120.asset,sweep,71.1,29,46,137,0.934,0.966,0.940,2,50.8,0.281,0.361,0.100,26,8.23,1,26,5,51,23,6,9,0.771,0.057,0.393,9.09,60,53,111,0,0,77,21,18,composite_play_cand_127_composite_portrait150_098_composite_greedy_ab_10_identity_keep_edge120,type=sweep; score=71.1; deps=111/0/0
73,composite_play_cand_150_composite_portrait150_098_composite_greedy_ab_10_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_150_composite_portrait150_098_composite_greedy_ab_10_hflip_keep_edge120.asset,sweep,71.1,29,46,137,0.934,0.966,0.940,2,50.8,0.281,0.361,0.100,26,8.20,1,26,5,51,23,6,9,0.771,0.057,0.393,9.09,60,53,111,0,0,77,21,18,composite_play_cand_150_composite_portrait150_098_composite_greedy_ab_10_hflip_keep_edge120,type=sweep; score=71.1; deps=111/0/0
74,composite_play_cand_060_composite_portrait150_006_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_060_composite_portrait150_006_composite_greedy_ab_00_vflip_keep_edge120.asset,sweep,71.1,30,47,137,0.972,1.000,0.993,0,34.0,0.188,0.333,0.028,20,10.36,1,20,11,85,29,4,5,0.657,0.200,0.357,10.00,75,63,117,0,0,61,16,18,composite_play_cand_060_composite_portrait150_006_composite_greedy_ab_00_vflip_keep_edge120,type=sweep; score=71.1; deps=117/0/0
75,composite_play_cand_148_composite_portrait150_079_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_148_composite_portrait150_079_composite_greedy_ab_08_hflip_keep_edge120.asset,maze,71.0,31,47,152,0.941,0.961,0.966,2,56.9,0.313,0.472,0.093,21,7.59,1,24,13,56,29,5,10,0.711,0.026,0.323,9.02,59,73,131,0,0,56,15,18,composite_play_cand_148_composite_portrait150_079_composite_greedy_ab_08_hflip_keep_edge120,type=maze; score=71.0; deps=131/0/0
76,composite_play_cand_168_composite_portrait150_073_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_168_composite_portrait150_073_composite_greedy_ab_08_vflip_keep_edge120.asset,section,71.0,29,39,132,0.970,0.970,0.980,1,17.5,0.094,0.111,0.033,23,7.83,1,23,5,48,27,4,5,0.788,0.152,0.370,8.31,42,63,109,0,0,70,19,18,composite_play_cand_168_composite_portrait150_073_composite_greedy_ab_08_vflip_keep_edge120,type=section; score=71.0; deps=109/0/0
77,composite_play_cand_004_composite_portrait150_005_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_004_composite_portrait150_005_composite_greedy_ab_00_identity_keep_edge120.asset,maze,71.0,28,39,138,0.951,1.000,0.988,0,52.7,0.250,0.500,0.101,16,6.96,1,19,6,43,30,3,8,0.629,0.114,0.429,7.52,59,71,122,0,0,85,16,18,composite_play_cand_004_composite_portrait150_005_composite_greedy_ab_00_identity_keep_edge120,type=maze; score=71.0; deps=122/0/0
78,composite_play_cand_119_composite_portrait150_065_composite_greedy_ab_07_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_119_composite_portrait150_065_composite_greedy_ab_07_identity_keep_edge120.asset,sweep,71.0,31,47,158,0.955,0.974,0.976,2,53.5,0.328,0.417,0.086,28,9.27,1,32,15,77,24,6,7,0.775,0.050,0.281,8.81,54,75,130,0,0,70,20,18,composite_play_cand_119_composite_portrait150_065_composite_greedy_ab_07_identity_keep_edge120,type=sweep; score=71.0; deps=130/0/0
79,composite_play_cand_125_composite_portrait150_079_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_125_composite_portrait150_079_composite_greedy_ab_08_identity_keep_edge120.asset,maze,70.9,31,47,152,0.941,0.961,0.966,2,59.5,0.328,0.500,0.097,21,7.53,1,22,13,56,29,5,10,0.711,0.026,0.323,9.02,59,74,131,0,0,56,15,18,composite_play_cand_125_composite_portrait150_079_composite_greedy_ab_08_identity_keep_edge120,type=maze; score=70.9; deps=131/0/0
80,composite_play_cand_185_composite_portrait150_065_composite_greedy_ab_07_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_185_composite_portrait150_065_composite_greedy_ab_07_rot180_keep_edge120.asset,sweep,70.8,31,47,158,0.955,0.974,0.976,2,54.8,0.297,0.500,0.084,28,11.54,1,31,3,109,28,6,7,0.775,0.100,0.281,8.81,54,69,130,0,0,70,20,18,composite_play_cand_185_composite_portrait150_065_composite_greedy_ab_07_rot180_keep_edge120,type=sweep; score=70.8; deps=130/0/0
81,composite_play_cand_032_composite_portrait150_005_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_032_composite_portrait150_005_composite_greedy_ab_00_hflip_keep_edge120.asset,maze,70.8,28,39,138,0.951,1.000,0.988,0,50.2,0.250,0.444,0.101,16,7.09,1,19,5,43,31,4,9,0.629,0.114,0.464,7.52,59,68,122,0,0,85,16,18,composite_play_cand_032_composite_portrait150_005_composite_greedy_ab_00_hflip_keep_edge120,type=maze; score=70.8; deps=122/0/0
82,composite_play_cand_124_composite_portrait150_077_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_124_composite_portrait150_077_composite_greedy_ab_08_identity_keep_edge120.asset,shell,70.7,29,40,127,0.969,0.978,0.988,1,15.8,0.078,0.111,0.023,21,8.73,1,21,2,47,23,4,3,0.750,0.250,0.500,8.85,42,56,106,0,0,74,9,18,composite_play_cand_124_composite_portrait150_077_composite_greedy_ab_08_identity_keep_edge120,type=shell; score=70.7; deps=106/0/0
83,composite_play_cand_147_composite_portrait150_077_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_147_composite_portrait150_077_composite_greedy_ab_08_hflip_keep_edge120.asset,shell,70.6,29,40,127,0.969,0.978,0.988,1,17.1,0.078,0.139,0.023,21,8.72,1,21,2,45,23,4,3,0.750,0.250,0.500,8.85,42,57,106,0,0,74,9,18,composite_play_cand_147_composite_portrait150_077_composite_greedy_ab_08_hflip_keep_edge120,type=shell; score=70.6; deps=106/0/0
84,composite_play_cand_143_composite_portrait150_065_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_143_composite_portrait150_065_composite_greedy_ab_07_hflip_keep_edge120.asset,sweep,70.5,31,47,158,0.955,0.974,0.976,2,54.7,0.313,0.472,0.084,28,9.09,1,31,15,73,24,6,7,0.775,0.050,0.281,8.81,54,79,130,0,0,70,20,18,composite_play_cand_143_composite_portrait150_065_composite_greedy_ab_07_hflip_keep_edge120,type=sweep; score=70.5; deps=130/0/0
85,composite_play_cand_197_composite_portrait150_116_composite_greedy_ab_12_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_197_composite_portrait150_116_composite_greedy_ab_12_rot180_keep_edge120.asset,sweep,70.4,29,38,141,0.961,0.977,0.976,1,29.5,0.156,0.222,0.056,27,8.78,1,29,8,45,33,4,8,0.778,0.167,0.276,7.51,28,78,114,0,0,58,17,18,composite_play_cand_197_composite_portrait150_116_composite_greedy_ab_12_rot180_keep_edge120,type=sweep; score=70.4; deps=114/0/0
86,composite_play_cand_083_composite_portrait150_132_composite_greedy_ab_14_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_083_composite_portrait150_132_composite_greedy_ab_14_vflip_keep_edge120.asset,section,70.4,28,41,126,0.934,0.985,0.908,1,40.9,0.203,0.333,0.049,18,7.25,1,18,4,32,24,4,8,0.656,0.250,0.462,8.51,46,54,108,0,0,51,19,18,composite_play_cand_083_composite_portrait150_132_composite_greedy_ab_14_vflip_keep_edge120,type=section; score=70.4; deps=108/0/0
87,composite_play_cand_020_composite_portrait150_074_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_020_composite_portrait150_074_composite_greedy_ab_08_identity_keep_edge120.asset,sweep,70.4,28,41,134,0.929,0.993,0.958,1,55.7,0.281,0.444,0.109,25,9.56,1,27,12,65,25,4,10,0.735,0.147,0.296,7.96,59,71,109,0,0,50,18,18,composite_play_cand_020_composite_portrait150_074_composite_greedy_ab_08_identity_keep_edge120,type=sweep; score=70.4; deps=109/0/0
88,composite_play_cand_184_composite_portrait150_051_composite_greedy_ab_05_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_184_composite_portrait150_051_composite_greedy_ab_05_rot180_keep_edge120.asset,sweep,70.4,31,49,145,0.949,0.974,0.977,2,56.1,0.297,0.500,0.093,26,9.64,1,26,2,80,29,4,8,0.757,0.135,0.345,9.94,54,65,119,0,0,83,16,20,composite_play_cand_184_composite_portrait150_051_composite_greedy_ab_05_rot180_keep_edge120,type=sweep; score=70.4; deps=119/0/0
89,composite_play_cand_048_composite_portrait150_074_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_048_composite_portrait150_074_composite_greedy_ab_08_hflip_keep_edge120.asset,sweep,70.3,28,41,134,0.929,0.993,0.958,1,58.2,0.281,0.500,0.109,25,9.57,1,27,12,66,25,4,10,0.735,0.147,0.296,7.96,59,72,109,0,0,50,18,18,composite_play_cand_048_composite_portrait150_074_composite_greedy_ab_08_hflip_keep_edge120,type=sweep; score=70.3; deps=109/0/0
