rank,id,path,width,height,chains,coverage,greedy,details
110,composite_greedy_ab_110_r2_012_a419_r2_069_a526_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_110_r2_012_a419_r2_069_a526_h0.asset,39,28,122,0.905,True,fast greedy budget=450
111,composite_greedy_ab_111_r1_165_a691_r1_067_a524_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_111_r1_165_a691_r1_067_a524_h0.asset,43,32,142,0.925,True,fast greedy budget=450
112,composite_greedy_ab_112_r1_165_a691_r2_139_a632_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_112_r1_165_a691_r2_139_a632_h0.asset,40,35,151,0.927,True,fast greedy budget=453
113,composite_greedy_ab_113_r1_152_a661_r1_178_a716_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_113_r1_152_a661_r1_178_a716_h0.asset,41,29,122,0.908,True,fast greedy budget=450
114,composite_greedy_ab_114_r1_097_a581_a954_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_114_r1_097_a581_a954_h0.asset,55,36,169,0.903,True,fast greedy budget=507
115,composite_greedy_ab_115_r2_233_a846_z041_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_115_r2_233_a846_z041_h0.asset,45,30,134,0.921,True,fast greedy budget=450
116,composite_greedy_ab_116_r1_097_a581_r2_139_a632_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_116_r1_097_a581_r2_139_a632_h0.asset,44,35,167,0.915,True,fast greedy budget=501
117,composite_greedy_ab_117_r1_048_a491_r2_279_a957_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_117_r1_048_a491_r2_279_a957_h0.asset,45,32,136,0.903,True,fast greedy budget=450
118,composite_greedy_ab_118_a846_r1_067_a524_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_118_a846_r1_067_a524_h0.asset,45,32,141,0.911,True,fast greedy budget=450
119,composite_greedy_ab_119_r1_154_a665_a607_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_119_r1_154_a665_a607_h0.asset,46,32,121,0.904,True,fast greedy budget=450
120,composite_greedy_ab_120_r1_165_a691_r2_200_a761_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_120_r1_165_a691_r2_200_a761_h0.asset,43,32,123,0.915,True,fast greedy budget=450
121,composite_greedy_ab_121_r1_290_a987_a632_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_121_r1_290_a987_a632_h0.asset,42,32,133,0.925,True,fast greedy budget=450
122,composite_greedy_ab_122_r1_278_a955_a607_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_122_r1_278_a955_a607_h0.asset,38,32,126,0.917,True,fast greedy budget=450
123,composite_greedy_ab_123_r1_165_a691_a869_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_123_r1_165_a691_a869_h0.asset,45,36,155,0.927,True,fast greedy budget=465
124,composite_greedy_ab_124_r2_221_a818_a869_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_124_r2_221_a818_a869_h0.asset,46,36,169,0.925,True,fast greedy budget=507
125,composite_greedy_ab_125_r2_110_a607_z191_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_125_r2_110_a607_z191_h0.asset,43,32,134,0.935,True,fast greedy budget=450
126,composite_greedy_ab_126_r2_048_a491_r1_200_a761_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_126_r2_048_a491_r1_200_a761_h0.asset,50,32,141,0.938,True,fast greedy budget=450
127,composite_greedy_ab_127_r2_149_a654_a764_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_127_r2_149_a654_a764_h0.asset,48,34,141,0.933,True,fast greedy budget=450
128,composite_greedy_ab_128_r2_012_a419_a716_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_128_r2_012_a419_a716_h0.asset,38,29,133,0.913,True,fast greedy budget=450
129,composite_greedy_ab_129_r2_071_a528_a761_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_129_r2_071_a528_a761_h0.asset,44,33,125,0.939,True,fast greedy budget=450
130,composite_greedy_ab_130_r2_029_a456_a716_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_130_r2_029_a456_a716_h0.asset,44,29,130,0.904,True,fast greedy budget=450
131,composite_greedy_ab_131_r2_149_a654_r1_219_a811_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_131_r2_149_a654_r1_219_a811_h0.asset,46,29,126,0.921,True,fast greedy budget=450
132,composite_greedy_ab_132_r2_048_a491_r1_140_a635_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_132_r2_048_a491_r1_140_a635_h0.asset,51,32,153,0.926,True,fast greedy budget=459
133,composite_greedy_ab_133_r2_103_a593_r1_271_a943_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_133_r2_103_a593_r1_271_a943_h0.asset,46,28,128,0.910,True,fast greedy budget=450
134,composite_greedy_ab_134_r1_149_a654_r1_140_a635_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_134_r1_149_a654_r1_140_a635_h0.asset,44,31,121,0.926,True,fast greedy budget=450
135,composite_greedy_ab_135_r2_010_a417_a632_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_135_r2_010_a417_a632_h0.asset,45,32,149,0.901,True,fast greedy budget=450
136,composite_greedy_ab_136_r1_235_a852_a677_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_136_r1_235_a852_a677_h0.asset,44,30,124,0.903,True,fast greedy budget=450
137,composite_greedy_ab_137_r2_048_a491_a957_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_137_r2_048_a491_a957_h0.asset,45,32,131,0.902,True,fast greedy budget=450
138,composite_greedy_ab_138_r1_178_a716_z097_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_138_r1_178_a716_z097_h0.asset,39,29,127,0.913,True,fast greedy budget=450
139,composite_greedy_ab_139_r2_236_a855_a809_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_139_r2_236_a855_a809_h0.asset,46,28,136,0.927,True,fast greedy budget=450
140,composite_greedy_ab_140_r2_149_a654_r1_067_a524_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_140_r2_149_a654_r1_067_a524_h0.asset,47,32,147,0.921,True,fast greedy budget=450
141,composite_greedy_ab_141_r2_010_a417_r1_067_a524_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_141_r2_010_a417_r1_067_a524_h0.asset,50,32,166,0.905,True,fast greedy budget=498
142,composite_greedy_ab_142_z103_r1_067_a524_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_142_z103_r1_067_a524_h0.asset,56,36,162,0.911,True,fast greedy budget=486
143,composite_greedy_ab_143_r1_149_a654_r1_201_a764_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_143_r1_149_a654_r1_201_a764_h0.asset,49,34,151,0.916,True,fast greedy budget=453
144,composite_greedy_ab_144_r1_097_a581_r1_201_a764_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_144_r1_097_a581_r1_201_a764_h0.asset,51,34,169,0.910,True,fast greedy budget=507
145,composite_greedy_ab_145_r2_233_a846_z191_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_145_r2_233_a846_z191_h0.asset,45,30,138,0.933,True,fast greedy budget=450
146,composite_greedy_ab_146_r1_221_a818_r2_041_a473_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_146_r1_221_a818_r2_041_a473_h0.asset,41,28,123,0.907,True,fast greedy budget=450
147,composite_greedy_ab_147_z041_a954_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_147_z041_a954_h0.asset,52,36,151,0.901,True,fast greedy budget=453
148,composite_greedy_ab_148_r1_278_a955_r1_178_a716_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_148_r1_278_a955_r1_178_a716_h0.asset,39,29,137,0.912,True,fast greedy budget=450
149,composite_greedy_ab_149_r1_236_a855_a809_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_149_r1_236_a855_a809_h0.asset,44,28,126,0.923,True,fast greedy budget=450
150,composite_greedy_ab_150_r1_089_a565_a869_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_150_r1_089_a565_a869_h0.asset,49,36,176,0.909,True,fast greedy budget=528
