rank,id,path,source,transform,width,height,chains,coverage,greedy,quality,details
71,composite_portrait150_071_composite_greedy_ab_078_r2_208_a782_a869_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_071_composite_greedy_ab_078_r2_208_a782_a869_h0_rot90.asset,composite_greedy_ab_078_r2_208_a782_a869_h0,rot90,36,48,161,0.916,True,localEmpty=0.359,fast greedy budget=483
72,composite_portrait150_072_composite_greedy_ab_079_r1_208_a782_a869_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_072_composite_greedy_ab_079_r1_208_a782_a869_h0_rot90.asset,composite_greedy_ab_079_r1_208_a782_a869_h0,rot90,36,46,148,0.916,True,localEmpty=0.359,fast greedy budget=450
73,composite_portrait150_073_composite_greedy_ab_080_r1_249_a879_a716_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_073_composite_greedy_ab_080_r1_249_a879_a716_h0_rot90.asset,composite_greedy_ab_080_r1_249_a879_a716_h0,rot90,29,39,127,0.927,True,localEmpty=0.281,fast greedy budget=450
74,composite_portrait150_074_composite_greedy_ab_081_r2_237_a857_z106_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_074_composite_greedy_ab_081_r2_237_a857_z106_h0_rot90.asset,composite_greedy_ab_081_r2_237_a857_z106_h0,rot90,28,41,129,0.903,True,localEmpty=0.281,fast greedy budget=450
75,composite_portrait150_075_composite_greedy_ab_082_r2_048_a491_z041_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_075_composite_greedy_ab_082_r2_048_a491_z041_h0_rot90.asset,composite_greedy_ab_082_r2_048_a491_z041_h0,rot90,32,46,132,0.929,True,localEmpty=0.266,fast greedy budget=450
76,composite_portrait150_076_composite_greedy_ab_083_r1_029_a456_r2_055_a501__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_076_composite_greedy_ab_083_r1_029_a456_r2_055_a501__rot90.asset,composite_greedy_ab_083_r1_029_a456_r2_055_a501_h0,rot90,30,46,129,0.906,True,localEmpty=0.328,fast greedy budget=450
77,composite_portrait150_077_composite_greedy_ab_084_r1_249_a879_r2_040_a472__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_077_composite_greedy_ab_084_r1_249_a879_r2_040_a472__rot90.asset,composite_greedy_ab_084_r1_249_a879_r2_040_a472_h0,rot90,29,40,124,0.928,True,localEmpty=0.266,fast greedy budget=450
78,composite_portrait150_078_composite_greedy_ab_085_r2_149_a654_a966_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_078_composite_greedy_ab_085_r2_149_a654_a966_h0_rot90.asset,composite_greedy_ab_085_r2_149_a654_a966_h0,rot90,29,40,131,0.931,True,localEmpty=0.297,fast greedy budget=450
79,composite_portrait150_079_composite_greedy_ab_086_r2_237_a857_a883_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_079_composite_greedy_ab_086_r2_237_a857_a883_h0_rot90.asset,composite_greedy_ab_086_r2_237_a857_a883_h0,rot90,31,47,149,0.916,True,localEmpty=0.375,fast greedy budget=450
80,composite_portrait150_080_composite_greedy_ab_087_r1_235_a852_a811_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_080_composite_greedy_ab_087_r1_235_a852_a811_h0_rot90.asset,composite_greedy_ab_087_r1_235_a852_a811_h0,rot90,30,47,133,0.917,True,localEmpty=0.297,fast greedy budget=450
81,composite_portrait150_081_composite_greedy_ab_088_r2_012_a419_a635_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_081_composite_greedy_ab_088_r2_012_a419_a635_h0_rot90.asset,composite_greedy_ab_088_r2_012_a419_a635_h0,rot90,31,41,124,0.901,True,localEmpty=0.344,fast greedy budget=450
82,composite_portrait150_082_composite_greedy_ab_089_r1_249_a879_a588_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_082_composite_greedy_ab_089_r1_249_a879_a588_h0_rot90.asset,composite_greedy_ab_089_r1_249_a879_a588_h0,rot90,29,41,124,0.934,True,localEmpty=0.266,fast greedy budget=450
83,composite_portrait150_083_composite_greedy_ab_092_r1_110_a607_r1_200_a761__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_083_composite_greedy_ab_092_r1_110_a607_r1_200_a761__rot90.asset,composite_greedy_ab_092_r1_110_a607_r1_200_a761_h0,rot90,32,45,132,0.951,True,localEmpty=0.281,fast greedy budget=450
84,composite_portrait150_084_composite_greedy_ab_093_r1_097_a581_z020_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_084_composite_greedy_ab_093_r1_097_a581_z020_h0_rot90.asset,composite_greedy_ab_093_r1_097_a581_z020_h0,rot90,32,43,128,0.911,True,localEmpty=0.281,fast greedy budget=450
85,composite_portrait150_085_composite_greedy_ab_094_r1_097_a581_a869_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_085_composite_greedy_ab_094_r1_097_a581_a869_h0_rot90.asset,composite_greedy_ab_094_r1_097_a581_a869_h0,rot90,36,49,172,0.919,True,localEmpty=0.391,fast greedy budget=516
86,composite_portrait150_086_composite_greedy_ab_095_r2_070_a527_a811_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_086_composite_greedy_ab_095_r2_070_a527_a811_h0_rot90.asset,composite_greedy_ab_095_r2_070_a527_a811_h0,rot90,29,41,123,0.902,True,localEmpty=0.375,fast greedy budget=450
87,composite_portrait150_087_composite_greedy_ab_096_r2_179_a717_a811_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_087_composite_greedy_ab_096_r2_179_a717_a811_h0_rot90.asset,composite_greedy_ab_096_r2_179_a717_a811_h0,rot90,29,46,122,0.902,True,localEmpty=0.391,fast greedy budget=450
88,composite_portrait150_088_composite_greedy_ab_097_r2_165_a691_r1_067_a524__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_088_composite_greedy_ab_097_r2_165_a691_r1_067_a524__rot90.asset,composite_greedy_ab_097_r2_165_a691_r1_067_a524_h0,rot90,35,43,155,0.902,True,localEmpty=0.297,fast greedy budget=465
89,composite_portrait150_089_composite_greedy_ab_098_r2_237_a857_r2_152_a661__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_089_composite_greedy_ab_098_r2_237_a857_r2_152_a661__rot90.asset,composite_greedy_ab_098_r2_237_a857_r2_152_a661_h0,rot90,28,43,120,0.911,True,localEmpty=0.297,fast greedy budget=450
90,composite_portrait150_090_composite_greedy_ab_099_r1_245_a871_r2_041_a473__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_090_composite_greedy_ab_099_r1_245_a871_r2_041_a473__rot90.asset,composite_greedy_ab_099_r1_245_a871_r2_041_a473_h0,rot90,26,42,122,0.916,True,localEmpty=0.234,fast greedy budget=450
91,composite_portrait150_091_composite_greedy_ab_100_a584_z041_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_091_composite_greedy_ab_100_a584_z041_h0_rot90.asset,composite_greedy_ab_100_a584_z041_h0,rot90,32,42,132,0.910,True,localEmpty=0.266,fast greedy budget=450
92,composite_portrait150_092_composite_greedy_ab_101_r1_149_a654_r1_067_a524__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_092_composite_greedy_ab_101_r1_149_a654_r1_067_a524__rot90.asset,composite_greedy_ab_101_r1_149_a654_r1_067_a524_h0,rot90,32,45,136,0.912,True,localEmpty=0.313,fast greedy budget=450
93,composite_portrait150_093_composite_greedy_ab_102_r1_208_a782_a954_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_093_composite_greedy_ab_102_r1_208_a782_a954_h0_rot90.asset,composite_greedy_ab_102_r1_208_a782_a954_h0,rot90,36,52,148,0.918,True,localEmpty=0.359,fast greedy budget=450
94,composite_portrait150_094_composite_greedy_ab_103_r1_235_a852_a761_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_094_composite_greedy_ab_103_r1_235_a852_a761_h0_rot90.asset,composite_greedy_ab_103_r1_235_a852_a761_h0,rot90,30,46,122,0.954,True,localEmpty=0.219,fast greedy budget=450
95,composite_portrait150_095_composite_greedy_ab_105_r1_290_a987_r1_200_a761__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_095_composite_greedy_ab_105_r1_290_a987_r1_200_a761__rot90.asset,composite_greedy_ab_105_r1_290_a987_r1_200_a761_h0,rot90,32,45,123,0.920,True,localEmpty=0.313,fast greedy budget=450
96,composite_portrait150_096_composite_greedy_ab_106_r2_155_a667_a883_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_096_composite_greedy_ab_106_r2_155_a667_a883_h0_rot90.asset,composite_greedy_ab_106_r2_155_a667_a883_h0,rot90,31,45,145,0.900,True,localEmpty=0.313,fast greedy budget=450
97,composite_portrait150_097_composite_greedy_ab_107_r2_012_a419_a588_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_097_composite_greedy_ab_107_r2_012_a419_a588_h0_rot90.asset,composite_greedy_ab_107_r2_012_a419_a588_h0,rot90,29,40,130,0.913,True,localEmpty=0.250,fast greedy budget=450
98,composite_portrait150_098_composite_greedy_ab_109_r2_179_a717_r2_041_a473__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_098_composite_greedy_ab_109_r2_179_a717_r2_041_a473__rot90.asset,composite_greedy_ab_109_r2_179_a717_r2_041_a473_h0,rot90,29,46,134,0.903,True,localEmpty=0.344,fast greedy budget=450
99,composite_portrait150_099_composite_greedy_ab_110_r2_012_a419_r2_069_a526__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_099_composite_greedy_ab_110_r2_012_a419_r2_069_a526__rot90.asset,composite_greedy_ab_110_r2_012_a419_r2_069_a526_h0,rot90,28,39,122,0.905,True,localEmpty=0.359,fast greedy budget=450
100,composite_portrait150_100_composite_greedy_ab_111_r1_165_a691_r1_067_a524__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_100_composite_greedy_ab_111_r1_165_a691_r1_067_a524__rot90.asset,composite_greedy_ab_111_r1_165_a691_r1_067_a524_h0,rot90,32,43,142,0.925,True,localEmpty=0.188,fast greedy budget=450
101,composite_portrait150_101_composite_greedy_ab_112_r1_165_a691_r2_139_a632__rot270,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_101_composite_greedy_ab_112_r1_165_a691_r2_139_a632__rot270.asset,composite_greedy_ab_112_r1_165_a691_r2_139_a632_h0,rot270,35,40,151,0.927,True,localEmpty=0.250,fast greedy budget=453
102,composite_portrait150_102_composite_greedy_ab_113_r1_152_a661_r1_178_a716__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_102_composite_greedy_ab_113_r1_152_a661_r1_178_a716__rot90.asset,composite_greedy_ab_113_r1_152_a661_r1_178_a716_h0,rot90,29,41,122,0.908,True,localEmpty=0.328,fast greedy budget=450
103,composite_portrait150_103_composite_greedy_ab_114_r1_097_a581_a954_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_103_composite_greedy_ab_114_r1_097_a581_a954_h0_rot90.asset,composite_greedy_ab_114_r1_097_a581_a954_h0,rot90,36,55,169,0.903,True,localEmpty=0.422,fast greedy budget=507
104,composite_portrait150_104_composite_greedy_ab_115_r2_233_a846_z041_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_104_composite_greedy_ab_115_r2_233_a846_z041_h0_rot90.asset,composite_greedy_ab_115_r2_233_a846_z041_h0,rot90,30,45,134,0.921,True,localEmpty=0.250,fast greedy budget=450
105,composite_portrait150_105_composite_greedy_ab_116_r1_097_a581_r2_139_a632__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_105_composite_greedy_ab_116_r1_097_a581_r2_139_a632__rot90.asset,composite_greedy_ab_116_r1_097_a581_r2_139_a632_h0,rot90,35,44,167,0.915,True,localEmpty=0.406,fast greedy budget=501
106,composite_portrait150_106_composite_greedy_ab_117_r1_048_a491_r2_279_a957__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_106_composite_greedy_ab_117_r1_048_a491_r2_279_a957__rot90.asset,composite_greedy_ab_117_r1_048_a491_r2_279_a957_h0,rot90,32,45,136,0.903,True,localEmpty=0.344,fast greedy budget=450
107,composite_portrait150_107_composite_greedy_ab_118_a846_r1_067_a524_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_107_composite_greedy_ab_118_a846_r1_067_a524_h0_rot90.asset,composite_greedy_ab_118_a846_r1_067_a524_h0,rot90,32,45,141,0.911,True,localEmpty=0.219,fast greedy budget=450
108,composite_portrait150_108_composite_greedy_ab_119_r1_154_a665_a607_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_108_composite_greedy_ab_119_r1_154_a665_a607_h0_rot90.asset,composite_greedy_ab_119_r1_154_a665_a607_h0,rot90,32,46,121,0.904,True,localEmpty=0.344,fast greedy budget=450
109,composite_portrait150_109_composite_greedy_ab_120_r1_165_a691_r2_200_a761__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_109_composite_greedy_ab_120_r1_165_a691_r2_200_a761__rot90.asset,composite_greedy_ab_120_r1_165_a691_r2_200_a761_h0,rot90,32,43,123,0.915,True,localEmpty=0.344,fast greedy budget=450
110,composite_portrait150_110_composite_greedy_ab_121_r1_290_a987_a632_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_110_composite_greedy_ab_121_r1_290_a987_a632_h0_rot90.asset,composite_greedy_ab_121_r1_290_a987_a632_h0,rot90,32,42,133,0.925,True,localEmpty=0.313,fast greedy budget=450
111,composite_portrait150_111_composite_greedy_ab_122_r1_278_a955_a607_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_111_composite_greedy_ab_122_r1_278_a955_a607_h0_rot90.asset,composite_greedy_ab_122_r1_278_a955_a607_h0,rot90,32,38,126,0.917,True,localEmpty=0.297,fast greedy budget=450
112,composite_portrait150_112_composite_greedy_ab_123_r1_165_a691_a869_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_112_composite_greedy_ab_123_r1_165_a691_a869_h0_rot90.asset,composite_greedy_ab_123_r1_165_a691_a869_h0,rot90,36,45,155,0.927,True,localEmpty=0.422,fast greedy budget=465
113,composite_portrait150_113_composite_greedy_ab_125_r2_110_a607_z191_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_113_composite_greedy_ab_125_r2_110_a607_z191_h0_rot90.asset,composite_greedy_ab_125_r2_110_a607_z191_h0,rot90,32,43,134,0.935,True,localEmpty=0.281,fast greedy budget=450
114,composite_portrait150_114_composite_greedy_ab_126_r2_048_a491_r1_200_a761__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_114_composite_greedy_ab_126_r2_048_a491_r1_200_a761__rot90.asset,composite_greedy_ab_126_r2_048_a491_r1_200_a761_h0,rot90,32,50,141,0.938,True,localEmpty=0.359,fast greedy budget=450
115,composite_portrait150_115_composite_greedy_ab_127_r2_149_a654_a764_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_115_composite_greedy_ab_127_r2_149_a654_a764_h0_rot90.asset,composite_greedy_ab_127_r2_149_a654_a764_h0,rot90,34,48,141,0.933,True,localEmpty=0.375,fast greedy budget=450
116,composite_portrait150_116_composite_greedy_ab_128_r2_012_a419_a716_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_116_composite_greedy_ab_128_r2_012_a419_a716_h0_rot90.asset,composite_greedy_ab_128_r2_012_a419_a716_h0,rot90,29,38,133,0.913,True,localEmpty=0.297,fast greedy budget=450
117,composite_portrait150_117_composite_greedy_ab_129_r2_071_a528_a761_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_117_composite_greedy_ab_129_r2_071_a528_a761_h0_rot90.asset,composite_greedy_ab_129_r2_071_a528_a761_h0,rot90,33,44,125,0.939,True,localEmpty=0.266,fast greedy budget=450
118,composite_portrait150_118_composite_greedy_ab_130_r2_029_a456_a716_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_118_composite_greedy_ab_130_r2_029_a456_a716_h0_rot90.asset,composite_greedy_ab_130_r2_029_a456_a716_h0,rot90,29,44,130,0.904,True,localEmpty=0.391,fast greedy budget=450
119,composite_portrait150_119_composite_greedy_ab_131_r2_149_a654_r1_219_a811__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_119_composite_greedy_ab_131_r2_149_a654_r1_219_a811__rot90.asset,composite_greedy_ab_131_r2_149_a654_r1_219_a811_h0,rot90,29,46,126,0.921,True,localEmpty=0.313,fast greedy budget=450
120,composite_portrait150_120_composite_greedy_ab_132_r2_048_a491_r1_140_a635__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_120_composite_greedy_ab_132_r2_048_a491_r1_140_a635__rot90.asset,composite_greedy_ab_132_r2_048_a491_r1_140_a635_h0,rot90,32,51,153,0.926,True,localEmpty=0.297,fast greedy budget=459
121,composite_portrait150_121_composite_greedy_ab_133_r2_103_a593_r1_271_a943__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_121_composite_greedy_ab_133_r2_103_a593_r1_271_a943__rot90.asset,composite_greedy_ab_133_r2_103_a593_r1_271_a943_h0,rot90,28,46,128,0.910,True,localEmpty=0.281,fast greedy budget=450
122,composite_portrait150_122_composite_greedy_ab_134_r1_149_a654_r1_140_a635__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_122_composite_greedy_ab_134_r1_149_a654_r1_140_a635__rot90.asset,composite_greedy_ab_134_r1_149_a654_r1_140_a635_h0,rot90,31,44,121,0.926,True,localEmpty=0.281,fast greedy budget=450
123,composite_portrait150_123_composite_greedy_ab_135_r2_010_a417_a632_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_123_composite_greedy_ab_135_r2_010_a417_a632_h0_rot90.asset,composite_greedy_ab_135_r2_010_a417_a632_h0,rot90,32,45,149,0.901,True,localEmpty=0.359,fast greedy budget=450
124,composite_portrait150_124_composite_greedy_ab_136_r1_235_a852_a677_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_124_composite_greedy_ab_136_r1_235_a852_a677_h0_rot90.asset,composite_greedy_ab_136_r1_235_a852_a677_h0,rot90,30,44,124,0.903,True,localEmpty=0.438,fast greedy budget=450
125,composite_portrait150_125_composite_greedy_ab_137_r2_048_a491_a957_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_125_composite_greedy_ab_137_r2_048_a491_a957_h0_rot90.asset,composite_greedy_ab_137_r2_048_a491_a957_h0,rot90,32,45,131,0.902,True,localEmpty=0.375,fast greedy budget=450
126,composite_portrait150_126_composite_greedy_ab_138_r1_178_a716_z097_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_126_composite_greedy_ab_138_r1_178_a716_z097_h0_rot90.asset,composite_greedy_ab_138_r1_178_a716_z097_h0,rot90,29,39,127,0.913,True,localEmpty=0.234,fast greedy budget=450
127,composite_portrait150_127_composite_greedy_ab_139_r2_236_a855_a809_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_127_composite_greedy_ab_139_r2_236_a855_a809_h0_rot90.asset,composite_greedy_ab_139_r2_236_a855_a809_h0,rot90,28,46,136,0.927,True,localEmpty=0.359,fast greedy budget=450
128,composite_portrait150_128_composite_greedy_ab_140_r2_149_a654_r1_067_a524__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_128_composite_greedy_ab_140_r2_149_a654_r1_067_a524__rot90.asset,composite_greedy_ab_140_r2_149_a654_r1_067_a524_h0,rot90,32,47,147,0.921,True,localEmpty=0.250,fast greedy budget=450
129,composite_portrait150_129_composite_greedy_ab_141_r2_010_a417_r1_067_a524__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_129_composite_greedy_ab_141_r2_010_a417_r1_067_a524__rot90.asset,composite_greedy_ab_141_r2_010_a417_r1_067_a524_h0,rot90,32,50,166,0.905,True,localEmpty=0.359,fast greedy budget=498
130,composite_portrait150_130_composite_greedy_ab_142_z103_r1_067_a524_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_130_composite_greedy_ab_142_z103_r1_067_a524_h0_rot90.asset,composite_greedy_ab_142_z103_r1_067_a524_h0,rot90,36,56,162,0.911,True,localEmpty=0.406,fast greedy budget=486
131,composite_portrait150_131_composite_greedy_ab_145_r2_233_a846_z191_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_131_composite_greedy_ab_145_r2_233_a846_z191_h0_rot90.asset,composite_greedy_ab_145_r2_233_a846_z191_h0,rot90,30,45,138,0.933,True,localEmpty=0.141,fast greedy budget=450
132,composite_portrait150_132_composite_greedy_ab_146_r1_221_a818_r2_041_a473__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_132_composite_greedy_ab_146_r1_221_a818_r2_041_a473__rot90.asset,composite_greedy_ab_146_r1_221_a818_r2_041_a473_h0,rot90,28,41,123,0.907,True,localEmpty=0.359,fast greedy budget=450
133,composite_portrait150_133_composite_greedy_ab_148_r1_278_a955_r1_178_a716__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_133_composite_greedy_ab_148_r1_278_a955_r1_178_a716__rot90.asset,composite_greedy_ab_148_r1_278_a955_r1_178_a716_h0,rot90,29,39,137,0.912,True,localEmpty=0.313,fast greedy budget=450
134,composite_portrait150_134_composite_greedy_ab_149_r1_236_a855_a809_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_134_composite_greedy_ab_149_r1_236_a855_a809_h0_rot90.asset,composite_greedy_ab_149_r1_236_a855_a809_h0,rot90,28,44,126,0.923,True,localEmpty=0.328,fast greedy budget=450
135,composite_portrait150_135_composite_greedy_ab_150_r1_089_a565_a869_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_135_composite_greedy_ab_150_r1_089_a565_a869_h0_rot90.asset,composite_greedy_ab_150_r1_089_a565_a869_h0,rot90,36,49,176,0.909,True,localEmpty=0.391,fast greedy budget=528
