"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile","templateTargetChains","templateTargetChainsMin","templateTargetChainsMax","templateTargetWidth","templateTargetHeight","actualChains","actualArrowTiles","actualMaxChain","actualAvgChain","effectiveChainLoad","sectionWaveRole","rhythmStageBand","rhythmPlacementReason","rhythmStyleGroup","rhythmChainDelta","rhythmEffectiveDelta","rhythmCandidateDifficultyScore"
"234","24","334","Main/Level_Main_234","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset","nomask_style_expansion_16_zig_river_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L234_nomask_style_expansion_16_zig_river_a.asset","normal","FlowCurve","rail_chain","NormalFlow","0.996","10","5","3","0.903","0.133","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=54;stageTarget=54;effective=50.5;chains=45;role=Recovery;style=flow;chain=rail_chain;cost=50.7","False","campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset","flow","rail_chain","NormalFlow","False","False","","20","27","45","","22","11.96","","337","54","49","59","18","25","45","538","22","11.96","50.47","Recovery","S03_front300_quality","target=54;stageTarget=54;effective=50.5;chains=45;role=Recovery;style=flow;chain=rail_chain;cost=50.7","flow","-9.0","-3.5","3.571"
"235","24","335","Main/Level_Main_235_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_topup_045_topup_wide_28x22_dual","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L235_hole_topup_045_topup_wide_28x22_dual.asset","hole_topup_045_topup_wide_28x22_dual","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L235_hole_topup_045_topup_wide_28x22_dual.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","58","52","64","28","22","","","","","","HoleRescue","S03_front300_quality","unchanged_from_v3_or_non_normal","","","",""
"236","24","336","Main/Level_Main_236","normal","困难","Pressure","Hard","ReplacedRhythmV4","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","direct_normal_topup_47_direct_normal_topup_rect_quasi_symmetry_g11_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L236_direct_normal_topup_47_direct_normal_topup_rect_qu.asset","normal","Campaign500_HardGateUntil0910","choice_clamp_chain","","0.982","7","6","6","0.845","0.254","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=107;stageTarget=107;effective=77.2;chains=68;role=Hard;style=hardgate;chain=choice_clamp_chain;cost=112.8","False","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","hardgate","choice_clamp_chain","","False","False","","23","31","68","","21","10.29","","172","107","96","118","21","39","68","700","21","10.29","77.20","Hard","S03_front300_quality","target=107;stageTarget=107;effective=77.2;chains=68;role=Hard;style=hardgate;chain=choice_clamp_chain;cost=112.8","hardgate","-39.0","-29.8","4.406"
"237","24","337","Main/Level_Main_237","normal","普通/恢复","Normal","","ReplacedRhythmV4","campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain.asset","direct_normal_71_direct_normal_rect_outer_shell_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L237_direct_normal_71_direct_normal_rect_outer_shell_g1.asset","normal","NeutralMixed","mixed_chain","NormalNeutral","0.973","9","5","5","0.926","0.092","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=104;stageTarget=104;effective=70.5;chains=68;role=Normal;style=neutral;chain=mixed_chain;cost=128.2","False","campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain.asset","neutral","mixed_chain","NormalNeutral","False","False","","22","30","68","","21","9.44","","174","104","94","114","23","34","68","642","21","9.44","70.47","Normal","S03_front300_quality","target=104;stageTarget=104;effective=70.5;chains=68;role=Normal;style=neutral;chain=mixed_chain;cost=128.2","neutral","-36.0","-33.5","3.964"
"238","24","338","Main/Level_Main_238","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10d_04_L238_cactus","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_04_L238_cactus.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_07_main_cactus","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L238_r2_outer_strong_005_r2_006_a401_maskonlyb04_07_mai.asset","shape_psg_inventory","","","","0.986","10","8","4","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10d_04_L238_cactus","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_04_L238_cactus.asset","CoreBurst","","TraceKeeper","False","False","","","","106","6.93","","","","CoreBurst","106","95","117","34","42","106","785","18","7.41","","Shape","S03_front300_quality","unchanged_from_v3_or_non_normal","","","",""
"239","24","339","Main/Level_Main_239","normal","极难","Peak","Peak","ReplacedRhythmV4","campaign500_longchain_prod200_pool_v1_26_l031_long_normal_a_sweep_s04_slot_seedweave_braid_carrier","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_26_l031_long_normal_a_sweep_s04_slot_seedweave_braid_carrier.asset","direct_polish_hard_19_direct_polish_hard_rect_section_unlock_g6_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L239_direct_polish_hard_19_direct_polish_hard_rect_sect.asset","normal","slot_seedweave_braid_carrier","family_profile_chain","LongNormalA","0.9463","9","3","3","0.96","0.062","","","ActiveReplace","SeedV5LongChain30Front300","","RhythmV4Front300TraceKeep","rhythm_v4|target=171;stageTarget=171;effective=73.0;chains=26;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=262.1","False","campaign500_longchain_prod200_pool_v1_26_l031_long_normal_a_sweep_s04_slot_seedweave_braid_carrier","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_26_l031_long_normal_a_sweep_s04_slot_seedweave_braid_carrier.asset","longchain","family_profile_chain","LongNormalA","False","False","","17","23","26","","44","14.23","","31","171","154","188","24","44","26","370","44","14.23","73.00","PeakExtreme","S03_front300_quality","target=171;stageTarget=171;effective=73.0;chains=26;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=262.1","longchain","-145.0","-98.0","4.317"
"240","24","340","Main/Level_Main_240","normal","普通/恢复","Recovery","","ReplacedRhythmV4","campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain.asset","direct_polish_clean_05_direct_polish_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L240_direct_polish_clean_05_direct_polish_normal_rect_d.asset","normal","PeelLight","rail_chain","NormalPeelLight","0.979","10","5","5","0.832","0.245","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=117;stageTarget=117;effective=76.2;chains=69;role=Recovery;style=peel;chain=rail_chain;cost=173.2","False","campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain.asset","peel","rail_chain","NormalPeelLight","False","False","","22","30","69","","21","9.36","","411","117","105","129","20","36","69","646","21","9.36","76.15","Recovery","S03_front300_quality","target=117;stageTarget=117;effective=76.2;chains=69;role=Recovery;style=peel;chain=rail_chain;cost=173.2","peel","-48.0","-40.8","4.246"
"241","25","341","Main/Level_Main_241","normal","普通/恢复","Recovery","","ReplacedRhythmV4","c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain.asset","direct_diff120_105_direct_diff_hard_long_spine_long_corridor_g1_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L241_direct_diff120_105_direct_diff_hard_long_spine_lon.asset","normal","PeelHard","rail_chain","Peak","0.982","9","4","4","0.82","0.221","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=119;stageTarget=119;effective=77.4;chains=69;role=Recovery;style=hardgate;chain=rail_chain;cost=181.6","False","c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain.asset","hardgate","rail_chain","Peak","False","False","","22","30","69","","21","9.39","","65","119","107","131","23","42","69","648","21","9.39","77.38","Recovery","S03_front300_quality","target=119;stageTarget=119;effective=77.4;chains=69;role=Recovery;style=hardgate;chain=rail_chain;cost=181.6","hardgate","-50.0","-41.6","4.314"
"242","25","342","Main/Level_Main_242_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_highchain_004_hc_32x28_dual_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L242_hole_highchain_004_hc_32x28_dual_a.asset","hole_highchain_004_hc_32x28_dual_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L242_hole_highchain_004_hc_32x28_dual_a.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","83","75","91","32","28","","","","","","HoleRescue","S03_front300_quality","unchanged_from_v3_or_non_normal","","","",""
"243","25","343","Main/Level_Main_243","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10d_05_L243_house","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_05_L243_house.asset","r2_outer_strong_005_r2_006_a401_maskonlyb03_01_main_house","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L243_r2_outer_strong_005_r2_006_a401_maskonlyb03_01_mai.asset","shape_psg_inventory","","","","0.991","9","8","5","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10d_05_L243_house","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_05_L243_house.asset","LockBuckle","","TraceKeeper","False","False","","","","115","5.83","","","","LockBuckle","120","108","132","36","38","115","851","17","7.40","","Shape","S03_front300_quality","unchanged_from_v3_or_non_normal","","","",""
"244","25","344","Main/Level_Main_244","normal","普通/恢复","Normal","","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain.asset","direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L244_direct_normal_topup_62_direct_normal_topup_rect_st.asset","normal","FlowPatch","patch_chain","NormalFlow","0.98","8","6","5","0.883","0.174","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=115;stageTarget=115;effective=70.4;chains=66;role=Normal;style=flow;chain=patch_chain;cost=163.7","False","campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain.asset","flow","patch_chain","NormalFlow","False","False","","22","30","66","","21","9.80","","295","115","103","127","22","40","66","647","21","9.80","70.44","Normal","S03_front300_quality","target=115;stageTarget=115;effective=70.4;chains=66;role=Normal;style=flow;chain=patch_chain;cost=163.7","flow","-49.0","-44.6","4.011"
"245","25","345","Main/Level_Main_245","normal","特别困难","Pressure","Peak","ReplacedRhythmV4","nutation_longchain_candidate80_holefix_v1_12_nutation_longchain_spine_v1_rect_c80hf_03_d1_weave_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_12_nutation_longchain_spine_v1_rect_c80hf_03_d1_weave_spine.asset","direct_polish_clean_22_direct_polish_normal_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L245_direct_polish_clean_22_direct_polish_normal_rect_c.asset","normal","maze_long_chain","spine_chain","","0.947","7","5","5","0.885","0.151","","","ActiveReplace","NutationLongChainStrict60Front300","","RhythmV4Front300TraceKeep","rhythm_v4|target=150;stageTarget=150;effective=66.5;chains=51;role=PeakExtreme;style=longchain;chain=spine_chain;cost=212.4","False","nutation_longchain_candidate80_holefix_v1_12_nutation_longchain_spine_v1_rect_c80hf_03_d1_weave_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_12_nutation_longchain_spine_v1_rect_c80hf_03_d1_weave_spine.asset","longchain","spine_chain","","False","False","","24","32","51","","26","14.25","","","150","135","165","23","41","51","727","26","14.25","66.52","PeakExtreme","S03_front300_quality","target=150;stageTarget=150;effective=66.5;chains=51;role=PeakExtreme;style=longchain;chain=spine_chain;cost=212.4","longchain","-99.0","-83.5","4.243"
"246","25","346","Main/Level_Main_246","normal","普通/恢复","Recovery","","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain.asset","direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L246_direct_normal_150_direct_normal_rect_maze_long_cha.asset","normal","FlowCurve","curve_chain","NormalFlow","0.989","9","5","5","0.884","0.148","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=109;stageTarget=109;effective=69.4;chains=66;role=Recovery;style=flow;chain=curve_chain;cost=152.9","False","campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain.asset","flow","curve_chain","NormalFlow","False","False","","22","30","66","","21","9.89","","275","109","98","120","20","42","66","653","21","9.89","69.37","Recovery","S03_front300_quality","target=109;stageTarget=109;effective=69.4;chains=66;role=Recovery;style=flow;chain=curve_chain;cost=152.9","flow","-43.0","-39.6","3.935"
"247","25","347","Main/Level_Main_247","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_18_large_lollipop","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L247_r2_outer_strong_005_r2_006_a401_maskonlyb02_18_lar.asset","shape_psg_inventory","","","","0.991","12","13","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section.asset","SectionUnlock","","ReviewCandidate","True","False","","","","113","6.43","","","","SectionUnlock","109","98","120","38","47","113","913","17","8.08","","Shape","S03_front300_quality","unchanged_from_v3_or_non_normal","","","",""
"248","25","348","Main/Level_Main_248","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedRhythmV4","c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain.asset","direct_normal_07_direct_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L248_direct_normal_07_direct_normal_rect_dual_zone_g0_v.asset","normal","PeelLight","rail_chain","NormalPeelLight","0.965","10","5","4","0.866","0.109","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=102;stageTarget=102;effective=73.5;chains=68;role=Normal;style=peel;chain=rail_chain;cost=126.8","False","c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain.asset","peel","rail_chain","NormalPeelLight","False","False","","22","30","68","","21","9.37","","402","102","92","112","20","38","68","637","21","9.37","73.52","Normal","S03_front300_quality","target=102;stageTarget=102;effective=73.5;chains=68;role=Normal;style=peel;chain=rail_chain;cost=126.8","peel","-34.0","-28.5","4.177"
"249","25","349","Main/Level_Main_249","normal","特别困难","Pressure","Hard","ReplacedRhythmV4","nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine.asset","direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L249_direct_polish_clean_20_direct_polish_normal_rect_l.asset","normal","maze_long_chain","spine_chain","","0.95","6","5","5","0.862","0.248","","","ActiveReplace","NutationLongChainStrict60Front300","","RhythmV4Front300TraceKeep","rhythm_v4|target=137;stageTarget=137;effective=63.5;chains=50;role=Hard;style=longchain;chain=spine_chain;cost=202.9","False","nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine.asset","longchain","spine_chain","","False","False","","22","30","50","","26","12.54","","","137","123","151","21","41","50","627","26","12.54","63.54","Hard","S03_front300_quality","target=137;stageTarget=137;effective=63.5;chains=50;role=Hard;style=longchain;chain=spine_chain;cost=202.9","longchain","-87.0","-73.5","4.031"
"250","25","350","Main/Level_Main_250","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedRhythmV4","campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","direct_normal_134_direct_normal_rect_dense_weave_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L250_direct_normal_134_direct_normal_rect_dense_weave_g.asset","normal","NeutralMixed","mixed_chain","NormalNeutral","0.982","9","7","2","0.869","0.246","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=107;stageTarget=107;effective=75.9;chains=65;role=Normal;style=neutral;chain=mixed_chain;cost=143.1","False","campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","neutral","mixed_chain","NormalNeutral","False","False","","22","30","65","","21","9.97","","464","107","96","118","23","35","65","648","21","9.97","75.87","Normal","S03_front300_quality","target=107;stageTarget=107;effective=75.9;chains=65;role=Normal;style=neutral;chain=mixed_chain;cost=143.1","neutral","-42.0","-31.1","4.469"
"251","26","351","Main/Level_Main_251_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_047_std_28x24_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L251_hole_candidate_047_std_28x24_shell.asset","hole_candidate_047_std_28x24_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L251_hole_candidate_047_std_28x24_shell.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","59","53","65","28","24","","","","","","HoleRescue","S03_front300_quality","unchanged_from_v3_or_non_normal","","","",""
"252","26","352","Main/Level_Main_252","normal","特别困难","Pressure","Hard","ReplacedRhythmV4","nutation_longchain_candidate80_holefix_s3_v1_02_nutation_longchain_rail_v1_rect_c80hf3_01_d1_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_02_nutation_longchain_rail_v1_rect_c80hf3_01_d1_lock_rail.asset","direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L252_direct_pure_topup_09_06_direct_polish_hard_pure_re.asset","normal","maze_long_chain","rail_chain","","0.945","7","7","7","0.909","0.15","","","ActiveReplace","NutationLongChainStrict60Front300","","RhythmV4Front300TraceKeep","rhythm_v4|target=147;stageTarget=147;effective=65.8;chains=56;role=Hard;style=longchain;chain=rail_chain;cost=225.9","False","nutation_longchain_candidate80_holefix_s3_v1_02_nutation_longchain_rail_v1_rect_c80hf3_01_d1_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_02_nutation_longchain_rail_v1_rect_c80hf3_01_d1_lock_rail.asset","longchain","rail_chain","","False","False","","22","30","56","","22","11.14","","","147","132","162","24","38","56","624","22","11.14","65.82","Hard","S03_front300_quality","target=147;stageTarget=147;effective=65.8;chains=56;role=Hard;style=longchain;chain=rail_chain;cost=225.9","longchain","-91.0","-81.2","4.588"
"253","26","353","Main/Level_Main_253","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_12_main_gear","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L253_r2_outer_strong_005_r2_006_a401_maskonlyb04_12_mai.asset","shape_psg_inventory","","","","0.988","10","6","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","DenseWeave","","TraceKeeper","False","False","","","","108","5.2","","","","DenseWeave","117","105","129","38","38","108","823","18","7.62","","Shape","S03_front300_quality","unchanged_from_v3_or_non_normal","","","",""
