"order","category","replacementMark","isPatch","finalStatus","sourceRoot","sourceKind","templateW","templateH","templateArea","actualW","actualH","actualArea","areaDelta","areaRatio","templateChains","actualChains","chainDelta","productionLane","chainLanguage","placementReason"
"123","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","30","1140","38","30","1140","0","1","90","86","-4","","","unchanged_from_v3_or_non_normal"
"124","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","36","756","25","33","825","69","1.091","96","82","-14","PeelMid","rail_chain","target=96;stageTarget=96;effective=93.5;chains=82;role=Normal;style=hardgate;chain=rail_chain;cost=74.6"
"125","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","34","714","24","32","768","54","1.076","93","76","-17","maze_long_chain","patch_chain","target=93;stageTarget=93;effective=90.0;chains=76;role=Hard;style=longchain;chain=patch_chain;cost=40.7"
"126","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","20","26","520","20","26","520","0","1","50","50","0","","","unchanged_from_v3_or_non_normal"
"127","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","34","1156","34","34","1156","0","1","96","88","-8","","","unchanged_from_v3_or_non_normal"
"128","normal","REPLACED","False","ReplacedRhythmV4Final","","normal","19","34","646","20","27","540","-106","0.836","80","63","-17","NeutralMixed","mixed_chain","rhythm_v4_final|absorbed_order19_soft_candidate|swapped_from_order=19|target=80;stageTarget=80;effective=65.3;chains=63;style=neutral;chain=mixed_chain"
"129","normal","REPLACED","False","ReplacedRhythmV4",".worktrees/campaign500-longchain-prod200-pool","normal","22","35","770","23","29","667","-103","0.866","102","42","-60","slot_seedmaze_chamber_corridor","family_profile_chain","target=102;stageTarget=102;effective=97.1;chains=42;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=43.2"
"130","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","31","682","24","32","768","86","1.126","96","77","-19","PeelHard","rail_chain","target=96;stageTarget=96;effective=90.0;chains=77;role=Normal;style=hardgate;chain=rail_chain;cost=77.2"
"131","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","31","558","24","32","768","210","1.376","81","72","-9","NeutralMixed","mixed_chain","target=81;stageTarget=81;effective=76.2;chains=72;role=Normal;style=neutral;chain=mixed_chain;cost=47.1"
"132","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","32","608","25","33","825","217","1.357","86","81","-5","PeelMid","rail_chain","target=86;stageTarget=86;effective=83.8;chains=81;role=Hard;style=hardgate;chain=rail_chain;cost=26.6"
"133","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","47","1598","34","47","1598","0","1","94","88","-6","","","unchanged_from_v3_or_non_normal"
"134","normal","REPLACED","False","ReplacedRhythmV4","","normal","14","29","406","20","27","540","134","1.33","56","50","-6","FlowRail","rail_chain","target=56;stageTarget=56;effective=58.4;chains=50;role=Normal;style=flow;chain=rail_chain;cost=53.5"
"135","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","20","30","600","20","30","600","0","1","52","52","0","","","unchanged_from_v3_or_non_normal"
"136","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","36","828","34","42","1428","600","1.725","113","99","-14","maze_long_chain","spine_chain","target=113;stageTarget=113;effective=120.5;chains=99;role=PeakExtreme;style=longchain;chain=spine_chain;cost=37.7"
"137","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","31","651","22","30","660","9","1.014","80","72","-8","NeutralMixed","mixed_chain","target=80;stageTarget=80;effective=75.7;chains=72;role=Normal;style=neutral;chain=mixed_chain;cost=44.7"
"138","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","28","44","1232","28","44","1232","0","1","99","90","-9","","","unchanged_from_v3_or_non_normal"
"139","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","39","780","24","32","768","-12","0.985","101","85","-16","PeelHard","rail_chain","target=101;stageTarget=101;effective=102.3;chains=85;role=Recovery;style=hardgate;chain=rail_chain;cost=82.7"
"140","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","34","782","24","32","768","-14","0.982","102","80","-22","Campaign500_HardGateUntil0910","strict_peak_chain","target=102;stageTarget=102;effective=101.8;chains=80;role=Hard;style=hardgate;chain=strict_peak_chain;cost=68.6"
"141","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","39","897","26","34","884","-13","0.986","114","92","-22","Campaign500_HardGateUntil0910","curve_chain","target=114;stageTarget=114;effective=114.1;chains=92;role=Recovery;style=hardgate;chain=curve_chain;cost=98.8"
"142","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","26","24","624","26","24","624","0","1","50","50","0","","","unchanged_from_v3_or_non_normal"
"143","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","42","34","1428","42","34","1428","0","1","87","89","2","","","unchanged_from_v3_or_non_normal"
"144","normal","REPLACED","False","ReplacedRhythmV4",".worktrees/campaign500-longchain-prod200-pool","normal","22","40","880","23","28","644","-236","0.732","113","40","-73","slot_seedmaze_chamber_corridor","family_profile_chain","target=113;stageTarget=113;effective=115.9;chains=40;role=Hard;style=longchain;chain=family_profile_chain;cost=68.6"
"145","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","34","714","23","31","713","-1","0.999","95","77","-18","PeelMid","curve_chain","target=95;stageTarget=95;effective=93.7;chains=77;role=Recovery;style=hardgate;chain=curve_chain;cost=81.2"
"146","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","31","682","22","30","660","-22","0.968","95","71","-24","NeutralMixed","rail_chain","target=95;stageTarget=95;effective=74.9;chains=71;role=Normal;style=neutral;chain=rail_chain;cost=90.0"
"147","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","44","43","1892","44","43","1892","0","1","100","106","6","","","unchanged_from_v3_or_non_normal"
"148","normal","REPLACED","False","ReplacedRhythmV4",".worktrees/campaign500-longchain-prod200-pool","normal","23","37","851","21","27","567","-284","0.666","111","34","-77","slot_headmix_outerclean","family_profile_chain","target=111;stageTarget=111;effective=109.2;chains=34;role=Hard;style=longchain;chain=family_profile_chain;cost=67.2"
"149","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","39","858","23","31","713","-145","0.831","114","98","-16","hub_spoke","mixed_chain","target=114;stageTarget=114;effective=121.0;chains=98;role=PeakExtreme;style=hub;chain=mixed_chain;cost=46.6"
"150","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","37","740","26","35","910","170","1.23","104","84","-20","PeelMid","rail_chain","target=104;stageTarget=104;effective=99.4;chains=84;role=Normal;style=hardgate;chain=rail_chain;cost=87.5"
"151","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","30","30","900","30","30","900","0","1","84","84","0","","","unchanged_from_v3_or_non_normal"
"152","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","39","819","23","31","713","-106","0.871","106","82","-24","Campaign500_HardGateUntil0910","curve_chain","target=106;stageTarget=106;effective=98.1;chains=82;role=Hard;style=hardgate;chain=curve_chain;cost=62.8"
"153","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","43","38","1634","43","38","1634","0","1","115","131","16","","","unchanged_from_v3_or_non_normal"
"154","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","38","874","23","31","713","-161","0.816","113","99","-14","hub_spoke","mixed_chain","target=113;stageTarget=113;effective=122.0;chains=99;role=PeakExtreme;style=hub;chain=mixed_chain;cost=49.7"
"155","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","35","630","23","31","713","83","1.132","84","75","-9","PeelMid","rail_chain","target=84;stageTarget=84;effective=82.7;chains=75;role=Normal;style=hardgate;chain=rail_chain;cost=55.4"
"156","normal","REPLACED","False","ReplacedRhythmV4","","normal","26","29","754","24","32","768","14","1.019","94","74","-20","maze_long_chain","patch_chain","target=94;stageTarget=94;effective=84.4;chains=74;role=PeakExtreme;style=longchain;chain=patch_chain;cost=32.6"
"157","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","33","660","24","32","768","108","1.164","84","80","-4","PressurePeak","mixed_chain","target=84;stageTarget=84;effective=83.3;chains=80;role=Recovery;style=hardgate;chain=mixed_chain;cost=53.4"
"158","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","43","43","1849","43","43","1849","0","1","99","96","-3","","","unchanged_from_v3_or_non_normal"
"159","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","37","777","22","30","660","-117","0.849","100","71","-29","PeelLight","rail_chain","target=100;stageTarget=100;effective=77.0;chains=71;role=Normal;style=peel;chain=rail_chain;cost=107.7"
"160","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","31","651","22","30","660","9","1.014","76","69","-7","NeutralMixed","mixed_chain","target=76;stageTarget=76;effective=75.5;chains=69;role=Normal;style=neutral;chain=mixed_chain;cost=35.6"
"161","normal","REPLACED","False","ReplacedRhythmV4","","normal","17","30","510","20","27","540","30","1.059","53","47","-6","FlowRail","rail_chain","target=53;stageTarget=53;effective=53.3;chains=47;role=Recovery;style=flow;chain=rail_chain;cost=43.0"
"162","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","38","722","23","31","713","-9","0.988","95","74","-21","Campaign500_HardGateUntil0910","unknown_chain","target=95;stageTarget=95;effective=91.1;chains=74;role=Normal;style=hardgate;chain=unknown_chain;cost=83.3"
"163","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","42","1428","34","42","1428","0","1","99","90","-9","","","unchanged_from_v3_or_non_normal"
"164","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","38","874","21","30","630","-244","0.721","114","37","-77","slot_seedlock_gate_carrier","family_profile_chain","target=114;stageTarget=114;effective=119.7;chains=37;role=Hard;style=longchain;chain=family_profile_chain;cost=67.8"
"165","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","35","665","22","30","660","-5","0.992","86","72","-14","NeutralMixed","mixed_chain","target=86;stageTarget=86;effective=77.2;chains=72;role=Recovery;style=neutral;chain=mixed_chain;cost=70.1"
"166","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","38","760","34","42","1428","668","1.879","119","101","-18","maze_long_chain","spine_chain","target=119;stageTarget=119;effective=133.1;chains=101;role=Hard;style=longchain;chain=spine_chain;cost=79.0"
"167","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","22","26","572","22","26","572","0","1","53","53","0","","","unchanged_from_v3_or_non_normal"
"168","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","49","1862","38","49","1862","0","1","110","118","8","","","unchanged_from_v3_or_non_normal"
"169","normal","REPLACED","False","ReplacedRhythmV4","","normal","25","40","1000","35","42","1470","470","1.47","124","109","-15","maze_long_chain","spine_chain","target=124;stageTarget=124;effective=135.8;chains=109;role=PeakExtreme;style=longchain;chain=spine_chain;cost=81.8"
"170","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","37","814","24","32","768","-46","0.943","104","76","-28","Campaign500_HardGateUntil0910","choice_clamp_chain","target=104;stageTarget=104;effective=102.6;chains=76;role=Recovery;style=hardgate;chain=choice_clamp_chain;cost=109.9"
"171","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","38","836","23","31","713","-123","0.853","108","76","-32","PeelMid","rail_chain","target=108;stageTarget=108;effective=93.2;chains=76;role=Recovery;style=hardgate;chain=rail_chain;cost=123.0"
"172","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","34","782","23","31","713","-69","0.912","106","70","-36","maze_long_chain","patch_chain","target=106;stageTarget=106;effective=85.3;chains=70;role=Hard;style=longchain;chain=patch_chain;cost=84.9"
"173","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","44","38","1672","44","38","1672","0","1","104","107","3","","","unchanged_from_v3_or_non_normal"
"174","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","36","684","23","31","713","29","1.042","95","74","-21","Campaign500_HardGateUntil0910","choice_clamp_chain","target=95;stageTarget=95;effective=88.6;chains=74;role=Recovery;style=hardgate;chain=choice_clamp_chain;cost=92.8"
"175","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","33","660","22","30","660","0","1","92","71","-21","NeutralMixed","mixed_chain","target=92;stageTarget=92;effective=74.4;chains=71;role=Normal;style=neutral;chain=mixed_chain;cost=83.6"
"176","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","37","851","22","30","660","-191","0.776","112","73","-39","Campaign500_HardGateUntil0910","strict_peak_chain","target=112;stageTarget=112;effective=94.9;chains=73;role=Hard;style=hardgate;chain=strict_peak_chain;cost=96.5"
"177","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","28","22","616","28","22","616","0","1","52","52","0","","","unchanged_from_v3_or_non_normal"
"178","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","34","1292","38","34","1292","0","1","104","90","-14","","","unchanged_from_v3_or_non_normal"
"179","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","39","858","28","38","1064","206","1.24","115","65","-50","maze_long_chain","spine_chain","target=115;stageTarget=115;effective=82.5;chains=65;role=PeakExtreme;style=longchain;chain=spine_chain;cost=91.1"
"180","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","38","798","22","30","660","-138","0.827","108","70","-38","NeutralMixed","mixed_chain","target=108;stageTarget=108;effective=75.2;chains=70;role=Recovery;style=neutral;chain=mixed_chain;cost=137.6"
"181","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","36","792","23","31","713","-79","0.9","106","77","-29","Campaign500_HardGateUntil0910","strict_hard_chain","target=106;stageTarget=106;effective=87.1;chains=77;role=Recovery;style=hardgate;chain=strict_hard_chain;cost=126.3"
"182","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","38","684","22","30","660","-24","0.965","88","71","-17","NeutralMixed","mixed_chain","target=88;stageTarget=88;effective=80.0;chains=71;role=Normal;style=neutral;chain=mixed_chain;cost=71.9"
"183","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","42","42","1764","42","42","1764","0","1","103","91","-12","","","unchanged_from_v3_or_non_normal"
"184","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","24","28","672","24","28","672","0","1","55","55","0","","","unchanged_from_v3_or_non_normal"
"185","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","37","777","23","31","713","-64","0.918","103","75","-28","PeelMid","curve_chain","target=103;stageTarget=103;effective=86.8;chains=75;role=Hard;style=hardgate;chain=curve_chain;cost=77.5"
"186","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","36","756","22","30","660","-96","0.873","104","71","-33","Campaign500_HardGateUntil0910","mixed_chain","target=104;stageTarget=104;effective=84.1;chains=71;role=Recovery;style=neutral;chain=mixed_chain;cost=125.9"
"187","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","30","42","1260","30","42","1260","0","1","102","90","-12","","","unchanged_from_v3_or_non_normal"
"188","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","38","798","23","31","713","-85","0.893","106","72","-34","PeelMid","rail_chain","target=106;stageTarget=106;effective=89.5;chains=72;role=Normal;style=hardgate;chain=rail_chain;cost=121.5"
"189","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","38","874","17","24","408","-466","0.467","112","22","-90","slot_headmix_outerclean","family_profile_chain","target=112;stageTarget=112;effective=89.3;chains=22;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=86.5"
"190","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","39","897","22","30","660","-237","0.736","113","69","-44","NeutralMixed","mixed_chain","target=113;stageTarget=113;effective=75.9;chains=69;role=Normal;style=neutral;chain=mixed_chain;cost=146.8"
"191","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","33","693","23","31","713","20","1.029","95","74","-21","Campaign500_HardGateUntil0910","choice_clamp_chain","target=95;stageTarget=95;effective=80.5;chains=74;role=Normal;style=hardgate;chain=choice_clamp_chain;cost=92.7"
"192","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","28","28","784","28","28","784","0","1","82","82","0","","","unchanged_from_v3_or_non_normal"
"193","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","44","40","1760","44","40","1760","0","1","102","104","2","","","unchanged_from_v3_or_non_normal"
"194","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","37","666","22","30","660","-6","0.991","87","70","-17","NeutralMixed","mixed_chain","target=87;stageTarget=87;effective=80.7;chains=70;role=Normal;style=neutral;chain=mixed_chain;cost=69.1"
"195","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","37","851","22","30","660","-191","0.776","106","71","-35","FlowPatch","patch_chain","target=106;stageTarget=106;effective=77.6;chains=71;role=Recovery;style=flow;chain=patch_chain;cost=133.3"
"196","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","40","840","35","42","1470","630","1.75","135","125","-10","maze_long_chain","rail_chain","target=135;stageTarget=135;effective=149.3;chains=125;role=PeakExtreme;style=longchain;chain=rail_chain;cost=63.9"
"197","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","33","660","22","30","660","0","1","83","70","-13","NeutralMixed","mixed_chain","target=83;stageTarget=83;effective=74.8;chains=70;role=Normal;style=neutral;chain=mixed_chain;cost=57.5"
"198","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","40","38","1520","40","38","1520","0","1","104","101","-3","","","unchanged_from_v3_or_non_normal"
"199","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","38","836","17","24","408","-428","0.488","108","24","-84","slot_seedlock_section_bridge","family_profile_chain","target=108;stageTarget=108;effective=88.0;chains=24;role=Hard;style=longchain;chain=family_profile_chain;cost=97.3"
"200","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","38","798","22","30","660","-138","0.827","106","69","-37","NeutralMixed","mixed_chain","target=106;stageTarget=106;effective=79.6;chains=69;role=Normal;style=neutral;chain=mixed_chain;cost=126.6"
"201","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","26","24","624","26","24","624","0","1","56","56","0","","","unchanged_from_v3_or_non_normal"
"202","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","38","722","22","30","660","-62","0.914","94","71","-23","NeutralMixed","mixed_chain","target=94;stageTarget=94;effective=84.1;chains=71;role=Normal;style=neutral;chain=mixed_chain;cost=91.1"
"203","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","49","1666","34","49","1666","0","1","102","101","-1","","","unchanged_from_v3_or_non_normal"
"204","normal","REPLACED","False","ReplacedRhythmV4",".worktrees/campaign500-longchain-prod200-pool","normal","22","36","792","18","25","450","-342","0.568","107","35","-72","slot_seedmaze_chamber_corridor","family_profile_chain","target=107;stageTarget=107;effective=85.9;chains=35;role=Hard;style=longchain;chain=family_profile_chain;cost=97.4"
"205","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","39","819","22","30","660","-159","0.806","109","70","-39","NeutralMixed","mixed_chain","target=109;stageTarget=109;effective=75.6;chains=70;role=Recovery;style=neutral;chain=mixed_chain;cost=142.4"
"206","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","34","782","22","30","660","-122","0.844","103","74","-29","PeelHard","rail_chain","target=103;stageTarget=103;effective=80.2;chains=74;role=Normal;style=hardgate;chain=rail_chain;cost=119.0"
"207","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","38","1444","38","38","1444","0","1","114","112","-2","","","unchanged_from_v3_or_non_normal"
"208","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","39","897","17","23","391","-506","0.436","111","27","-84","slot_seedlock_gate_carrier","family_profile_chain","target=111;stageTarget=111;effective=84.7;chains=27;role=Hard;style=longchain;chain=family_profile_chain;cost=112.8"
"209","normal","REPLACED","False","ReplacedRhythmV4","","normal","27","46","1242","22","30","660","-582","0.531","153","61","-92","maze_long_chain","patch_chain","target=153;stageTarget=153;effective=78.8;chains=61;role=PeakExtreme;style=longchain;chain=patch_chain;cost=218.8"
"210","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","38","836","22","30","660","-176","0.789","113","69","-44","NeutralMixed","mixed_chain","target=113;stageTarget=113;effective=74.5;chains=69;role=Normal;style=neutral;chain=mixed_chain;cost=148.5"
"211","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","39","819","22","30","660","-159","0.806","103","71","-32","NeutralMixed","mixed_chain","target=103;stageTarget=103;effective=71.7;chains=71;role=Recovery;style=neutral;chain=mixed_chain;cost=125.0"
"212","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","35","665","22","30","660","-5","0.992","85","71","-14","Campaign500_HardGateUntil0910","strict_peak_chain","target=85;stageTarget=85;effective=80.8;chains=71;role=Normal;style=hardgate;chain=strict_peak_chain;cost=67.3"
"213","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","44","43","1892","44","43","1892","0","1","111","114","3","","","unchanged_from_v3_or_non_normal"
"214","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","40","800","22","30","660","-140","0.825","105","69","-36","NeutralMixed","mixed_chain","target=105;stageTarget=105;effective=82.7;chains=69;role=Hard;style=neutral;chain=mixed_chain;cost=97.9"
"215","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","36","648","22","30","660","12","1.019","90","70","-20","Campaign500_HardGateUntil0910","curve_chain","target=90;stageTarget=90;effective=82.4;chains=70;role=Normal;style=hardgate;chain=curve_chain;cost=85.6"
"216","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","42","882","24","34","816","-66","0.925","144","59","-85","maze_long_chain","spine_chain","target=144;stageTarget=144;effective=72.9;chains=59;role=PeakExtreme;style=longchain;chain=spine_chain;cost=179.4"
"217","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","28","22","616","28","22","616","0","1","56","56","0","","","unchanged_from_v3_or_non_normal"
"218","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","40","36","1440","40","36","1440","0","1","106","106","0","","","unchanged_from_v3_or_non_normal"
"219","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","36","792","22","30","660","-132","0.833","105","67","-38","PeelHard","curve_chain","target=105;stageTarget=105;effective=88.7;chains=67;role=Hard;style=hardgate;chain=curve_chain;cost=91.6"
"220","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","32","608","22","30","660","52","1.086","80","70","-10","NeutralMixed","mixed_chain","target=80;stageTarget=80;effective=71.9;chains=70;role=Normal;style=neutral;chain=mixed_chain;cost=50.7"
"221","normal","REPLACED","False","ReplacedRhythmV4","","normal","30","33","990","26","35","910","-80","0.919","126","58","-68","maze_long_chain","spine_chain","target=126;stageTarget=126;effective=74.1;chains=58;role=Hard;style=longchain;chain=spine_chain;cost=153.5"
"222","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","39","780","22","30","660","-120","0.846","104","71","-33","NeutralMixed","mixed_chain","target=104;stageTarget=104;effective=76.8;chains=71;role=Normal;style=neutral;chain=mixed_chain;cost=124.0"
"223","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","47","1786","38","47","1786","0","1","102","103","1","","","unchanged_from_v3_or_non_normal"
"224","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","35","770","22","30","660","-110","0.857","108","68","-40","Campaign500_HardGateUntil0910","unknown_chain","target=108;stageTarget=108;effective=84.5;chains=68;role=Hard;style=hardgate;chain=unknown_chain;cost=106.1"
"225","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","22","28","616","22","28","616","0","1","57","57","0","","","unchanged_from_v3_or_non_normal"
"226","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","35","770","22","30","660","-110","0.857","105","69","-36","NeutralMixed","mixed_chain","target=105;stageTarget=105;effective=71.3;chains=69;role=Normal;style=neutral;chain=mixed_chain;cost=127.8"
"227","normal","REPLACED","False","ReplacedRhythmV4","","normal","24","43","1032","24","34","816","-216","0.791","163","60","-103","maze_long_chain","spine_chain","target=163;stageTarget=163;effective=73.0;chains=60;role=PeakExtreme;style=longchain;chain=spine_chain;cost=229.9"
"228","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","36","49","1764","36","49","1764","0","1","109","117","8","","","unchanged_from_v3_or_non_normal"
"229","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","40","840","23","31","713","-127","0.849","107","73","-34","Campaign500_HardGateUntil0910","strict_hard_chain","target=107;stageTarget=107;effective=76.2;chains=73;role=Hard;style=hardgate;chain=strict_hard_chain;cost=109.3"
"230","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","35","770","22","30","660","-110","0.857","101","69","-32","NeutralMixed","mixed_chain","target=101;stageTarget=101;effective=72.1;chains=69;role=Recovery;style=neutral;chain=mixed_chain;cost=122.5"
"231","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","31","651","22","30","660","9","1.014","103","69","-34","NeutralMixed","mixed_chain","target=103;stageTarget=103;effective=75.4;chains=69;role=Recovery;style=neutral;chain=mixed_chain;cost=128.7"
"232","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","39","897","22","30","660","-237","0.736","143","64","-79","maze_long_chain","patch_chain","target=143;stageTarget=143;effective=66.8;chains=64;role=Hard;style=longchain;chain=patch_chain;cost=209.7"
"233","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","47","1786","38","47","1786","0","1","110","112","2","","","unchanged_from_v3_or_non_normal"
"234","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","25","450","20","27","540","90","1.2","54","45","-9","FlowCurve","rail_chain","target=54;stageTarget=54;effective=50.5;chains=45;role=Recovery;style=flow;chain=rail_chain;cost=50.7"
"235","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","28","22","616","28","22","616","0","1","58","58","0","","","unchanged_from_v3_or_non_normal"
"236","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","39","819","23","31","713","-106","0.871","107","68","-39","Campaign500_HardGateUntil0910","choice_clamp_chain","target=107;stageTarget=107;effective=77.2;chains=68;role=Hard;style=hardgate;chain=choice_clamp_chain;cost=112.8"
"237","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","34","782","22","30","660","-122","0.844","104","68","-36","NeutralMixed","mixed_chain","target=104;stageTarget=104;effective=70.5;chains=68;role=Normal;style=neutral;chain=mixed_chain;cost=128.2"
"238","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","42","1428","34","42","1428","0","1","106","106","0","","","unchanged_from_v3_or_non_normal"
"239","normal","REPLACED","False","ReplacedRhythmV4","","normal","24","44","1056","17","23","391","-665","0.37","171","26","-145","slot_seedweave_braid_carrier","family_profile_chain","target=171;stageTarget=171;effective=73.0;chains=26;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=262.1"
"240","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","36","720","22","30","660","-60","0.917","117","69","-48","PeelLight","rail_chain","target=117;stageTarget=117;effective=76.2;chains=69;role=Recovery;style=peel;chain=rail_chain;cost=173.2"
"241","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","42","966","22","30","660","-306","0.683","119","69","-50","PeelHard","rail_chain","target=119;stageTarget=119;effective=77.4;chains=69;role=Recovery;style=hardgate;chain=rail_chain;cost=181.6"
