"order","category","replacementMark","finalStatus","width","height","area","aspect","chains","arrowTiles","coverage","isPatch","patchKind","productionLane","productionStyle","chainLanguage"
"224","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","68","651","0.986","False","","Campaign500_HardGateUntil0910","hardgate","unknown_chain"
"225","hole","KEPT_CURRENT","OriginalNonTarget","22","28","616","0.786","57","527","0.856","False","","","",""
"226","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","654","0.991","False","","NeutralMixed","neutral","mixed_chain"
"227","normal","REPLACED","ReplacedRhythmV4","24","34","816","0.706","60","772","0.946","False","","maze_long_chain","longchain","spine_chain"
"228","shape","REPLACED","ShapeCandidatePlanned","36","49","1764","0.735","117","953","0.54","False","","","QuasiSymmetry",""
"229","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","73","699","0.98","False","","Campaign500_HardGateUntil0910","hardgate","strict_hard_chain"
"230","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","649","0.983","False","","NeutralMixed","neutral","mixed_chain"
"231","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","654","0.991","False","","NeutralMixed","neutral","mixed_chain"
"232","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","64","626","0.948","False","","maze_long_chain","longchain","patch_chain"
"233","shape","REPLACED","ShapeCandidatePlanned","38","47","1786","0.809","112","961","0.538","False","","","SectionUnlock",""
"234","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","45","538","0.996","False","","FlowCurve","flow","rail_chain"
"235","hole","KEPT_CURRENT","OriginalNonTarget","28","22","616","1.273","58","533","0.865","False","","","",""
"236","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","68","700","0.982","False","","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain"
"237","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","68","642","0.973","False","","NeutralMixed","neutral","mixed_chain"
"238","shape","REPLACED","ShapeCandidatePlanned","34","42","1428","0.81","106","785","0.55","False","","","CoreBurst",""
"239","normal","REPLACED","ReplacedRhythmV4","17","23","391","0.739","26","370","0.946","False","","slot_seedweave_braid_carrier","longchain","family_profile_chain"
"240","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","646","0.979","False","","PeelLight","peel","rail_chain"
"241","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","648","0.982","False","","PeelHard","hardgate","rail_chain"
"242","hole","KEPT_CURRENT","OriginalNonTarget","32","28","896","1.143","83","802","0.895","False","","","",""
"243","shape","REPLACED","ShapeCandidatePlanned","36","38","1368","0.947","115","851","0.622","False","","","LockBuckle",""
"244","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","66","647","0.98","False","","FlowPatch","flow","patch_chain"
"245","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","51","727","0.947","False","","maze_long_chain","longchain","spine_chain"
"246","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","66","653","0.989","False","","FlowCurve","flow","curve_chain"
"247","shape","REPLACED","ShapeCandidatePlanned","38","47","1786","0.809","113","913","0.511","False","","","SectionUnlock",""
"248","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","68","637","0.965","False","","PeelLight","peel","rail_chain"
"249","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","50","627","0.95","False","","maze_long_chain","longchain","spine_chain"
"250","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","65","648","0.982","False","","NeutralMixed","neutral","mixed_chain"
"251","hole","KEPT_CURRENT","OriginalNonTarget","28","24","672","1.167","59","590","0.878","False","","","",""
"252","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","56","624","0.945","False","","maze_long_chain","longchain","rail_chain"
"253","shape","REPLACED","ShapeCandidatePlanned","38","38","1444","1","108","823","0.57","False","","","DenseWeave",""
"254","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","70","699","0.98","False","","Campaign500_HardGateUntil0910","hardgate","strict_hard_chain"
"255","normal","REPLACED","ReplacedRhythmV4","22","29","638","0.759","66","622","0.975","False","","FlowCurve","flow","curve_chain"
"256","normal","REPLACED","ReplacedRhythmV4","17","22","374","0.773","26","355","0.949","False","","slot_seedweave_braid_carrier","longchain","family_profile_chain"
"257","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","66","647","0.98","False","","PeelLight","peel","curve_chain"
"258","shape","REPLACED","ShapeCandidatePlanned","34","44","1496","0.773","107","792","0.529","False","","","Sweep",""
"259","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","66","654","0.991","False","","NeutralMixed","neutral","mixed_chain"
"260","normal","REPLACED","ReplacedRhythmV4","21","28","588","0.75","66","580","0.986","False","","PeelMid","hardgate","rail_chain"
"261","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","65","651","0.986","False","","PeelHard","hardgate","rail_chain"
"262","normal","REPLACED","ReplacedRhythmV4","21","28","588","0.75","65","576","0.98","False","","PeelMid","hardgate","curve_chain"
"263","shape","REPLACED","ShapeCandidatePlanned","36","42","1512","0.857","94","745","0.493","False","","","SectionUnlock",""
"264","normal","REPLACED","ReplacedRhythmV4","17","22","374","0.773","26","355","0.949","False","","slot_seedweave_braid_carrier","longchain","family_profile_chain"
"265","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","64","653","0.989","False","","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain"
"266","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","47","625","0.947","False","","maze_long_chain","longchain","spine_chain"
"267","hole","KEPT_CURRENT","OriginalNonTarget","32","28","896","1.143","82","809","0.903","False","","","",""
"268","shape","REPLACED","ShapeCandidatePlanned","34","42","1428","0.81","95","822","0.576","False","","","Sweep",""
"269","normal","REPLACED","ReplacedRhythmV4","17","23","391","0.739","22","365","0.934","False","","slot_seedmaze_chamber_corridor","longchain","family_profile_chain"
"270","normal","REPLACED","ReplacedRhythmV4","21","28","588","0.75","64","580","0.986","False","","PeelMid","hardgate","curve_chain"
"271","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","66","648","0.982","False","","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain"
"272","normal","REPLACED","ReplacedRhythmV4","18","21","378","0.857","21","360","0.952","False","","slot_seedweave_braid_carrier","longchain","family_profile_chain"
"273","shape","REPLACED","ShapeCandidatePlanned","36","44","1584","0.818","111","829","0.523","False","","","SectionUnlock",""
"274","normal","REPLACED","ReplacedRhythmV4","21","28","588","0.75","63","573","0.974","False","","PeelMid","hardgate","rail_chain"
"275","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","48","627","0.95","False","","maze_long_chain","longchain","spine_chain"
"276","normal","REPLACED","ReplacedRhythmV4","17","23","391","0.739","23","369","0.944","False","","slot_seedmaze_section_weave","longchain","family_profile_chain"
"277","hole","KEPT_CURRENT","OriginalNonTarget","26","26","676","1","61","586","0.867","False","","","",""
"278","shape","REPLACED","ShapeCandidatePlanned","36","42","1512","0.857","116","884","0.585","False","","","SectionUnlock",""
"279","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","54","534","0.989","False","","NeutralMixed","neutral","mixed_chain"
"280","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","54","535","0.991","False","","FlowPatch","flow","patch_chain"
"281","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","43","659","0.924","False","","maze_long_chain","longchain","spine_chain"
"282","normal","REPLACED","ReplacedRhythmV4","21","28","588","0.75","54","583","0.991","False","","PeelMid","hardgate","rail_chain"
"283","shape","REPLACED","ShapeCandidatePlanned","40","42","1680","0.952","114","929","0.553","False","","","Sweep",""
"284","normal","REPLACED","ReplacedRhythmV4","17","23","391","0.739","29","373","0.954","False","","slot_headmix_outerclean","longchain","family_profile_chain"
"285","hole","KEPT_CURRENT","OriginalNonTarget","24","28","672","0.857","62","587","0.874","False","","","",""
"286","normal","REPLACED","ReplacedRhythmV4","17","22","374","0.773","24","349","0.933","False","","slot_seedmaze_chamber_corridor","longchain","family_profile_chain"
"287","normal","REPLACED","ReplacedRhythmV4","18","21","378","0.857","29","353","0.934","False","","slot_seedweave_dense_support","longchain","family_profile_chain"
"288","shape","REPLACED","ShapeCandidatePlanned","36","44","1584","0.818","101","837","0.528","False","","","LockBuckle",""
"289","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","39","427","0.988","False","","FlowRail","flow","rail_chain"
"290","normal","REPLACED","ReplacedRhythmV4","12","16","192","0.75","15","181","0.943","False","","slot_seedweave_braid_carrier","longchain","family_profile_chain"
"291","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","40","427","0.988","False","","FlowCurve","flow","rail_chain"
"292","hole","KEPT_CURRENT","OriginalNonTarget","24","26","624","0.923","60","539","0.864","False","","","",""
"293","shape","REPLACED","ShapeCandidatePlanned","36","47","1692","0.766","128","1026","0.606","False","","","DenseWeave",""
"294","normal","REPLACED","ReplacedRhythmV4","12","16","192","0.75","15","181","0.943","False","","slot_seedweave_braid_carrier","longchain","family_profile_chain"
"295","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","38","430","0.995","False","","FlowRail","flow","rail_chain"
"296","normal","REPLACED","ReplacedRhythmV4","13","17","221","0.765","17","209","0.946","False","","slot_seedmaze_chamber_corridor","longchain","family_profile_chain"
"297","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","38","430","0.995","False","","FlowPatch","flow","patch_chain"
"298","shape","REPLACED","ShapeCandidatePlanned","34","44","1496","0.773","108","841","0.562","False","","","DenseWeave",""
"299","normal","REPLACED","ReplacedRhythmV4","12","16","192","0.75","15","180","0.938","False","","slot_headmix_outerclean","longchain","family_profile_chain"
"300","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","36","426","0.986","False","","FlowCurve","flow","curve_chain"
"301","hole","KEPT_CURRENT","OriginalNonTarget","28","30","840","0.933","82","752","0.895","False","","","",""
"302","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","20","39","780","0.513","80","766","0.982","True","NutationStrictGapfill","StrictMixedChoiceClamp","StrictMixedChoiceClamp","mixed_chain"
"303","shape","REPLACED","ShapeCandidatePlanned","34","44","1496","0.773","103","824","0.551","False","","","DenseWeave",""
"304","normal","KEPT_CURRENT","OriginalNonTarget","23","40","920","0.575","122","906","0.985","False","","","",""
"305","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","25","33","825","0.758","82","818","0.992","True","NutationStrictAfter300Deferred","PeelMid","PeelMid","rail_chain"
"306","normal","KEPT_CURRENT","OriginalNonTarget","22","41","902","0.537","117","889","0.986","False","","","",""
"307","shape","REPLACED","ShapeCandidatePlanned","36","47","1692","0.766","118","985","0.582","False","","","DenseWeave",""
"308","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","71","649","0.983","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"309","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","26","34","884","0.765","93","871","0.985","True","NutationStrictAfter300Deferred","PressurePeak","PressurePeak","mixed_chain"
"310","normal","KEPT_CURRENT","OriginalNonTarget","23","37","851","0.622","111","838","0.985","False","","","",""
"311","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","20","27","540","0.741","47","538","0.996","True","NutationStrictAfter300Deferred","FlowRail","FlowRail","rail_chain"
"312","normal","REPLACED","ExternalCandidatePlanned","23","31","713","0.742","99","678","0.951","False","","PeelMid","hub_spoke","rail_chain"
"313","shape","REPLACED","ShapeCandidatePlanned","34","38","1292","0.895","119","866","0.67","False","","","Sweep",""
"314","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","72","650","0.985","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"315","normal","KEPT_CURRENT","OriginalNonTarget","22","41","902","0.537","116","887","0.983","False","","","",""
"316","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","27","36","972","0.75","100","962","0.99","True","NutationStrictAfter300Deferred","PressurePeak","PressurePeak","mixed_chain"
"317","hole","KEPT_CURRENT","OriginalNonTarget","28","28","784","1","65","694","0.885","False","","","",""
"318","shape","REPLACED","ShapeCandidatePlanned","34","42","1428","0.81","113","868","0.608","False","","","CoreBurst",""
"319","normal","KEPT_CURRENT","OriginalNonTarget","22","41","902","0.537","115","878","0.973","False","","","",""
"320","normal","KEPT_CURRENT","OriginalNonTarget","23","36","828","0.639","114","814","0.983","False","","","",""
"321","normal","KEPT_CURRENT","OriginalNonTarget","23","38","874","0.605","108","858","0.982","False","","","",""
"322","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","20","27","540","0.741","48","535","0.991","True","NutationStrictAfter300Deferred","FlowPatch","FlowPatch","patch_chain"
"323","shape","REPLACED","ShapeCandidatePlanned","34","44","1496","0.773","118","853","0.57","False","","","CoreBurst",""
"324","normal","REPLACED","ExternalCandidatePlanned","25","34","850","0.735","63","807","0.949","False","","PeelMid","maze_long_chain","rail_chain"
"325","hole","KEPT_CURRENT","OriginalNonTarget","26","28","728","0.929","66","644","0.885","False","","","",""
"326","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","35","770","0.629","74","750","0.974","True","NutationStrictGapfill","NeutralMixed","NeutralMixed","mixed_chain"
"327","shape","REPLACED","ShapeCandidatePlanned","38","47","1786","0.809","126","1078","0.604","False","","","LockBuckle",""
"328","normal","KEPT_CURRENT","OriginalNonTarget","24","43","1032","0.558","165","1011","0.98","False","","","",""
"329","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","26","34","884","0.765","94","869","0.983","True","NutationStrictAfter300Deferred","PressurePeak","PressurePeak","mixed_chain"
"330","normal","KEPT_CURRENT","OriginalNonTarget","23","38","874","0.605","113","862","0.986","False","","","",""
"331","normal","REPLACED","ExternalCandidatePlanned","27","36","972","0.75","85","921","0.948","False","","PeelMid","maze_long_chain","curve_chain"
"332","normal","KEPT_CURRENT","OriginalNonTarget","20","37","740","0.541","118","717","0.969","False","","","",""
"333","shape","REPLACED","ShapeCandidatePlanned","38","47","1786","0.809","132","1114","0.624","False","","","SectionUnlock",""
"334","normal","KEPT_CURRENT","OriginalNonTarget","28","46","1288","0.609","207","1262","0.98","False","","","",""
"335","hole","KEPT_CURRENT","OriginalNonTarget","32","30","960","1.067","80","859","0.895","False","","","",""
"336","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","27","36","972","0.75","100","954","0.981","True","NutationStrictAfter300Deferred","PressurePeak","PressurePeak","mixed_chain"
"337","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","20","27","540","0.741","45","538","0.996","True","NutationStrictAfter300Deferred","FlowCurve","FlowCurve","curve_chain"
"338","shape","REPLACED","ShapeCandidatePlanned","44","40","1760","1.1","136","1164","0.661","False","","","Sweep",""
"339","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","75","651","0.986","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"340","normal","KEPT_CURRENT","OriginalNonTarget","23","36","828","0.639","110","812","0.981","False","","","",""
"341","normal","REPLACED","ExternalCandidatePlanned","26","35","910","0.743","69","849","0.933","False","","PeelMid","maze_long_chain","curve_chain"
"342","hole","KEPT_CURRENT","OriginalNonTarget","24","30","720","0.8","67","631","0.876","False","","","",""
"343","shape","REPLACED","ShapeCandidatePlanned","38","42","1596","0.905","121","967","0.606","False","","","LockBuckle",""
"344","normal","KEPT_CURRENT","OriginalNonTarget","27","48","1296","0.562","170","1263","0.975","False","","","",""
"345","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","69","654","0.991","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"346","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","29","638","0.759","54","634","0.994","True","NutationStrictAfter300Deferred","FlowRail","FlowRail","rail_chain"
"347","normal","REPLACED","ExternalCandidatePlanned","26","35","910","0.743","71","861","0.946","False","","PressurePeak","maze_long_chain","mixed_chain"
"348","shape","REPLACED","ShapeCandidatePlanned","43","43","1849","1","145","1221","0.66","False","","","LockBuckle",""
"349","normal","KEPT_CURRENT","OriginalNonTarget","26","49","1274","0.531","213","1253","0.984","False","","","",""
"350","normal","KEPT_CURRENT","OriginalNonTarget","20","38","760","0.526","120","743","0.978","False","","","",""
"351","hole","KEPT_CURRENT","OriginalNonTarget","30","26","780","1.154","72","690","0.885","False","","","",""
"352","normal","REPLACED","ExternalCandidatePlanned","23","31","713","0.742","101","686","0.962","False","","PeelMid","hub_spoke","rail_chain"
"353","shape","REPLACED","ShapeCandidatePlanned","44","43","1892","1.023","125","1038","0.549","False","","","StairPush",""
"354","normal","KEPT_CURRENT","OriginalNonTarget","22","36","792","0.611","126","780","0.985","False","","","",""
"355","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","69","649","0.983","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"356","normal","KEPT_CURRENT","OriginalNonTarget","22","41","902","0.537","148","888","0.984","False","","","",""
"357","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","67","653","0.989","True","NutationStrictAfter300Deferred","FlowPatch","FlowPatch","patch_chain"
"358","shape","REPLACED","ShapeCandidatePlanned","40","47","1880","0.851","143","1142","0.607","False","","","Sweep",""
"359","normal","REPLACED","ExternalCandidatePlanned","26","35","910","0.743","76","868","0.954","False","","PressurePeak","maze_long_chain","mixed_chain"
"360","normal","KEPT_CURRENT","OriginalNonTarget","23","40","920","0.575","118","908","0.987","False","","","",""
"361","normal","KEPT_CURRENT","OriginalNonTarget","23","47","1081","0.489","177","1055","0.976","False","","","",""
"362","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","72","654","0.991","True","NutationStrictAfter300Deferred","","",""
"363","shape","REPLACED","ShapeCandidatePlanned","40","47","1880","0.851","149","1193","0.635","False","","","CoreBurst",""
"364","normal","KEPT_CURRENT","OriginalNonTarget","25","42","1050","0.595","166","1029","0.98","False","","","",""
"365","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","26","34","884","0.765","85","868","0.982","True","NutationStrictAfter300Deferred","PressurePeak","PressurePeak","mixed_chain"
"366","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","24","32","768","0.75","78","763","0.993","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"367","hole","KEPT_CURRENT","OriginalNonTarget","34","26","884","1.308","85","796","0.9","False","","","",""
"368","shape","REPLACED","ShapeCandidatePlanned","36","47","1692","0.766","154","1194","0.706","False","","","Sweep",""
"369","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","26","35","910","0.743","84","902","0.991","True","NutationStrictAfter300Deferred","PeelMid","PeelMid","rail_chain"
"370","normal","KEPT_CURRENT","OriginalNonTarget","25","47","1175","0.532","148","1159","0.986","False","","","",""
"371","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","70","656","0.994","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"372","normal","REPLACED","ExternalCandidatePlanned","26","35","910","0.743","79","861","0.946","False","","PeelMid","maze_long_chain","curve_chain"
"373","shape","REPLACED","ShapeCandidatePlanned","34","42","1428","0.81","114","968","0.678","False","","","CoreBurst",""
"374","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","67","651","0.986","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"375","normal","KEPT_CURRENT","OriginalNonTarget","24","41","984","0.585","157","967","0.983","False","","","",""
"376","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","26","34","884","0.765","89","871","0.985","True","NutationStrictAfter300Deferred","PressurePeak","PressurePeak","mixed_chain"
"377","hole","KEPT_CURRENT","OriginalNonTarget","32","24","768","1.333","72","673","0.876","False","","","",""
"378","shape","REPLACED","ShapeCandidatePlanned","44","38","1672","1.158","138","1134","0.678","False","","","Sweep",""
"379","normal","KEPT_CURRENT","OriginalNonTarget","22","44","968","0.5","157","951","0.982","False","","","",""
"380","normal","KEPT_CURRENT","OriginalNonTarget","22","40","880","0.55","144","868","0.986","False","","","",""
"381","normal","KEPT_CURRENT","OriginalNonTarget","24","38","912","0.632","145","892","0.978","False","","","",""
"382","normal","KEPT_CURRENT","OriginalNonTarget","22","44","968","0.5","150","945","0.976","False","","","",""
"383","shape","REPLACED","ShapeCandidatePlanned","38","42","1596","0.905","141","1017","0.637","False","","","LockBuckle",""
"384","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","25","33","825","0.758","84","814","0.987","True","NutationStrictAfter300Deferred","PeelMid","PeelMid","rail_chain"
"385","hole","KEPT_CURRENT","OriginalNonTarget","24","30","720","0.8","71","630","0.875","False","","","",""
"386","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","29","638","0.759","66","622","0.975","True","NutationStrictAfter300Deferred","FlowCurve","FlowCurve","curve_chain"
"387","shape","REPLACED","ShapeCandidatePlanned","42","42","1764","1","135","1096","0.621","False","","","MazeLongChain",""
"388","normal","KEPT_CURRENT","OriginalNonTarget","34","48","1632","0.708","164","1575","0.965","False","","","",""
"389","normal","REPLACED","ExternalCandidatePlanned","24","34","816","0.706","75","772","0.946","False","","PressurePeak","maze_long_chain","mixed_chain"
"390","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","21","41","861","0.512","84","854","0.992","True","NutationStrictGapfill","NeutralMixed","NeutralMixed","mixed_chain"
"391","normal","KEPT_CURRENT","OriginalNonTarget","23","39","897","0.59","137","878","0.979","False","","","",""
"392","hole","KEPT_CURRENT","OriginalNonTarget","34","28","952","1.214","87","864","0.908","False","","","",""
"393","shape","REPLACED","ShapeCandidatePlanned","38","49","1862","0.776","149","1221","0.656","False","","","LockBuckle",""
"394","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","25","33","825","0.758","81","809","0.981","True","NutationStrictAfter300Deferred","PeelMid","PeelMid","rail_chain"
"395","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","24","32","768","0.75","72","756","0.984","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"396","normal","REPLACED","ExternalCandidatePlanned","25","34","850","0.735","84","809","0.952","False","","PressurePeak","maze_long_chain","mixed_chain"
"397","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","23","35","805","0.657","75","790","0.981","True","NutationStrictGapfill","NeutralMixed","NeutralMixed","mixed_chain"
"398","shape","REPLACED","ShapeCandidatePlanned","44","43","1892","1.023","154","1246","0.659","False","","","DualZone",""
"399","normal","KEPT_CURRENT","OriginalNonTarget","24","38","912","0.632","144","891","0.977","False","","","",""
"400","normal","KEPT_CURRENT","OriginalNonTarget","23","38","874","0.605","143","856","0.979","False","","","",""
"401","hole","KEPT_CURRENT","OriginalNonTarget","32","26","832","1.231","73","742","0.892","False","","","",""
"402","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","68","637","0.965","True","NutationStrictAfter300Deferred","PeelLight","PeelLight","curve_chain"
"403","shape","REPLACED","ShapeCandidatePlanned","44","38","1672","1.158","139","1143","0.684","False","","","DenseWeave",""
"404","normal","KEPT_CURRENT","OriginalNonTarget","25","39","975","0.641","155","951","0.975","False","","","",""
"405","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","25","33","825","0.758","80","815","0.988","True","NutationStrictAfter300Deferred","PeelMid","PeelMid","curve_chain"
"406","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","71","650","0.985","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"407","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","26","34","884","0.765","92","862","0.975","True","NutationStrictAfter300Deferred","","",""
"408","shape","REPLACED","ShapeCandidatePlanned","36","44","1584","0.818","135","1085","0.685","False","","","Sweep",""
"409","normal","KEPT_CURRENT","OriginalNonTarget","23","40","920","0.575","145","900","0.978","False","","","",""
"410","normal","KEPT_CURRENT","OriginalNonTarget","21","42","882","0.5","139","870","0.986","False","","","",""
"411","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","69","646","0.979","True","NutationStrictAfter300Deferred","PeelLight","PeelLight","rail_chain"
"412","normal","REPLACED","ExternalCandidatePlanned","23","31","713","0.742","101","686","0.962","False","","PeelMid","hub_spoke","rail_chain"
"413","shape","REPLACED","ShapeCandidatePlanned","38","49","1862","0.776","153","1273","0.684","False","","","LockBuckle",""
"414","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","73","651","0.986","True","NutationStrictAfter300Deferred","FlowRail","FlowRail","rail_chain"
"415","normal","KEPT_CURRENT","OriginalNonTarget","23","38","874","0.605","141","854","0.977","False","","","",""
"416","normal","KEPT_CURRENT","OriginalNonTarget","25","38","950","0.658","149","932","0.981","False","","","",""
"417","hole","KEPT_CURRENT","OriginalNonTarget","28","30","840","0.933","75","751","0.894","False","","","",""
"418","shape","REPLACED","ShapeCandidatePlanned","42","42","1764","1","130","1080","0.612","False","","","DenseWeave",""
"419","normal","REPLACED","ExternalCandidatePlanned","27","36","972","0.75","92","906","0.932","False","","LongChainProbe","maze_long_chain","rail_chain"
"420","normal","KEPT_CURRENT","OriginalNonTarget","22","42","924","0.524","143","900","0.974","False","","","",""
"421","normal","KEPT_CURRENT","OriginalNonTarget","25","45","1125","0.556","180","1100","0.978","False","","","",""
"422","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","66","654","0.991","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"423","shape","REPLACED","ShapeCandidatePlanned","44","38","1672","1.158","139","1157","0.692","False","","","LockBuckle",""
"424","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","74","650","0.985","True","NutationStrictAfter300Deferred","PeelLight","PeelLight","curve_chain"
"425","normal","REPLACED","ExternalCandidatePlanned","27","36","972","0.75","86","921","0.948","False","","LongChainProbe","maze_long_chain","patch_chain"
"426","hole","KEPT_CURRENT","OriginalNonTarget","32","24","768","1.333","80","672","0.875","False","","","",""
"427","shape","REPLACED","ShapeCandidatePlanned","44","40","1760","1.1","166","1311","0.745","False","","","Sweep",""
"428","normal","KEPT_CURRENT","OriginalNonTarget","24","39","936","0.615","146","910","0.972","False","","","",""
"429","normal","REPLACED","ExternalCandidatePlanned","28","38","1064","0.737","84","1016","0.955","False","","PeelMid","maze_long_chain","rail_chain"
"430","normal","KEPT_CURRENT","OriginalNonTarget","24","39","936","0.615","147","914","0.976","False","","","",""
"431","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","67","653","0.989","True","NutationStrictGapfill","NeutralMixed","NeutralMixed","mixed_chain"
"432","normal","REPLACED","ExternalCandidatePlanned","23","31","713","0.742","99","678","0.951","False","","PeelMid","hub_spoke","rail_chain"
"433","shape","REPLACED","ShapeCandidatePlanned","43","47","2021","0.915","162","1427","0.706","False","","","CoreBurst",""
"434","normal","KEPT_CURRENT","OriginalNonTarget","24","43","1032","0.558","162","1007","0.976","False","","","",""
"435","hole","KEPT_CURRENT","OriginalNonTarget","28","28","784","1","76","697","0.889","False","","","",""
"436","normal","REPLACED","ExternalCandidatePlanned","26","35","910","0.743","84","849","0.933","False","","LongChainProbe","maze_long_chain","curve_chain"
"437","normal","KEPT_CURRENT","OriginalNonTarget","25","41","1025","0.61","164","1003","0.979","False","","","",""
"438","shape","REPLACED","ShapeCandidatePlanned","43","43","1849","1","172","1386","0.75","False","","","LockBuckle",""
