"order","category","finalStatus","loadMode","width","height","area","aspect","chains","arrowTiles","coverage","path"
"103","shape","ShapeCandidatePlanned","ManifestAsset","44","38","1672","1.158","101","847","0.507","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset"
"104","normal","ReplacedRhythmV4","ManifestAsset","19","27","513","0.704","36","486","0.947","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset"
"105","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","97","681","0.955","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset"
"106","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","78","704","0.987","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset"
"107","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","94","667","0.935","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset"
"108","shape","ShapeCandidatePlanned","ManifestAsset","42","36","1512","1.167","80","627","0.415","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset"
"109","normal","ReplacedRhythmV4","ManifestAsset","27","36","972","0.75","90","960","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset"
"110","normal","ReplacedRhythmV4","ManifestAsset","26","35","910","0.743","87","893","0.981","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset"
"111","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","83","763","0.993","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset"
"112","normal","ReplacedRhythmV4","ManifestAsset","36","40","1440","0.9","92","1343","0.933","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset"
"113","shape","ShapeCandidatePlanned","ManifestAsset","34","49","1666","0.694","95","774","0.465","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset"
"114","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","81","814","0.987","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset"
"115","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","70","651","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset"
"116","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","82","754","0.982","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset"
"117","hole","OriginalNonTarget","BasePreviewFallback","22","26","572","0.846","49","489","0.855","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset"
"118","shape","ShapeCandidatePlanned","ManifestAsset","34","47","1598","0.723","98","790","0.494","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset"
"119","normal","ReplacedRhythmV4","ManifestAsset","22","28","616","0.786","43","585","0.95","Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset"
"120","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","87","759","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset"
"121","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","45","538","0.996","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset"
"122","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","79","867","0.981","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset"
"123","shape","ShapeCandidatePlanned","ManifestAsset","38","30","1140","1.267","86","672","0.589","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset"
"124","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","82","818","0.992","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset"
"125","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","76","728","0.948","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset"
"126","hole","OriginalNonTarget","BasePreviewFallback","20","26","520","0.769","50","439","0.844","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset"
"127","shape","ShapeCandidatePlanned","ManifestAsset","34","34","1156","1","88","716","0.619","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset"
"128","normal","ReplacedRhythmV4Final","ManifestAsset","20","27","540","0.741","63","536","0.993","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset"
"129","normal","ReplacedRhythmV4","ManifestAsset","23","29","667","0.793","42","631","0.946","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset"
"130","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","77","757","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset"
"131","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","72","756","0.984","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset"
"132","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","81","809","0.981","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset"
"133","shape","ShapeCandidatePlanned","ManifestAsset","34","47","1598","0.723","88","697","0.436","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset"
"134","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","50","535","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset"
"135","hole","OriginalNonTarget","BasePreviewFallback","20","30","600","0.667","52","510","0.85","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset"
"136","normal","ReplacedRhythmV4","ManifestAsset","34","42","1428","0.81","99","1364","0.955","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset"
"137","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","72","650","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset"
"138","shape","ShapeCandidatePlanned","ManifestAsset","28","44","1232","0.636","90","740","0.601","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset"
"139","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","85","754","0.982","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain.asset"
"140","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","80","755","0.983","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1.asset"
"141","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","92","862","0.975","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset"
"142","hole","OriginalNonTarget","BasePreviewFallback","26","24","624","1.083","50","536","0.859","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset"
"143","shape","ShapeCandidatePlanned","ManifestAsset","42","34","1428","1.235","89","759","0.532","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset"
"144","normal","ReplacedRhythmV4","ManifestAsset","23","28","644","0.821","40","609","0.946","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_80_l106_long_normal_b_section_s11_slot_seedmaze_chamber_corridor.asset"
"145","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","77","702","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset"
"146","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","71","645","0.977","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset"
"147","shape","ShapeCandidatePlanned","ManifestAsset","44","43","1892","1.023","106","859","0.454","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_06_L147_caveentrance.asset"
"148","normal","ReplacedRhythmV4","ManifestAsset","21","27","567","0.778","34","539","0.951","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset"
"149","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","98","682","0.957","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset"
"150","normal","ReplacedRhythmV4","ManifestAsset","26","35","910","0.743","84","902","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset"
"151","hole","OriginalNonTarget","BasePreviewFallback","30","30","900","1","84","810","0.9","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset"
"152","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","82","689","0.966","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain.asset"
"153","shape","ShapeCandidatePlanned","ManifestAsset","43","38","1634","1.132","131","1056","0.646","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset"
"154","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","99","686","0.962","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset"
"155","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","75","703","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset"
"156","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","74","728","0.948","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_11_nutation_longchain_patch_v1_rect_c80hf_03_d1_weave_patch.asset"
"157","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","80","751","0.978","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset"
"158","shape","ShapeCandidatePlanned","ManifestAsset","43","43","1849","1","96","837","0.453","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_08_L158_starfish.asset"
"159","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","71","649","0.983","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset"
"160","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","69","655","0.992","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset"
"161","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","47","538","0.996","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset"
"162","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","74","701","0.983","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset"
"163","shape","ShapeCandidatePlanned","ManifestAsset","34","42","1428","0.81","90","679","0.475","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_02_L163_ring_r2dense.asset"
"164","normal","ReplacedRhythmV4","ManifestAsset","21","30","630","0.7","37","596","0.946","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_121_l155_long_normal_a_dense_s16_slot_seedlock_gate_carrier.asset"
"165","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","72","650","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain.asset"
"166","normal","ReplacedRhythmV4","ManifestAsset","34","42","1428","0.81","101","1365","0.956","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine.asset"
"167","hole","OriginalNonTarget","BasePreviewFallback","22","26","572","0.846","53","485","0.848","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_021_std_22x26_lock.asset"
"168","shape","ShapeCandidatePlanned","ManifestAsset","38","49","1862","0.776","118","1004","0.539","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset"
"169","normal","ReplacedRhythmV4","ManifestAsset","35","42","1470","0.833","109","1404","0.955","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_64_nutation_longchain_spine_v1_rect_c80hf3_16_d3_lock_spine.asset"
"170","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","76","754","0.982","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h05r/c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset"
"171","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","76","705","0.989","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain.asset"
"172","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","70","675","0.947","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_07_nutation_longchain_patch_v1_rect_c80hf2_02_d1_maze_patch.asset"
"173","shape","ShapeCandidatePlanned","ManifestAsset","44","38","1672","1.158","107","843","0.504","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_05_L173_teapot_r2dense.asset"
"174","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","74","701","0.983","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset"
"175","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","71","649","0.983","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain.asset"
"176","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","73","647","0.98","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1.asset"
"177","hole","OriginalNonTarget","BasePreviewFallback","28","22","616","1.273","52","529","0.859","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset"
"178","shape","ShapeCandidatePlanned","ManifestAsset","38","34","1292","1.118","90","791","0.612","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_44_L178_shell_core.asset"
"179","normal","ReplacedRhythmV4","ManifestAsset","28","38","1064","0.737","65","977","0.918","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_36_nutation_longchain_spine_v1_rect_c80_09_d2_core_spine.asset"
"180","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","70","650","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain.asset"
"181","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","77","700","0.982","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset"
"182","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","71","650","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain.asset"
"183","shape","ShapeCandidatePlanned","ManifestAsset","42","42","1764","1","91","749","0.425","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep.asset"
"184","hole","OriginalNonTarget","BasePreviewFallback","24","28","672","0.857","55","583","0.868","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset"
"185","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","75","705","0.989","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset"
"186","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","71","650","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain.asset"
"187","shape","ShapeCandidatePlanned","ManifestAsset","30","42","1260","0.714","90","725","0.575","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core.asset"
"188","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","72","706","0.99","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset"
"189","normal","ReplacedRhythmV4","ManifestAsset","17","24","408","0.708","22","376","0.922","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_48_l062_long_normal_a_dense_s07_slot_headmix_outerclean_near.asset"
"190","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","69","642","0.973","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_42_nutation_mixed_neutral_v1_rect_s30_o291_v02_neutralmixed_mixed_chain.asset"
"191","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","74","706","0.99","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset"
"192","hole","OriginalNonTarget","BasePreviewFallback","28","28","784","1","82","697","0.889","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_035_topup_std_28x28_dense.asset"
"193","shape","ShapeCandidatePlanned","ManifestAsset","44","40","1760","1.1","104","861","0.489","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_05_L193_robothead.asset"
"194","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","70","656","0.994","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset"
"195","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","71","644","0.976","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_09_nutation_mixed_neutral_v1_rect_s46_o457_v02_neutralmixed_mixed_chain.asset"
"196","normal","ReplacedRhythmV4","ManifestAsset","35","42","1470","0.833","125","1406","0.956","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_62_nutation_longchain_rail_v1_rect_c80hf2_16_d3_lock_rail.asset"
"197","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","70","652","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_112_nutation_mixed_neutral_v1_rect_s23_o222_v00_neutralmixed_mixed_chain.asset"
"198","shape","ShapeCandidatePlanned","ManifestAsset","40","38","1520","1.053","101","751","0.494","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_06_L198_headphones.asset"
"199","normal","ReplacedRhythmV4","ManifestAsset","17","24","408","0.708","24","384","0.941","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_15_l021_long_normal_a_sweep_s03_slot_seedlock_section_bridge.asset"
"200","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","69","648","0.982","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_78_nutation_mixed_neutral_v1_rect_s20_o194_v02_neutralmixed_mixed_chain.asset"
"201","hole","OriginalNonTarget","BasePreviewFallback","26","24","624","1.083","56","538","0.862","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_037_std_26x24_section.asset"
"202","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","71","656","0.994","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain.asset"
"203","shape","ShapeCandidatePlanned","ManifestAsset","34","49","1666","0.694","101","832","0.499","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_07_L203_microphone.asset"
"204","normal","ReplacedRhythmV4","ManifestAsset","18","25","450","0.72","35","426","0.947","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_175_l234_long_normal_b_sweep_s24_slot_seedmaze_chamber_corridor.asset"
