"order","sourceKind","sourceFile","score","levelId","path","source","section10","productionLane","productionChainLanguage","productionDifficultyBand","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"146","strict152","","2.762","campaign500_normal_full_v1_s14_s26_17_nutation_mixed_neutral_v1_rect_s15_o146_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_17_nutation_mixed_neutral_v1_rect_s15_o146_v01_neutralmixed_mixed_chain.asset","relocated_from_order_146","15","NeutralMixed","mixed_chain","NormalNeutral","True","0.992","10","3","3","0.922","0.166","6","6"
"148","lowchoice","c5hole_lowchoice_v1_h03r_order148_shortroot1_strict_audit_strict_best_per_order.csv","7225.4","c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order148_shortroot1_trace_joined.csv","15","","","","True","0.99","9","5","4","0.888","0.144","6","5"
"149","strict152","","2.651","c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset","Campaign500NormalFullV1:w13a","15","PeelHard","rail_chain","Peak","True","0.986","9","6","4","0.868","0.232","7","7"
"152","lowchoice","c5hole_lowchoice_v1_h04r_order152_shortroot1_strict_audit_strict_best_per_order.csv","7818.8","c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","16","","","","True","0.98","8","3","3","0.907","0.118","6","5"
"154","strict152","","2.609","campaign500_normal_full_v1_s14_s26_36_nutation_peel_v2_rect_s16_o154_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_36_nutation_peel_v2_rect_s16_o154_v02_peelhard_curve_chain.asset","relocated_from_order_154","16","PeelHard","curve_chain","Peak","True","0.984","10","7","2","0.791","0.281","7","7"
"155","strict152","","2.735","campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain.asset","relocated_from_order_155","16","NeutralMixed","mixed_chain","NormalNeutral","True","0.985","8","5","4","0.916","0.145","6","6"
"160","strict152","","2.696","c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11a","16","FlowCurve","curve_chain","NormalFlow","True","0.983","8","6","4","0.864","0.206","7","7"
"161","strict152","","2.829","campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","relocated_from_order_161","17","FlowRail","rail_chain","NormalFlow","True","0.991","9","2","2","0.908","0.089","6","4"
"165","strict152","","2.561","campaign500_normal_full_v1_s14_s26_41_nutation_mixed_neutral_v1_rect_s17_o165_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_41_nutation_mixed_neutral_v1_rect_s17_o165_v01_neutralmixed_mixed_chain.asset","relocated_from_order_165","17","NeutralMixed","mixed_chain","NormalNeutral","True","0.991","10","7","5","0.827","0.255","8","6"
"166","lowchoice","c5hole_lowchoice_v1_h04r_order166_shortroot1_strict_audit_strict_best_per_order.csv","7364.3","c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1_trace_joined.csv","17","","","","True","0.983","10","6","4","0.916","0.093","5","5"
"169","strict152","","2.733","c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11b","17","PeelHard","rail_chain","Peak","True","0.982","10","4","3","0.937","0.086","5","5"
"172","lowchoice","c5hole_lowchoice_v1_h04r_order172_shortroot1_strict_audit_strict_best_per_order.csv","6598.4","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","18","","","","True","0.982","7","6","6","0.845","0.254","7","7"
"174","strict152","","2.68","campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain.asset","relocated_from_order_174","18","NeutralMixed","mixed_chain","NormalNeutral","True","0.973","9","5","5","0.926","0.092","7","4"
"175","strict152","","2.662","c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","Campaign500NormalFullV1:w2fr","18","FlowPatch","patch_chain","NormalFlow","True","0.991","9","6","4","0.898","0.091","5","4"
"179","strict152","","2.655","c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain.asset","Campaign500NormalFullV1:w10smp","18","PeelHard","rail_chain","Peak","True","0.982","9","7","4","0.879","0.209","7","6"
"182","lowchoice","c5hole_lowchoice_v1_h04r_order182_shortroot1_strict_audit_strict_best_per_order.csv","7945","c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","19","","","","True","0.98","8","3","2","0.92","0.15","6","6"
"185","strict152","","2.641","campaign500_normal_full_v1_s14_s26_67_nutation_peel_v2_rect_s19_o185_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_67_nutation_peel_v2_rect_s19_o185_v00_peelmid_curve_chain.asset","relocated_from_order_185","19","PeelMid","curve_chain","Hard","True","0.972","10","5","5","0.763","0.195","5","4"
"186","strict152","","2.697","campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset","relocated_from_order_186","19","NeutralMixed","mixed_chain","NormalNeutral","True","0.986","9","5","5","0.824","0.2","6","6"
"189","strict152","","2.682","c5nep_w11c_08_nutation_strict_mixed_hard_v1_rect_s19_o189_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_08_nutation_strict_mixed_hard_v1_rect_s19_o189_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11c","19","PeelHard","rail_chain","Peak","True","0.987","8","5","4","0.796","0.311","7","7"
"194","strict152","","2.63","campaign500_normal_full_v1_s14_s26_78_nutation_mixed_neutral_v1_rect_s20_o194_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_78_nutation_mixed_neutral_v1_rect_s20_o194_v02_neutralmixed_mixed_chain.asset","relocated_from_order_194","20","NeutralMixed","mixed_chain","NormalNeutral","True","0.982","9","7","5","0.86","0.21","7","6"
"196","lowchoice","c5hole_lowchoice_v1_h05r_order196_shortroot1_strict_audit_strict_best_per_order.csv","6159","c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h05r/c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h05r_order196_shortroot1_trace_joined.csv","20","","","","True","0.982","11","7","3","0.842","0.22","7","7"
"197","strict152","","2.667","campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset","relocated_from_order_197","20","FlowRail","rail_chain","NormalFlow","True","0.987","10","6","3","0.913","0.111","6","5"
"199","strict152","","2.709","c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w10smh","20","PeelMid","curve_chain","Hard","True","0.989","10","5","3","0.88","0.191","6","6"
"202","strict152","","2.606","campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain.asset","Campaign500NormalFullV1:fastlane1","21","FlowPatch","patch_chain","NormalFlow","True","0.991","9","9","4","0.912","0.159","6","6"
"208","strict152","","2.639","c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w12b","21","PeelMid","rail_chain","Hard","True","0.98","9","8","5","0.883","0.136","4","4"
"209","strict152","","2.565","c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset","Campaign500NormalFullV1:w13a","21","PressurePeak","mixed_chain","Peak","True","0.988","10","6","6","0.833","0.244","7","7"
"212","strict152","","2.719","campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset","relocated_from_order_212","22","NeutralMixed","mixed_chain","NormalNeutral","True","0.986","9","4","4","0.847","0.236","6","6"
"216","strict152","","2.665","c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","Campaign500NormalFullV1:w10smp","22","PressurePeak","mixed_chain","Peak","True","0.993","9","5","5","0.85","0.247","7","7"
"220","strict152","","2.718","campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset","Campaign500NormalFullV1:fastlane1","22","FlowCurve","curve_chain","NormalFlow","True","0.985","10","4","1","0.898","0.183","7","7"
"222","strict152","","2.696","campaign500_normal_full_v1_s14_s26_112_nutation_mixed_neutral_v1_rect_s23_o222_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_112_nutation_mixed_neutral_v1_rect_s23_o222_v00_neutralmixed_mixed_chain.asset","relocated_from_order_222","23","NeutralMixed","mixed_chain","NormalNeutral","True","0.988","9","5","4","0.85","0.269","7","7"
"227","strict152","","2.704","c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset","Campaign500NormalFullV1:w10smp","23","PressurePeak","mixed_chain","Peak","True","0.982","10","4","3","0.884","0.139","8","4"
"230","strict152","","2.696","campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","Campaign500NormalFullV1:fastlane1","23","FlowRail","rail_chain","NormalFlow","True","0.996","10","4","2","0.915","0.141","6","6"
"234","strict152","","2.691","campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","Campaign500NormalFullV1:fastlane1","24","FlowPatch","patch_chain","NormalFlow","True","0.995","10","4","2","0.89","0.187","7","7"
"236","strict152","","2.637","c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w10smh","24","PeelMid","rail_chain","Hard","True","0.989","10","6","3","0.846","0.211","8","6"
"239","strict152","","2.652","c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset","Campaign500NormalFullV1:w13b","24","PressurePeak","mixed_chain","Peak","True","0.981","8","8","4","0.823","0.201","6","6"
"245","strict152","","2.674","c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11c","25","PressurePeak","mixed_chain","Peak","True","0.992","9","6","6","0.853","0.177","5","5"
"249","strict152","","2.605","c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11d","25","PeelMid","rail_chain","Hard","True","0.99","10","6","6","0.843","0.223","6","6"
"250","strict152","","2.758","campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain.asset","relocated_from_order_250","25","NeutralMixed","mixed_chain","NormalNeutral","True","0.986","8","5","3","0.85","0.214","8","5"
"254","strict152","","2.576","c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","Campaign500NormalFullV1:w2fr","26","FlowRail","rail_chain","NormalFlow","True","0.991","8","7","7","0.845","0.218","7","7"
"256","strict152","","2.789","c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w12a","26","PressurePeak","mixed_chain","Peak","True","0.978","8","4","3","0.859","0.198","6","5"
"260","strict152","","2.656","campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain.asset","relocated_from_order_260","26","NeutralMixed","mixed_chain","NormalNeutral","True","0.977","8","6","5","0.83","0.236","7","7"
"262","raw_rescue","","0","campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain.asset","campaign500_normal_full_v1_report.csv","27","","","NormalNeutral","True","0.985","10","7","6","0.862","0.225","7","7"
"264","strict152","","2.633","c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w10smh","27","PeelMid","rail_chain","Hard","True","0.983","10","8","2","0.846","0.191","7","5"
"266","strict152","","2.684","campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","relocated_from_order_346","27","FlowPatch","patch_chain","NormalFlow","True","0.992","10","4","4","0.926","0.056","5","4"
"269","strict152","","2.675","c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11b","27","PressurePeak","mixed_chain","Peak","True","0.986","10","5","3","0.852","0.21","8","6"
"275","strict152","","2.678","campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain.asset","relocated_from_order_355","28","FlowCurve","curve_chain","NormalFlow","True","0.989","9","5","5","0.884","0.148","6","5"
"276","strict152","","2.729","c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w12b","28","PressurePeak","mixed_chain","Peak","True","0.988","10","3","3","0.885","0.212","8","7"
"279","strict152","","2.74","c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset","Campaign500NormalFullV1:w6nm","28","NeutralMixed","mixed_chain","NormalNeutral","True","0.977","9","4","4","0.879","0.197","8","6"
"281","strict152","","2.739","campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","relocated_from_order_281","29","FlowRail","rail_chain","NormalFlow","True","0.985","10","3","3","0.906","0.147","6","6"
"282","strict152","","2.703","campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain.asset","relocated_from_order_282","29","NeutralMixed","mixed_chain","NormalNeutral","True","0.985","8","6","5","0.829","0.208","5","5"
"287","strict152","","2.619","c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w12c","29","PressurePeak","mixed_chain","Peak","True","0.988","9","7","4","0.848","0.208","6","6"
"289","raw_rescue","","0","campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain.asset","campaign500_normal_full_v1_report.csv","29","","","Hard","True","0.966","11","3","3","0.875","0.182","7","6"
"291","strict152","","2.639","campaign500_normal_full_v1_s27_s38_42_nutation_mixed_neutral_v1_rect_s30_o291_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_42_nutation_mixed_neutral_v1_rect_s30_o291_v02_neutralmixed_mixed_chain.asset","relocated_from_order_291","30","NeutralMixed","mixed_chain","NormalNeutral","True","0.973","9","6","5","0.889","0.187","6","6"
"295","strict152","","2.706","campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain.asset","relocated_from_order_371","30","FlowPatch","patch_chain","NormalFlow","True","0.98","8","6","5","0.883","0.174","7","5"
"296","strict152","","2.658","c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w12d","30","PeelMid","rail_chain","Hard","True","0.981","10","5","4","0.868","0.169","5","5"
"305","strict152","","2.625","c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w10smh","31","PeelMid","rail_chain","Hard","True","0.992","10","5","5","0.877","0.174","6","6"
"308","strict152","","2.716","campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain.asset","relocated_from_order_308","31","NeutralMixed","mixed_chain","NormalNeutral","True","0.983","9","5","4","0.891","0.16","6","5"
