order,backupGroup,levelId,assetName,type,levelType,difficulty,width,height,chains,assetPath,zipAsset,status
118,shape,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459,shape_ocean,普通,1,30,44,96,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,shape/Level_118_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,ok
119,normal,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,section,普通,2,21,36,102,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset,normal/Level_119_direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset,ok
120,normal,direct_normal_65_direct_normal_rect_sweep_g0_v07,direct_normal_65_direct_normal_rect_sweep_g0_v07,sweep,普通,1,22,38,106,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset,normal/Level_120_direct_normal_65_direct_normal_rect_sweep_g0_v07.asset,ok
121,normal,nomask_04_maze_long_chain,nomask_04_maze_long_chain,maze,普通,1,17,24,51,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset,normal/Level_121_nomask_04_maze_long_chain.asset,ok
122,normal,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,dense,普通,1,20,32,89,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,normal/Level_122_direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,ok
123,shape,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354,shape_magic,普通,3,30,42,92,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,shape/Level_123_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,ok
124,normal,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,section,普通,3,21,38,105,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset,normal/Level_124_direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset,ok
125,normal,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,lock,普通,1,21,34,93,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset,normal/Level_125_direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset,ok
126,hole,hole_candidate_016_std_20x26_section,hole_candidate_016_std_20x26_section,hole_rescue,hole,1,20,26,50,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset,hole/Level_126_hole_candidate_016_std_20x26_section.asset,ok
127,shape,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820,shape_character,普通,2,30,42,99,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,shape/Level_127_procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,ok
128,normal,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,lock,普通,1,18,35,79,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset,normal/Level_128_direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset,ok
129,normal,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,section,普通,1,22,35,102,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,normal/Level_129_direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,ok
130,normal,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,section,普通,1,22,31,96,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,normal/Level_130_direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,ok
131,normal,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,dense,普通,1,18,31,81,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset,normal/Level_131_direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset,ok
132,normal,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,lock,普通,1,19,32,86,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,normal/Level_132_direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,ok
133,shape,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528,shape_magic,普通,1,30,42,95,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,shape/Level_133_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,ok
134,normal,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,maze,普通,1,14,29,56,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,normal/Level_134_direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,ok
135,hole,hole_topup_012_topup_tall_20x30_shell,hole_topup_012_topup_tall_20x30_shell,hole_rescue,hole,2,20,30,52,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset,hole/Level_135_hole_topup_012_topup_tall_20x30_shell.asset,ok
136,normal,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,section,普通,3,23,36,113,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset,normal/Level_136_direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset,ok
137,normal,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,lock,普通,1,21,31,80,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset,normal/Level_137_direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset,ok
138,shape,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233,shape_space,普通,1,30,42,96,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,shape/Level_138_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,ok
139,normal,direct_normal_68_direct_normal_rect_stair_push_g0_v07,direct_normal_68_direct_normal_rect_stair_push_g0_v07,section,普通,1,20,39,101,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,normal/Level_139_direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,ok
140,normal,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,section,普通,2,23,34,102,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset,normal/Level_140_direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset,ok
141,normal,direct_normal_35_direct_normal_rect_sweep_g3_v04,direct_normal_35_direct_normal_rect_sweep_g3_v04,sweep,普通,1,23,39,114,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,normal/Level_141_direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,ok
142,hole,hole_candidate_038_std_26x24_dual,hole_candidate_038_std_26x24_dual,hole_rescue,hole,1,26,24,50,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset,hole/Level_142_hole_candidate_038_std_26x24_dual.asset,ok
143,shape,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314,shape_magic,普通,1,30,42,91,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,shape/Level_143_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,ok
144,normal,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,lock,普通,1,22,40,113,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset,normal/Level_144_direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset,ok
145,normal,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,maze,普通,1,21,34,95,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,normal/Level_145_direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,ok
146,normal,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,dense,普通,1,22,31,95,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,normal/Level_146_direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,ok
147,shape,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545,shape_landmark,普通,2,30,44,101,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,shape/Level_147_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,ok
148,normal,direct_normal_08_direct_normal_rect_stair_push_g0_v01,direct_normal_08_direct_normal_rect_stair_push_g0_v01,section,普通,4,22,34,105,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset,normal/Level_148_direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset,ok
149,normal,direct_normal_126_direct_normal_rect_core_burst_g0_v13,direct_normal_126_direct_normal_rect_core_burst_g0_v13,lock,普通,2,22,39,114,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,normal/Level_149_direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,ok
150,normal,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,section,普通,3,20,37,104,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset,normal/Level_150_direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset,ok
151,hole,hole_highchain_016_hc_30x28_dual_a,hole_highchain_016_hc_30x28_dual_a,hole_rescue,hole,3,30,28,80,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset,hole/Level_151_hole_highchain_016_hc_30x28_dual_a.asset,ok
152,normal,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,lock,普通,1,21,39,106,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,normal/Level_152_direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,ok
153,shape,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517,shape_character,普通,4,30,42,101,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,shape/Level_153_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,ok
154,normal,direct_normal_98_direct_normal_rect_stair_push_g3_v10,direct_normal_98_direct_normal_rect_stair_push_g3_v10,section,普通,2,23,38,113,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset,normal/Level_154_direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset,ok
155,normal,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,dense,普通,1,18,35,84,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,normal/Level_155_direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,ok
156,normal,direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03,direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03,section,普通,3,22,34,108,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset,normal/Level_156_direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset,ok
157,normal,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,sweep,普通,1,20,33,84,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset,normal/Level_157_direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset,ok
158,shape,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521,shape_symbol,普通,1,30,42,100,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,shape/Level_158_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,ok
159,normal,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,section,普通,1,21,37,100,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset,normal/Level_159_direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset,ok
160,normal,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,lock,普通,1,21,31,76,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset,normal/Level_160_direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset,ok
161,normal,nomask_style_expansion_36_snake_spine_tall,nomask_style_expansion_36_snake_spine_tall,sweep,普通,1,17,30,53,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_36_snake_spine_tall.asset,normal/Level_161_nomask_style_expansion_36_snake_spine_tall.asset,ok
162,normal,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,dense,普通,1,19,38,95,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset,normal/Level_162_direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset,ok
163,shape,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229,shape_ocean,普通,1,32,42,101,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,shape/Level_163_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,ok
164,normal,direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03,direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03,lock,普通,1,23,38,114,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03.asset,normal/Level_164_direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03.asset,ok
165,normal,direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04,direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04,maze,普通,1,19,31,77,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset,normal/Level_165_direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset,ok
166,normal,direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03,direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03,section,普通,2,20,38,119,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset,normal/Level_166_direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset,ok
167,hole,hole_topup_043_topup_wide_26x22_maze,hole_topup_043_topup_wide_26x22_maze,hole_rescue,hole,1,26,22,53,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset,hole/Level_167_hole_topup_043_topup_wide_26x22_maze.asset,ok
168,shape,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510,shape_object,普通,2,28,42,100,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset,shape/Level_168_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset,ok
169,normal,direct_normal_31_direct_normal_rect_outer_shell_g3_v04,direct_normal_31_direct_normal_rect_outer_shell_g3_v04,lock,普通,4,23,40,115,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_31_direct_normal_rect_outer_shell_g3_v04.asset,normal/Level_169_direct_normal_31_direct_normal_rect_outer_shell_g3_v04.asset,ok
170,normal,direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09,direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09,section,普通,1,22,37,104,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09.asset,normal/Level_170_direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09.asset,ok
171,normal,direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01,direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01,dense,普通,1,22,38,108,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01.asset,normal/Level_171_direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01.asset,ok
172,normal,direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03,direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03,section,普通,2,23,34,106,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03.asset,normal/Level_172_direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03.asset,ok
173,shape,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439,shape_magic,普通,2,28,40,104,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,shape/Level_173_procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,ok
174,normal,direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09,direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09,maze,普通,1,19,36,95,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09.asset,normal/Level_174_direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09.asset,ok
175,normal,direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02,direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02,section,普通,2,20,33,92,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02.asset,normal/Level_175_direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02.asset,ok
176,normal,direct_normal_16_direct_normal_rect_core_burst_g1_v02,direct_normal_16_direct_normal_rect_core_burst_g1_v02,lock,普通,1,23,37,112,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_16_direct_normal_rect_core_burst_g1_v02.asset,normal/Level_176_direct_normal_16_direct_normal_rect_core_burst_g1_v02.asset,ok
177,hole,hole_candidate_074_wide_28x22_dense,hole_candidate_074_wide_28x22_dense,hole_rescue,hole,1,28,22,52,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset,hole/Level_177_hole_candidate_074_wide_28x22_dense.asset,ok
178,shape,r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall,procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536,shape_art,普通,3,30,42,104,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset,shape/Level_178_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset,ok
179,normal,direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04,direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04,lock,普通,1,22,39,115,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04.asset,normal/Level_179_direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04.asset,ok
180,normal,direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07,direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07,sweep,普通,3,21,38,108,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07.asset,normal/Level_180_direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07.asset,ok
181,normal,direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09,direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09,maze,普通,1,22,36,106,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09.asset,normal/Level_181_direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09.asset,ok
