"order","action","status","severity","oldFlags","slotRole","oldType","relativeDifficulty","oldLevelId","oldAssetPath","oldWidth","oldHeight","oldChains","oldFill","newLevelId","newKind","newPool","newTypeGuess","newShapeName","newSizeBand","newWidth","newHeight","newChains","newFill","chainDelta","sourceAsset","destAsset","score","reason"
"213","replace","Yellow","18","GrindyLowClear","Shape","shape_nature","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb05_03_large_bowlingpin","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L213_bowlingpin_large.asset","31","49","105","0.598","r2_outer_strong_005_r2_006_a401_maskonlyb08_01_large_tornado","shape","shape_maskonly_accepted347_pack","shape","tornado","large","38","49","110","0.506","5","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb08_01_large_tornado_20260615_235425.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L213_tornado_large.asset","-11.557","shape_unused_family_fill_chain_match"
"221","replace","Yellow","18","GrindyLowClear","Recovery","dense","Recovery","direct_normal_topup_11_direct_normal_topup_rect_dense_weave_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_11_direct_normal_topup_rect_dense_weave_g7_v02.asset","21","39","109","0.987","direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03","oldbase","old_base_no_ab_r1r2","dense","","","30","33","126","0.987","17","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03.asset","22.531","normal_oldbase_type_chain_match"
"243","replace","Yellow","18","GrindyLowClear","Shape","shape_space","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb08_01_main_tornado","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L243_tornado_main.asset","34","44","111","0.503","r2_outer_strong_005_r2_006_a401_maskonlyb03_01_main_house","shape","shape_maskonly_accepted347_pack","shape","house","main","36","38","120","0.617","9","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb03_01_main_house_20260614_200047.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L243_house_main.asset","-9.644","shape_unused_family_fill_chain_match"
"253","replace","Yellow","18","GrindyLowClear","Shape","shape_space","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb06_01_main_brickcellphone","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L253_brickcellphone_main.asset","34","44","112","0.532","r2_outer_strong_005_r2_006_a401_maskonlyb04_12_main_gear","shape","shape_maskonly_accepted347_pack","shape","gear","main","38","38","117","0.566","5","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb04_12_main_gear_20260615_154612.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L253_gear_main.asset","-10.053","shape_unused_family_fill_chain_match"
"269","replace","Yellow","18","GrindyLowClear","Peak","lock","RelativeExtreme","direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03.asset","26","50","203","0.977","direct_diff120_136_direct_diff_veryhard_dag_unlock_center_cross_g3_v04","oldbase","old_base_no_ab_r1r2","lock","","","28","50","184","0.984","-19","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_136_direct_diff_veryhard_dag_unlock_center_cross_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_136_direct_diff_veryhard_dag_unlock_center_cross_g3_v04.asset","14.557","normal_oldbase_type_chain_match"
"299","replace","Yellow","18","GrindyLowClear","Peak","lock","RelativeExtreme","direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01.asset","32","60","318","0.984","direct_diff120_138_direct_diff_veryhard_room_gate_double_room_lock_g4_v05","oldbase","old_base_no_ab_r1r2","lock","","","29","46","178","0.986","-140","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_138_direct_diff_veryhard_room_gate_double_room_lock_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_138_direct_diff_veryhard_room_gate_double_room_lock_g4_v05.asset","216.742","normal_oldbase_type_chain_match"
"344","replace","Yellow","18","GrindyLowClear","Pressure","section","Hard","direct_advanced_69_direct_advanced_extreme_rect_stair_push_g6_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_69_direct_advanced_extreme_rect_stair_push_g6_v03.asset","31","56","286","0.983","direct_diff120_148_direct_diff_veryhard_dag_unlock_four_pockets_g1_v07","oldbase","old_base_no_ab_r1r2","lock","","","28","49","176","0.979","-110","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_148_direct_diff_veryhard_dag_unlock_four_pockets_g1_v07.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_148_direct_diff_veryhard_dag_unlock_four_pockets_g1_v07.asset","189.211","normal_oldbase_type_chain_match"
"348","replace","Yellow","18","GrindyLowClear","Shape","shape_landmark","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb01_09_large_clover","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L348_clover_large.asset","40","47","131","0.598","r2_outer_strong_005_r2_006_a401_maskonlyb02_14_large_strawberry","shape","shape_maskonly_accepted347_pack","shape","strawberry","large","40","47","135","0.609","4","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb02_14_large_strawberry_20260614_171941.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L348_strawberry_large.asset","-24.716","shape_unused_family_fill_chain_match"
"351","replace","Yellow","18","GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_candidate_080_wide_30x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_080_wide_30x26_dual.asset","30","26","70","0.886","hole_candidate_078_wide_30x26_lock","oldbase","old_base_no_ab_r1r2","hole","","","30","26","72","0.885","2","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_078_wide_30x26_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_078_wide_30x26_lock.asset","3.923","hole_same_position_oldbase_match"
"358","replace","Yellow","18","GrindyLowClear","Shape","shape_ocean","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_11_large_cupcake","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L358_cupcake_large.asset","38","47","137","0.619","r2_outer_strong_005_r2_006_a401_maskonlyb01_09_large_clover","shape","shape_maskonly_accepted347_pack","shape","clover","large","40","47","131","0.598","-6","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_09_large_clover_20260614_170906.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L358_clover_large.asset","-19.644","shape_unused_family_fill_chain_match"
"359","replace","Yellow","18","GrindyLowClear","Peak","section","RelativeExtreme","direct_advanced_61_direct_advanced_extreme_rect_stair_push_g5_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_61_direct_advanced_extreme_rect_stair_push_g5_v02.asset","30","54","270","0.983","direct_diff120_126_direct_diff_veryhard_room_gate_key_door_g1_v02","oldbase","old_base_no_ab_r1r2","normal","","","29","47","176","0.976","-94","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_126_direct_diff_veryhard_room_gate_key_door_g1_v02.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_126_direct_diff_veryhard_room_gate_key_door_g1_v02.asset","168.442","normal_oldbase_type_chain_match"
"370","replace","Yellow","18","GrindyLowClear","Normal","section","Normal","direct_pure_topup_09_19_direct_polish_hard_pure_rect_quasi_symmetry_g9_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_19_direct_polish_hard_pure_rect_quasi_symmetry_g9_v07.asset","24","40","149","0.97","direct_diff120_141_direct_diff_veryhard_long_spine_snake_spine_g0_v06","oldbase","old_base_no_ab_r1r2","long","","","25","47","148","0.986","-1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_141_direct_diff_veryhard_long_spine_snake_spine_g0_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_141_direct_diff_veryhard_long_spine_snake_spine_g0_v06.asset","11.736","normal_oldbase_type_chain_match"
"371","replace","Yellow","18","GrindyLowClear","Normal","maze","Normal","direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01.asset","21","34","100","0.982","direct_diff120_69_direct_diff_normal_long_spine_zig_river_g2_v08","oldbase","old_base_no_ab_r1r2","long","","","20","35","94","0.993","-6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_69_direct_diff_normal_long_spine_zig_river_g2_v08.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_69_direct_diff_normal_long_spine_zig_river_g2_v08.asset","12.871","normal_oldbase_type_chain_match"
"385","replace","Yellow","18","GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_candidate_068_tall_28x30_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_068_tall_28x30_dual.asset","28","30","72","0.888","hole_candidate_034_std_24x30_section","oldbase","old_base_no_ab_r1r2","hole","","","24","30","71","0.875","-1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_034_std_24x30_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_034_std_24x30_section.asset","6.5","hole_same_position_oldbase_match"
"394","replace","Yellow","18","GrindyLowClear","Pressure","lock","Hard","direct_advanced_35_direct_advanced_veryhard_rect_core_burst_g0_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_35_direct_advanced_veryhard_rect_core_burst_g0_v05.asset","27","50","214","0.973","direct_diff120_140_direct_diff_veryhard_dag_unlock_stair_ladder_g4_v05","oldbase","old_base_no_ab_r1r2","lock","","","26","48","173","0.986","-41","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_140_direct_diff_veryhard_dag_unlock_stair_ladder_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_140_direct_diff_veryhard_dag_unlock_stair_ladder_g4_v05.asset","86.744","normal_oldbase_type_chain_match"
"395","replace","Yellow","18","GrindyLowClear","Normal","dense","Normal","direct_normal_94_direct_normal_rect_dense_weave_g3_v10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_94_direct_normal_rect_dense_weave_g3_v10.asset","23","40","118","0.986","direct_diff120_94_direct_diff_hard_room_gate_vertical_gate_g3_v04","oldbase","old_base_no_ab_r1r2","normal","","","24","39","123","0.981","5","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_94_direct_diff_hard_room_gate_vertical_gate_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_94_direct_diff_hard_room_gate_vertical_gate_g3_v04.asset","11.792","normal_oldbase_type_chain_match"
"396","replace","Yellow","18","GrindyLowClear","Peak","section","RelativeExtreme","direct_advanced_16_direct_advanced_veryhard_rect_section_unlock_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_16_direct_advanced_veryhard_rect_section_unlock_g1_v02.asset","24","46","181","0.986","direct_diff120_124_direct_diff_veryhard_dag_unlock_stair_ladder_g0_v01","oldbase","old_base_no_ab_r1r2","lock","","","28","46","174","0.988","-7","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_124_direct_diff_veryhard_dag_unlock_stair_ladder_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_124_direct_diff_veryhard_dag_unlock_stair_ladder_g0_v01.asset","15.716","normal_oldbase_type_chain_match"
"403","replace","Yellow","18","GrindyLowClear","Shape","shape_vehicle","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb06_06_large_payphone","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L403_payphone_large.asset","38","49","153","0.682","r2_outer_strong_005_r2_006_a401_maskonlyb06_05_large_dialphone","shape","shape_maskonly_accepted347_pack","shape","dialphone","large","44","38","150","0.676","-3","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb06_05_large_dialphone_20260615_223645.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L403_dialphone_large.asset","-7.825","shape_unused_family_fill_chain_match"
"412","replace","Yellow","18","GrindyLowClear","Pressure","section","Hard","direct_pure_topup_10_24_direct_polish_hard_pure_rect_stair_push_g12_v10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_24_direct_polish_hard_pure_rect_stair_push_g12_v10.asset","24","40","157","0.982","direct_diff120_139_direct_diff_veryhard_near_square_center_cross_g4_v05","oldbase","old_base_no_ab_r1r2","normal","","","32","39","158","0.986","1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_139_direct_diff_veryhard_near_square_center_cross_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_139_direct_diff_veryhard_near_square_center_cross_g4_v05.asset","12.544","normal_oldbase_type_chain_match"
"423","replace","Yellow","18","GrindyLowClear","Shape","shape_vehicle","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb09_38_large_camera","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L423_camera_large.asset","44","38","160","0.792","r2_outer_strong_005_r2_006_a401_maskonlyb05_01_large_artistpalette","shape","shape_maskonly_accepted347_pack","shape","artistpalette","large","44","38","136","0.686","-24","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb05_01_large_artistpalette_20260615_190225.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L423_artistpalette_large.asset","-4.41","shape_unused_family_fill_chain_match"
"426","replace","Yellow","18","GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_topup_050_topup_wide_30x26_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_050_topup_wide_30x26_dense.asset","30","26","77","0.882","hole_candidate_086_wide_32x24_dense","oldbase","old_base_no_ab_r1r2","hole","","","32","24","80","0.875","3","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_086_wide_32x24_dense.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_086_wide_32x24_dense.asset","1.5","hole_same_position_oldbase_match"
"435","replace","Yellow","18","GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_candidate_096_wide_34x26_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_096_wide_34x26_lock.asset","34","26","79","0.894","hole_candidate_051_std_28x28_lock","oldbase","old_base_no_ab_r1r2","hole","","","28","28","76","0.889","-3","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_051_std_28x28_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_051_std_28x28_lock.asset","5.388","hole_same_position_oldbase_match"
"451","replace","Yellow","18","GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_highchain_extra_016_hc2_32x30_dual_b","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_016_hc2_32x30_dual_b.asset","32","30","91","0.908","hole_candidate_092_wide_32x28_dual","oldbase","old_base_no_ab_r1r2","hole","","","32","28","85","0.901","-6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_092_wide_32x28_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_092_wide_32x28_dual.asset","3.795","hole_same_position_oldbase_match"
"454","replace","Yellow","18","GrindyLowClear","Pressure","section","Hard","direct_pure_topup_09_07_direct_polish_hard_pure_rect_dual_zone_g14_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_07_direct_polish_hard_pure_rect_dual_zone_g14_v06.asset","25","40","159","0.978","direct_diff120_134_direct_diff_veryhard_room_gate_vertical_gate_g3_v04","oldbase","old_base_no_ab_r1r2","normal","","","27","45","159","0.987","0","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_134_direct_diff_veryhard_room_gate_vertical_gate_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_134_direct_diff_veryhard_room_gate_vertical_gate_g3_v04.asset","9.732","normal_oldbase_type_chain_match"
"483","replace","Yellow","18","GrindyLowClear","Shape","shape_landmark","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb01_06_compact_snowflake","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L483_snowflake_compact.asset","33","33","65","0.54","r2_outer_strong_005_r2_006_a401_maskonlyb09_21_compact_heart","shape","shape_maskonly_accepted347_pack","shape","heart","compact","33","31","64","0.63","-1","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb09_21_compact_heart_20260616_111009.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L483_heart_compact.asset","-26.483","shape_unused_family_fill_chain_match"
"499","replace","Yellow","18","GrindyLowClear","Recovery","section","Recovery","direct_pure_topup_09_09_direct_polish_hard_pure_rect_quasi_symmetry_g14_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_09_direct_polish_hard_pure_rect_quasi_symmetry_g14_v06.asset","22","44","158","0.978","direct_diff120_129_direct_diff_veryhard_long_spine_long_corridor_g2_v03","oldbase","old_base_no_ab_r1r2","long","","","25","48","159","0.972","1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_129_direct_diff_veryhard_long_spine_long_corridor_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_129_direct_diff_veryhard_long_spine_long_corridor_g2_v03.asset","11.075","normal_oldbase_type_chain_match"
"29","replace","Yellow","16","StartFakeWide","FixedFront40","dense","Normal","direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset","20","34","99","0.982","direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05","oldbase","old_base_no_ab_r1r2","lock","","","22","32","94","0.987","-5","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05.asset","13.328","normal_oldbase_type_chain_match"
"100","replace","Yellow","16","StartFakeWide","Normal","lock","Normal","direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02.asset","15","28","51","0.988","direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06","oldbase","old_base_no_ab_r1r2","lock","","","16","24","49","0.984","-2","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06.asset","-3.444","normal_oldbase_type_chain_match"
"192","replace","Yellow","16","StartFakeWide","HoleRescue","hole_rescue","Mechanic","hole_highchain_017_hc_28x30_dense_a","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_017_hc_28x30_dense_a.asset","28","30","82","0.896","hole_topup_035_topup_std_28x28_dense","oldbase","old_base_no_ab_r1r2","hole","","","28","28","82","0.889","0","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\TopupCandidates\hole_topup_035_topup_std_28x28_dense.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_035_topup_std_28x28_dense.asset","-5.112","hole_same_position_oldbase_match"
"261","replace","Yellow","16","StartFakeWide","Recovery","sweep","Recovery","direct_normal_75_direct_normal_rect_sweep_g1_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_75_direct_normal_rect_sweep_g1_v08.asset","23","40","120","0.979","direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03","oldbase","old_base_no_ab_r1r2","long","","","22","42","122","0.986","2","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03.asset","8.941","normal_oldbase_type_chain_match"
"306","replace","Yellow","16","StartFakeWide","Recovery","maze","Recovery","direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03.asset","21","36","108","0.988","direct_diff120_101_direct_diff_hard_long_spine_snake_spine_g0_v06","oldbase","old_base_no_ab_r1r2","long","","","22","41","117","0.986","9","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_101_direct_diff_hard_long_spine_snake_spine_g0_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_101_direct_diff_hard_long_spine_snake_spine_g0_v06.asset","19.744","normal_oldbase_type_chain_match"
