"order","section10","category","bucket","experienceRole","baseChain","projectedChain","canvasAdjustedChain","chainDeltaVsBase","projectedArea","projectedArrow","isLongChain","projectionReason","donorOrTargetOrder","sourcePool","productionLane","chainLanguage","note","projectedAsset"
"86","9","normal","Ordinary","Normal","51","80","80","29","780","766","False","v11_review_target","302","C5V4FGapfillStrictSelected","StrictMixedChoiceClamp","mixed_chain","s9 ordinary 51->80","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/b/c5s1_b_04_nutation_strict_mixed_choiceclamp_v1_rect_s31_o302_v03_strictmixedchoiceclamp_mixed_chain.asset"
"87","9","shape","Shape","Shape","95","95","95","0","1280","751","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset"
"88","9","normal","Hard","Pressure","93","93","93","0","884","871","False","keep_current","","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset"
"89","9","normal","Peak","Peak","73","101","121","28","1428","1365","True","v11_review_target","166","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","s9 peak 73->101, adjusted 121","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine.asset"
"90","9","normal","Hard","Normal","87","87","87","0","884","872","False","keep_current","","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset"
"91","10","hole","HoleRescue","HoleRescue","47","47","47","0","572","491","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset"
"92","10","normal","Ordinary","Normal","42","81","81","39","825","814","False","v11_review_target","114","Campaign500_HardGateUntil0910","PeelMid","curve_chain","s10 ordinary 42->81","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset"
"93","10","shape","Shape","Shape","92","92","92","0","1073","742","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset"
"94","10","normal","Hard","Pressure","100","100","100","0","972","954","False","keep_current","","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset"
"95","10","normal","Ordinary","Normal","52","82","82","30","825","818","False","v11_review_target","124","Campaign500_HardGateUntil0910","PeelMid","rail_chain","s10 ordinary 52->82","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset"
"96","10","normal","Peak","Peak","100","121","136","21","1209","1155","True","v11_review_target","485","NutationLongChainStrict60","LongChainProbe","patch_chain","s10 peak 100->121","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset"
"97","10","normal","Hard","Recovery","82","94","94","12","884","869","False","v11_review_target","329","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","s10 hard 82->94","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset"
"98","10","shape","Shape","Shape","70","70","70","0","1428","577","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset"
"99","10","normal","Ordinary","Normal","94","94","94","0","884","868","False","keep_current","","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset"
"100","10","normal","Ordinary","Normal","43","83","83","40","768","763","False","v11_review_target","111","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","s10 ordinary 43->83","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset"
