"order","section10","category","difficultyBucket","experienceRole","projectedChain","canvasAdjustedChain","longChainCanvasBonus","isLongChain","projectedArrow","projectedArea","projectedAsset","sourcePool","productionLane","chainLanguage","baseChain","baseArrow","baseArea","initialChain","initialArrow","initialArea","projectionReason","linkedOrder","chainDeltaVsBase","chainDeltaVsInitial"
"81","9","normal","Ordinary","Recovery","80","80","0","False","751","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","43","428","432","46","380","384","v8_review_target","157","37","34"
"82","9","hole","HoleRescue","HoleRescue","45","45","0","False","441","528","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","","","","45","441","528","45","441","528","keep_current","","0","0"
"83","9","shape","Shape","Shape","91","91","0","False","709","1360","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","ShapeMaskInventory","","","91","709","1360","103","711","1360","keep_current","","0","-12"
"84","9","normal","Hard","Pressure","80","80","0","False","815","825","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","curve_chain","80","815","825","88","665","672","keep_current","","0","-8"
"85","9","normal","Ordinary","Recovery","79","79","0","False","759","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","NeutralMixed","mixed_chain","79","759","768","92","710","720","keep_current","","0","-13"
"86","9","normal","Ordinary","Normal","80","80","0","False","766","780","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/b/c5s1_b_04_nutation_strict_mixed_choiceclamp_v1_rect_s31_o302_v03_strictmixedchoiceclamp_mixed_chain.asset","C5V4FGapfillStrictSelected","StrictMixedChoiceClamp","mixed_chain","51","532","540","55","442","448","v8_review_target","302","29","25"
"87","9","shape","Shape","Shape","95","95","0","False","751","1280","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","ShapeMaskInventory","","","95","751","1280","107","742","1280","keep_current","","0","-12"
"88","9","normal","Hard","Pressure","93","93","0","False","871","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","93","871","884","101","746","760","keep_current","","0","-8"
"89","9","normal","Peak","Peak","104","116","12","True","1044","1102","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_39_nutation_longchain_patch_v1_rect_c80hf2_10_d2_section_patch.asset","NutationLongChainStrict60","LongChainProbe","curve_chain","73","1201","1280","100","700","714","v8_review_target","465","31","4"
"90","9","normal","Hard","Normal","87","87","0","False","872","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","87","872","884","98","738","748","keep_current","","0","-11"
"91","10","hole","HoleRescue","HoleRescue","47","47","0","False","491","572","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset","","","","47","491","572","47","491","572","keep_current","","0","0"
"92","10","normal","Ordinary","Normal","81","81","0","False","814","825","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset","Campaign500_HardGateUntil0910","PeelMid","curve_chain","42","430","432","48","393","400","v8_review_target","114","39","33"
"93","10","shape","Shape","Shape","92","92","0","False","742","1073","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","ShapeMaskInventory","","","92","742","1073","86","734","1073","keep_current","","0","6"
"94","10","normal","Hard","Pressure","100","100","0","False","954","972","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","100","954","972","107","809","819","keep_current","","0","-7"
"95","10","normal","Ordinary","Normal","82","82","0","False","818","825","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","rail_chain","52","533","540","61","391","405","v8_review_target","124","30","21"
"96","10","normal","Peak","Peak","121","136","15","True","1155","1209","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","NutationLongChainStrict60","LongChainProbe","patch_chain","100","962","972","110","840","851","v8_review_target","485","21","11"
"97","10","normal","Hard","Recovery","94","94","0","False","869","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","82","811","825","102","785","798","v8_review_target","329","12","-8"
"98","10","shape","Shape","Shape","70","70","0","False","577","1428","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","ShapeMaskInventory","","","70","577","1428","87","575","1428","keep_current","","0","-17"
"99","10","normal","Ordinary","Normal","94","94","0","False","868","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","94","868","884","101","736","748","keep_current","","0","-7"
"100","10","normal","Ordinary","Normal","83","83","0","False","763","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","43","427","432","49","378","384","v8_review_target","111","40","34"
"101","11","hole","HoleRescue","HoleRescue","47","47","0","False","448","528","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset","","","","47","448","528","47","448","528","keep_current","","0","0"
"102","11","normal","Ordinary","Normal","57","57","0","False","378","390","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02.asset","InitialTemplateDonorRevertReviewOnly","","","56","529","540","57","378","390","v8_review_donor_revert","36","1","0"
"103","11","shape","Shape","Shape","101","101","0","False","847","1672","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","ShapeMaskInventory","","","101","847","1672","102","838","1672","keep_current","","0","-1"
"104","11","normal","Hard","Pressure","36","36","0","True","486","513","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset","SeedV5LongChain30Front300","slot_seedmaze_section_weave","family_profile_chain","36","486","513","102","747","756","keep_current","","0","-66"
"105","11","normal","Hard","Recovery","97","97","0","False","681","713","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","HubMixedRefill30Front300","hub_spoke","mixed_chain","97","681","713","117","895","920","keep_current","","0","-20"
"106","11","normal","Ordinary","Normal","78","78","0","False","704","713","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset","Campaign500_HardGateUntil0910","PeelMid","curve_chain","78","704","713","86","641","648","keep_current","","0","-8"
"107","11","normal","Peak","Peak","94","94","0","False","667","713","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","ExternalHardGateDedupFront300","HubMixed","unknown_chain","94","667","713","105","743","756","keep_current","","0","-11"
"108","11","shape","Shape","Shape","80","80","0","False","627","1512","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","ShapeMaskInventory","","","80","627","1512","89","624","1512","keep_current","","0","-9"
"109","11","normal","Peak","Pressure","90","90","0","False","960","972","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","90","960","972","108","831","851","keep_current","","0","-18"
"110","11","normal","Ordinary","Recovery","87","87","0","False","893","910","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset","Campaign500_HardGateUntil0910","PeelMid","rail_chain","87","893","910","104","761","777","keep_current","","0","-17"
"111","12","normal","Ordinary","Recovery","89","89","0","False","693","700","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset","InitialTemplateDonorRevertReviewOnly","","","83","763","768","89","693","700","v8_review_donor_revert","100","6","0"
"112","12","normal","Peak","Pressure","92","112","20","True","1343","1440","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","92","1343","1440","108","823","836","keep_current","","0","-16"
"113","12","shape","Shape","Shape","95","95","0","False","774","1666","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset","ShapeMaskInventory","","","95","774","1666","97","775","1666","keep_current","","0","-2"
"114","12","normal","Ordinary","Recovery","94","97","3","True","659","666","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset","InitialTemplateDonorRevertReviewOnly","","","81","814","825","94","659","666","v8_review_donor_revert","92","13","0"
"115","12","normal","Ordinary","Normal","74","74","0","False","584","594","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset","InitialTemplateDonorRevertReviewOnly","","","70","651","660","74","584","594","v8_review_donor_revert","60","4","0"
"116","12","normal","Hard","Pressure","89","89","0","False","673","680","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset","InitialTemplateDonorRevertReviewOnly","","","82","754","768","89","673","680","v8_review_donor_revert","52","7","0"
"117","12","hole","HoleRescue","HoleRescue","49","49","0","False","489","572","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","","","","49","489","572","49","489","572","keep_current","","0","0"
"118","12","shape","Shape","Shape","98","98","0","False","790","1598","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","ShapeMaskInventory","","","98","790","1598","95","782","1598","keep_current","","0","3"
"119","12","normal","Peak","Peak","43","45","2","True","585","616","Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset","ExternalHardGateDedupFront300","CampaignLongChainLab","long_chain","43","585","616","102","748","756","keep_current","","0","-59"
"120","12","normal","Ordinary","Recovery","87","87","0","False","759","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","87","759","768","106","821","836","keep_current","","0","-19"
"121","13","normal","Ordinary","Recovery","51","51","0","True","406","408","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset","InitialTemplateDonorRevertReviewOnly","","","45","538","540","51","406","408","v8_review_donor_revert","28","6","0"
"122","13","normal","Ordinary","Normal","79","79","0","False","867","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset","Campaign500NormalFullV1UnusedStrict","PressurePeak","mixed_chain","79","867","884","89","630","640","keep_current","","0","-10"
"123","13","shape","Shape","Shape","86","86","0","False","672","1140","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","ShapeMaskInventory","","","86","672","1140","90","662","1140","keep_current","","0","-4"
"124","13","normal","Ordinary","Normal","96","96","0","False","741","756","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","InitialTemplateDonorRevertReviewOnly","","","82","818","825","96","741","756","v8_review_donor_revert","95","14","0"
"125","13","normal","Hard","Pressure","76","81","5","True","728","768","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset","NutationLongChainStrict60Front300","maze_long_chain","patch_chain","76","728","768","93","702","714","keep_current","","0","-17"
"126","13","hole","HoleRescue","HoleRescue","50","50","0","False","439","520","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","","","","50","439","520","50","439","520","keep_current","","0","0"
"127","13","shape","Shape","Shape","88","88","0","False","716","1156","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","ShapeMaskInventory","","","88","716","1156","96","707","1156","keep_current","","0","-8"
"128","13","normal","Ordinary","Normal","63","63","0","False","536","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","63","536","540","80","640","646","keep_current","","0","-17"
"129","13","normal","Peak","Pressure","102","102","0","False","762","770","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset","InitialTemplateDonorRevertReviewOnly","","","42","631","667","102","762","770","v8_review_donor_revert","22","60","0"
"130","13","normal","Ordinary","Normal","77","77","0","False","757","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset","Campaign500_HardGateUntil0910","PeelHard","rail_chain","77","757","768","96","673","682","keep_current","","0","-19"
"131","14","normal","Ordinary","Normal","81","81","0","False","548","558","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset","InitialTemplateDonorRevertReviewOnly","","","72","756","768","81","548","558","v8_review_donor_revert","62","9","0"
"132","14","normal","Hard","Pressure","81","81","0","False","809","825","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","rail_chain","81","809","825","86","600","608","keep_current","","0","-5"
"133","14","shape","Shape","Shape","88","88","0","False","697","1598","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset","ShapeMaskInventory","","","88","697","1598","94","700","1598","keep_current","","0","-6"
"134","14","normal","Ordinary","Normal","56","56","0","True","399","406","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset","InitialTemplateDonorRevertReviewOnly","","","50","535","540","56","399","406","v8_review_donor_revert","33","6","0"
"135","14","hole","HoleRescue","HoleRescue","52","52","0","False","510","600","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","","","","52","510","600","52","510","600","keep_current","","0","0"
"136","14","normal","Peak","Peak","113","113","0","False","817","828","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset","InitialTemplateDonorRevertReviewOnly","","","99","1364","1428","113","817","828","v8_review_donor_revert","47","14","0"
"137","14","normal","Ordinary","Normal","80","80","0","False","639","651","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset","InitialTemplateDonorRevertReviewOnly","","","72","650","660","80","639","651","v8_review_donor_revert","64","8","0"
"138","14","shape","Shape","Shape","90","90","0","False","740","1232","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset","ShapeMaskInventory","","","90","740","1232","99","729","1232","keep_current","","0","-9"
"139","14","normal","Ordinary","Recovery","85","85","0","False","754","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelHard","rail_chain","85","754","768","101","761","780","keep_current","","0","-16"
"140","14","normal","Hard","Normal","80","80","0","False","755","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","strict_peak_chain","80","755","768","102","769","782","keep_current","","0","-22"
"141","15","normal","Ordinary","Recovery","92","92","0","False","862","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","curve_chain","92","862","884","114","880","897","keep_current","","0","-22"
"142","15","hole","HoleRescue","HoleRescue","50","50","0","False","536","624","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","","","","50","536","624","50","536","624","keep_current","","0","0"
"143","15","shape","Shape","Shape","89","89","0","False","759","1428","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset","ShapeMaskInventory","","","89","759","1428","87","755","1428","keep_current","","0","2"
"144","15","normal","Hard","Pressure","40","42","2","True","609","644","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_80_l106_long_normal_b_section_s11_slot_seedmaze_chamber_corridor.asset","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","40","609","644","113","866","880","keep_current","","0","-73"
"145","15","normal","Ordinary","Recovery","77","77","0","False","702","713","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","curve_chain","77","702","713","95","704","714","keep_current","","0","-18"
"146","15","normal","Ordinary","Normal","71","71","0","False","645","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","rail_chain","71","645","660","95","668","682","keep_current","","0","-24"
"147","15","shape","Shape","Shape","106","106","0","False","859","1892","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_06_L147_caveentrance.asset","ShapeMaskInventory","","","106","859","1892","100","858","1892","keep_current","","0","6"
"148","15","normal","Hard","Pressure","34","35","1","True","539","567","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","34","539","567","111","851","851","keep_current","","0","-77"
"149","15","normal","Peak","Peak","98","98","0","False","682","713","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset","HubMixedRefill30Front300","hub_spoke","mixed_chain","98","682","713","114","843","858","keep_current","","0","-16"
"150","15","normal","Ordinary","Normal","84","84","0","False","902","910","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","Campaign500_HardGateUntil0910","PeelMid","rail_chain","84","902","910","104","725","740","keep_current","","0","-20"
"151","16","hole","HoleRescue","HoleRescue","84","84","0","False","810","900","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","","","","84","810","900","84","810","900","keep_current","","0","0"
"152","16","normal","Hard","Normal","82","82","0","False","689","713","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","curve_chain","82","689","713","106","804","819","keep_current","","0","-24"
"153","16","shape","Shape","Shape","131","131","0","False","1056","1634","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","ShapeMaskInventory","","","131","1056","1634","115","1045","1634","keep_current","","0","16"
"154","16","normal","Peak","Pressure","113","113","0","False","858","874","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset","InitialTemplateDonorRevertReviewOnly","","","99","686","713","113","858","874","v8_review_donor_revert","39","14","0"
"155","16","normal","Ordinary","Normal","84","84","0","False","615","630","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset","InitialTemplateDonorRevertReviewOnly","","","75","703","713","84","615","630","v8_review_donor_revert","77","9","0"
"156","16","normal","Peak","Peak","74","79","5","True","728","768","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_11_nutation_longchain_patch_v1_rect_c80hf_03_d1_weave_patch.asset","NutationLongChainStrict60Front300","maze_long_chain","patch_chain","74","728","768","94","737","754","keep_current","","0","-20"
"157","16","normal","Ordinary","Recovery","84","84","0","False","649","660","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset","InitialTemplateDonorRevertReviewOnly","","","80","751","768","84","649","660","v8_review_donor_revert","81","4","0"
"158","16","shape","Shape","Shape","96","96","0","False","837","1849","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_08_L158_starfish.asset","ShapeMaskInventory","","","96","837","1849","99","835","1849","keep_current","","0","-3"
"159","16","normal","Ordinary","Normal","71","71","0","False","649","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelLight","rail_chain","71","649","660","100","766","777","keep_current","","0","-29"
"160","16","normal","Ordinary","Normal","69","69","0","False","655","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","69","655","660","76","638","651","keep_current","","0","-7"
"161","17","normal","Ordinary","Recovery","47","47","0","False","538","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail","rail_chain","47","538","540","53","506","510","keep_current","","0","-6"
"162","17","normal","Ordinary","Normal","74","74","0","False","701","713","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","unknown_chain","74","701","713","95","705","722","keep_current","","0","-21"
"163","17","shape","Shape","Shape","90","90","0","False","679","1428","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_02_L163_ring_r2dense.asset","ShapeMaskInventory","","","90","679","1428","99","676","1428","keep_current","","0","-9"
