"order","section10","category","sectionWaveRole","difficultyBucket","experienceRole","difficultyNameZh","replacementMark","finalStatus","sourcePool","productionLane","productionChainLanguage","patchKind","initialAssetPath","currentAssetPath","initialGuid","currentGuid","initialWidth","initialHeight","initialArea","initialArrowCount","initialChainCount","currentWidth","currentHeight","currentArea","currentArrowCount","currentChainCount","currentCoverage","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore"
"79","8","normal","Recovery","Ordinary","Recovery","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_19_long_corridor_a.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","25697afb2597cf242a8396199ed42316","4b7a2119892b848468e9839e13f6a111","19","27","513","504","58","20","27","540","530","51","0.9815","0.981","10","6","0.889"
"80","8","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","2de97d3e29d89b941949d8f7a95e4516","ca003bfebd9c47a68686852009c36466","22","32","704","689","89","22","30","660","651","73","0.9864","0.986","10","5","0.913"
"81","9","normal","Recovery","Ordinary","Recovery","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_04_snake_spine_a.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","86395ff462c95494fb7fdd91f8409576","2da7a69636a5eec4eb59b4d9720bddd4","16","24","384","380","46","18","24","432","428","43","0.9907","0.991","9","4","0.911"
"82","9","hole","HoleRescue","HoleRescue","HoleRescue","普通/恢复","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","35252a2e77ab14142b14789b38700df2","35252a2e77ab14142b14789b38700df2","22","24","528","441","45","22","24","528","441","45","0.8352","","","",""
"83","9","shape","Shape","Shape","Shape","困难","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L083_ballmouse_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","dcbf8d0f95cb9534da719873924ffc04","8629ba81fd601964386344907767e956","40","34","1360","711","103","40","34","1360","709","91","0.5213","0.981","8","9",""
"84","9","normal","Hard","Hard","Pressure","困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PeelMid","curve_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","3c3a83482204f0e409f96001fb768bf8","b6fe6e357ab64ff45a2089a8ab7b118f","21","32","672","665","88","25","33","825","815","80","0.9879","0.988","9","5","0.862"
"85","9","normal","Recovery","Ordinary","Recovery","困难","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset","022715f6a5219bd459dc93e301c9d38b","73136de74195fbd41a300cb918c7bf9a","20","36","720","710","92","24","32","768","759","79","0.9883","0.988","9","7","0.827"
"86","9","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","0c6be4315ba48014ead91a3982336664","7fc43351ccc488e4e85b4f06a2fd58b9","16","28","448","442","55","20","27","540","532","51","0.9852","0.985","10","3","0.906"
"87","9","shape","Shape","Shape","Shape","困难","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L087_maskonlyb07_06_main_racingkart_20260615_225216.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","94b2a571bba7e6c4a8732b21f4fc7114","435b984b426860243ab41597c101903f","40","32","1280","742","107","40","32","1280","751","95","0.5867","0.988","9","9",""
"88","9","normal","Hard","Hard","Pressure","特别困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_28_direct_normal_rect_stair_push_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset","c352759b40a36f64184774566be44bfa","606b78e5dee549048893ed5a5889039a","20","38","760","746","101","26","34","884","871","93","0.9853","0.985","10","5","0.907"
"89","9","normal","PeakExtreme","Peak","Peak","极难","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine.asset","ff44e82e266262a4c9186b0f71ec01cb","6c6a2ad90ab59624596d5618c00b2b50","21","34","714","700","100","32","40","1280","1201","73","0.9383","0.938","8","7","0.91"
"90","9","normal","Hard","Hard","Normal","困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset","7ab2258b844d3a142a51eed3f0682870","76941833b9fe45e4085c9b2a8d131d37","22","34","748","738","98","26","34","884","872","87","0.9864","0.986","10","5","0.852"
"91","10","hole","HoleRescue","HoleRescue","HoleRescue","普通/恢复","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset","d1743a4404038a04b95e959571e83ee4","d1743a4404038a04b95e959571e83ee4","26","22","572","491","47","26","22","572","491","47","0.8584","","","",""
"92","10","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_30_vertical_gate_a.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","3fd0acf1a2f52b44294749f05fcbc5e0","ba04743a5d174754aaf6c0b65ad16ce1","16","25","400","393","48","18","24","432","430","42","0.9954","0.995","10","4","0.89"
"93","10","shape","Shape","Shape","Shape","困难","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L093_wrappedcandy_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","911f8161cb043114b806fc6d3526eb89","41ecea7fab88e0747821860edf8782f3","37","29","1073","734","86","37","29","1073","742","92","0.6915","0.988","8","8",""
"94","10","normal","Hard","Hard","Pressure","特别困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_112_direct_normal_rect_section_unlock_g5_v12.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","2d185c9dfbb9f304fa5bf947aadb88d6","c0e3d70a2f091d146ab729587c72dc82","21","39","819","809","107","27","36","972","954","100","0.9815","0.981","9","4","0.858"
"95","10","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset","5b3e932ccd0fafd4684f1fec45bcd626","0583b3ae20a6383498c0e7f3f2446f54","15","27","405","391","61","20","27","540","533","52","0.987","0.987","10","6","0.913"
"96","10","normal","PeakExtreme","Peak","Peak","极难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","aa4d9c2dec186c54fac3b5a9d920b029","cd7bd34fcce6e1f439249fbf0b029b7f","23","37","851","840","110","27","36","972","962","100","0.9897","0.99","10","4","0.854"
"97","10","normal","Hard","Hard","Recovery","困难","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","5c1e5baba4f2829499d2e711191540a7","3bf83d853bdaf9449b2335931553e10e","21","38","798","785","102","25","33","825","811","82","0.983","0.983","10","8","0.846"
"98","10","shape","Shape","Shape","Shape","困难","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L098_phonehandset_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","61579aec3b4969c428b2df9fbcf954d9","5da0baa1c0c5d7544a586f736199afda","34","42","1428","575","87","34","42","1428","577","70","0.4041","0.985","9","11",""
"99","10","normal","Normal","Ordinary","Normal","困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset","4e1f99ac202f32949ba7c2ab52313938","216c6d1ecddeee44f8f7805bdc0f4d0c","22","34","748","736","101","26","34","884","868","94","0.9819","0.982","10","4","0.884"
"100","10","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset","a8381b24a09ec204a8afcc906b210e46","0055102bb406eeb4fae8928b8ddc3720","16","24","384","378","49","18","24","432","427","43","0.9884","0.988","10","5","0.895"
"101","11","hole","HoleRescue","HoleRescue","HoleRescue","普通/恢复","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset","d3639ddffa824bd499209671f4d9bbc3","d3639ddffa824bd499209671f4d9bbc3","22","24","528","448","47","22","24","528","448","47","0.8485","","","",""
"102","11","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","unknown_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","7e61baaaf4acb4e44b31a0f52aca8370","7ecc0ec7e1744aa4cb4147568c72139b","15","26","390","378","57","20","27","540","529","56","0.9796","0.98","8","3","0.92"
"103","11","shape","Shape","Shape","Shape","困难","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L103_paperplane_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","77941184af864f94fa42dcae05954e94","f7be01618e5c88845b196e23a9b69e44","44","38","1672","838","102","44","38","1672","847","101","0.5066","0.994","10","12",""
"104","11","normal","Hard","Hard","Pressure","困难","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","slot_seedmaze_section_weave","family_profile_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset","d5507c03bcac28c459cc09fceed0d629","ffcdd2b1324bc2441ad96c41e42b0e74","21","36","756","747","102","19","27","513","486","36","0.9474","0.9474","11","3","0.876"
"105","11","normal","Hard","Hard","Recovery","困难","REPLACED","ReplacedRhythmV4","HubMixedRefill30Front300","hub_spoke","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","909bad2ecce057d4ab9e44b231701f6d","3ab92059c7c56434984e224d6aa3ed1a","23","40","920","895","117","23","31","713","681","97","0.9551","0.955","10","6","0.825"
"106","11","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PeelMid","curve_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset","09f4e8ba06ed43f4cbd47fdf99f27791","134414e11066f714189ff946f844ce22","18","36","648","641","86","23","31","713","704","78","0.9874","0.987","9","5","0.854"
"107","11","normal","PeakExtreme","Peak","Peak","特别困难","REPLACED","ReplacedRhythmV4","ExternalHardGateDedupFront300","HubMixed","unknown_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_53_direct_normal_rect_lock_buckle_g5_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","bec2884b1f4007946b49e60d8edb1967","b5b183691196ffa4e8c5a351d3328554","21","36","756","743","105","23","31","713","667","94","0.9355","0.935","10","6","0.82"
"108","11","shape","Shape","Shape","Shape","普通/恢复","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L108_hammer_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","bf56637f6ea290c4890ee16f50d7dadf","7713dbe22b01e144c807f50cf5341b60","42","36","1512","624","89","42","36","1512","627","80","0.4147","0.989","8","9",""
"109","11","normal","PeakExtreme","Peak","Pressure","特别困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","866c3b782ef22914194b5ea6abbe0069","578527626690e88498c924a1de9d8513","23","37","851","831","108","27","36","972","960","90","0.9877","0.988","9","7","0.848"
"110","11","normal","Recovery","Ordinary","Recovery","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset","7bcb81f81ebb58d4eba81be016c7fa7d","9c30ad7f13f813e4da37101fd6be3ff6","21","37","777","761","104","26","35","910","893","87","0.9813","0.981","9","7","0.844"
"111","12","normal","Recovery","Ordinary","Recovery","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","ef07ad4390a7c00458e39b33556a6284","2d9a07ef6d5462d4aa2b107bc7319f36","20","35","700","693","89","24","32","768","763","83","0.9935","0.993","9","5","0.85"
"112","12","normal","PeakExtreme","Peak","Pressure","特别困难","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","c131305a736122a439d58fb0e927963b","b146e1837c00f914d9843ab7e2b21379","22","38","836","823","108","36","40","1440","1343","92","0.9326","0.933","8","7","0.825"
"113","12","shape","Shape","Shape","Shape","困难","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L113_lightningbolt_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset","6cf063ad896ba3045a728b1dd406081e","7a195fc58784ebd40ba12069aae5b496","34","49","1666","775","97","34","49","1666","774","95","0.4646","0.980","11","6",""
"114","12","normal","Recovery","Ordinary","Recovery","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PeelMid","curve_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset","3fea844569032ae49b3f63c1e4582ef7","c8858d8fa53432346ab0f5fe05ce6515","18","37","666","659","94","25","33","825","814","81","0.9867","0.987","9","6","0.823"
"115","12","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset","0e4492ec1ea2e8545a26b9b26f8b01fb","deb648cc209ef4543bc3fa1e918e0dd2","18","33","594","584","74","22","30","660","651","70","0.9864","0.986","9","4","0.847"
"116","12","normal","Hard","Hard","Pressure","困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PeelHard","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset","d912f928ebc477f48a719c87fbad92d2","fae8e82857351d940a0e6a7fce46e498","20","34","680","673","89","24","32","768","754","82","0.9818","0.982","10","4","0.937"
"117","12","hole","HoleRescue","HoleRescue","HoleRescue","普通/恢复","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","f185fb04af393d4439c41dfb29c54f47","f185fb04af393d4439c41dfb29c54f47","22","26","572","489","49","22","26","572","489","49","0.8549","","","",""
"118","12","shape","Shape","Shape","Shape","困难","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L118_carrot_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","2292f66331c83af4eafc08e995215e21","f3ff9e1e0fb0b1140a5aae99cf4cf4b8","34","47","1598","782","95","34","47","1598","790","98","0.4944","0.991","11","14",""
"119","12","normal","PeakExtreme","Peak","Peak","特别困难","REPLACED","ReplacedRhythmV4","ExternalHardGateDedupFront300","CampaignLongChainLab","long_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset","5337da72cdcbb1b49b37245a7e35330d","f1aa5b45786d8a3478ae53c09c944325","21","36","756","748","102","22","28","616","585","43","0.9497","0.9497","10","4","0.951"
"120","12","normal","Recovery","Ordinary","Recovery","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset","1655fafc1c59e0c47b2ce4c63ca1dbb6","569ffb9a3e536c84b8d53d938d5cedea","22","38","836","821","106","24","32","768","759","87","0.9883","0.988","10","6","0.833"
"121","13","normal","Recovery","Ordinary","Recovery","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","f52ef98d01b8eab49946170d8b0cbe8b","f2fc3fedddb06914b80ae15098d8be7f","17","24","408","406","51","20","27","540","538","45","0.9963","0.996","10","4","0.915"
