order,中文名,displayShapeId,maskName,theme,shapeRole,chains,assetChains,width,height,occupiedCells,occupiedCoverage,maskCoverage,maskFill,reviewPriority,riskReasons,sourceAsset,suggestedRevealPng,人工判断_是否一眼可认,人工备注
363,方尖碑,shape_transition_obelisk_tall,TransitionObeliskTall,Landmark,landmark,138,138,34,50,919,0.541,0.552,0.98,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_56_onion_maskproceduralvertical_34x50-transitionobelisktall_20260611_111133.asset,Art/ShapeReveal/shape_transition_obelisk_tall.png,,
368,坩埚,shape_transition_magic_cauldron_tall,TransitionMagicCauldronTall,Magic,object,139,139,36,48,982,0.568,0.582,0.976,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_86_onion_maskproceduralvertical_36x48-transitionmagiccauldrontall_20260611_111402.asset,Art/ShapeReveal/shape_transition_magic_cauldron_tall.png,,
373,珍珠贝,shape_transition_ocean_pearl_clam_tall,TransitionOceanPearlClamTall,Ocean,object,142,142,34,48,1025,0.628,0.642,0.978,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_74_onion_maskproceduralvertical_34x48-transitionoceanpearlclamtall_20260611_111307.asset,Art/ShapeReveal/shape_transition_ocean_pearl_clam_tall.png,,
378,桥塔,shape_transition_bridge_tower_tall,TransitionBridgeTowerTall,Landmark,landmark,144,144,36,50,994,0.552,0.564,0.979,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_55_onion_maskproceduralvertical_36x50-transitionbridgetowertall_20260611_111130.asset,Art/ShapeReveal/shape_transition_bridge_tower_tall.png,,
383,帆船,shape_transition_sailboat_tall,TransitionSailboatTall,Ocean,object,142,142,36,50,944,0.524,0.536,0.978,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_57_onion_maskproceduralvertical_36x50-transitionsailboattall_20260611_111154.asset,Art/ShapeReveal/shape_transition_sailboat_tall.png,,
387,航母02,shape_transition_carrier02_tall,TransitionCarrier02Tall,Vehicle,vehicle,152,152,38,52,1052,0.532,0.547,0.973,C_重点复核,形象复杂或命名不够具体;mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_136_onion_maskproceduralvertical_38x52-transitioncarrier02tall_20260611_112008.asset,Art/ShapeReveal/shape_transition_carrier02_tall.png,,
393,城堡门,shape_transition_castle_gate_tall,TransitionCastleGateTall,Magic,landmark,157,157,36,50,1304,0.724,0.738,0.982,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_51_long_maskproceduralvertical_36x50-transitioncastlegatetall_20260611_111115.asset,Art/ShapeReveal/shape_transition_castle_gate_tall.png,,
398,穹顶宫殿,shape_transition_dome_palace_tall,TransitionDomePalaceTall,Landmark,landmark,163,163,36,50,1312,0.729,0.739,0.986,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_53_long_maskproceduralvertical_36x50-transitiondomepalacetall_20260611_111123.asset,Art/ShapeReveal/shape_transition_dome_palace_tall.png,,
403,航母03,shape_transition_carrier03_tall,TransitionCarrier03Tall,Vehicle,vehicle,170,170,40,50,1284,0.642,0.655,0.981,B_需要肉眼确认,形象复杂或命名不够具体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_137_long_maskproceduralvertical_40x50-transitioncarrier03tall_20260611_112015.asset,Art/ShapeReveal/shape_transition_carrier03_tall.png,,
408,蝴蝶,shape_transition_distinct_butterfly_tall,TransitionDistinctButterflyTall,Nature,creature,167,167,36,44,1077,0.68,0.688,0.988,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_114_onion_maskproceduralvertical_36x44-transitiondistinctbutterflytall_20260611_111757.asset,Art/ShapeReveal/shape_transition_distinct_butterfly_tall.png,,
413,大型纪念碑05,shape_big_mega_monument05_tall,BigMegaMonument05Tall,Landmark,landmark,179,179,42,58,1494,0.613,0.625,0.982,B_需要肉眼确认,形象复杂或命名不够具体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_140_long_maskproceduralvertical_42x58-bigmegamonument05tall_20260611_112516.asset,Art/ShapeReveal/shape_big_mega_monument05_tall.png,,
418,巨型机器人,shape_big_giant_robot_tall,BigGiantRobotTall,Space,character,186,186,40,56,1353,0.604,0.615,0.982,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_58_onion_maskproceduralvertical_40x56-biggiantrobottall_20260611_111158.asset,Art/ShapeReveal/shape_big_giant_robot_tall.png,,
423,大型航母04,shape_big_carrier04_tall,BigCarrier04Tall,Vehicle,vehicle,186,186,42,60,1271,0.504,0.515,0.979,C_重点复核,形象复杂或命名不够具体;mask覆盖偏低,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_144_onion_maskproceduralvertical_42x60-bigcarrier04tall_20260611_112535.asset,Art/ShapeReveal/shape_big_carrier04_tall.png,,
427,树林02,shape_big_grove02_tall,BigGrove02Tall,Nature,natural,191,191,42,60,1358,0.539,0.550,0.98,C_重点复核,形象复杂或命名不够具体;mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_147_onion_maskproceduralvertical_42x60-biggrove02tall_20260611_112549.asset,Art/ShapeReveal/shape_big_grove02_tall.png,,
433,大型航母06,shape_big_carrier06_tall,BigCarrier06Tall,Vehicle,vehicle,195,195,46,60,1566,0.567,0.579,0.979,C_重点复核,形象复杂或命名不够具体;mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_146_long_maskproceduralvertical_46x60-bigcarrier06tall_20260611_112547.asset,Art/ShapeReveal/shape_big_carrier06_tall.png,,
438,树林04,shape_big_grove04_tall,BigGrove04Tall,Nature,natural,207,207,40,60,1400,0.583,0.599,0.974,B_需要肉眼确认,形象复杂或命名不够具体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_149_onion_maskproceduralvertical_40x60-biggrove04tall_20260611_112600.asset,Art/ShapeReveal/shape_big_grove04_tall.png,,
443,数字5,shape_main_distinct_digit5_tall,MainDistinctDigit5Tall,Symbol,symbol,90,90,28,42,605,0.514,0.523,0.984,B_需要肉眼确认,mask覆盖中等;轮廓面积偏小;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_109_onion_maskproceduralvertical_28x42-maindistinctdigit5tall_20260611_111610.asset,Art/ShapeReveal/shape_main_distinct_digit5_tall.png,,
447,牙齿,shape_main_distinct_tooth_tall,MainDistinctToothTall,Object,object,91,91,28,42,811,0.69,0.702,0.982,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_105_long_maskproceduralvertical_28x42-maindistincttoothtall_20260611_111520.asset,Art/ShapeReveal/shape_main_distinct_tooth_tall.png,,
453,豆豆吉祥物,shape_main_bean_mascot_tall,MainBeanMascotTall,Character,character,88,88,30,42,765,0.607,0.624,0.973,B_需要肉眼确认,形象复杂或命名不够具体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_20_long_maskproceduralvertical_30x42-mainbeanmascottall_20260611_110513.asset,Art/ShapeReveal/shape_main_bean_mascot_tall.png,,
458,松树,shape_main_pine_tree_tall,MainPineTreeTall,Nature,natural,86,86,30,42,619,0.491,0.504,0.975,B_需要肉眼确认,mask覆盖偏低;轮廓面积偏小;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_03_onion_maskproceduralvertical_30x42-mainpinetreetall_20260611_110411.asset,Art/ShapeReveal/shape_main_pine_tree_tall.png,,
463,铁塔,shape_main_iron_tower_tall,MainIronTowerTall,Landmark,landmark,86,86,30,44,624,0.473,0.480,0.984,C_重点复核,mask覆盖偏低;轮廓面积偏小,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_28_onion_maskproceduralvertical_30x44-mainirontowertall_20260611_110540.asset,Art/ShapeReveal/shape_main_iron_tower_tall.png,,
468,扳手,shape_main_tool_wrench_tall,MainToolWrenchTall,ToolUI,object,84,84,30,42,614,0.487,0.494,0.987,B_需要肉眼确认,mask覆盖偏低;轮廓面积偏小;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_11_onion_maskfinalsupplement_30x42-maintoolwrenchtall_20260611_124348.asset,Art/ShapeReveal/shape_main_tool_wrench_tall.png,,
473,金字塔,shape_main_pyramid_tall,MainPyramidTall,Landmark,landmark,82,82,30,42,606,0.481,0.494,0.974,B_需要肉眼确认,mask覆盖偏低;轮廓面积偏小;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_32_onion_maskproceduralvertical_30x42-mainpyramidtall_20260611_110754.asset,Art/ShapeReveal/shape_main_pyramid_tall.png,,
478,UFO,shape_main_space_ufo_icon_tall,MainSpaceUfoIconTall,Space,vehicle,86,86,32,42,743,0.553,0.567,0.975,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_02_long_maskfinalsupplement_32x42-mainspaceufoicontall_20260611_124215.asset,Art/ShapeReveal/shape_main_space_ufo_icon_tall.png,,
483,风车,shape_main_windmill_tall,MainWindmillTall,Landmark,landmark,82,82,30,42,727,0.577,0.592,0.975,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall_20260611_110802.asset,Art/ShapeReveal/shape_main_windmill_tall.png,,
487,奖杯,shape_main_trophy_tall,MainTrophyTall,Object,object,84,84,30,40,729,0.608,0.618,0.982,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_05_long_maskproceduralvertical_30x40-maintrophytall_20260611_110422.asset,Art/ShapeReveal/shape_main_trophy_tall.png,,
493,狐狸,shape_main_fox_tall,MainFoxTall,Character,character,81,81,30,42,683,0.542,0.555,0.977,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_39_long_maskproceduralvertical_30x42-mainfoxtall_20260611_110837.asset,Art/ShapeReveal/shape_main_fox_tall.png,,
498,叶子03,shape_main_leaf03_tall,MainLeaf03Tall,Nature,natural,84,84,32,42,761,0.566,0.580,0.976,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_118_long_maskproceduralvertical_32x42-mainleaf03tall_20260611_111813.asset,Art/ShapeReveal/shape_main_leaf03_tall.png,,
