order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality
129,normal,102,section,162.9,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,direct_normal_topup_candidates,22,35,102,0.990,1.000,18,9.37,24,496,direct_normal:stair_push:g9,ok,True,191.3,ok
130,refresh,0,section,149.7,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,direct_pure_topup_slice06_candidates,22,31,96,0.987,1.000,15,8.90,22,379,direct_normal:dual_zone:g6,ok,True,190.3,ok
131,refresh,91,dense,160.8,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset,direct_pure_topup_slice04_candidates,18,31,81,0.982,1.000,14,8.36,13,308,asset:direct_pure_topup_04_01_direct_n,ok,True,188.1,ok
132,refresh,103,lock,158.9,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,direct_pure_topup_slice04_candidates,19,32,86,0.987,0.980,15,6.90,19,377,direct_normal:core_burst:g8,ok,True,188.2,ok
133,shape,12,shape_magic,267,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,shape_final_with_supplement,30,42,95,0.535,,13,11.18,,0.173,shape:Magic:SpecialShape,NoRisk|yellow_replacement:StartFakeWide,True,267,Normal
134,refresh,33,maze,176.7,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,direct_pure_topup_slice01_candidates,14,29,56,0.983,0.976,7,6.55,12,182,direct_refresh:maze_long_chain:g2,ok,True,179.7,ok
135,normal,79,hole_rescue,246,hole_topup_012_topup_tall_20x30_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset,hole_combined_20260613,20,30,52,0.966,0.962,5,0.096,14,0.244,hole_combined:OuterShell:topup_tall_20x30_shell,hole10_v4:OuterShell:keep,True,246,hole10_v4_keep
136,normal,0,section,129.8,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset,direct_normal_candidates,23,36,113,0.987,0.991,18,9.84,22,626,direct_normal:quasi_symmetry:g3,ok,True,192.0,ok
137,refresh,53,lock,169.7,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset,direct_pure_topup_slice04_candidates,21,31,80,0.982,0.990,14,7.33,15,278,direct_normal:lock_buckle:g8,ok,True,187.5,ok
138,normal,137,shape_space,270,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,shape_final_with_supplement,30,42,96,0.982,,13,11.18,,11.7,shape:Space:sci-fi:vehicle:procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,True,270,Normal
139,normal,0,section,145.6,direct_normal_68_direct_normal_rect_stair_push_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,direct_normal_candidates,20,39,101,0.976,0.947,20,10.98,16,380,direct_normal:stair_push:g0,ok,True,187.6,ok
140,normal,0,section,145.9,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset,direct_normal_candidates,23,34,102,0.983,0.982,17,9.04,16,395,direct_normal:section_unlock:g3,ok,True,189.9,ok
141,normal,153,sweep,155.6,direct_normal_35_direct_normal_rect_sweep_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,direct_normal_candidates,23,39,114,0.981,1.000,25,8.14,22,493,direct_normal:sweep:g3,ok,True,192.0,ok
142,normal,32,hole_rescue,245,hole_candidate_038_std_26x24_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset,hole_combined_20260613,26,24,50,0.971,0.962,6,0.12,12,0.236,hole_combined:DualZone:std_26x24_dual,hole10_v4:DualZone:keep,True,245,hole10_v4_keep
143,normal,75,shape_magic,254,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,shape_final_with_supplement,30,42,91,,,,,,,shape_magic:Magic:75,MagicShape,True,254,MagicShape
144,normal,179,lock,152.1,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset,direct_normal_candidates,22,40,113,0.984,0.983,19,7.61,20,644,direct_normal:lock_buckle:g4,ok,True,191.4,ok
145,normal,171,maze,153.0,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,direct_pure_normal_extra_slice02_candidates,21,34,95,0.986,1.000,21,8.78,18,435,direct_normal:maze_long_chain:g19,ok,True,190.1,ok
146,refresh,0,dense,147.0,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,direct_pure_topup_slice06_candidates,22,31,95,0.979,0.990,18,10.99,20,339,direct_normal:dense_weave:g7,ok,True,189.1,ok
147,shape,30,shape_landmark,268,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,shape_final_with_supplement,30,44,101,0.615,,14,12.04,,0.177,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,268,Normal
148,normal,159,section,154.4,direct_normal_08_direct_normal_rect_stair_push_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset,direct_normal_candidates,22,34,105,0.985,0.981,18,9.37,21,512,direct_normal:stair_push:g0,ok,True,190.4,ok
149,normal,38,lock,176.1,direct_normal_126_direct_normal_rect_core_burst_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,direct_normal_candidates,22,39,114,0.983,0.983,13,6.69,20,682,direct_normal:core_burst:g0,ok,True,191.3,ok
150,normal,0,section,146.8,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset,direct_normal_topup_candidates,20,37,104,0.980,1.000,17,10.46,23,441,direct_normal:section_unlock:g8,ok,True,190.7,ok
151,normal,45,hole_rescue,246,hole_candidate_060_tall_20x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset,hole_combined_20260613,20,28,51,0.975,0.966,12,0.235,15,0.243,hole_combined:LockBuckle:tall_20x28_lock,hole10_v4:LockBuckle:keep,True,246,hole10_v4_keep
152,normal,218,lock,138.5,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,direct_normal_candidates,21,39,106,0.982,0.966,25,11.70,15,386,direct_normal:lock_buckle:g1,ok,True,189.5,ok
153,normal,21,shape_character,266,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,shape_final_with_supplement,30,42,101,0.982,,14,12.04,,11.8,shape:Character:animals-mascots:character:procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517,rel:Novelty:ShapeVisual:Shape:Character:animals-mascots:character:main,True,266,Normal
154,normal,0,section,133.0,direct_normal_98_direct_normal_rect_stair_push_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset,direct_normal_candidates,23,38,113,0.982,0.975,18,10.50,23,605,direct_normal:stair_push:g3,ok,True,190.8,ok
155,normal,47,dense,173.6,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,direct_pure_normal_extra_slice02_candidates,18,35,84,0.976,0.990,15,7.32,15,340,direct_normal:dense_weave:g20,ok,True,187.5,ok
156,normal,41,section,175.3,direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset,direct_normal_candidates,22,34,108,0.989,1.000,17,6.79,26,665,direct_normal:quasi_symmetry:g2,ok,True,192.0,ok
157,refresh,0,sweep,140.1,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset,direct_pure_topup_slice06_candidates,20,33,84,0.983,0.980,15,9.57,21,368,direct_normal:sweep:g6,ok,True,187.7,ok
158,normal,104,shape_symbol,273,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,shape_final_with_supplement,30,42,100,0.982,,14,12.04,,11.7,shape:Symbol:letters-symbols:symbol:procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521,rel:VeryHard:ShapePeak:Shape:Symbol:letters-symbols:symbol:main,True,273,Normal
159,refresh,0,section,136.5,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset,direct_normal_candidates,21,37,100,0.986,1.000,17,7.75,21,505,direct_normal:dual_zone:g1,ok,True,190.7,ok
160,refresh,32,lock,177.5,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset,direct_pure_topup_slice04_candidates,21,31,76,0.980,0.970,12,6.68,17,272,direct_normal:core_burst:g7,ok,True,186.0,long-straight-run
161,refresh,0,sweep,149.5,nomask_style_expansion_36_snake_spine_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_36_snake_spine_tall.asset,no_mask_style_expansion_preview,17,30,53,0.992,0.989,14,8.85,7,115,motif:snake_spine,ok,True,185.2,ok
162,refresh,0,dense,143.7,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset,direct_pure_topup_slice06_candidates,19,38,95,0.976,0.964,17,9.20,17,387,direct_normal:dense_weave:g6,ok,True,187.6,ok
163,normal,65,shape_ocean,275,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,shape_final_with_supplement,32,42,101,0.977,,14,12.04,,11.8,shape:Ocean:sea-creature:creature:procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229,rel:Novelty:ShapeVisual:Shape:Ocean:sea-creature:creature:main,True,275,Normal
164,normal,141,lock,156.9,direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03.asset,direct_normal_topup_candidates,23,38,114,0.985,0.992,17,8.25,25,566,direct_normal:lock_buckle:g8,ok,True,192.0,ok
165,refresh,12,maze,184.1,direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset,direct_pure_topup_slice05_candidates,19,31,77,0.986,0.990,15,5.74,18,291,direct_normal:maze_long_chain:g9,ok,True,187.5,ok
166,normal,0,section,139.4,direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset,direct_polish_clean_candidates,20,38,119,0.980,0.991,22,13.71,23,475,direct_polish:section_unlock:g2,ok,True,192.1,ok
167,normal,97,hole_rescue,247,hole_topup_043_topup_wide_26x22_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset,hole_combined_20260613,26,22,53,0.974,0.972,14,0.264,19,0.278,hole_combined:MazeLongChain:topup_wide_26x22_maze,hole10_v4:MazeLongChain:keep,True,247,hole10_v4_keep
168,normal,100,shape_object,285,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset,shape_final_with_supplement,28,42,100,0.986,,14,12.04,,11.7,shape:Object:tools-items:object:procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510,rel:Novelty:ShapeVisual:Shape:Object:tools-items:object:main,True,285,Normal
169,normal,188,lock,150.0,direct_normal_31_direct_normal_rect_outer_shell_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_31_direct_normal_rect_outer_shell_g3_v04.asset,direct_normal_candidates,23,40,115,0.985,1.000,16,8.71,27,621,asset:direct_normal_31_direct_normal_r,ok,True,192.4,ok
170,normal,0,section,141.4,direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09.asset,direct_normal_topup_candidates,22,37,104,0.978,0.991,22,11.68,17,407,direct_normal:quasi_symmetry:g8,ok,True,190.1,ok
171,normal,198,dense,146.4,direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01.asset,direct_normal_topup_candidates,22,38,108,0.974,0.991,21,12.45,21,409,direct_normal:dense_weave:g6,ok,True,190.2,ok
172,normal,177,section,152.4,direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03.asset,direct_normal_topup_candidates,23,34,106,0.987,1.000,18,8.48,22,546,direct_normal:stair_push:g8,ok,True,191.6,ok
173,shape,76,shape_magic,285,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,shape_final_with_supplement,28,40,104,0.672,,15,12.9,,0.174,shape:Magic:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,285,Normal
174,refresh,81,maze,163.1,direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09.asset,direct_pure_topup_slice06_candidates,19,36,95,0.985,1.000,18,7.64,21,375,direct_normal:maze_long_chain:g8,ok,True,190.1,ok
175,normal,35,section,178.4,direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,20,33,92,0.983,0.980,15,5.96,17,391,direct_normal:section_unlock:g16,ok,True,188.7,ok
176,normal,146,lock,156.3,direct_normal_16_direct_normal_rect_core_burst_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_16_direct_normal_rect_core_burst_g1_v02.asset,direct_normal_candidates,23,37,112,0.981,0.991,17,7.36,20,597,direct_normal:core_burst:g1,ok,True,191.4,ok
177,normal,55,hole_rescue,246,hole_candidate_074_wide_28x22_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset,hole_combined_20260613,28,22,52,0.972,0.973,9,0.173,12,0.245,hole_combined:DenseWeave:wide_28x22_dense,hole10_v4:DenseWeave:keep,True,246,hole10_v4_keep
178,normal,27,shape_art,284,r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset,shape_final_with_supplement,30,42,104,0.985,,15,12.9,,11.6,shape:Art:studio:character:procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536,rel:Novelty:ShapeVisual:Shape:Art:studio:character:main,True,284,Normal
179,normal,122,lock,159.6,direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04.asset,direct_normal_topup_candidates,22,39,115,0.981,0.983,16,8.93,22,531,direct_normal:lock_buckle:g9,ok,True,191.4,ok
180,normal,183,sweep,151.5,direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07.asset,direct_normal_topup_candidates,21,38,108,0.980,0.991,20,7.82,21,584,direct_normal:sweep:g6,ok,True,190.8,ok
181,normal,203,maze,144.7,direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09.asset,direct_normal_candidates,22,36,106,0.982,0.982,20,10.48,23,405,direct_normal:maze_long_chain:g2,ok,True,190.3,ok
182,refresh,0,lock,143.5,direct_pure_topup_04_06_direct_normal_pure_rect_core_burst_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_06_direct_normal_pure_rect_core_burst_g6_v01.asset,direct_pure_topup_slice04_candidates,18,38,88,0.981,0.991,15,7.24,20,355,direct_normal:core_burst:g6,ok,True,188.4,ok
183,shape,70,shape_ocean,287,r2_outer_strong_005_r2_006_a401_procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall_20260611_111207.asset,shape_final_with_supplement,28,42,104,0.615,,15,12.9,,0.174,shape:Ocean:SpecialShape,NoRisk|yellow_replacement:StartFakeWide,True,287,Normal
184,normal,86,hole_rescue,248,hole_topup_024_topup_std_24x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset,hole_combined_20260613,24,28,55,0.972,0.974,8,0.145,11,0.239,hole_combined:DualZone:topup_std_24x28_dual,hole10_v4:DualZone:keep,True,248,hole10_v4_keep
185,normal,86,section,165.4,direct_normal_158_direct_normal_rect_stair_push_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_158_direct_normal_rect_stair_push_g3_v16.asset,direct_normal_candidates,21,37,103,0.983,1.000,18,6.62,19,579,direct_normal:stair_push:g3,ok,True,190.9,ok
186,normal,176,sweep,152.6,direct_normal_55_direct_normal_rect_sweep_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_55_direct_normal_rect_sweep_g5_v06.asset,direct_normal_candidates,21,36,104,0.991,1.000,18,8.23,22,521,direct_normal:sweep:g5,ok,True,191.6,ok
187,shape,9,shape_landmark,287,r2_outer_strong_005_r2_006_a401_procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall_20260611_110755.asset,shape_final_with_supplement,30,44,105,0.567,,15,12.9,,0.176,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,287,Normal
188,normal,169,section,153.2,direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset,direct_normal_topup_candidates,21,38,106,0.982,0.982,20,10.19,21,579,direct_normal:dual_zone:g7,ok,True,190.4,ok
189,normal,62,lock,169.2,direct_normal_56_direct_normal_rect_core_burst_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_56_direct_normal_rect_core_burst_g5_v06.asset,direct_normal_candidates,23,38,112,0.984,1.000,14,6.69,28,627,direct_normal:core_burst:g5,ok,True,192.0,ok
190,normal,0,section,147.2,direct_polish_clean_01_direct_polish_normal_rect_section_unlock_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_01_direct_polish_normal_rect_section_unlock_g0_v01.asset,direct_polish_clean_candidates,20,36,112,0.974,1.000,20,10.15,20,438,direct_polish:section_unlock:g0,ok,True,191.1,ok
191,normal,98,lock,163.6,direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06.asset,direct_pure_normal_extra_slice02_candidates,21,33,95,0.991,0.990,20,7.05,18,374,direct_normal:lock_buckle:g20,ok,True,190.2,ok
192,normal,47,hole_rescue,248,hole_candidate_063_tall_20x30_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_063_tall_20x30_lock.asset,hole_combined_20260613,20,30,54,0.968,0.957,13,0.241,17,0.223,hole_combined:LockBuckle:tall_20x30_lock,hole10_v4:LockBuckle:keep,True,248,hole10_v4_keep
193,shape,109,shape_ocean,289,r2_outer_strong_005_r2_006_a401_procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall_20260611_111208.asset,shape_final_with_supplement,30,40,102,0.574,,14,12.04,,0.179,shape:Ocean:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,289,Normal
194,normal,42,dense,174.9,direct_pure_normal_extra_01_11_direct_normal_pure_extra_rect_dense_weave_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_11_direct_normal_pure_extra_rect_dense_weave_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,18,37,87,0.991,1.000,16,5.85,18,347,direct_normal:dense_weave:g16,ok,True,189.6,ok
195,normal,116,sweep,160.6,direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01.asset,direct_normal_topup_candidates,23,37,106,0.982,0.974,20,7.56,23,592,direct_normal:sweep:g6,ok,True,190.0,ok
196,hard,15,lock,166.0,direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02.asset,direct_polish_clean_candidates,21,40,135,0.974,0.992,14,13.61,35,688,direct_polish:core_burst:g1,ok,True,193.5,ok
