order,stage,currentDifficulty,proposedDifficulty,difficultyDelta,reviewWarnings,evidenceScore,chainPctInStage,dependencyPctInStage,openerPressure,choicePressure,levelType,type,slotRole,relativeDifficulty,chains,score,openers,avgChoices,dependencyBlocks,validationMatched,validationStatus,validationFlags,shapeId,levelId,proposalReason,sourceAsset
126,101-150,1,1,0,NeedRevalidate,0.146,0.08,0.188,0.604,0.938,hole,hole_rescue,HoleRescue,Mechanic,50,245.0,8.0,0.16,0.372,0,Missing,Missing,,hole_candidate_016_std_20x26_section,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset
127,101-150,1,1,0,,0.423,0.62,0.229,0.729,0.042,普通,shape_character,Shape,Novelty,99,259.0,14.0,12.04,11.5,1,Green,None,shape_main_owl_tall,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset
128,101-150,1,1,0,NeedRevalidate,0.285,0.2,0.396,0.229,0.479,普通,lock,Normal,Normal,79,153.2,15.0,8.78,295.0,0,Missing,Missing,,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset
129,101-150,2,2,0,,0.689,0.74,0.812,0.292,0.375,普通,section,Pressure,Hard,102,162.9,18.0,9.37,496.0,1,Green,None,,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,rhythm=Hard;slot=Pressure;dependency_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset
130,101-150,1,1,0,,0.514,0.58,0.542,0.646,0.458,普通,section,Normal,Normal,96,149.7,15.0,8.9,379.0,1,Green,None,,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset
131,101-150,1,1,0,,0.325,0.24,0.438,0.354,0.521,普通,dense,Normal,Normal,81,160.8,14.0,8.36,308.0,1,Green,None,,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset
132,101-150,2,1,-1,,0.437,0.28,0.521,0.333,0.771,普通,lock,Pressure,Hard,86,158.9,15.0,6.9,377.0,1,Green,None,,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,rhythm=Hard;slot=Pressure;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset
133,101-150,1,1,0,,0.344,0.52,0.062,0.812,0.125,普通,shape_magic,Shape,Novelty,95,267.0,13.0,11.18,0.173,1,Green,None,shape_main_knight_mascot_tall,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset
134,101-150,1,1,0,NeedRevalidate,0.305,0.14,0.333,0.875,0.833,普通,maze,Normal,Normal,56,176.7,7.0,6.55,182.0,0,Missing,Missing,,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,few_openers_relative;low_choice_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset
135,101-150,2,1,-1,NeedRevalidate,0.182,0.12,0.167,0.938,0.979,hole,hole_rescue,HoleRescue,Mechanic,52,246.0,5.0,0.096,0.244,0,Missing,Missing,,hole_topup_012_topup_tall_20x30_shell,slot=HoleRescue;few_openers_relative;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset
136,101-150,3,4,1,NeedRevalidate,0.954,0.96,0.958,0.625,0.312,普通,section,Peak,VeryHard,113,129.8,18.0,9.84,626.0,0,Missing,Missing,,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,rhythm=VeryHard;slot=Peak;stage_chain_top10;dependency_top10;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset
137,101-150,1,1,0,,0.305,0.22,0.375,0.312,0.708,普通,lock,Normal,Normal,80,169.7,14.0,7.33,278.0,1,Green,None,,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset
138,101-150,1,1,0,,0.429,0.58,0.271,0.833,0.125,普通,shape_space,Shape,Novelty,96,270.0,13.0,11.18,11.7,1,Green,None,shape_main_space_comet_icon_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset
139,101-150,1,1,0,,0.423,0.66,0.562,0.208,0.25,普通,section,Recovery,Recovery,101,145.6,20.0,10.98,380.0,1,Green,None,,direct_normal_68_direct_normal_rect_stair_push_g0_v07,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset
140,101-150,1,2,1,NeedRevalidate,0.584,0.74,0.604,0.458,0.438,普通,section,Normal,Normal,102,145.9,17.0,9.04,395.0,0,Missing,Missing,,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset
141,101-150,1,2,1,,0.688,1.0,0.792,0.125,0.542,普通,sweep,Recovery,Recovery,114,155.6,25.0,8.14,493.0,1,Green,None,,direct_normal_35_direct_normal_rect_sweep_g3_v04,slot=Recovery;stage_chain_top10;dependency_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset
142,101-150,1,1,0,NeedRevalidate,0.155,0.08,0.146,0.896,0.958,hole,hole_rescue,HoleRescue,Mechanic,50,245.0,6.0,0.12,0.236,0,Missing,Missing,,hole_candidate_038_std_26x24_dual,slot=HoleRescue;few_openers_relative;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset
143,101-150,1,1,0,,0.376,0.36,0.45,0.45,0.45,普通,shape_magic,Shape,Novelty,91,254.0,,,,1,Green,None,shape_main_magic_hat_tall,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset
144,101-150,2,3,1,,0.853,0.96,0.979,0.438,0.667,普通,lock,Pressure,Hard,113,152.1,19.0,7.61,644.0,1,Green,None,,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,rhythm=Hard;slot=Pressure;stage_chain_top10;dependency_top10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset
145,101-150,1,1,0,,0.397,0.52,0.667,0.104,0.479,普通,maze,Recovery,Recovery,95,153.0,21.0,8.78,435.0,1,Green,None,,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset
146,101-150,1,1,0,,0.432,0.52,0.479,0.25,0.229,普通,dense,Normal,Normal,95,147.0,18.0,10.99,339.0,1,Green,None,,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset
147,101-150,1,1,0,,0.403,0.66,0.083,0.792,0.042,普通,shape_landmark,Shape,Novelty,101,268.0,14.0,12.04,0.177,1,Green,None,shape_main_liberty_statue_tall,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset
148,101-150,2,2,0,NeedRevalidate,0.749,0.84,0.854,0.375,0.375,普通,section,Pressure,Hard,105,154.4,18.0,9.37,512.0,0,Missing,Missing,,direct_normal_08_direct_normal_rect_stair_push_g0_v01,rhythm=Hard;slot=Pressure;stage_chain_top25;dependency_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset
149,101-150,3,4,1,,1.028,1.0,1.0,0.917,0.812,普通,lock,Peak,VeryHard,114,176.1,13.0,6.69,682.0,1,Green,None,,direct_normal_126_direct_normal_rect_core_burst_g0_v13,rhythm=VeryHard;slot=Peak;stage_chain_top10;dependency_top10;few_openers_relative;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset
150,101-150,1,2,1,NeedRevalidate,0.628,0.78,0.708,0.542,0.271,普通,section,Normal,Normal,104,146.8,17.0,10.46,441.0,0,Missing,Missing,,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,stage_chain_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset
151,151-200,2,1,-1,NeedRevalidate,0.071,0.02,0.14,0.08,0.94,hole,hole_rescue,HoleRescue,Mechanic,51,246.0,12.0,0.235,0.243,0,Missing,Missing,,hole_candidate_060_tall_20x28_lock,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset
152,151-200,1,2,1,,0.524,0.74,0.52,0.06,0.26,普通,lock,Normal,Normal,106,138.5,25.0,11.7,386.0,1,Green,None,,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset
153,151-200,1,1,0,,0.385,0.44,0.3,0.9,0.16,普通,shape_character,Shape,Novelty,101,266.0,14.0,12.04,11.8,1,Green,None,shape_main_raised_hand_mascot_tall,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset
154,151-200,2,3,1,NeedRevalidate,0.804,0.9,0.92,0.6,0.3,普通,section,Pressure,Hard,113,133.0,18.0,10.5,605.0,0,Missing,Missing,,direct_normal_98_direct_normal_rect_stair_push_g3_v10,rhythm=Hard;slot=Pressure;stage_chain_top10;dependency_top10;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset
155,151-200,1,1,0,,0.31,0.22,0.38,0.38,0.68,普通,dense,Normal,Normal,84,173.6,15.0,7.32,340.0,1,Green,None,,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset
156,151-200,3,4,1,NeedRevalidate,0.925,0.82,0.98,0.64,0.76,普通,section,Peak,VeryHard,108,175.3,17.0,6.79,665.0,0,Missing,Missing,,direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03,rhythm=VeryHard;slot=Peak;stage_chain_top25;dependency_top10;low_choice_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset
157,151-200,1,1,0,,0.229,0.22,0.46,0.38,0.4,普通,sweep,Recovery,Recovery,84,140.1,15.0,9.57,368.0,1,Green,None,,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset
158,151-200,1,1,0,,0.346,0.4,0.24,0.82,0.16,普通,shape_symbol,Shape,Novelty,100,273.0,14.0,12.04,11.7,1,Green,PeakTooFlat,shape_main_distinct_letter_mtall,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset
159,151-200,1,1,0,,0.481,0.4,0.7,0.52,0.6,普通,section,Normal,Normal,100,136.5,17.0,7.75,505.0,1,Green,None,,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset
160,151-200,1,1,0,,0.288,0.14,0.34,0.62,0.8,普通,lock,Normal,Normal,76,177.5,12.0,6.68,272.0,1,Green,None,,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset
161,151-200,1,1,0,NeedRevalidate,0.107,0.08,0.32,0.0,0.46,普通,sweep,Recovery,Recovery,53,149.5,14.0,8.85,115.0,0,Missing,Missing,,nomask_style_expansion_36_snake_spine_tall,slot=Recovery;needs_revalidation,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_36_snake_spine_tall.asset
162,151-200,1,1,0,,0.391,0.34,0.54,0.36,0.42,普通,dense,Normal,Normal,95,143.7,17.0,9.2,387.0,1,Green,None,,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset
163,151-200,1,1,0,,0.385,0.44,0.3,0.9,0.16,普通,shape_ocean,Shape,Novelty,101,275.0,14.0,12.04,11.8,1,Green,None,shape_main_ocean_pufferfish_tall,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset
164,151-200,2,3,1,,0.797,0.92,0.8,0.68,0.54,普通,lock,Pressure,Hard,114,156.9,17.0,8.25,566.0,1,Green,None,,direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03,rhythm=Hard;slot=Pressure;stage_chain_top10;dependency_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03.asset
165,151-200,1,1,0,,0.184,0.16,0.36,0.16,0.88,普通,maze,Recovery,Recovery,77,184.1,15.0,5.74,291.0,1,Green,None,,direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04,slot=Recovery;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset
166,151-200,1,2,1,,0.669,0.98,0.66,0.32,0.0,普通,section,Normal,Normal,119,139.4,22.0,13.71,475.0,1,Green,PeakTooFlat,,direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03,stage_chain_top10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset
167,151-200,2,1,-1,NeedRevalidate,0.099,0.08,0.18,0.0,0.9,hole,hole_rescue,HoleRescue,Mechanic,53,247.0,14.0,0.264,0.278,0,Missing,Missing,,hole_topup_043_topup_wide_26x22_maze,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset
168,151-200,1,1,0,,0.346,0.4,0.24,0.82,0.16,普通,shape_object,Shape,Novelty,100,285.0,14.0,12.04,11.7,1,Green,None,shape_main_distinct_boot_tall,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset
169,151-200,2,3,1,NeedRevalidate,0.863,0.96,0.94,0.86,0.5,普通,lock,Pressure,Hard,115,150.0,16.0,8.71,621.0,0,Missing,Missing,,direct_normal_31_direct_normal_rect_outer_shell_g3_v04,rhythm=Hard;slot=Pressure;stage_chain_top10;dependency_top10;few_openers_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_31_direct_normal_rect_outer_shell_g3_v04.asset
170,151-200,1,1,0,NeedRevalidate,0.393,0.58,0.6,0.1,0.28,普通,section,Recovery,Recovery,104,141.4,22.0,11.68,407.0,0,Missing,Missing,,direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09,slot=Recovery;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09.asset
171,151-200,1,1,0,,0.498,0.82,0.62,0.18,0.14,普通,dense,Recovery,Recovery,108,146.4,21.0,12.45,409.0,1,Green,None,,direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01,slot=Recovery;stage_chain_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01.asset
172,151-200,2,2,0,,0.705,0.74,0.78,0.54,0.52,普通,section,Pressure,Hard,106,152.4,18.0,8.48,546.0,1,Green,None,,direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03,rhythm=Hard;slot=Pressure;dependency_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03.asset
173,151-200,1,1,0,,0.352,0.58,0.04,0.72,0.04,普通,shape_magic,Shape,Novelty,104,285.0,15.0,12.9,0.174,1,Green,None,shape_main_candle_tall,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset
174,151-200,1,1,0,,0.289,0.34,0.5,0.2,0.62,普通,maze,Recovery,Recovery,95,163.1,18.0,7.64,375.0,1,Green,None,,direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09.asset
175,151-200,1,1,0,,0.407,0.28,0.56,0.58,0.84,普通,section,Normal,Normal,92,178.4,15.0,5.96,391.0,1,Green,BottleneckHeavy,,direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02,low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02.asset
176,151-200,2,3,1,,0.812,0.88,0.9,0.66,0.66,普通,lock,Pressure,Hard,112,156.3,17.0,7.36,597.0,1,Green,None,,direct_normal_16_direct_normal_rect_core_burst_g1_v02,rhythm=Hard;slot=Pressure;stage_chain_top25;dependency_top10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_16_direct_normal_rect_core_burst_g1_v02.asset
177,151-200,2,1,-1,NeedRevalidate,0.112,0.04,0.16,0.46,0.96,hole,hole_rescue,HoleRescue,Mechanic,52,246.0,9.0,0.173,0.245,0,Missing,Missing,,hole_candidate_074_wide_28x22_dense,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset
178,151-200,1,1,0,,0.397,0.58,0.2,0.72,0.04,普通,shape_art,Shape,Novelty,104,284.0,15.0,12.9,11.6,1,Green,BottleneckHeavy,shape_main_painter_bust_tall,r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset
179,151-200,3,4,1,,0.921,0.96,0.76,0.86,0.44,普通,lock,Peak,VeryHard,115,159.6,16.0,8.93,531.0,1,Green,None,,direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04,rhythm=VeryHard;slot=Peak;stage_chain_top10;dependency_top25;few_openers_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04.asset
180,151-200,1,2,1,,0.596,0.82,0.86,0.3,0.58,普通,sweep,Recovery,Recovery,108,151.5,20.0,7.82,584.0,1,Green,None,,direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07,slot=Recovery;stage_chain_top25;dependency_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07.asset
181,151-200,1,1,0,,0.465,0.74,0.58,0.22,0.32,普通,maze,Recovery,Recovery,106,144.7,20.0,10.48,405.0,1,Green,None,,direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09.asset
182,151-200,1,1,0,NeedRevalidate,0.353,0.26,0.44,0.5,0.7,普通,lock,Normal,Normal,88,143.5,15.0,7.24,355.0,0,Missing,Missing,,direct_pure_topup_04_06_direct_normal_pure_rect_core_burst_g6_v01,needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_06_direct_normal_pure_rect_core_burst_g6_v01.asset
183,151-200,1,1,0,,0.352,0.58,0.04,0.72,0.04,普通,shape_ocean,Shape,Novelty,104,287.0,15.0,12.9,0.174,1,Green,PeakTooFlat,shape_main_ocean_shell_tall,r2_outer_strong_005_r2_006_a401_procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall_20260611_111207.asset
184,151-200,2,1,-1,NeedRevalidate,0.232,0.12,0.12,0.7,0.98,hole,hole_rescue,HoleRescue,Mechanic,55,248.0,8.0,0.145,0.239,0,Missing,Missing,,hole_topup_024_topup_std_24x28_dual,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset
185,151-200,2,2,0,NeedRevalidate,0.62,0.48,0.84,0.44,0.82,普通,section,Pressure,Hard,103,165.4,18.0,6.62,579.0,0,Missing,Missing,,direct_normal_158_direct_normal_rect_stair_push_g3_v16,rhythm=Hard;slot=Pressure;dependency_top25;low_choice_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_158_direct_normal_rect_stair_push_g3_v16.asset
186,151-200,1,1,0,,0.466,0.58,0.72,0.46,0.56,普通,sweep,Recovery,Recovery,104,152.6,18.0,8.23,521.0,1,Green,None,,direct_normal_55_direct_normal_rect_sweep_g5_v06,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_55_direct_normal_rect_sweep_g5_v06.asset
187,151-200,1,1,0,,0.379,0.62,0.06,0.78,0.04,普通,shape_landmark,Shape,Novelty,105,287.0,15.0,12.9,0.176,1,Green,PeakTooFlat,shape_main_clock_tower_tall,r2_outer_strong_005_r2_006_a401_procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall_20260611_110755.asset
188,151-200,1,2,1,NeedRevalidate,0.629,0.74,0.84,0.22,0.34,普通,section,Normal,Normal,106,153.2,20.0,10.19,579.0,0,Missing,Missing,,direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08,dependency_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset
