order,experienceRole,oldLevelId,newLevelId,newAssetPath,sourcePool,gateClass,sourceClass,sourceOrder,style,chain,band,coverage,maxChoices,local,near,sts,collapse,copyRequired,sourceRoot
69,Pressure,direct_normal_48_direct_normal_rect_stair_push_g4_v05,c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,16,,rail_chain,Hard,0.974,8,6,5,0.848,0.085,False,
70,Normal,c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1,campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,186,,mixed_chain,NormalNeutral,0.986,9,5,5,0.824,0.2,False,
72,Pressure,nutation_longchain_candidate80_holefix_s2_v1_06_nutation_longchain_rail_v1_rect_c80hf2_02_d1_maze_rail,c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictSupplementFront300,peel_hard,239,psg_pressure_peak,mixed_chain,Peak,0.981,8,8,4,0.823,0.201,False,
74,Normal,direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03,campaign500_normal_full_v1_s14_s26_78_nutation_mixed_neutral_v1_rect_s20_o194_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_78_nutation_mixed_neutral_v1_rect_s20_o194_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,194,,mixed_chain,NormalNeutral,0.982,9,7,5,0.86,0.21,False,
75,Recovery,campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain,campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,145,,patch_chain,NormalFlow,0.991,7,3,2,0.94,0.064,False,
76,Peak,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,25,,,,0.982,10,5,5,0.931,0.117,False,
77,Normal,campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain,campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,137,,mixed_chain,NormalNeutral,0.985,10,4,4,0.923,0.125,False,
79,Recovery,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,160,,curve_chain,NormalFlow,0.983,8,6,4,0.864,0.206,False,
80,Normal,direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07,campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,212,,mixed_chain,NormalNeutral,0.986,9,4,4,0.847,0.236,False,
81,Recovery,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,311,,rail_chain,NormalFlow,0.996,10,5,3,0.865,0.188,False,
84,Pressure,direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01,c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,136,,,,0.984,8,4,4,0.905,0.153,False,
85,Recovery,direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01,campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,337,,curve_chain,NormalFlow,0.996,10,5,3,0.903,0.133,False,
86,Normal,campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain,campaign500_normal_full_v1_s14_s26_17_nutation_mixed_neutral_v1_rect_s15_o146_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_17_nutation_mixed_neutral_v1_rect_s15_o146_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,146,,mixed_chain,NormalNeutral,0.992,10,3,3,0.922,0.166,False,
88,Pressure,direct_normal_28_direct_normal_rect_stair_push_g2_v03,c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,125,,rail_chain,Hard,0.986,8,6,5,0.865,0.176,False,
89,Peak,c5hole_lowchoice_v1_h02r_34_nutation_strict_mixed_peak_v1_rect_s09_o089_v03_strictmixedpeak_strict_peak_chain_hf1,c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,109,,curve_chain,Peak,0.989,10,7,2,0.9,0.214,False,
90,Normal,nutation_longchain_candidate80_holefix_v1_02_nutation_longchain_rail_v1_rect_c80hf_01_d1_lock_rail,campaign500_normal_full_v1_s14_s26_112_nutation_mixed_neutral_v1_rect_s23_o222_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_112_nutation_mixed_neutral_v1_rect_s23_o222_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,222,,mixed_chain,NormalNeutral,0.988,9,5,4,0.85,0.269,False,
92,Normal,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,279,,mixed_chain,NormalNeutral,0.977,9,4,4,0.879,0.197,False,
94,Pressure,direct_normal_112_direct_normal_rect_section_unlock_g5_v12,c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,152,,,,0.98,8,3,3,0.907,0.118,False,
95,Normal,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,campaign500_normal_full_v1_s27_s38_42_nutation_mixed_neutral_v1_rect_s30_o291_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_42_nutation_mixed_neutral_v1_rect_s30_o291_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,291,,mixed_chain,NormalNeutral,0.973,9,6,5,0.889,0.187,False,
96,Peak,campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain,campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,96,,,Peak,0.968,10,4,3,0.858,0.214,False,
97,Recovery,nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve,campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,346,,rail_chain,NormalFlow,0.994,10,4,2,0.926,0.127,False,
99,Normal,direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01,campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,308,,mixed_chain,NormalNeutral,0.983,9,5,4,0.891,0.16,False,
100,Normal,campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain,campaign500_normal_full_v1_s14_s26_41_nutation_mixed_neutral_v1_rect_s17_o165_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_41_nutation_mixed_neutral_v1_rect_s17_o165_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,165,,mixed_chain,NormalNeutral,0.991,10,7,5,0.827,0.255,False,
102,Normal,campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain,campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,314,,mixed_chain,NormalNeutral,0.985,9,5,5,0.895,0.188,False,
104,Pressure,direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03,c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,182,,,,0.98,8,3,2,0.92,0.15,False,
105,Recovery,c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1,campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,275,,curve_chain,NormalFlow,0.989,9,5,5,0.884,0.148,False,
106,Normal,campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain,campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,355,,mixed_chain,NormalNeutral,0.983,9,5,4,0.898,0.13,False,
107,Peak,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,105,,,,0.983,10,6,4,0.87,0.214,False,
109,Pressure,c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain,c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictSupplementFront300,peel_hard,40,peel_mid,rail_chain,Hard,0.987,10,6,4,0.818,0.28,False,
110,Recovery,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,322,,patch_chain,NormalFlow,0.991,9,3,3,0.932,0.028,False,
111,Recovery,campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain,campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,414,,rail_chain,NormalFlow,0.986,10,5,3,0.913,0.161,False,
112,Pressure,c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1,c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictSupplementFront300,peel_hard,208,peel_mid,rail_chain,Hard,0.98,9,8,5,0.883,0.136,False,
114,Recovery,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,295,,patch_chain,NormalFlow,0.98,8,6,5,0.883,0.174,False,
115,Normal,c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,262,,,NormalNeutral,0.985,10,7,6,0.862,0.225,False,
116,Pressure,c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain,c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,116,,rail_chain,Hard,0.986,9,4,3,0.875,0.14,False,
119,Peak,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,129,,,,0.986,10,6,3,0.866,0.176,False,
120,Recovery,direct_normal_65_direct_normal_rect_sweep_g0_v07,campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,362,,,NormalNeutral,0.991,8,3,2,0.835,0.264,False,
121,Recovery,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictSupplementFront300,neutral,431,psg_like_neutral,mixed_chain,NormalNeutral,0.994,8,5,5,0.803,0.259,False,
122,Normal,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,345,,mixed_chain,NormalNeutral,0.991,10,4,4,0.886,0.217,False,
124,Normal,direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04,campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,371,,mixed_chain,NormalNeutral,0.994,9,7,5,0.86,0.217,False,
125,Pressure,c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain,c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,148,,,,0.99,9,5,4,0.888,0.144,False,
128,Normal,campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain,c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictSupplementFront300,neutral,390,psg_like_neutral,mixed_chain,NormalNeutral,0.988,9,7,5,0.827,0.282,False,
129,Pressure,c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1,c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,256,,mixed_chain,Peak,0.978,8,4,3,0.859,0.198,False,
130,Normal,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,406,,mixed_chain,NormalNeutral,0.985,10,6,4,0.86,0.134,False,
131,Normal,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,422,,mixed_chain,NormalNeutral,0.991,10,5,2,0.914,0.14,False,
132,Pressure,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,149,,rail_chain,Peak,0.986,9,6,4,0.868,0.232,False,
134,Normal,campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain,campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,366,,mixed_chain,NormalNeutral,0.993,9,5,3,0.836,0.221,False,
