order,slotRole,relativeDifficulty,template,bucket,type,styleKey,chains,score,openers,avgChoices,dependencyBlocks,levelId,path,families,qualityFlags,portableQuality
133,Shape,Novelty,D_visual_middle,normal,shape_character,Character,99,259,14,12.04,11.5,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,shape:Character:animals-mascots:character:procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820,rel:Novelty:ShapeVisual:Shape:Character:animals-mascots:character:main,Normal
134,Normal,Normal,D_visual_middle,normal,dense,dense_weave,103,154.8,21,8.53,484,direct_pure_topup_04_20_direct_normal_pure_rect_dense_weave_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_20_direct_normal_pure_rect_dense_weave_g8_v03.asset,direct_normal:dense_weave:g8,ok;rel:Normal:Normal,ok
135,Pressure,Hard,D_visual_middle,normal,lock,lock_buckle,107,158.2,17,7.43,459,direct_normal_113_direct_normal_rect_lock_buckle_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_113_direct_normal_rect_lock_buckle_g5_v12.asset,direct_normal:lock_buckle:g5,ok;rel:Normal:Normal,ok
136,Recovery,Recovery,D_visual_middle,normal,section,section_unlock,104,151.3,19,8.81,465,direct_normal_topup_57_direct_normal_topup_rect_section_unlock_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_57_direct_normal_topup_rect_section_unlock_g7_v08.asset,direct_normal:section_unlock:g7,ok;rel:Normal:Normal,ok
137,Shape,Novelty,D_visual_middle,shape,shape_magic,Magic,95,267,13,11.18,0.173,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,shape:Magic:SpecialShape,NoRisk|yellow_replacement:StartFakeWide,Normal
138,Normal,Normal,D_visual_middle,refresh,maze,maze_long_chain,95,163.1,18,7.64,375,direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09.asset,direct_normal:maze_long_chain:g8,ok;rel:Recovery:Recovery,ok
139,Pressure,Hard,D_visual_middle,normal,section,stair_push,107,154.1,19,6.90,578,direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02.asset,direct_normal:stair_push:g7,ok;rel:Recovery:Recovery,ok
140,Normal,Normal,D_visual_middle,normal,section,dual_zone,107,156.2,18,8.17,453,direct_normal_topup_29_direct_normal_topup_rect_dual_zone_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_29_direct_normal_topup_rect_dual_zone_g9_v04.asset,direct_normal:dual_zone:g9,ok;rel:Normal:Normal,ok
141,Normal,Normal,E_early_peak,normal,dense,dense_weave,106,154.3,21,9.74,498,direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06.asset,direct_normal:dense_weave:g11,ok;rel:Normal:Normal,ok
142,HoleRescue,Mechanic,E_early_peak,normal,hole_rescue,standard_24x28_mid,76,259,72,72,41.6,hole_proc_standard_24x28_mid_920423_24x28_c76,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920423_24x28_c76.asset,hole_procedural:standard_24x28_mid,procedural_hole_standard,procedural_hole_standard
143,Shape,Novelty,E_early_peak,normal,shape_magic,Magic,91,254,,,,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,shape_magic:Magic:75,MagicShape,MagicShape
144,Normal,Normal,E_early_peak,normal,section,section_unlock,114,141,17,12,493,direct_normal_82_direct_normal_rect_section_unlock_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_82_direct_normal_rect_section_unlock_g2_v09.asset,direct_normal:section_unlock:g2,ok|yellow_replacement:GrindyLowClear,ok
145,Recovery,Recovery,E_early_peak,normal,sweep,sweep,103,157.8,16,9.33,497,direct_normal_135_direct_normal_rect_sweep_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_135_direct_normal_rect_sweep_g1_v14.asset,direct_normal:sweep:g1,ok;rel:Normal:Normal,ok
146,Peak,VeryHard,E_early_peak,normal,lock,core_burst,112,169.2,14,6.69,627,direct_normal_56_direct_normal_rect_core_burst_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_56_direct_normal_rect_core_burst_g5_v06.asset,direct_normal:core_burst:g5,ok,ok
147,Normal,Normal,E_early_peak,normal,section,dual_zone,109,157.6,20,8.21,486,direct_normal_87_direct_normal_rect_dual_zone_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_87_direct_normal_rect_dual_zone_g2_v09.asset,direct_normal:dual_zone:g2,ok;rel:Recovery:Recovery,ok
148,Shape,Novelty,E_early_peak,normal,shape_space,Space,96,270,13,11.18,11.7,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,shape:Space:sci-fi:vehicle:procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,Normal
149,Recovery,Recovery,E_early_peak,normal,maze,maze_long_chain,104,161.7,21,7.34,506,direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07.asset,direct_normal:maze_long_chain:g0,ok,ok
150,Normal,Normal,E_early_peak,refresh,lock,lock_buckle,96,164.4,15,5.96,406,direct_pure_topup_06_11_direct_normal_pure_rect_lock_buckle_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_11_direct_normal_pure_rect_lock_buckle_g7_v08.asset,direct_normal:lock_buckle:g7,ok;rel:Recovery:Recovery,long-straight-run
151,Recovery,Recovery,A_peak9,refresh,maze,long_corridor,58,153,19,8.38,144,nomask_style_expansion_19_long_corridor_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_19_long_corridor_a.asset,motif:long_corridor,ok|yellow_replacement:GrindyLowClear,long-straight-run
152,Normal,Normal,A_peak9,normal,lock,core_burst,104,165.9,23,7.06,449,direct_normal_26_direct_normal_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_26_direct_normal_rect_core_burst_g2_v03.asset,direct_normal:core_burst:g2,ok;rel:Recovery:Recovery,ok
153,Shape,Novelty,A_peak9,shape,shape_landmark,Landmark,101,268,14,12.04,0.177,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
154,Pressure,Hard,A_peak9,normal,section,quasi_symmetry,107,159.5,17,7.40,543,direct_normal_topup_47_direct_normal_topup_rect_quasi_symmetry_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_47_direct_normal_topup_rect_quasi_symmetry_g11_v06.asset,direct_normal:quasi_symmetry:g11,ok;rel:Normal:Normal,ok
155,Recovery,Recovery,A_peak9,normal,sweep,sweep,106,160.6,20,7.56,592,direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01.asset,direct_normal:sweep:g6,ok;rel:Normal:Normal,ok
156,Normal,Normal,A_peak9,normal,dense,dense_weave,102,145.2,18,7.65,451,direct_normal_44_direct_normal_rect_dense_weave_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_44_direct_normal_rect_dense_weave_g4_v05.asset,direct_normal:dense_weave:g4,ok;rel:Normal:Normal,ok
157,Shape,Novelty,A_peak9,normal,shape_character,Character,101,266,14,12.04,11.8,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,shape:Character:animals-mascots:character:procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517,rel:Novelty:ShapeVisual:Shape:Character:animals-mascots:character:main,Normal
158,Pressure,Hard,A_peak9,normal,section,section_unlock,115,156.6,18,8.23,579,direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06.asset,direct_normal:section_unlock:g11,ok,ok
159,Peak,VeryHard,A_peak9,hard,lock,core_burst,135,166.0,14,13.61,688,direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02.asset,direct_polish:core_burst:g1,ok;rel:Normal:Normal,ok
160,Normal,Normal,A_peak9,refresh,section,direct_pure_topup_05_09_direct_n,94,157.8,9,7.14,437,direct_pure_topup_05_09_direct_normal_pure_rect_outer_shell_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_09_direct_normal_pure_rect_outer_shell_g10_v05.asset,asset:direct_pure_topup_05_09_direct_n,ok;rel:Recovery:Recovery,ok
161,Recovery,Recovery,F_chapter_breath,refresh,sweep,sweep,84,140,15,9.57,368,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset,direct_normal:sweep:g6,ok|yellow_replacement:StartFakeWide,ok
162,Normal,Normal,F_chapter_breath,normal,maze,maze_long_chain,101,156.7,20,7.22,396,direct_pure_topup_04_24_direct_normal_pure_rect_maze_long_chain_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_24_direct_normal_pure_rect_maze_long_chain_g8_v03.asset,direct_normal:maze_long_chain:g8,ok;rel:Normal:Normal,ok
163,Shape,Novelty,F_chapter_breath,normal,shape_symbol,Symbol,100,273,14,12.04,11.7,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,shape:Symbol:letters-symbols:symbol:procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521,rel:VeryHard:ShapePeak:Shape:Symbol:letters-symbols:symbol:main,Normal
164,Pressure,Hard,F_chapter_breath,normal,lock,lock_buckle,115,159.6,16,8.93,531,direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04.asset,direct_normal:lock_buckle:g9,ok;rel:Normal:Normal,ok
165,Normal,Normal,F_chapter_breath,normal,dense,dense_weave,104,153.5,17,8.91,450,direct_normal_topup_35_direct_normal_topup_rect_dense_weave_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_35_direct_normal_topup_rect_dense_weave_g10_v05.asset,direct_normal:dense_weave:g10,ok;rel:Normal:Normal,ok
166,Peak,VeryHard,F_chapter_breath,normal,section,quasi_symmetry,110,173.0,16,6.66,632,direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02.asset,direct_normal:quasi_symmetry:g1,ok;rel:Normal:Normal,ok
167,HoleRescue,Mechanic,F_chapter_breath,normal,hole_rescue,standard_23x28_mid,78,262,72,72,44.4,hole_proc_standard_23x28_mid_919377_23x28_c78,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919377_23x28_c78.asset,hole_procedural:standard_23x28_mid,procedural_hole_standard,procedural_hole_standard
168,Shape,Novelty,F_chapter_breath,normal,shape_ocean,Ocean,101,275,14,12.04,11.8,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,shape:Ocean:sea-creature:creature:procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229,rel:Novelty:ShapeVisual:Shape:Ocean:sea-creature:creature:main,Normal
169,Normal,Normal,F_chapter_breath,normal,lock,core_burst,111,164.2,21,7.16,513,direct_normal_96_direct_normal_rect_core_burst_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_96_direct_normal_rect_core_burst_g3_v10.asset,direct_normal:core_burst:g3,ok;rel:Normal:Normal,ok
170,Normal,Normal,F_chapter_breath,normal,section,section_unlock,108,155.5,16,9.16,433,direct_pure_topup_05_10_direct_normal_pure_rect_section_unlock_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_10_direct_normal_pure_rect_section_unlock_g10_v05.asset,direct_normal:section_unlock:g10,ok;rel:Normal:Normal,ok
171,Recovery,Recovery,B_peak7_end_calm,normal,dense,direct_normal_151_direct_normal_,110,147.5,23,8.17,525,direct_normal_151_direct_normal_rect_outer_shell_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_151_direct_normal_rect_outer_shell_g3_v16.asset,asset:direct_normal_151_direct_normal_,ok;rel:Normal:Normal,ok
172,Normal,Normal,B_peak7_end_calm,normal,lock,lock_buckle,107,159.6,20,7.63,446,direct_normal_153_direct_normal_rect_lock_buckle_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_153_direct_normal_rect_lock_buckle_g3_v16.asset,direct_normal:lock_buckle:g3,ok;rel:Normal:Normal,ok
173,Shape,Novelty,B_peak7_end_calm,normal,shape_object,Object,100,285,14,12.04,11.7,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset,shape:Object:tools-items:object:procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510,rel:Novelty:ShapeVisual:Shape:Object:tools-items:object:main,Normal
174,Pressure,Hard,B_peak7_end_calm,normal,section,stair_push,111,152.9,19,6.87,604,direct_normal_58_direct_normal_rect_stair_push_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset,direct_normal:stair_push:g5,ok;rel:Normal:Normal,ok
175,Recovery,Recovery,B_peak7_end_calm,refresh,maze,maze_long_chain,94,141,17,9.39,343,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset,direct_normal:maze_long_chain:g7,ok|yellow_replacement:StartFakeWide,ok
176,Normal,Normal,B_peak7_end_calm,normal,section,quasi_symmetry,102,166.0,15,7.90,482,direct_normal_49_direct_normal_rect_quasi_symmetry_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_49_direct_normal_rect_quasi_symmetry_g4_v05.asset,direct_normal:quasi_symmetry:g4,ok;rel:Normal:Normal,ok
177,Peak,VeryHard,B_peak7_end_calm,hard,lock,core_burst,143,152.2,19,11.84,723,direct_polish_clean_04_direct_polish_normal_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_04_direct_polish_normal_rect_core_burst_g0_v01.asset,direct_polish:core_burst:g0,ok;rel:Normal:Normal,ok
178,Shape,Novelty,B_peak7_end_calm,shape,shape_magic,Magic,104,285,15,12.9,0.174,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,shape:Magic:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
179,Pressure,Hard,B_peak7_end_calm,normal,section,section_unlock,117,154.0,18,9.85,564,direct_normal_122_direct_normal_rect_section_unlock_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_122_direct_normal_rect_section_unlock_g0_v13.asset,direct_normal:section_unlock:g0,ok;rel:Normal:Normal,ok
180,Recovery,Recovery,B_peak7_end_calm,normal,sweep,sweep,101,168.1,18,6.17,452,direct_pure_topup_04_05_direct_normal_pure_rect_sweep_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_05_direct_normal_pure_rect_sweep_g6_v01.asset,direct_normal:sweep:g6,ok;rel:Recovery:Recovery,ok
181,Recovery,Recovery,C_double_wave,normal,maze,maze_long_chain,114,147.6,18,9.52,418,direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05.asset,direct_normal:maze_long_chain:g10,ok;rel:Normal:Normal,ok
182,Pressure,Hard,C_double_wave,normal,lock,lock_buckle,103,166.7,12,8.66,467,direct_normal_03_direct_normal_rect_lock_buckle_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_03_direct_normal_rect_lock_buckle_g0_v01.asset,direct_normal:lock_buckle:g0,ok;rel:Recovery:Recovery,ok
183,Shape,Novelty,C_double_wave,normal,shape_art,Art,104,284,15,12.9,11.6,r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset,shape:Art:studio:character:procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536,rel:Novelty:ShapeVisual:Shape:Art:studio:character:main,Normal
184,Recovery,Recovery,C_double_wave,refresh,sweep,zig_river,69,144,13,11.91,223,nomask_style_expansion_18_zig_river_mid,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_18_zig_river_mid.asset,motif:zig_river,ok|yellow_replacement:StartFakeWide|BottleneckHeavy,long-straight-run
185,Normal,Normal,C_double_wave,normal,lock,core_burst,105,184.6,17,6.04,474,direct_normal_topup_44_direct_normal_topup_rect_core_burst_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_44_direct_normal_topup_rect_core_burst_g11_v06.asset,direct_normal:core_burst:g11,ok;rel:Normal:Normal,ok
186,Pressure,Hard,C_double_wave,normal,section,dual_zone,113,158.1,15,7.73,614,direct_normal_topup_21_direct_normal_topup_rect_dual_zone_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_21_direct_normal_topup_rect_dual_zone_g8_v03.asset,direct_normal:dual_zone:g8,ok;rel:Normal:Normal,ok
187,Normal,Normal,C_double_wave,normal,dense,dense_weave,101,158.1,17,7.81,462,direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06.asset,direct_normal:dense_weave:g11,ok;rel:Recovery:Recovery,ok
188,Shape,Novelty,C_double_wave,shape,shape_ocean,Ocean,104,287,15,12.9,0.174,r2_outer_strong_005_r2_006_a401_procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall_20260611_111207.asset,shape:Ocean:SpecialShape,NoRisk|yellow_replacement:StartFakeWide,Normal
189,Peak,VeryHard,C_double_wave,normal,section,stair_push,115,159.2,16,7.74,627,direct_normal_38_direct_normal_rect_stair_push_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_38_direct_normal_rect_stair_push_g3_v04.asset,direct_normal:stair_push:g3,ok,ok
190,Recovery,Recovery,C_double_wave,hard,section,quasi_symmetry,126,160.1,23,11.70,519,direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01.asset,direct_polish:quasi_symmetry:g0,ok,ok
191,Recovery,Recovery,D_visual_middle,normal,sweep,sweep,107,164.1,16,9.39,487,direct_normal_95_direct_normal_rect_sweep_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_95_direct_normal_rect_sweep_g3_v10.asset,direct_normal:sweep:g3,ok;rel:Normal:Normal,ok
192,HoleRescue,Mechanic,D_visual_middle,normal,hole_rescue,standard_24x30_mid,82,259,76,76,45.9,hole_proc_standard_24x30_mid_921469_24x30_c82,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921469_24x30_c82.asset,hole_procedural:standard_24x30_mid,procedural_hole_standard,procedural_hole_standard
193,Shape,Novelty,D_visual_middle,shape,shape_landmark,Landmark,105,287,15,12.9,0.176,r2_outer_strong_005_r2_006_a401_procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall_20260611_110755.asset,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
194,Normal,Normal,D_visual_middle,normal,dense,dense_weave,106,142.4,18,8.19,484,direct_normal_04_direct_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_04_direct_normal_rect_dense_weave_g0_v01.asset,direct_normal:dense_weave:g0,ok;rel:Normal:Normal,ok
195,Pressure,Hard,D_visual_middle,normal,lock,lock_buckle,110,173.9,16,6.87,535,direct_normal_topup_50_direct_normal_topup_rect_lock_buckle_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_50_direct_normal_topup_rect_lock_buckle_g6_v07.asset,direct_normal:lock_buckle:g6,ok;rel:Normal:Normal,ok
196,Recovery,Recovery,D_visual_middle,normal,maze,maze_long_chain,113,161.2,26,7.36,601,direct_normal_10_direct_normal_rect_maze_long_chain_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_10_direct_normal_rect_maze_long_chain_g0_v01.asset,direct_normal:maze_long_chain:g0,ok;rel:Normal:Normal,ok
197,Shape,Novelty,D_visual_middle,shape,shape_ocean,Ocean,102,289,14,12.04,0.179,r2_outer_strong_005_r2_006_a401_procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall_20260611_111208.asset,shape:Ocean:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
198,Normal,Normal,D_visual_middle,normal,section,dual_zone,114,157.4,21,8.98,539,direct_normal_147_direct_normal_rect_dual_zone_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_147_direct_normal_rect_dual_zone_g2_v15.asset,direct_normal:dual_zone:g2,ok,ok
199,Pressure,Hard,D_visual_middle,normal,lock,core_burst,108,186.6,16,6.64,540,direct_normal_46_direct_normal_rect_core_burst_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_46_direct_normal_rect_core_burst_g4_v05.asset,direct_normal:core_burst:g4,ok,ok
200,Normal,Normal,D_visual_middle,normal,section,quasi_symmetry,107,165.2,17,7.30,475,direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05.asset,direct_normal:quasi_symmetry:g10,ok;rel:Normal:Normal,ok
201,Normal,Normal,E_early_peak,normal,dense,dense_weave,107,157.5,17,8.88,435,direct_normal_114_direct_normal_rect_dense_weave_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_114_direct_normal_rect_dense_weave_g5_v12.asset,direct_normal:dense_weave:g5,ok;rel:Normal:Normal,ok
202,Pressure,Hard,E_early_peak,normal,lock,lock_buckle,107,179.8,19,6.14,512,direct_normal_63_direct_normal_rect_lock_buckle_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_63_direct_normal_rect_lock_buckle_g0_v07.asset,direct_normal:lock_buckle:g0,ok;rel:Normal:Normal,ok
