rank,selected,selectRank,selectStatus,bucket,type,score,levelId,path,packs,width,height,chains,tiles,coverage,aspect,outer1,outer2,maxOuterEmptyRun,holeScore,localEmpty8,centerEmpty,openers,avgChoices,minChoices,maxChoices,unlockBursts,maxUnlockBurst,keyLockSteps,firstOuter,lastOuter,endingShort,avgChain,maxChain,regionSwitches,dependencyBlocks,dependencyCycles,dependencyLayerStuck,dependencyMaxRayBlockers,edgeShort,edgeLong,maxEdgeRun,families,qualityFlags,portableValid,portableSolved,portableOpeners,portableScore,portableQuality,details
97,1,97,selected,refresh,shell,160.1,nomask_style_expansion_25_double_shell_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_25_double_shell_b.asset,no_mask_style_expansion_preview,19,27,58,507,0.988,0.704,1.000,0.994,0,7.5,0.031,0.023,19,7.69,1,19,9,4,2,0.867,0.400,0.417,8.74,72,32,182,0,0,9,7,0,4,motif:double_shell,ok,True,True,19,171.9,long-straight-run,type=maze; play=84.4; deps=182/0/0
98,1,98,selected,refresh,sweep,160.0,direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08.asset,direct_pure_topup_slice06_candidates,18,34,83,597,0.975,0.529,0.990,0.974,1,14.0,0.063,0.025,17,8.23,1,17,15,4,3,0.905,0.238,0.353,7.19,13,38,306,0,0,11,2,0,8,direct_normal:sweep:g7,ok,True,True,17,187.3,ok,type=dense; play=85.5; deps=306/0/0
99,1,99,selected,refresh,maze,159.9,nomask_style_expansion_02_hui_spiral_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_02_hui_spiral_b.asset,no_mask_style_expansion_preview,17,24,39,405,0.993,0.708,1.000,1.000,0,5.7,0.031,0.000,10,6.69,1,12,6,8,2,1.000,1.000,0.875,10.38,198,28,80,0,0,6,14,0,8,motif:hui_spiral,ok,True,True,10,180.0,long-straight-run,type=maze; play=75.5; deps=80/0/0
100,1,100,selected,refresh,lock,159.4,nomask_style_expansion_12_key_door_mid,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_12_key_door_mid.asset,no_mask_style_expansion_preview,19,28,58,523,0.983,0.679,0.989,0.988,1,11.1,0.063,0.011,14,7.83,1,15,7,8,4,1.000,0.400,0.417,9.02,112,30,146,0,0,7,7,1,21,motif:key_door,ok,True,True,14,174.9,long-straight-run,type=section; play=82.9; deps=146/0/0
101,1,101,selected,refresh,maze,159.1,nomask_style_12_long_corridor,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_12_long_corridor.asset,no_mask_style_preview,19,27,49,499,0.973,0.704,0.977,0.958,1,13.5,0.078,0.011,11,7.08,1,12,11,4,4,0.846,0.615,0.500,10.18,17,35,130,0,0,9,5,2,14,motif:long_corridor,ok,True,True,11,182.4,long-straight-run,type=maze; play=79.8; deps=130/0/0
102,1,102,selected,refresh,lock,159.0,direct_pure_topup_01_03_direct_refresh_topup_rect_lock_buckle_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_03_direct_refresh_topup_rect_lock_buckle_g0_v01.asset,direct_pure_topup_slice01_candidates,14,26,52,355,0.975,0.538,0.921,0.958,1,11.1,0.047,0.017,13,6.69,1,13,8,3,1,0.846,0.615,0.636,6.83,11,27,136,0,0,11,6,0,4,direct_refresh:lock_buckle:g0,weak-outer,True,True,13,180.5,weak-outer,type=section; play=82.2; deps=136/0/0
103,1,103,selected,refresh,lock,158.9,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,direct_pure_topup_slice04_candidates,19,32,86,600,0.987,0.594,0.980,0.989,1,9.6,0.047,0.014,15,6.90,1,15,19,4,8,0.818,0.182,0.333,6.98,13,45,377,0,0,11,3,2,11,direct_normal:core_burst:g8,ok,True,True,15,188.2,ok,type=dense; play=91.5; deps=377/0/0
104,1,104,selected,refresh,dense,158.6,direct_pure_topup_04_04_direct_normal_pure_rect_dense_weave_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_04_direct_normal_pure_rect_dense_weave_g6_v01.asset,direct_pure_topup_slice04_candidates,21,32,87,663,0.987,0.656,1.000,0.995,0,8.3,0.047,0.013,14,7.47,1,14,17,4,7,0.727,0.045,0.333,7.62,13,50,346,0,0,14,2,2,12,direct_normal:dense_weave:g6,ok,True,True,14,189.2,ok,type=dense; play=85.8; deps=346/0/0
105,1,105,selected,refresh,lock,157.9,direct_pure_topup_05_06_direct_normal_pure_rect_core_burst_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_06_direct_normal_pure_rect_core_burst_g9_v04.asset,direct_pure_topup_slice05_candidates,22,33,95,711,0.979,0.667,0.991,0.995,1,15.0,0.094,0.032,18,7.31,1,18,16,3,5,0.958,0.000,0.316,7.48,13,44,376,0,0,12,2,1,11,direct_normal:core_burst:g9,ok,True,True,18,189.1,ok,type=dense; play=90.4; deps=376/0/0
106,1,106,selected,refresh,section,157.8,direct_pure_topup_05_09_direct_normal_pure_rect_outer_shell_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_09_direct_normal_pure_rect_outer_shell_g10_v05.asset,direct_pure_topup_slice05_candidates,20,35,94,693,0.990,0.571,1.000,0.990,0,10.8,0.063,0.021,9,7.14,1,12,18,5,8,0.875,0.208,0.474,7.37,13,48,437,0,0,20,2,3,11,asset:direct_pure_topup_05_09_direct_n,ok,True,True,9,190.4,ok,type=section; play=94.6; deps=437/0/0
107,1,107,selected,refresh,section,157.8,direct_pure_topup_06_15_direct_normal_pure_rect_dual_zone_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_15_direct_normal_pure_rect_dual_zone_g7_v08.asset,direct_pure_topup_slice06_candidates,20,32,85,630,0.984,0.625,1.000,0.995,0,11.5,0.063,0.022,17,7.45,1,18,16,4,3,0.818,0.045,0.294,7.41,13,49,286,0,0,14,5,3,11,direct_normal:dual_zone:g7,ok,True,True,17,188.8,ok,type=dense; play=91.8; deps=286/0/0
108,1,108,selected,refresh,section,157.3,direct_pure_topup_03_10_direct_refresh_topup_rect_section_unlock_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_10_direct_refresh_topup_rect_section_unlock_g1_v08.asset,direct_pure_topup_slice03_candidates,15,27,59,396,0.978,0.556,0.938,0.967,1,10.3,0.047,0.007,10,6.47,1,11,12,3,6,0.533,0.467,0.500,6.71,11,32,206,0,0,12,10,0,4,direct_refresh:section_unlock:g1,weak-outer,True,True,10,182.3,weak-outer,type=dense; play=82.9; deps=206/0/0
109,1,109,selected,refresh,maze,156.9,direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06.asset,direct_pure_topup_slice05_candidates,20,33,83,648,0.982,0.606,0.990,0.980,1,10.1,0.063,0.013,14,6.92,1,15,19,3,5,0.952,0.048,0.235,7.81,13,39,352,0,0,12,1,4,13,direct_normal:maze_long_chain:g11,ok,True,True,14,187.9,long-straight-run,type=dense; play=96.0; deps=352/0/0
110,1,110,selected,refresh,sweep,156.8,direct_pure_topup_02_05_direct_refresh_topup_rect_sweep_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_05_direct_refresh_topup_rect_sweep_g3_v04.asset,direct_pure_topup_slice02_candidates,17,28,62,472,0.992,0.607,1.000,1.000,0,8.1,0.047,0.019,14,8.18,1,14,13,4,2,0.813,0.125,0.077,7.61,13,35,195,0,0,13,3,3,12,direct_refresh:sweep:g3,ok,True,True,14,186.7,ok,type=dense; play=87.0; deps=195/0/0
111,1,111,selected,refresh,sweep,156.6,direct_pure_topup_06_21_direct_normal_pure_rect_sweep_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_21_direct_normal_pure_rect_sweep_g8_v09.asset,direct_pure_topup_slice06_candidates,21,35,97,716,0.974,0.600,0.981,0.981,1,14.8,0.078,0.038,16,6.87,1,16,22,5,6,0.840,0.160,0.450,7.38,13,47,487,0,0,14,4,1,10,direct_normal:sweep:g8,ok,True,True,16,188.5,ok,type=dense; play=91.9; deps=487/0/0
112,1,112,selected,refresh,section,156.5,direct_pure_topup_03_15_direct_refresh_topup_rect_dual_zone_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_15_direct_refresh_topup_rect_dual_zone_g1_v08.asset,direct_pure_topup_slice03_candidates,17,26,49,429,0.971,0.654,0.976,0.962,1,14.0,0.063,0.013,16,7.86,1,16,8,5,1,0.923,0.692,0.400,8.76,15,30,119,0,0,9,6,0,6,direct_refresh:dual_zone:g1,ok,True,True,16,182.1,ok,type=section; play=75.5; deps=119/0/0
113,1,113,selected,refresh,section,156.5,nomask_10_quasi_symmetry,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_10_quasi_symmetry.asset,no_mask_type_preview,17,22,46,370,0.989,0.773,1.000,1.000,0,7.4,0.031,0.023,12,8.17,1,13,8,3,2,0.750,0.500,0.500,8.04,13,33,118,0,0,10,4,2,13,motif:quasi_symmetry,ok,True,True,12,184.6,long-straight-run,type=sweep; play=76.6; deps=118/0/0
114,1,114,selected,refresh,lock,156.1,nomask_style_07_key_door,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_07_key_door.asset,no_mask_style_preview,17,24,43,405,0.993,0.708,0.987,0.986,1,4.5,0.031,0.000,9,8.05,1,14,10,3,3,0.727,0.273,0.333,9.42,72,22,105,0,0,8,3,3,17,motif:key_door,ok,True,True,9,181.9,long-straight-run,type=maze; play=81.2; deps=105/0/0
115,1,115,selected,refresh,lock,156.0,nomask_style_expansion_09_double_room_lock_mid,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_09_double_room_lock_mid.asset,no_mask_style_expansion_preview,19,27,41,511,0.996,0.704,0.989,0.994,1,2.9,0.016,0.000,9,8.24,1,11,9,2,0,0.909,0.636,0.778,12.46,133,23,79,0,0,7,8,0,8,motif:double_room_lock,ok,True,True,9,178.1,long-straight-run,type=section; play=71.4; deps=79/0/0
116,1,116,selected,refresh,lock,155.3,nomask_07_core_burst,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_07_core_burst.asset,no_mask_type_preview,16,23,48,361,0.981,0.696,0.986,0.979,1,11.2,0.063,0.009,15,7.73,1,15,7,3,2,0.833,0.750,0.300,7.52,13,32,117,0,0,10,5,1,12,motif:core_burst,ok,True,True,15,183.4,ok,type=sweep; play=75.7; deps=117/0/0
117,1,117,selected,refresh,sweep,155.3,nomask_style_expansion_16_zig_river_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_16_zig_river_a.asset,no_mask_style_expansion_preview,18,25,54,440,0.978,0.720,0.988,0.981,1,11.9,0.063,0.014,14,8.11,1,14,10,3,5,0.786,0.429,0.455,8.15,56,38,143,0,0,12,5,1,11,motif:zig_river,ok,True,True,14,183.9,long-straight-run,type=dense; play=76.2; deps=143/0/0
118,1,118,selected,refresh,lock,155.2,nomask_style_04_center_cross,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_04_center_cross.asset,no_mask_style_preview,16,23,45,359,0.976,0.696,0.986,0.993,1,13.7,0.063,0.043,14,7.80,1,15,7,2,0,0.917,0.667,0.333,7.98,13,31,125,0,0,14,4,3,10,motif:center_cross,ok,True,True,14,182.6,ok,type=dense; play=80.1; deps=125/0/0
119,1,119,selected,refresh,sweep,155.1,nomask_style_expansion_05_snake_spine_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_05_snake_spine_b.asset,no_mask_style_expansion_preview,17,25,45,418,0.984,0.680,0.975,0.980,1,7.2,0.031,0.007,14,9.11,1,14,9,3,3,0.833,0.500,0.444,9.29,116,28,58,0,0,5,6,0,7,motif:snake_spine,ok,True,True,14,182.8,ok,type=maze; play=70.8; deps=58/0/0
120,1,120,selected,refresh,sweep,154.9,nomask_style_expansion_04_snake_spine_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_04_snake_spine_a.asset,no_mask_style_expansion_preview,16,24,46,380,0.990,0.667,0.987,0.979,1,6.1,0.031,0.000,15,10.22,1,16,6,8,2,1.000,0.500,0.500,8.26,117,36,68,0,0,9,5,0,9,motif:snake_spine,ok,True,True,15,184.0,ok,type=sweep; play=73.1; deps=68/0/0
121,1,1,selected,normal,lock,218.6,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,19,33,83,617,0.984,0.576,1.000,1.000,0,10.2,0.063,0.019,7,5.73,1,10,18,4,6,0.762,0.286,0.353,7.43,13,46,330,0,0,14,2,1,10,direct_normal:core_burst:g16,ok,True,True,7,188.5,ok,type=dense; play=111.5; deps=330/0/0
122,1,2,selected,normal,maze,213.0,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,direct_pure_topup_slice02_candidates,17,29,63,487,0.988,0.586,1.000,1.000,0,7.3,0.031,0.018,7,5.06,1,9,11,5,3,0.750,0.000,0.154,7.73,13,37,259,0,0,10,2,5,13,direct_refresh:maze_long_chain:g5,ok,True,True,7,186.5,ok,type=dense; play=124.9; deps=259/0/0
123,1,3,selected,normal,section,212.1,direct_pure_topup_03_23_direct_refresh_topup_rect_dual_zone_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_23_direct_refresh_topup_rect_dual_zone_g2_v09.asset,direct_pure_topup_slice03_candidates,14,28,58,383,0.977,0.500,1.000,0.980,0,13.7,0.063,0.023,8,4.71,1,9,14,3,4,0.733,0.267,0.500,6.60,11,29,158,0,0,7,7,0,5,direct_refresh:dual_zone:g2,ok,True,True,8,184.9,ok,type=dense; play=109.2; deps=158/0/0
124,1,4,selected,normal,dense,210.3,direct_pure_topup_05_17_direct_normal_pure_rect_outer_shell_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_17_direct_normal_pure_rect_outer_shell_g11_v06.asset,direct_pure_topup_slice05_candidates,18,36,84,643,0.992,0.500,1.000,1.000,0,8.0,0.047,0.019,9,5.68,1,9,20,5,7,0.810,0.000,0.353,7.65,13,47,387,0,0,15,1,3,11,asset:direct_pure_topup_05_17_direct_n,ok,True,True,9,189.4,ok,type=dense; play=110.3; deps=387/0/0
125,1,5,selected,normal,maze,208.9,direct_pure_topup_01_16_direct_refresh_topup_rect_maze_long_chain_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_16_direct_refresh_topup_rect_maze_long_chain_g1_v02.asset,direct_pure_topup_slice01_candidates,17,27,58,452,0.985,0.630,0.988,0.994,1,8.9,0.047,0.019,8,4.45,1,9,13,3,5,0.933,0.067,0.250,7.79,13,42,204,0,0,10,1,3,11,direct_refresh:maze_long_chain:g1,ok,True,True,8,176.1,ok,type=dense; play=116.4; deps=204/0/0
126,1,6,selected,normal,section,204.2,direct_pure_topup_03_07_direct_refresh_topup_rect_dual_zone_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_07_direct_refresh_topup_rect_dual_zone_g0_v07.asset,direct_pure_topup_slice03_candidates,16,24,56,380,0.990,0.667,0.987,0.986,1,5.3,0.031,0.008,8,5.20,1,9,10,3,5,0.786,0.571,0.333,6.79,11,40,170,0,0,10,10,0,7,direct_refresh:dual_zone:g0,ok,True,True,8,185.2,ok,type=dense; play=103.2; deps=170/0/0
127,1,7,selected,normal,section,203.1,direct_pure_normal_extra_02_22_direct_normal_pure_extra_rect_stair_push_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_22_direct_normal_pure_extra_rect_stair_push_g20_v06.asset,direct_pure_normal_extra_slice02_candidates,21,31,83,645,0.991,0.677,1.000,0.995,0,6.5,0.031,0.009,13,5.76,1,13,21,3,3,0.952,0.000,0.235,7.77,13,42,328,0,0,10,0,2,12,direct_normal:stair_push:g20,ok,True,True,13,189.1,ok,type=section; play=109.4; deps=328/0/0
128,1,8,selected,normal,lock,202.1,direct_pure_normal_extra_02_10_direct_normal_pure_extra_rect_lock_buckle_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_10_direct_normal_pure_extra_rect_lock_buckle_g19_v05.asset,direct_pure_normal_extra_slice02_candidates,19,32,80,595,0.979,0.594,0.980,0.968,1,13.8,0.063,0.029,11,5.43,1,11,21,3,7,0.850,0.150,0.375,7.44,13,47,317,0,0,15,1,2,11,direct_normal:lock_buckle:g19,ok,True,True,11,186.8,ok,type=dense; play=106.6; deps=317/0/0
129,1,9,selected,normal,lock,199.2,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,direct_normal_topup_candidates,23,37,106,835,0.981,0.622,1.000,0.991,0,12.3,0.063,0.029,8,5.26,1,12,24,5,7,0.926,0.074,0.227,7.88,13,52,598,0,0,15,1,7,13,direct_normal:core_burst:g8,ok,True,True,8,191.0,ok,type=section; play=114.5; deps=598/0/0
130,1,10,selected,normal,lock,199.1,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,direct_pure_topup_slice05_candidates,22,33,103,717,0.988,0.667,1.000,1.000,0,8.6,0.047,0.020,13,5.09,1,13,22,4,8,0.731,0.115,0.238,6.96,13,53,527,0,0,18,2,3,12,direct_normal:lock_buckle:g10,ok,True,True,13,191.2,ok,type=section; play=107.0; deps=527/0/0
131,1,11,selected,normal,lock,197.7,direct_normal_topup_58_direct_normal_topup_rect_lock_buckle_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_58_direct_normal_topup_rect_lock_buckle_g7_v08.asset,direct_normal_topup_candidates,22,38,111,826,0.988,0.579,1.000,0.991,0,9.1,0.047,0.007,12,5.81,1,12,26,4,11,0.750,0.036,0.348,7.44,13,53,504,0,0,16,2,2,11,direct_normal:lock_buckle:g7,ok,True,True,12,192.2,ok,type=dense; play=103.4; deps=504/0/0
132,1,12,selected,normal,sweep,196.7,direct_normal_25_direct_normal_rect_sweep_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_25_direct_normal_rect_sweep_g2_v03.asset,direct_normal_candidates,22,37,107,804,0.988,0.595,0.991,0.986,1,10.7,0.063,0.015,15,5.79,1,15,24,4,9,0.852,0.000,0.136,7.51,13,53,579,0,0,15,4,1,10,direct_normal:sweep:g2,ok,True,True,15,191.3,ok,type=dense; play=103.7; deps=579/0/0
133,1,13,selected,normal,section,196.3,direct_normal_107_direct_normal_rect_dual_zone_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_107_direct_normal_rect_dual_zone_g4_v11.asset,direct_normal_candidates,22,38,110,821,0.982,0.579,1.000,1.000,0,16.8,0.094,0.024,10,6.22,1,11,27,4,8,0.786,0.036,0.136,7.46,13,59,575,0,0,15,1,2,10,direct_normal:dual_zone:g4,ok,True,True,10,191.6,ok,type=dense; play=98.0; deps=575/0/0
134,1,14,selected,normal,section,195.8,direct_normal_topup_73_direct_normal_topup_rect_section_unlock_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_73_direct_normal_topup_rect_section_unlock_g9_v10.asset,direct_normal_topup_candidates,23,38,110,859,0.983,0.605,0.983,0.982,1,12.9,0.063,0.021,13,5.96,1,13,24,6,9,0.786,0.071,0.091,7.81,13,52,558,0,0,13,4,1,13,direct_normal:section_unlock:g9,ok,True,True,13,190.9,ok,type=section; play=100.1; deps=558/0/0
135,1,15,selected,normal,sweep,195.4,direct_normal_topup_16_direct_normal_topup_rect_sweep_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_16_direct_normal_topup_rect_sweep_g7_v02.asset,direct_normal_topup_candidates,22,38,106,824,0.986,0.579,1.000,1.000,0,14.3,0.078,0.031,11,5.29,1,11,25,5,8,0.815,0.000,0.364,7.77,13,52,497,0,0,17,0,4,13,direct_normal:sweep:g7,ok,True,True,11,191.4,ok,type=dense; play=107.6; deps=497/0/0
136,1,16,selected,normal,lock,191.4,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,21,34,93,702,0.983,0.618,1.000,0.985,0,11.8,0.063,0.025,14,6.54,1,14,17,4,8,0.708,0.042,0.211,7.55,13,50,486,0,0,13,3,1,10,direct_normal:core_burst:g17,ok,True,True,14,189.6,ok,type=dense; play=102.2; deps=486/0/0
137,1,17,selected,normal,section,189.0,direct_pure_topup_01_10_direct_refresh_topup_rect_section_unlock_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_10_direct_refresh_topup_rect_section_unlock_g1_v02.asset,direct_pure_topup_slice01_candidates,17,27,57,447,0.974,0.630,1.000,0.981,0,13.3,0.063,0.031,9,5.40,1,10,13,4,2,0.933,0.067,0.167,7.84,13,29,155,0,0,8,3,5,13,direct_refresh:section_unlock:g1,ok,True,True,9,184.5,ok,type=dense; play=109.4; deps=155/0/0
138,1,18,selected,normal,section,188.8,direct_pure_normal_extra_01_17_direct_normal_pure_extra_rect_section_unlock_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_17_direct_normal_pure_extra_rect_section_unlock_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,18,34,78,603,0.985,0.529,0.990,0.995,1,9.2,0.047,0.025,13,5.81,1,13,20,5,3,0.750,0.050,0.438,7.73,13,43,339,0,0,16,4,2,12,direct_normal:section_unlock:g17,ok,True,True,13,187.6,ok,type=dense; play=101.3; deps=339/0/0
139,1,19,selected,normal,section,187.4,direct_pure_normal_extra_02_05_direct_normal_pure_extra_rect_dual_zone_g18_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_05_direct_normal_pure_extra_rect_dual_zone_g18_v04.asset,direct_pure_normal_extra_slice02_candidates,20,32,85,623,0.973,0.625,0.990,0.990,1,16.2,0.078,0.039,19,5.36,1,19,18,3,4,0.955,0.273,0.176,7.33,13,44,328,0,0,12,2,1,10,direct_normal:dual_zone:g18,ok,True,True,19,187.4,ok,type=section; play=105.0; deps=328/0/0
140,1,20,selected,normal,lock,186.6,direct_normal_46_direct_normal_rect_core_burst_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_46_direct_normal_rect_core_burst_g4_v05.asset,direct_normal_candidates,22,36,108,780,0.985,0.611,1.000,0.991,0,11.5,0.063,0.022,16,6.64,1,16,22,3,2,0.815,0.037,0.273,7.22,13,46,540,0,0,15,3,0,9,direct_normal:core_burst:g4,ok,True,True,16,191.6,ok,type=dense; play=95.9; deps=540/0/0
141,1,21,selected,normal,section,186.3,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,20,34,89,669,0.984,0.588,0.990,0.985,1,11.5,0.063,0.021,13,6.10,1,13,20,4,3,0.957,0.043,0.167,7.52,13,50,387,0,0,13,2,3,12,direct_normal:quasi_symmetry:g17,ok,True,True,13,188.8,ok,type=dense; play=101.7; deps=387/0/0
142,1,22,selected,normal,section,185.8,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,direct_pure_normal_extra_slice01_candidates,20,32,86,628,0.981,0.625,1.000,0.979,0,13.1,0.063,0.022,12,6.00,1,12,21,4,6,0.727,0.091,0.333,7.30,13,45,343,0,0,12,3,4,12,direct_normal:quasi_symmetry:g15,ok,True,True,12,188.6,ok,type=dense; play=101.9; deps=343/0/0
143,1,23,selected,normal,dense,185.8,direct_normal_111_direct_normal_rect_outer_shell_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_111_direct_normal_rect_outer_shell_g5_v12.asset,direct_normal_candidates,23,36,103,810,0.978,0.639,1.000,0.986,0,14.9,0.078,0.026,10,6.38,1,11,20,5,7,0.885,0.038,0.238,7.86,13,52,522,0,0,12,2,5,12,asset:direct_normal_111_direct_normal_,ok,True,True,10,190.4,ok,type=dense; play=99.7; deps=522/0/0
144,1,24,selected,normal,lock,184.6,direct_normal_topup_44_direct_normal_topup_rect_core_burst_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_44_direct_normal_topup_rect_core_burst_g11_v06.asset,direct_normal_topup_candidates,22,39,105,842,0.981,0.564,1.000,0.991,0,13.6,0.078,0.010,17,6.04,1,17,22,4,6,0.926,0.111,0.286,8.02,13,54,474,0,0,11,2,2,13,direct_normal:core_burst:g11,ok,True,True,17,190.9,ok,type=dense; play=101.8; deps=474/0/0
