order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality,order_i,chains_i,score_f,openers_i,avgChoices_f,dep_i,_style,_pressure,slotRole,relativeDifficulty,template,styleKey,pressureScore
130,refresh,0,maze,134.5,direct_normal_30_direct_normal_rect_maze_long_chain_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_30_direct_normal_rect_maze_long_chain_g2_v03.asset,direct_normal_candidates,20,38,100,0.980,0.982,18,8.63,18,373,direct_normal:maze_long_chain:g2,ok,True,189.4,long-straight-run,130,100,134.5,18,8.63,373,maze_long_chain,96.531,Recovery,Recovery,C_double_wave,maze_long_chain,96.5
131,normal,196,dense,147.5,direct_normal_151_direct_normal_rect_outer_shell_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_151_direct_normal_rect_outer_shell_g3_v16.asset,direct_normal_candidates,23,37,110,0.986,1.000,23,8.17,23,525,asset:direct_normal_151_direct_normal_,ok;rel:Normal:Normal,True,191.9,ok,131,110,147.5,23,8.17,525,direct_normal_151_direct_normal_,108.01900000000002,Recovery,Recovery,D_visual_middle,direct_normal_151_direct_normal_,108.0
132,refresh,63,section,167.4,direct_pure_topup_04_23_direct_normal_pure_rect_dual_zone_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_23_direct_normal_pure_rect_dual_zone_g8_v03.asset,direct_pure_topup_slice04_candidates,20,35,91,0.984,1.000,13,5.74,20,386,direct_normal:dual_zone:g8,ok;rel:Recovery:Recovery,True,189.5,long-straight-run,132,91,167.4,13,5.74,386,dual_zone,106.10999999999999,Normal,Normal,D_visual_middle,dual_zone,106.1
133,normal,36,shape_character,259,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,shape_final_with_supplement,30,42,99,0.976,,14,12.04,,11.5,shape:Character:animals-mascots:character:procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820,rel:Novelty:ShapeVisual:Shape:Character:animals-mascots:character:main,True,259,Normal,133,99,259.0,14,12.04,11,Character,104.733,Shape,Novelty,D_visual_middle,Character,104.7
134,refresh,111,sweep,156.6,direct_pure_topup_06_21_direct_normal_pure_rect_sweep_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_21_direct_normal_pure_rect_sweep_g8_v09.asset,direct_pure_topup_slice06_candidates,21,35,97,0.974,0.981,16,6.87,22,487,direct_normal:sweep:g8,ok;rel:Recovery:Recovery,True,188.5,ok,134,97,156.6,16,6.87,487,sweep,107.467,Normal,Normal,D_visual_middle,sweep,107.5
135,normal,0,section,128.2,direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08.asset,direct_normal_topup_candidates,22,40,115,0.982,0.992,19,9.95,21,541,direct_normal:stair_push:g7,ok,True,191.8,ok,135,115,128.2,19,9.95,541,stair_push,112.501,Pressure,Hard,D_visual_middle,stair_push,112.5
136,normal,117,dense,160.5,direct_normal_134_direct_normal_rect_dense_weave_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_134_direct_normal_rect_dense_weave_g1_v14.asset,direct_normal_candidates,23,35,107,0.985,0.973,22,9.07,22,500,direct_normal:dense_weave:g1,ok;rel:Normal:Normal,True,190.3,ok,136,107,160.5,22,9.07,500,dense_weave,106.26399999999998,Recovery,Recovery,D_visual_middle,dense_weave,106.3
137,shape,12,shape_magic,267,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,shape_final_with_supplement,30,42,95,0.535,,13,11.18,,0.173,shape:Magic:SpecialShape,NoRisk|yellow_replacement:StartFakeWide,True,267,Normal,137,95,267.0,13,11.18,0,Magic,104.736,Shape,Novelty,D_visual_middle,Magic,104.7
138,refresh,77,lock,164.4,direct_pure_topup_06_11_direct_normal_pure_rect_lock_buckle_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_11_direct_normal_pure_rect_lock_buckle_g7_v08.asset,direct_pure_topup_slice06_candidates,21,36,96,0.988,1.000,15,5.96,16,406,direct_normal:lock_buckle:g7,ok;rel:Recovery:Recovery,True,190.4,long-straight-run,138,96,164.4,15,5.96,406,lock_buckle,108.074,Normal,Normal,D_visual_middle,lock_buckle,108.1
139,normal,57,maze,170.9,direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08.asset,direct_pure_topup_slice06_candidates,21,35,103,0.990,1.000,16,8.71,23,471,direct_normal:maze_long_chain:g7,ok;rel:Normal:Normal,True,191.5,ok,139,103,170.9,16,8.71,471,maze_long_chain,112.16900000000001,Pressure,Hard,D_visual_middle,maze_long_chain,112.2
140,normal,212,sweep,141.1,direct_normal_45_direct_normal_rect_sweep_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_45_direct_normal_rect_sweep_g4_v05.asset,direct_normal_candidates,20,41,105,0.979,0.983,18,7.80,24,451,direct_normal:sweep:g4,ok;rel:Normal:Normal,True,190.0,ok,140,105,141.1,18,7.8,451,sweep,106.94299999999998,Normal,Normal,D_visual_middle,sweep,106.9
141,normal,168,dense,153.5,direct_normal_topup_35_direct_normal_topup_rect_dense_weave_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_35_direct_normal_topup_rect_dense_weave_g10_v05.asset,direct_normal_topup_candidates,22,36,104,0.982,0.991,17,8.91,19,450,direct_normal:dense_weave:g10,ok;rel:Normal:Normal,True,190.5,ok,141,104,153.5,17,8.91,450,dense_weave,107.542,Normal,Normal,E_early_peak,dense_weave,107.5
142,normal,65,hole_rescue,259,hole_proc_standard_24x28_mid_920423_24x28_c76,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920423_24x28_c76.asset,hole_procedural_candidates,24,28,76,0.893,,72,72,,41.6,hole_procedural:standard_24x28_mid,procedural_hole_standard,True,259,procedural_hole_standard,142,76,259.0,72,72.0,41,standard_24x28_mid,-106.34499999999998,HoleRescue,Mechanic,E_early_peak,standard_24x28_mid,-106.3
143,normal,75,shape_magic,254,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,shape_final_with_supplement,30,42,91,,,,,,,shape_magic:Magic:75,MagicShape,True,254,MagicShape,143,91,254.0,0,0.0,0,Magic,105.52,Shape,Novelty,E_early_peak,Magic,105.5
144,normal,26,lock,182.5,direct_pure_normal_extra_01_18_direct_normal_pure_extra_rect_lock_buckle_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_18_direct_normal_pure_extra_rect_lock_buckle_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,19,36,91,0.981,0.991,12,6.07,17,361,direct_normal:lock_buckle:g17,ok;rel:Recovery:Recovery,True,188.8,ok,144,91,182.5,12,6.07,361,lock_buckle,108.75899999999999,Normal,Normal,E_early_peak,lock_buckle,108.8
145,normal,153,sweep,155.6,direct_normal_35_direct_normal_rect_sweep_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,direct_normal_candidates,23,39,114,0.981,1.000,25,8.14,22,493,direct_normal:sweep:g3,ok;rel:Normal:Normal,True,192.0,ok,145,114,155.6,25,8.14,493,sweep,109.611,Recovery,Recovery,E_early_peak,sweep,109.6
146,normal,62,lock,169.2,direct_normal_56_direct_normal_rect_core_burst_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_56_direct_normal_rect_core_burst_g5_v06.asset,direct_normal_candidates,23,38,112,0.984,1.000,14,6.69,28,627,direct_normal:core_burst:g5,ok,True,192.0,ok,146,112,169.2,14,6.69,627,core_burst,132.759,Peak,VeryHard,E_early_peak,core_burst,132.8
147,normal,132,dense,158.1,direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06.asset,direct_pure_topup_slice05_candidates,21,37,101,0.978,1.000,17,7.81,17,462,direct_normal:dense_weave:g11,ok;rel:Recovery:Recovery,True,190.2,ok,147,101,158.1,17,7.81,462,dense_weave,107.76999999999998,Normal,Normal,E_early_peak,dense_weave,107.8
148,normal,137,shape_space,270,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,shape_final_with_supplement,30,42,96,0.982,,13,11.18,,11.7,shape:Space:sci-fi:vehicle:procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,True,270,Normal,148,96,270.0,13,11.18,11,Space,106.66099999999999,Shape,Novelty,E_early_peak,Space,106.7
149,normal,108,maze,161.7,direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07.asset,direct_normal_candidates,20,39,104,0.983,1.000,21,7.34,20,506,direct_normal:maze_long_chain:g0,ok,True,191.0,ok,149,104,161.7,21,7.34,506,maze_long_chain,108.204,Recovery,Recovery,E_early_peak,maze_long_chain,108.2
150,normal,166,section,153.8,direct_normal_topup_06_direct_normal_topup_rect_stair_push_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_06_direct_normal_topup_rect_stair_push_g6_v01.asset,direct_normal_topup_candidates,21,38,106,0.981,0.982,20,8.77,16,524,direct_normal:stair_push:g6,ok;rel:Recovery:Recovery,True,190.2,ok,150,106,153.8,20,8.77,524,stair_push,108.238,Normal,Normal,E_early_peak,stair_push,108.2
151,normal,178,dense,152.2,direct_normal_101_direct_normal_rect_outer_shell_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_101_direct_normal_rect_outer_shell_g4_v11.asset,direct_normal_candidates,22,41,112,0.983,0.992,22,7.91,23,528,asset:direct_normal_101_direct_normal_,ok,True,191.6,ok,151,112,152.2,22,7.91,528,direct_normal_101_direct_normal_,112.83799999999998,Recovery,Recovery,A_peak9,direct_normal_101_direct_normal_,112.8
152,refresh,95,section,160.4,direct_normal_142_direct_normal_rect_section_unlock_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_142_direct_normal_rect_section_unlock_g2_v15.asset,direct_normal_candidates,20,38,100,0.980,1.000,13,8.63,20,404,direct_normal:section_unlock:g2,ok;rel:Recovery:Recovery,True,190.2,ok,152,100,160.4,13,8.63,404,section_unlock,109.27799999999999,Normal,Normal,A_peak9,section_unlock,109.3
153,shape,30,shape_landmark,268,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,shape_final_with_supplement,30,44,101,0.615,,14,12.04,,0.177,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,268,Normal,153,101,268.0,14,12.04,0,Landmark,107.96800000000002,Shape,Novelty,A_peak9,Landmark,108.0
154,normal,192,maze,149.1,direct_normal_40_direct_normal_rect_maze_long_chain_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_40_direct_normal_rect_maze_long_chain_g3_v04.asset,direct_normal_candidates,21,40,109,0.983,0.983,17,6.88,23,617,direct_normal:maze_long_chain:g3,ok;rel:Normal:Normal,True,190.8,ok,154,109,149.1,17,6.88,617,maze_long_chain,121.24899999999998,Pressure,Hard,A_peak9,maze_long_chain,121.2
155,normal,176,sweep,152.6,direct_normal_55_direct_normal_rect_sweep_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_55_direct_normal_rect_sweep_g5_v06.asset,direct_normal_candidates,21,36,104,0.991,1.000,18,8.23,22,521,direct_normal:sweep:g5,ok;rel:Normal:Normal,True,191.6,ok,155,104,152.6,18,8.23,521,sweep,109.689,Recovery,Recovery,A_peak9,sweep,109.7
156,normal,120,lock,159.6,direct_normal_153_direct_normal_rect_lock_buckle_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_153_direct_normal_rect_lock_buckle_g3_v16.asset,direct_normal_candidates,23,36,107,0.977,0.982,20,7.63,19,446,direct_normal:lock_buckle:g3,ok;rel:Normal:Normal,True,190.0,ok,156,107,159.6,20,7.63,446,lock_buckle,109.60400000000003,Normal,Normal,A_peak9,lock_buckle,109.6
157,normal,21,shape_character,266,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,shape_final_with_supplement,30,42,101,0.982,,14,12.04,,11.8,shape:Character:animals-mascots:character:procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517,rel:Novelty:ShapeVisual:Shape:Character:animals-mascots:character:main,True,266,Normal,157,101,266.0,14,12.04,11,Character,107.993,Shape,Novelty,A_peak9,Character,108.0
158,normal,175,section,152.7,direct_normal_12_direct_normal_rect_section_unlock_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_12_direct_normal_rect_section_unlock_g1_v02.asset,direct_normal_candidates,23,39,111,0.974,0.983,18,8.79,24,596,direct_normal:section_unlock:g1,ok;rel:Normal:Normal,True,190.3,ok,158,111,152.7,18,8.79,596,section_unlock,118.32400000000001,Pressure,Hard,A_peak9,section_unlock,118.3
159,normal,20,lock,186.6,direct_normal_46_direct_normal_rect_core_burst_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_46_direct_normal_rect_core_burst_g4_v05.asset,direct_normal_candidates,22,36,108,0.985,1.000,16,6.64,22,540,direct_normal:core_burst:g4,ok,True,191.6,ok,159,108,186.6,16,6.64,540,core_burst,126.136,Peak,VeryHard,A_peak9,core_burst,126.1
160,normal,135,sweep,157.8,direct_normal_135_direct_normal_rect_sweep_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_135_direct_normal_rect_sweep_g1_v14.asset,direct_normal_candidates,21,39,103,0.974,0.991,16,9.33,26,497,direct_normal:sweep:g1,ok;rel:Normal:Normal,True,189.7,ok,160,103,157.8,16,9.33,497,sweep,109.605,Normal,Normal,A_peak9,sweep,109.6
161,normal,110,maze,161.2,direct_normal_10_direct_normal_rect_maze_long_chain_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_10_direct_normal_rect_maze_long_chain_g0_v01.asset,direct_normal_candidates,22,41,113,0.981,0.975,26,7.36,20,601,direct_normal:maze_long_chain:g0,ok;rel:Normal:Normal,True,190.8,ok,161,113,161.2,26,7.36,601,maze_long_chain,113.40299999999998,Recovery,Recovery,F_chapter_breath,maze_long_chain,113.4
162,normal,103,section,162.5,direct_pure_normal_extra_01_14_direct_normal_pure_extra_rect_stair_push_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_14_direct_normal_pure_extra_rect_stair_push_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,21,37,99,0.986,1.000,15,6.79,21,435,direct_normal:stair_push:g16,ok;rel:Recovery:Recovery,True,190.6,ok,162,99,162.5,15,6.79,435,stair_push,110.253,Normal,Normal,F_chapter_breath,stair_push,110.3
163,normal,104,shape_symbol,273,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,shape_final_with_supplement,30,42,100,0.982,,14,12.04,,11.7,shape:Symbol:letters-symbols:symbol:procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521,rel:VeryHard:ShapePeak:Shape:Symbol:letters-symbols:symbol:main,True,273,Normal,163,100,273.0,14,12.04,11,Symbol,108.25299999999999,Shape,Novelty,F_chapter_breath,Symbol,108.3
164,normal,105,section,162.2,direct_normal_152_direct_normal_rect_section_unlock_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_152_direct_normal_rect_section_unlock_g3_v16.asset,direct_normal_candidates,21,40,107,0.988,1.000,16,8.28,24,572,direct_normal:section_unlock:g3,ok;rel:Normal:Normal,True,191.8,ok,164,107,162.2,16,8.28,572,section_unlock,118.912,Pressure,Hard,F_chapter_breath,section_unlock,118.9
165,normal,71,lock,167.8,direct_normal_topup_74_direct_normal_topup_rect_lock_buckle_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_74_direct_normal_topup_rect_lock_buckle_g9_v10.asset,direct_normal_topup_candidates,20,40,103,0.988,0.983,20,6.57,18,467,direct_normal:lock_buckle:g9,ok;rel:Recovery:Recovery,True,190.5,ok,165,103,167.8,20,6.57,467,lock_buckle,109.72300000000001,Normal,Normal,F_chapter_breath,lock_buckle,109.7
166,normal,67,dense,168.1,direct_normal_91_direct_normal_rect_outer_shell_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_91_direct_normal_rect_outer_shell_g3_v10.asset,direct_normal_candidates,21,38,105,0.986,0.982,17,6.55,21,603,asset:direct_normal_91_direct_normal_r,ok;rel:Normal:Normal,True,190.6,ok,166,105,168.1,17,6.55,603,direct_normal_91_direct_normal_r,120.773,Peak,VeryHard,F_chapter_breath,direct_normal_91_direct_normal_r,120.8
167,normal,68,hole_rescue,262,hole_proc_standard_23x28_mid_919377_23x28_c78,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919377_23x28_c78.asset,hole_procedural_candidates,23,28,78,0.888,,72,72,,44.4,hole_procedural:standard_23x28_mid,procedural_hole_standard,True,262,procedural_hole_standard,167,78,262.0,72,72.0,44,standard_23x28_mid,-103.69999999999999,HoleRescue,Mechanic,F_chapter_breath,standard_23x28_mid,-103.7
168,normal,65,shape_ocean,275,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,shape_final_with_supplement,32,42,101,0.977,,14,12.04,,11.8,shape:Ocean:sea-creature:creature:procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229,rel:Novelty:ShapeVisual:Shape:Ocean:sea-creature:creature:main,True,275,Normal,168,101,275.0,14,12.04,11,Ocean,109.613,Shape,Novelty,F_chapter_breath,Ocean,109.6
169,normal,66,sweep,168.1,direct_pure_topup_04_05_direct_normal_pure_rect_sweep_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_05_direct_normal_pure_rect_sweep_g6_v01.asset,direct_pure_topup_slice04_candidates,22,35,101,0.981,1.000,18,6.17,18,452,direct_normal:sweep:g6,ok;rel:Recovery:Recovery,True,190.4,ok,169,101,168.1,18,6.17,452,sweep,110.772,Normal,Normal,F_chapter_breath,sweep,110.8
170,normal,138,dense,157.5,direct_normal_114_direct_normal_rect_dense_weave_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_114_direct_normal_rect_dense_weave_g5_v12.asset,direct_normal_candidates,21,38,107,0.982,0.991,17,8.88,23,435,direct_normal:dense_weave:g5,ok;rel:Normal:Normal,True,190.9,ok,170,107,157.5,17,8.88,435,dense_weave,110.791,Normal,Normal,F_chapter_breath,dense_weave,110.8
171,normal,195,maze,147.6,direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05.asset,direct_pure_topup_slice05_candidates,22,32,114,0.984,0.990,18,9.52,25,418,direct_normal:maze_long_chain:g10,ok;rel:Normal:Normal,True,191.8,ok,171,114,147.6,18,9.52,418,maze_long_chain,112.862,Recovery,Recovery,B_peak7_end_calm,maze_long_chain,112.9
172,refresh,106,section,157.8,direct_pure_topup_05_09_direct_normal_pure_rect_outer_shell_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_09_direct_normal_pure_rect_outer_shell_g10_v05.asset,direct_pure_topup_slice05_candidates,20,35,94,0.990,1.000,9,7.14,18,437,asset:direct_pure_topup_05_09_direct_n,ok;rel:Recovery:Recovery,True,190.4,ok,172,94,157.8,9,7.14,437,direct_pure_topup_05_09_direct_n,112.24700000000001,Normal,Normal,B_peak7_end_calm,direct_pure_topup_05_09_direct_n,112.2
173,normal,100,shape_object,285,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset,shape_final_with_supplement,28,42,100,0.986,,14,12.04,,11.7,shape:Object:tools-items:object:procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510,rel:Novelty:ShapeVisual:Shape:Object:tools-items:object:main,True,285,Normal,173,100,285.0,14,12.04,11,Object,110.41300000000001,Shape,Novelty,B_peak7_end_calm,Object,110.4
174,normal,121,lock,159.6,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset,direct_pure_topup_slice06_candidates,22,38,108,0.984,1.000,18,7.99,25,525,direct_normal:core_burst:g8,ok;rel:Normal:Normal,True,191.6,ok,174,108,159.6,18,7.99,525,core_burst,115.52100000000002,Pressure,Hard,B_peak7_end_calm,core_burst,115.5
175,normal,183,sweep,151.5,direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07.asset,direct_normal_topup_candidates,21,38,108,0.980,0.991,20,7.82,21,584,direct_normal:sweep:g6,ok;rel:Normal:Normal,True,190.8,ok,175,108,151.5,20,7.82,584,sweep,113.63400000000001,Recovery,Recovery,B_peak7_end_calm,sweep,113.6
176,normal,76,section,166.9,direct_normal_69_direct_normal_rect_quasi_symmetry_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_69_direct_normal_rect_quasi_symmetry_g0_v07.asset,direct_normal_candidates,22,35,105,0.974,0.991,17,8.15,24,437,direct_normal:quasi_symmetry:g0,ok;rel:Recovery:Recovery,True,189.9,ok,176,105,166.9,17,8.15,437,quasi_symmetry,111.86699999999999,Normal,Normal,B_peak7_end_calm,quasi_symmetry,111.9
177,normal,122,lock,159.6,direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04.asset,direct_normal_topup_candidates,22,39,115,0.981,0.983,16,8.93,22,531,direct_normal:lock_buckle:g9,ok;rel:Normal:Normal,True,191.4,ok,177,115,159.6,16,8.93,531,lock_buckle,123.83900000000001,Peak,VeryHard,B_peak7_end_calm,lock_buckle,123.8
178,shape,76,shape_magic,285,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,shape_final_with_supplement,28,40,104,0.672,,15,12.9,,0.174,shape:Magic:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,285,Normal,178,104,285.0,15,12.9,0,Magic,111.08000000000001,Shape,Novelty,B_peak7_end_calm,Magic,111.1
179,normal,123,maze,159.5,direct_normal_130_direct_normal_rect_maze_long_chain_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_130_direct_normal_rect_maze_long_chain_g0_v13.asset,direct_normal_candidates,22,38,108,0.986,0.991,17,7.37,24,581,direct_normal:maze_long_chain:g0,ok;rel:Normal:Normal,True,191.3,ok,179,108,159.5,17,7.37,581,maze_long_chain,119.979,Pressure,Hard,B_peak7_end_calm,maze_long_chain,120.0
180,normal,210,dense,141.8,direct_polish_clean_12_direct_polish_normal_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_12_direct_polish_normal_rect_dense_weave_g1_v02.asset,direct_polish_clean_candidates,20,37,118,0.969,0.964,17,11.45,22,441,direct_polish:dense_weave:g1,ok;rel:Normal:Normal,True,189.7,ok,180,118,141.8,17,11.45,441,dense_weave,114.54899999999999,Recovery,Recovery,B_peak7_end_calm,dense_weave,114.5
181,normal,116,sweep,160.6,direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01.asset,direct_normal_topup_candidates,23,37,106,0.982,0.974,20,7.56,23,592,direct_normal:sweep:g6,ok;rel:Normal:Normal,True,190.0,ok,181,106,160.6,20,7.56,592,sweep,114.01999999999998,Recovery,Recovery,C_double_wave,sweep,114.0
