"order","section10","category","difficultyCode","difficultyLabel","replacementMark","changedFromOriginalTemplate","changedFromC5V4FSC","originalTemplateAssetPath","originalTemplateCopiedAssetPath","baseC5V4FSCAssetPath","finalAssetPath","finalGuid","projectionReason","linkedOrder","rhythmBucket","sourcePool","productionLane","chainLanguage","originalTargetChains","baseChain","finalChain","canvasAdjustedChain","chainDeltaVsBase","chainDeltaVsInitial","note"
"117","12","hole","1","??1","KEPT_ORIGINAL_TEMPLATE","False","False","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L117_hole_topup_018_topup_std_22x26_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","f185fb04af393d4439c41dfb29c54f47","keep_current","","HoleRescue","","","","49","49","49","49","0","0",""
"118","12","shape","2","??2","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L118_carrot_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L118_r2_outer_strong_005_r2_006_a401_maskonlyb02_12_lar.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","f3ff9e1e0fb0b1140a5aae99cf4cf4b8","keep_current","","Shape","ShapeMaskInventory","","","95","98","98","98","0","3",""
"119","12","normal","3","????3","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L119_direct_normal_32_direct_normal_rect_section_unlock.asset","Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset","Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset","f1aa5b45786d8a3478ae53c09c944325","keep_current","","Peak","ExternalHardGateDedupFront300","CampaignLongChainLab","long_chain","102","43","43","45","0","-59",""
"120","12","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L120_direct_normal_65_direct_normal_rect_sweep_g0_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset","569ffb9a3e536c84b8d53d938d5cedea","keep_current","","Ordinary","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","106","87","87","87","0","-19",""
"121","13","normal","1","??1","V5_DONOR_REVERT_FOR_UNIQUENESS","False","True","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L121_nomask_04_maze_long_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset","f52ef98d01b8eab49946170d8b0cbe8b","v11_review_donor_revert","24","Ordinary","InitialTemplateDonorRevertReviewOnly","","","51","45","51","51","6","0","projected donor revert if target move is accepted"
"122","13","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L122_direct_pure_normal_extra_01_19_direct_normal_pure_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset","40e3976867d4ac446b63532aff379c83","keep_current","","Ordinary","Campaign500NormalFullV1UnusedStrict","PressurePeak","mixed_chain","89","79","79","79","0","-10",""
"123","13","shape","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L123_car_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L123_r2_outer_strong_005_r2_006_a401_maskonlyb04_08_mai.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","66e922aa802282044a1e862bbb3d9609","keep_current","","Shape","ShapeMaskInventory","","","90","86","86","86","0","-4",""
"124","13","normal","1","??1","V5_DONOR_REVERT_FOR_UNIQUENESS","False","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L124_direct_diff120_56_direct_diff_normal_dag_unlock_ce.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","082ae869a38a53d4fa2017487f617f03","v11_review_donor_revert","95","Ordinary","InitialTemplateDonorRevertReviewOnly","","","96","82","96","96","14","0","projected donor revert if target move is accepted"
"125","13","normal","3","????3","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L125_direct_pure_normal_extra_01_20_direct_normal_pure_.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset","fbe703b7f8182d447a694943429921df","keep_current","","Hard","NutationLongChainStrict60Front300","maze_long_chain","patch_chain","93","76","76","81","0","-17",""
"126","13","hole","1","??1","KEPT_ORIGINAL_TEMPLATE","False","False","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L126_hole_candidate_016_std_20x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","e11aaaad19ba783499fe734b284e52ae","keep_current","","HoleRescue","","","","50","50","50","50","0","0",""
"127","13","shape","2","??2","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV8/shape_refresh_v8_L127_maskonlyb01_01_main_mushroom_20260614_170705.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L127_r2_outer_strong_005_r2_006_a401_maskonlyb01_01_mai.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","60521cf1677fbdc4caf9ae8681256e56","keep_current","","Shape","ShapeMaskInventory","","","96","88","88","88","0","-8",""
"128","13","normal","1","??1","V5_DONOR_REVERT_FOR_UNIQUENESS","False","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L128_direct_pure_normal_extra_01_02_direct_normal_pure_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset","e395ae4f3cb0cdd4ab1402143220e06f","v11_review_donor_revert","45","Ordinary","InitialTemplateDonorRevertReviewOnly","","","80","63","80","80","17","0","projected donor revert if target move is accepted"
"129","13","normal","3","????3","V5_DONOR_REVERT_FOR_UNIQUENESS","False","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L129_direct_normal_topup_30_direct_normal_topup_rect_st.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset","572d73d608b91d540b73fee326743c23","v11_review_donor_revert","21","Peak","InitialTemplateDonorRevertReviewOnly","","","102","42","102","102","60","0","projected donor revert if target move is accepted"
"130","13","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L130_direct_pure_topup_06_07_direct_normal_pure_rect_du.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset","45150f9a93b0e2c42a2bc001c90f85d1","keep_current","","Ordinary","Campaign500_HardGateUntil0910","PeelHard","rail_chain","96","77","77","77","0","-19",""
"131","14","normal","1","??1","V5_DONOR_REVERT_FOR_UNIQUENESS","False","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L131_direct_pure_topup_04_01_direct_normal_pure_rect_ou.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset","db7643bf7229afe419743652f1965ef2","v11_review_donor_revert","64","Ordinary","InitialTemplateDonorRevertReviewOnly","","","81","72","81","81","9","0","projected donor revert if target move is accepted"
"132","14","normal","2","??2","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L132_direct_pure_topup_04_22_direct_normal_pure_rect_co.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","599de6e79d577704a8a83d3cd9ac9476","keep_current","","Hard","Campaign500_HardGateUntil0910","PeelMid","rail_chain","86","81","81","81","0","-5",""
"133","14","shape","2","??2","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L133_musicnote_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L133_r2_outer_strong_005_r2_006_a401_maskonlyb01_05_lar.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset","80fd94542b34c114395e227dcb03053e","keep_current","","Shape","ShapeMaskInventory","","","94","88","88","88","0","-6",""
"134","14","normal","1","??1","V5_DONOR_REVERT_FOR_UNIQUENESS","False","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L134_direct_pure_topup_01_24_direct_refresh_topup_rect_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset","75873479b53dfed4ab0dd5f065067009","v11_review_donor_revert","16","Ordinary","InitialTemplateDonorRevertReviewOnly","","","56","50","56","56","6","0","projected donor revert if target move is accepted"
"135","14","hole","1","??1","KEPT_ORIGINAL_TEMPLATE","False","False","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L135_hole_topup_012_topup_tall_20x30_shell.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","a56ed2dbce570fe41922aeda86611a58","keep_current","","HoleRescue","","","","52","52","52","52","0","0",""
"136","14","normal","4","??4","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L136_direct_normal_39_direct_normal_rect_quasi_symmetry.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset","9b33591f60517484b8a5713d93bb4cb7","keep_current","","Peak","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","113","99","99","119","0","-14",""
"137","14","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L137_direct_pure_topup_04_19_direct_normal_pure_rect_lo.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset","732bf512a8f254d4b92c7b1aa6db9269","keep_current","","Ordinary","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","80","72","72","72","0","-8",""
"138","14","shape","2","??2","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L138_bowlingpin_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L138_r2_outer_strong_005_r2_006_a401_maskonlyb05_03_mai.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset","68db4ae306134404a839e1bbc0890728","keep_current","","Shape","ShapeMaskInventory","","","99","90","90","90","0","-9",""
"139","14","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L139_direct_normal_68_direct_normal_rect_stair_push_g0_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain.asset","2ab15f2a4295d8b4fa0b1f171d68c59a","keep_current","","Ordinary","Campaign500_HardGateUntil0910","PeelHard","rail_chain","101","85","85","85","0","-16",""
"140","14","normal","2","??2","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L140_direct_normal_92_direct_normal_rect_section_unlock.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1.asset","3e13210f2c15fd04782aebf9c132780e","keep_current","","Hard","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","strict_peak_chain","102","80","80","80","0","-22",""
"141","15","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L141_direct_normal_35_direct_normal_rect_sweep_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","07c7358784f928041ada3a402f107890","keep_current","","Ordinary","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","curve_chain","114","92","92","92","0","-22",""
"142","15","hole","1","??1","KEPT_ORIGINAL_TEMPLATE","False","False","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L142_hole_candidate_038_std_26x24_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","0b24c22efa1b4484090822db8d7f32c9","keep_current","","HoleRescue","","","","50","50","50","50","0","0",""
"143","15","shape","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L143_watermelonslice_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L143_r2_outer_strong_005_r2_006_a401_maskonlyb05_19_lar.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset","c6e4c7fdb3227924fae4d42e1dd5cac5","keep_current","","Shape","ShapeMaskInventory","","","87","89","89","89","0","2",""
"144","15","normal","3","????3","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L144_direct_normal_103_direct_normal_rect_lock_buckle_g.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_80_l106_long_normal_b_section_s11_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_80_l106_long_normal_b_section_s11_slot_seedmaze_chamber_corridor.asset","44e8e2b8af278cf4482cf40118f11c1c","keep_current","","Hard","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","113","40","40","42","0","-73",""
"145","15","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L145_direct_pure_normal_extra_02_16_direct_normal_pure_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset","86d60fe974118bf41adf9e6ce6b5b8a4","keep_current","","Ordinary","Campaign500_HardGateUntil0910","PeelMid","curve_chain","95","77","77","77","0","-18",""
"146","15","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L146_direct_pure_topup_06_12_direct_normal_pure_rect_de.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset","e9f6e3742ac7d5b489ab75fdf5758f49","keep_current","","Ordinary","Campaign500_HardGateUntil0910","NeutralMixed","rail_chain","95","71","71","71","0","-24",""
"147","15","shape","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L147_caveentrance_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L147_r2_outer_strong_005_r2_006_a401_maskonlyb08_09_lar.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_06_L147_caveentrance.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_06_L147_caveentrance.asset","d5a2388773b8ea848b8587f56d931556","keep_current","","Shape","ShapeMaskInventory","","","100","106","106","106","0","6",""
"148","15","normal","2","??2","V5_DONOR_REVERT_FOR_UNIQUENESS","False","True","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L148_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L148_sgp_merged_final_outer_repair_quality_filtered26_h.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L148_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework.asset","555b35f3d88e13447a18552b77839073","v11_review_donor_revert","12","Hard","InitialTemplateDonorRevertReviewOnly","","","111","34","111","111","77","0","projected donor revert if target move is accepted"
