"targetOrder","section10","templateDifficultyCode","difficultyLabel","difficultyTag","bucket","oldChain","initialChain","targetChain","newChain","chainLift","selectionMode","donorOrder","donorSection","donorBucket","donorCurrentChain","donorInitialChain","donorSafety","patchKind","candidateArea","candidateArrows","candidateSourcePool","candidateProductionLane","candidateChainLanguage","targetOldAssetPath","candidateAssetPath","donorRevertAssetPath","finalizationVersion","difficultyCodePolicy","note"
"56","6","3","????3","SpecialHard3","Peak","79","96","100","100","21","V11S6Peak100","316","32","Peak","100","233","133","ReviewOnlyV12FinalNoResourceReplacement","972","962","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_18_direct_advanced_veryhard_rect_dense_weave_g2_v03.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s6 peak 79->100"
"57","6","1","??1","Normal1","Ordinary","82","84","74","74","-8","V11S6Ordinary70s","162","17","Ordinary","74","95","21","ReviewOnlyV12FinalNoResourceReplacement","713","701","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","unknown_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s6 ordinary 82->74"
"60","6","1","??1","Normal1","Ordinary","54","59","65","65","11","V11S6OrdinaryBackstep","261","27","Ordinary","65","107","42","ReviewOnlyV12FinalNoResourceReplacement","660","651","Campaign500_HardGateUntil0910","PeelHard","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L261_sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s6 ordinary 54->65"
"62","7","1","??1","Normal1","Ordinary","67","63","70","70","3","V11S7Ordinary70s","194","20","Ordinary","70","87","17","ReviewOnlyV12FinalNoResourceReplacement","660","656","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_11_direct_normal_pure_extra_rect_dense_weave_g16_v02.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s7 ordinary 67->70"
"64","7","1","??1","Normal1","Ordinary","66","66","72","72","6","V11S7Ordinary70s","131","14","Ordinary","72","81","9","ReviewOnlyV12FinalNoResourceReplacement","768","756","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s7 ordinary 66->72"
"65","7","4","??4","Extreme4","Peak","82","104","100","100","18","V11S7Peak100","336","34","Peak","100","216","116","ReviewOnlyV12FinalNoResourceReplacement","972","954","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_28_direct_advanced_veryhard_rect_dual_zone_g3_v04.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s7 peak 82->100"
"68","7","1","??1","Normal1","Ordinary","52","59","72","72","20","V11S7Ordinary70s","188","19","Ordinary","72","106","34","ReviewOnlyV12FinalNoResourceReplacement","713","706","Campaign500_HardGateUntil0910","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s7 ordinary 52->72"
"72","8","3","????3","SpecialHard3","Peak","86","104","92","92","6","V11S8Peak90s","407","41","Peak","92","196","104","ReviewOnlyV12FinalNoResourceReplacement","884","862","Campaign500HardGateUntil0910After300Reclaimed","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_11_direct_advanced_veryhard_rect_core_burst_g1_v02.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s8 peak 86->92"
"75","8","1","??1","Normal1","Hard","83","103","87","87","4","V11S8Hard85s","445","45","Hard","87","197","110","ReviewOnlyV12FinalNoResourceReplacement","910","893","Campaign500HardGateUntil0910After300Reclaimed","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_31_direct_advanced_veryhard_rect_sweep_g3_v04.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s8 hard 83->87"
"76","8","3","????3","SpecialHard3","Peak","72","94","108","108","36","V11S8Peak105","500","50","Peak","108","200","92","ReviewOnlyV12FinalNoResourceReplacement","1209","1155","NutationLongChainStrict60","LongChainProbe","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_45_direct_advanced_veryhard_rect_stair_push_g1_v06.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s8 peak 72->108"
"77","8","1","??1","Normal1","Ordinary","46","48","75","75","29","V11S8Ordinary75s","155","16","Ordinary","75","84","9","ReviewOnlyV12FinalNoResourceReplacement","713","703","Campaign500_HardGateUntil0910","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s8 ordinary 46->75"
"79","8","1","??1","Normal1","Ordinary","51","58","76","76","25","V11S8Ordinary75s","170","17","Ordinary","76","104","28","ReviewOnlyV12FinalNoResourceReplacement","768","754","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","choice_clamp_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h05r/c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s8 ordinary 51->76"
"81","9","1","??1","Normal1","Ordinary","43","46","80","80","37","V11S9Ordinary80s","157","16","Ordinary","80","84","4","ReviewOnlyV12FinalNoResourceReplacement","768","751","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s9 ordinary 43->80"
"84","9","2","??2","Hard2","Hard","80","88","97","97","17","V11S9Hard95","105","11","Hard","97","117","20","ReviewOnlyV12FinalNoResourceReplacement","713","681","HubMixedRefill30Front300","hub_spoke","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s9 hard 80->97"
"86","9","1","??1","Normal1","Ordinary","51","55","80","80","29","V11S9Ordinary80s","302","31","Ordinary","80","102","22","ReviewOnlyV12FinalNoResourceReplacement","780","766","C5V4FGapfillStrictSelected","StrictMixedChoiceClamp","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/b/c5s1_b_04_nutation_strict_mixed_choiceclamp_v1_rect_s31_o302_v03_strictmixedchoiceclamp_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s9 ordinary 51->80"
"89","9","4","??4","Extreme4","Peak","73","100","101","101","28","V11S9LongPeakLater","166","17","Hard","101","119","18","ReviewOnlyV12FinalNoResourceReplacement","1428","1365","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s9 peak 73->101, adjusted 121"
"92","10","1","??1","Normal1","Ordinary","42","48","81","81","39","V11S10Ordinary80s","114","12","Ordinary","81","94","13","ReviewOnlyV12FinalNoResourceReplacement","825","814","Campaign500_HardGateUntil0910","PeelMid","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s10 ordinary 42->81"
"95","10","1","??1","Normal1","Ordinary","52","61","82","82","30","V11S10Ordinary80s","124","13","Ordinary","82","96","14","ReviewOnlyV12FinalNoResourceReplacement","825","818","Campaign500_HardGateUntil0910","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s10 ordinary 52->82"
"96","10","4","??4","Extreme4","Peak","100","110","121","121","21","V11S10Peak120","485","49","Peak","121","189","68","ReviewOnlyV12FinalNoResourceReplacement","1209","1155","NutationLongChainStrict60","LongChainProbe","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_44_direct_advanced_veryhard_rect_dual_zone_g1_v06.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s10 peak 100->121"
"97","10","2","??2","Hard2","Hard","82","102","94","94","12","V11S10Hard95","329","33","Peak","94","203","109","ReviewOnlyV12FinalNoResourceReplacement","884","869","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s10 hard 82->94"
"100","10","1","??1","Normal1","Ordinary","43","49","83","83","40","V11S10Ordinary80s","111","12","Ordinary","83","89","6","ReviewOnlyV12FinalNoResourceReplacement","768","763","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s10 ordinary 43->83"
