"order","levelId","assetPath","guid","category","type","relativeDifficulty","slotRole","status","flags","width","height","chains","arrowTiles","maxChainLength","shapeId","shapeNameZh"
"83","r2_outer_strong_005_r2_006_a401_maskonlyb06_09_main_ballmouse","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L083_ballmouse_main.asset","dcbf8d0f95cb9534da719873924ffc04","shape","shape_symbol","Novelty","Shape","Green","None","40","34","103","711","13","ballmouse","轨迹球鼠标"
"84","direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01.asset","3c3a83482204f0e409f96001fb768bf8","normal","lock","Hard","Pressure","Green","PeakTooFlat","21","32","88","665","13","",""
"85","direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01.asset","022715f6a5219bd459dc93e301c9d38b","normal","maze","Recovery","Recovery","Green","None","20","36","92","710","13","",""
"86","direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03.asset","0c6be4315ba48014ead91a3982336664","normal","dense","Normal","Normal","Green","None","16","28","55","442","13","",""
"87","r2_outer_strong_005_r2_006_a401_maskonlyb07_06_main_racingkart","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L087_maskonlyb07_06_main_racingkart_20260615_225216.asset","94b2a571bba7e6c4a8732b21f4fc7114","shape","shape_object","Novelty","Shape","Green","None","40","32","107","742","13","racingkart","卡丁车"
"88","direct_normal_28_direct_normal_rect_stair_push_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_28_direct_normal_rect_stair_push_g2_v03.asset","c352759b40a36f64184774566be44bfa","normal","section","Hard","Pressure","Green","PeakTooFlat","20","38","101","746","13","",""
"89","direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05.asset","ff44e82e266262a4c9186b0f71ec01cb","normal","lock","VeryHard","Peak","Green","PeakTooFlat","21","34","100","700","13","",""
"90","direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02.asset","7ab2258b844d3a142a51eed3f0682870","normal","section","Normal","Normal","Green","None","22","34","98","738","13","",""
"91","hole_candidate_071_wide_26x22_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset","d1743a4404038a04b95e959571e83ee4","hole","hole_rescue","Mechanic","HoleRescue","Green","BottleneckHeavy","26","22","47","491","21","",""
"92","nomask_style_expansion_30_vertical_gate_a","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_30_vertical_gate_a.asset","3fd0acf1a2f52b44294749f05fcbc5e0","normal","lock","Normal","Normal","Green","None","16","25","48","393","19","",""
"93","r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L093_wrappedcandy_large.asset","911f8161cb043114b806fc6d3526eb89","shape","shape_symbol","Novelty","Shape","Yellow","GrindyLowClear","37","29","86","734","17","wrappedcandy","糖果"
"94","direct_normal_112_direct_normal_rect_section_unlock_g5_v12","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_112_direct_normal_rect_section_unlock_g5_v12.asset","2d185c9dfbb9f304fa5bf947aadb88d6","normal","section","Hard","Pressure","Green","PeakTooFlat","21","39","107","809","13","",""
"95","direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04.asset","5b3e932ccd0fafd4684f1fec45bcd626","normal","dense","Normal","Normal","Green","None","15","27","61","391","9","",""
"96","direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02.asset","aa4d9c2dec186c54fac3b5a9d920b029","normal","section","VeryHard","Peak","Green","PeakTooFlat","23","37","110","840","13","",""
"97","direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04.asset","5c1e5baba4f2829499d2e711191540a7","normal","sweep","Recovery","Recovery","Green","None","21","38","102","785","13","",""
"98","r2_outer_strong_005_r2_006_a401_maskonlyb04_16_main_phonehandset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L098_phonehandset_main.asset","61579aec3b4969c428b2df9fbcf954d9","shape","shape_music","Novelty","Shape","Green","ShapeLowFill","34","42","87","575","13","phonehandset","电话听筒"
"99","direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01.asset","4e1f99ac202f32949ba7c2ab52313938","normal","section","Normal","Normal","Green","None","22","34","101","736","13","",""
"100","direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06.asset","a8381b24a09ec204a8afcc906b210e46","normal","lock","Normal","Normal","Green","None","16","24","49","378","44","",""
"101","hole_candidate_020_std_22x24_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset","d3639ddffa824bd499209671f4d9bbc3","hole","hole_rescue","Mechanic","HoleRescue","Green","BottleneckHeavy","22","24","47","448","22","",""
"102","direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02.asset","7e61baaaf4acb4e44b31a0f52aca8370","normal","dense","Normal","Normal","Green","None","15","26","57","378","11","",""
"103","r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L103_paperplane_large.asset","77941184af864f94fa42dcae05954e94","shape","shape_ocean","Novelty","Shape","Yellow","GrindyLowClear","44","38","102","838","17","paperplane","纸飞机"
"104","direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03.asset","d5507c03bcac28c459cc09fceed0d629","normal","lock","Hard","Pressure","Green","PeakTooFlat","21","36","102","747","13","",""
"105","direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01.asset","909bad2ecce057d4ab9e44b231701f6d","normal","maze","Recovery","Recovery","Green","None","23","40","117","895","13","",""
"106","direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04.asset","09f4e8ba06ed43f4cbd47fdf99f27791","normal","section","Normal","Normal","Green","None","18","36","86","641","13","",""
"107","direct_normal_53_direct_normal_rect_lock_buckle_g5_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_53_direct_normal_rect_lock_buckle_g5_v06.asset","bec2884b1f4007946b49e60d8edb1967","normal","lock","VeryHard","Peak","Green","PeakTooFlat","21","36","105","743","13","",""
"108","r2_outer_strong_005_r2_006_a401_maskonlyb05_08_main_hammer","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L108_hammer_main.asset","bf56637f6ea290c4890ee16f50d7dadf","shape","shape_symbol","Novelty","Shape","Green","ShapeLowFill","42","36","89","624","13","hammer","锤子"
"109","direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04.asset","866c3b782ef22914194b5ea6abbe0069","normal","section","Hard","Pressure","Green","PeakTooFlat","23","37","108","831","13","",""
"110","direct_normal_72_direct_normal_rect_section_unlock_g1_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset","7bcb81f81ebb58d4eba81be016c7fa7d","normal","section","Recovery","Recovery","Green","None","21","37","104","761","13","",""
"111","direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset","ef07ad4390a7c00458e39b33556a6284","normal","dense","Recovery","Recovery","Green","None","20","35","89","693","13","",""
"112","direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset","c131305a736122a439d58fb0e927963b","normal","lock","Hard","Pressure","Green","PeakTooFlat","22","38","108","823","13","",""
"113","r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L113_lightningbolt_large.asset","6cf063ad896ba3045a728b1dd406081e","shape","shape_magic","Novelty","Shape","Yellow","GrindyLowClear","34","49","97","775","17","lightningbolt","闪电"
"114","direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset","3fea844569032ae49b3f63c1e4582ef7","normal","maze","Recovery","Recovery","Green","None","18","37","94","659","13","",""
"115","direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset","0e4492ec1ea2e8545a26b9b26f8b01fb","normal","section","Normal","Normal","Green","None","18","33","74","584","13","",""
"116","direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset","d912f928ebc477f48a719c87fbad92d2","normal","lock","Hard","Pressure","Green","PeakTooFlat","20","34","89","673","13","",""
"117","hole_topup_018_topup_std_22x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","f185fb04af393d4439c41dfb29c54f47","hole","hole_rescue","Mechanic","HoleRescue","Green","None","22","26","49","489","22","",""
"118","r2_outer_strong_005_r2_006_a401_maskonlyb02_12_large_carrot","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L118_carrot_large.asset","2292f66331c83af4eafc08e995215e21","shape","shape_ocean","Novelty","Shape","Green","None","34","47","95","782","17","carrot","胡萝卜"
"119","direct_normal_32_direct_normal_rect_section_unlock_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset","5337da72cdcbb1b49b37245a7e35330d","normal","section","VeryHard","Peak","Green","PeakTooFlat","21","36","102","748","13","",""
"120","direct_normal_65_direct_normal_rect_sweep_g0_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset","1655fafc1c59e0c47b2ce4c63ca1dbb6","normal","sweep","Recovery","Recovery","Green","None","22","38","106","821","13","",""
"121","nomask_04_maze_long_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset","f52ef98d01b8eab49946170d8b0cbe8b","normal","maze","Recovery","Recovery","Green","None","17","24","51","406","13","",""
"122","direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset","6e4ae4c9a34d58945a6f0dad2d491a96","normal","dense","Normal","Normal","Green","None","20","32","89","630","13","",""
"123","r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L123_car_main.asset","79501bada43793c48825eb06d77d0eca","shape","shape_magic","Novelty","Shape","Green","None","38","30","90","662","13","car","汽车"
"124","direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","082ae869a38a53d4fa2017487f617f03","normal","section","Normal","Normal","Green","None","21","36","96","741","13","",""
"125","direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset","15b1ee3aeba540e4fb21910cd7d11847","normal","lock","Hard","Pressure","Green","PeakTooFlat","21","34","93","702","13","",""
"126","hole_candidate_016_std_20x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","e11aaaad19ba783499fe734b284e52ae","hole","hole_rescue","Mechanic","HoleRescue","Green","None","20","26","50","439","19","",""
"127","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV8/shape_refresh_v8_L127_maskonlyb01_01_main_mushroom_20260614_170705.asset","d1fe3ebb2b9ffc142bddcc6d6b7d408e","shape","shape_character","Novelty","Shape","Green","None","34","34","96","707","13","mushroom",""
"128","direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset","e395ae4f3cb0cdd4ab1402143220e06f","normal","lock","Normal","Normal","Green","None","19","34","80","640","13","",""
"129","direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset","572d73d608b91d540b73fee326743c23","normal","section","Hard","Pressure","Green","PeakTooFlat","22","35","102","762","13","",""
"130","direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset","da752972e7059b54cb70351a4c7b5d8f","normal","section","Normal","Normal","Green","None","22","31","96","673","12","",""
"131","direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset","db7643bf7229afe419743652f1965ef2","normal","dense","Normal","Normal","Green","None","18","31","81","548","13","",""
"132","direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset","f0b1eb148749691418ab90675f0f19e4","normal","lock","Hard","Pressure","Green","PeakTooFlat","19","32","86","600","13","",""
"133","r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L133_musicnote_large.asset","bc890f2701c97a540b3226d0de8dff1d","shape","shape_magic","Novelty","Shape","Green","ShapeLowFill","34","47","94","700","17","musicnote","音符"
"134","direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset","75873479b53dfed4ab0dd5f065067009","normal","maze","Normal","Normal","Green","None","14","29","56","399","11","",""
"135","hole_topup_012_topup_tall_20x30_shell","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","a56ed2dbce570fe41922aeda86611a58","hole","hole_rescue","Mechanic","HoleRescue","Green","None","20","30","52","510","22","",""
"136","direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset","8156b6de7fb66664bafcd2e22f7b0df3","normal","section","VeryHard","Peak","Green","PeakTooFlat","23","36","113","817","13","",""
"137","direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset","7f96f8e9b8e534540a5cb18e16c0a3d7","normal","lock","Normal","Normal","Green","None","21","31","80","639","13","",""
"138","r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L138_bowlingpin_main.asset","e11c004d91a350b48a3ffe322f831088","shape","shape_space","Novelty","Shape","Green","None","28","44","99","729","13","bowlingpin","保龄球瓶"
"139","direct_normal_68_direct_normal_rect_stair_push_g0_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset","da3ab8bac32b0d84484338cd34ded434","normal","section","Recovery","Recovery","Green","None","20","39","101","761","13","",""
"140","direct_normal_92_direct_normal_rect_section_unlock_g3_v10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset","81010ef83ca872a48ae62225124fd4e0","normal","section","Normal","Normal","Green","None","23","34","102","769","13","",""
"141","direct_normal_35_direct_normal_rect_sweep_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset","3c2e5f0a8b494e041ac48668f0d760cc","normal","sweep","Recovery","Recovery","Green","None","23","39","114","880","13","",""
"142","hole_candidate_038_std_26x24_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","0b24c22efa1b4484090822db8d7f32c9","hole","hole_rescue","Mechanic","HoleRescue","Green","None","26","24","50","536","21","",""
"143","r2_outer_strong_005_r2_006_a401_maskonlyb05_19_large_watermelonslice","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L143_watermelonslice_large.asset","b21aee2f86e682446ae8aa6852499cfc","shape","shape_magic","Novelty","Shape","Green","None","42","34","87","755","17","watermelonslice","西瓜片"
"144","direct_normal_103_direct_normal_rect_lock_buckle_g4_v11","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset","a2596732926af2243ad1523de26294a4","normal","lock","Hard","Pressure","Green","PeakTooFlat","22","40","113","866","13","",""
"145","direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset","3965795b7e1bf2b4195faf79c1c0aaa8","normal","maze","Recovery","Recovery","Green","None","21","34","95","704","13","",""
"146","direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset","e44f074630f5d4840a3387454f3a2fa1","normal","dense","Normal","Normal","Green","None","22","31","95","668","13","",""
"147","r2_outer_strong_005_r2_006_a401_maskonlyb08_09_large_caveentrance","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L147_caveentrance_large.asset","9280c6dee70c1c54baf007f8f12e8f15","shape","shape_landmark","Novelty","Shape","Green","None","44","43","100","858","17","caveentrance","洞口"
"148","sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_maze_08_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L148_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework.asset","555b35f3d88e13447a18552b77839073","normal","section","Hard","Pressure","Green","PeakTooFlat","23","37","111","851","18","",""
"149","direct_normal_126_direct_normal_rect_core_burst_g0_v13","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset","9c845f6143ebbb94faf77a834174aa8f","normal","lock","VeryHard","Peak","Green","PeakTooFlat","22","39","114","843","13","",""
"150","direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset","3995ae9ff3c2b2649a6141fdff464cd6","normal","section","Normal","Normal","Green","None","20","37","104","725","13","",""
"151","hole_candidate_054_std_30x30_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","99ad7d88ecea6db45868e2a7246b935f","hole","hole_rescue","Mechanic","HoleRescue","Yellow","GrindyLowClear","30","30","84","810","22","",""
"152","direct_normal_133_direct_normal_rect_lock_buckle_g1_v14","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset","92379ec495229974ca1d2ff0e0e454a7","normal","lock","Normal","Normal","Green","None","21","39","106","804","13","",""
"153","r2_outer_strong_005_r2_006_a401_maskonlyb02_16_large_pumpkin","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L153_pumpkin_large.asset","712f8bf440399dd48809b78211a5a926","shape","shape_character","Novelty","Shape","Yellow","GrindyLowClear","43","38","115","1045","17","pumpkin","南瓜"
"154","direct_normal_98_direct_normal_rect_stair_push_g3_v10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset","6f1fa5223ad8331449646e0d0a9df893","normal","section","Hard","Pressure","Green","PeakTooFlat","23","38","113","858","13","",""
"155","direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset","1dcd2cd3b6d385e4c8f2c5ddba4d6d13","normal","dense","Normal","Normal","Green","None","18","35","84","615","13","",""
"156","direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04.asset","a280a0a87eb51114aaedf4247c29a6a4","normal","section","VeryHard","Peak","Green","PeakTooFlat","26","29","94","737","13","",""
"157","direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset","45fef03b89a83b14998024f71563b261","normal","sweep","Recovery","Recovery","Green","None","20","33","84","649","13","",""
"158","r2_outer_strong_005_r2_006_a401_maskonlyb01_07_large_starfish","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L158_starfish_large.asset","f43f41cbd49bf3a41a467ef8d5145c9d","shape","shape_symbol","Novelty","Shape","Green","None","43","43","99","835","17","starfish","海星"
"159","direct_normal_137_direct_normal_rect_dual_zone_g1_v14","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset","c7f1a5c073737a64da05e995e7b41c32","normal","section","Normal","Normal","Green","None","21","37","100","766","13","",""
"160","direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset","a5799ec6e806fc241ac6995313346928","normal","lock","Normal","Normal","Green","None","21","31","76","638","13","",""
"161","nomask_style_expansion_36_snake_spine_tall","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_36_snake_spine_tall.asset","e2a85547e5ce87f44acd22b012bc4798","normal","sweep","Recovery","Recovery","Green","None","17","30","53","506","155","",""
"162","direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset","8d0cd5db231505048af0f062eae931d0","normal","dense","Normal","Normal","Green","None","19","38","95","705","13","",""
"163","r2_outer_strong_005_r2_006_a401_maskonlyb05_16_main_ring","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L163_ring_main.asset","adff2bc88691727408d494576d516892","shape","shape_ocean","Novelty","Shape","Green","None","34","42","99","676","13","ring","戒指"
