Attempt,SelectedIndex,Band,Structure,Motif,BuildMode,Spec,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
46,36,normal_60_100,room_gate,KeyDoor,peel_fallback,direct_diff_normal_room_gate_key_door_g1_v02,direct_diff120_46_direct_diff_normal_room_gate_key_door_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_46_direct_diff_normal_room_gate_key_door_g1_v02.asset,22,33,87,84,709,0.977,0.980,0.975,18,18,11,87,8.15,13,0.492,378,True,18,187.5,ok,37,fallback-after-motif-fail | Style=Onion | Score=69001 | TargetInitial=16 | OpeningRatio=0.207 | Peel style=Onion seed=1923604 fill=709/726(0.977) chains=87 remaining=17 rejectedShort=0 failedPeels=1
47,37,normal_60_100,near_square,DoubleShell,motif,direct_diff_normal_near_square_double_shell_g1_v02,direct_diff120_47_direct_diff_normal_near_square_double_shell_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_47_direct_diff_normal_near_square_double_shell_g1_v02.asset,24,29,96,85,680,0.977,0.980,0.969,20,20,16,96,7.08,13,0.447,352,True,20,188.1,ok,70,Motif=Direct Diff normal near_square double_shell 02 | Style=Onion | Score=74503 | MotifCells=144 | TargetInitial=17 | OpeningRatio=0.208 | MotifPeel motif=direct_diff_normal_near_square_double_shell_g1_v02 style=Onion seed=4739076 fill=680/696(0.977) motifCells=144 chains=96 remaining=16 rejectedShort=0 failedPeels=1 | Motif=DoubleShell motifCells=144
48,38,normal_60_100,dag_unlock,ZigRiver,motif,direct_diff_normal_dag_unlock_zig_river_g1_v02,direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02.asset,19,35,99,83,657,0.988,0.980,0.980,20,20,21,99,6.64,13,0.584,432,True,20,190.4,ok,52,Motif=Direct Diff normal dag_unlock zig_river 02 | Style=Onion | Score=64196 | MotifCells=62 | TargetInitial=18 | OpeningRatio=0.202 | MotifPeel motif=direct_diff_normal_dag_unlock_zig_river_g1_v02 style=Onion seed=2867159 fill=657/665(0.988) motifCells=62 chains=99 remaining=8 rejectedShort=0 failedPeels=1 | Motif=ZigRiver motifCells=62
49,39,normal_60_100,long_spine,LongCorridor,peel_fallback,direct_diff_normal_long_spine_long_corridor_g2_v03,direct_diff120_49_direct_diff_normal_long_spine_long_corridor_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_49_direct_diff_normal_long_spine_long_corridor_g2_v03.asset,18,34,81,86,602,0.984,0.980,0.990,15,15,12,81,7.43,13,0.502,306,True,15,187.3,ok,57,fallback-after-motif-fail | Style=Onion | Score=57768 | TargetInitial=15 | OpeningRatio=0.185 | Peel style=Onion seed=4046695 fill=602/612(0.984) chains=81 remaining=10 rejectedShort=0 failedPeels=1
50,40,normal_60_100,room_gate,FourPockets,peel_fallback,direct_diff_normal_room_gate_four_pockets_g2_v03,direct_diff120_50_direct_diff_normal_room_gate_four_pockets_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_50_direct_diff_normal_room_gate_four_pockets_g2_v03.asset,21,34,91,88,700,0.980,0.980,0.995,15,15,11,91,7.69,13,0.529,361,True,15,188.7,ok,38,fallback-after-motif-fail | Style=Onion | Score=68249 | TargetInitial=16 | OpeningRatio=0.165 | Peel style=Onion seed=2066046 fill=700/714(0.980) chains=91 remaining=14 rejectedShort=0 failedPeels=1
51,41,normal_60_100,near_square,DenseKernel,peel_fallback,direct_diff_normal_near_square_dense_kernel_g2_v03,direct_diff120_51_direct_diff_normal_near_square_dense_kernel_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_51_direct_diff_normal_near_square_dense_kernel_g2_v03.asset,25,27,86,89,667,0.988,0.980,1.000,13,13,12,86,7.76,13,0.469,364,True,13,189.3,ok,39,fallback-after-motif-fail | Style=Onion | Score=64470 | TargetInitial=15 | OpeningRatio=0.151 | Peel style=Onion seed=2179975 fill=667/675(0.988) chains=86 remaining=8 rejectedShort=0 failedPeels=1
52,42,normal_60_100,dag_unlock,FourPockets,peel_fallback,direct_diff_normal_dag_unlock_four_pockets_g2_v03,direct_diff120_52_direct_diff_normal_dag_unlock_four_pockets_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_52_direct_diff_normal_dag_unlock_four_pockets_g2_v03.asset,20,33,87,87,646,0.979,0.980,0.980,19,19,9,87,7.43,13,0.578,334,True,19,187.2,ok,41,fallback-after-motif-fail | Style=Onion | Score=63961 | TargetInitial=16 | OpeningRatio=0.218 | Peel style=Onion seed=2398637 fill=646/660(0.979) chains=87 remaining=14 rejectedShort=0 failedPeels=1
53,43,normal_60_100,long_spine,ZigRiver,motif,direct_diff_normal_long_spine_zig_river_g3_v04,direct_diff120_53_direct_diff_normal_long_spine_zig_river_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_53_direct_diff_normal_long_spine_zig_river_g3_v04.asset,19,35,87,90,652,0.980,0.980,0.990,16,16,16,87,7.49,13,0.569,388,True,16,188.2,ok,57,Motif=Direct Diff normal long_spine zig_river 04 | Style=Onion | Score=67998 | MotifCells=65 | TargetInitial=16 | OpeningRatio=0.184 | MotifPeel motif=direct_diff_normal_long_spine_zig_river_g3_v04 style=Onion seed=3458629 fill=652/665(0.980) motifCells=65 chains=87 remaining=13 rejectedShort=0 failedPeels=1 | Motif=ZigRiver motifCells=65
54,44,normal_60_100,room_gate,VerticalGate,motif,direct_diff_normal_room_gate_vertical_gate_g3_v04,direct_diff120_54_direct_diff_normal_room_gate_vertical_gate_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_54_direct_diff_normal_room_gate_vertical_gate_g3_v04.asset,20,31,86,92,612,0.987,0.980,0.984,12,12,16,86,7.12,13,0.586,395,True,12,188.7,ok,43,Motif=Direct Diff normal room_gate vertical_gate 04 | Style=Onion | Score=62251 | MotifCells=53 | TargetInitial=15 | OpeningRatio=0.140 | MotifPeel motif=direct_diff_normal_room_gate_vertical_gate_g3_v04 style=Onion seed=2005626 fill=612/620(0.987) motifCells=53 chains=86 remaining=8 rejectedShort=0 failedPeels=1 | Motif=VerticalGate motifCells=53
55,45,normal_60_100,near_square,StairLadder,peel_fallback,direct_diff_normal_near_square_stair_ladder_g3_v04,direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04.asset,26,29,94,93,737,0.977,0.980,0.985,10,10,11,94,7.84,13,0.463,443,True,10,188.4,ok,53,fallback-after-motif-fail | Style=Onion | Score=71627 | TargetInitial=17 | OpeningRatio=0.106 | Peel style=Onion seed=3683894 fill=737/754(0.977) chains=94 remaining=17 rejectedShort=0 failedPeels=1
56,46,normal_60_100,dag_unlock,CenterCross,peel_fallback,direct_diff_normal_dag_unlock_center_cross_g3_v04,direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset,21,36,96,91,741,0.980,0.980,0.995,16,16,14,96,7.72,13,0.515,370,True,16,189.3,ok,50,fallback-after-motif-fail | Style=Onion | Score=70829 | TargetInitial=17 | OpeningRatio=0.167 | Peel style=Onion seed=3378911 fill=741/756(0.980) chains=96 remaining=15 rejectedShort=0 failedPeels=1
57,47,normal_60_100,long_spine,HuiSpiral,motif,direct_diff_normal_long_spine_hui_spiral_g4_v05,direct_diff120_57_direct_diff_normal_long_spine_hui_spiral_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_57_direct_diff_normal_long_spine_hui_spiral_g4_v05.asset,20,32,85,94,634,0.991,0.980,0.969,23,23,20,85,7.46,12,0.739,383,True,23,188.0,ok,12,Motif=Direct Diff normal long_spine hui_spiral 05 | Style=MediumNormal | Score=71508 | MotifCells=416 | TargetInitial=8 | OpeningRatio=0.271 | MotifPeel motif=direct_diff_normal_long_spine_hui_spiral_g4_v05 style=MediumNormal seed=2210167 fill=634/640(0.991) motifCells=416 chains=85 remaining=6 rejectedShort=0 failedPeels=1 | Motif=HuiSpiral motifCells=416
58,48,normal_60_100,room_gate,DoubleRoomLock,motif,direct_diff_normal_room_gate_double_room_lock_g4_v05,direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05.asset,22,32,94,96,695,0.987,0.980,0.970,18,18,11,94,7.39,14,0.675,398,True,18,189.7,ok,139,Motif=Direct Diff normal room_gate double_room_lock 05 | Style=Lock | Score=85064 | MotifCells=415 | TargetInitial=12 | OpeningRatio=0.191 | MotifPeel motif=direct_diff_normal_room_gate_double_room_lock_g4_v05 style=Lock seed=5952582 fill=695/704(0.987) motifCells=415 chains=94 remaining=9 rejectedShort=0 failedPeels=1 | Motif=DoubleRoomLock motifCells=415
59,49,normal_60_100,near_square,CenterCross,peel_fallback,direct_diff_normal_near_square_center_cross_g4_v05,direct_diff120_59_direct_diff_normal_near_square_center_cross_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_59_direct_diff_normal_near_square_center_cross_g4_v05.asset,23,27,89,97,608,0.979,0.980,0.984,19,19,14,89,6.83,13,0.437,347,True,19,188.8,ok,58,fallback-after-motif-fail | Style=Onion | Score=56605 | TargetInitial=16 | OpeningRatio=0.213 | Peel style=Onion seed=4245252 fill=608/621(0.979) chains=89 remaining=13 rejectedShort=0 failedPeels=1
60,50,normal_60_100,dag_unlock,StairLadder,peel_fallback,direct_diff_normal_dag_unlock_stair_ladder_g4_v05,direct_diff120_60_direct_diff_normal_dag_unlock_stair_ladder_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_60_direct_diff_normal_dag_unlock_stair_ladder_g4_v05.asset,19,34,89,95,641,0.992,0.980,1.000,14,14,17,89,7.20,13,0.441,490,True,14,190.0,ok,40,fallback-after-motif-fail | Style=Onion | Score=59410 | TargetInitial=16 | OpeningRatio=0.157 | Peel style=Onion seed=2369334 fill=641/646(0.992) chains=89 remaining=5 rejectedShort=0 failedPeels=1
61,51,normal_60_100,long_spine,SnakeSpine,peel_fallback,direct_diff_normal_long_spine_snake_spine_g0_v06,direct_diff120_61_direct_diff_normal_long_spine_snake_spine_g0_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_61_direct_diff_normal_long_spine_snake_spine_g0_v06.asset,18,33,76,78,584,0.983,0.980,0.984,15,15,9,76,7.68,13,0.456,271,True,15,187.1,ok,46,fallback-after-motif-fail | Style=Onion | Score=57576 | TargetInitial=14 | OpeningRatio=0.197 | Peel style=Onion seed=3007815 fill=584/594(0.983) chains=76 remaining=10 rejectedShort=0 failedPeels=1
62,52,normal_60_100,room_gate,KeyDoor,peel_fallback,direct_diff_normal_room_gate_key_door_g0_v06,direct_diff120_62_direct_diff_normal_room_gate_key_door_g0_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_62_direct_diff_normal_room_gate_key_door_g0_v06.asset,21,33,86,80,674,0.973,0.980,0.990,12,12,10,86,7.84,13,0.558,350,True,12,187.4,ok,51,fallback-after-motif-fail | Style=Onion | Score=65093 | TargetInitial=15 | OpeningRatio=0.140 | Peel style=Onion seed=3540662 fill=674/693(0.973) chains=86 remaining=19 rejectedShort=0 failedPeels=1
63,53,normal_60_100,near_square,DoubleShell,peel_fallback,direct_diff_normal_near_square_double_shell_g0_v06,direct_diff120_63_direct_diff_normal_near_square_double_shell_g0_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_63_direct_diff_normal_near_square_double_shell_g0_v06.asset,26,28,94,81,717,0.985,0.980,0.990,17,17,13,94,7.63,13,0.486,379,True,17,189.1,ok,60,fallback-after-motif-fail | Style=Onion | Score=67148 | TargetInitial=17 | OpeningRatio=0.181 | Peel style=Onion seed=4492423 fill=717/728(0.985) chains=94 remaining=11 rejectedShort=0 failedPeels=1
64,54,normal_60_100,dag_unlock,ZigRiver,motif,direct_diff_normal_dag_unlock_zig_river_g0_v06,direct_diff120_64_direct_diff_normal_dag_unlock_zig_river_g0_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_64_direct_diff_normal_dag_unlock_zig_river_g0_v06.asset,20,32,91,79,631,0.986,0.980,0.979,11,11,31,91,6.93,15,0.301,307,True,11,189.2,ok,124,Motif=Direct Diff normal dag_unlock zig_river 06 | Style=Lock | Score=59575 | MotifCells=64 | TargetInitial=12 | OpeningRatio=0.121 | MotifPeel motif=direct_diff_normal_dag_unlock_zig_river_g0_v06 style=Lock seed=4461770 fill=631/640(0.986) motifCells=64 chains=91 remaining=9 rejectedShort=0 failedPeels=1 | Motif=ZigRiver motifCells=64
65,55,normal_60_100,long_spine,LongCorridor,peel_fallback,direct_diff_normal_long_spine_long_corridor_g1_v07,direct_diff120_65_direct_diff_normal_long_spine_long_corridor_g1_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_65_direct_diff_normal_long_spine_long_corridor_g1_v07.asset,19,34,81,82,629,0.974,0.980,0.980,12,12,8,81,7.77,13,0.448,320,True,12,186.5,ok,48,fallback-after-motif-fail | Style=Onion | Score=62401 | TargetInitial=15 | OpeningRatio=0.148 | Peel style=Onion seed=3254986 fill=629/646(0.974) chains=81 remaining=17 rejectedShort=0 failedPeels=1
66,56,normal_60_100,room_gate,FourPockets,peel_fallback,direct_diff_normal_room_gate_four_pockets_g1_v07,direct_diff120_66_direct_diff_normal_room_gate_four_pockets_g1_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_66_direct_diff_normal_room_gate_four_pockets_g1_v07.asset,20,34,84,84,665,0.978,0.980,0.980,16,16,13,84,7.92,13,0.485,305,True,16,186.8,ok,56,fallback-after-motif-fail | Style=Onion | Score=64671 | TargetInitial=15 | OpeningRatio=0.190 | Peel style=Onion seed=4102020 fill=665/680(0.978) chains=84 remaining=15 rejectedShort=0 failedPeels=1
67,57,normal_60_100,near_square,DenseKernel,peel_fallback,direct_diff_normal_near_square_dense_kernel_g1_v07,direct_diff120_67_direct_diff_normal_near_square_dense_kernel_g1_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_67_direct_diff_normal_near_square_dense_kernel_g1_v07.asset,25,27,84,85,663,0.982,0.980,0.984,14,14,8,84,7.89,13,0.463,325,True,14,187.6,ok,56,fallback-after-motif-fail | Style=Onion | Score=66056 | TargetInitial=15 | OpeningRatio=0.167 | Peel style=Onion seed=4111220 fill=663/675(0.982) chains=84 remaining=12 rejectedShort=0 failedPeels=1
68,58,normal_60_100,dag_unlock,FourPockets,peel_fallback,direct_diff_normal_dag_unlock_four_pockets_g1_v07,direct_diff120_68_direct_diff_normal_dag_unlock_four_pockets_g1_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_68_direct_diff_normal_dag_unlock_four_pockets_g1_v07.asset,21,35,88,83,721,0.981,0.980,0.986,14,14,12,88,8.19,13,0.532,313,True,14,188.4,ok,53,fallback-after-motif-fail | Style=Onion | Score=69413 | TargetInitial=16 | OpeningRatio=0.159 | Peel style=Onion seed=3806237 fill=721/735(0.981) chains=88 remaining=14 rejectedShort=0 failedPeels=1
69,59,normal_60_100,long_spine,ZigRiver,motif,direct_diff_normal_long_spine_zig_river_g2_v08,direct_diff120_69_direct_diff_normal_long_spine_zig_river_g2_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_69_direct_diff_normal_long_spine_zig_river_g2_v08.asset,20,35,94,86,695,0.993,0.980,1.000,12,12,14,94,7.39,13,0.556,479,True,12,190.6,ok,72,Motif=Direct Diff normal long_spine zig_river 08 | Style=Onion | Score=71410 | MotifCells=65 | TargetInitial=17 | OpeningRatio=0.128 | MotifPeel motif=direct_diff_normal_long_spine_zig_river_g2_v08 style=Onion seed=5244432 fill=695/700(0.993) motifCells=65 chains=94 remaining=5 rejectedShort=0 failedPeels=1 | Motif=ZigRiver motifCells=65
70,60,normal_60_100,room_gate,VerticalGate,peel_fallback,direct_diff_normal_room_gate_vertical_gate_g2_v08,direct_diff120_70_direct_diff_normal_room_gate_vertical_gate_g2_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_70_direct_diff_normal_room_gate_vertical_gate_g2_v08.asset,22,31,88,88,676,0.991,0.980,0.995,15,15,13,88,7.68,13,0.508,352,True,15,189.8,ok,56,fallback-after-motif-fail | Style=Onion | Score=65789 | TargetInitial=16 | OpeningRatio=0.170 | Peel style=Onion seed=4139733 fill=676/682(0.991) chains=88 remaining=6 rejectedShort=0 failedPeels=1
81,61,hard_100_140,long_spine,HuiSpiral,peel_fallback,direct_diff_hard_long_spine_hui_spiral_g0_v01,direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01.asset,23,40,117,112,895,0.973,0.980,0.975,15,15,15,117,7.65,13,0.424,544,True,15,190.9,ok,41,Style=Onion | Score=85594 | TargetInitial=18 | OpeningRatio=0.128 | Peel style=Onion seed=2672645 fill=895/920(0.973) chains=117 remaining=25 rejectedShort=0 failedPeels=1
82,62,hard_100_140,room_gate,DoubleRoomLock,peel_fallback,direct_diff_hard_room_gate_double_room_lock_g0_v01,direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01.asset,24,40,117,114,940,0.979,0.980,0.954,17,17,21,117,8.03,15,0.184,585,True,17,189.6,ok,113,Style=Lock | Score=88350 | TargetInitial=14 | OpeningRatio=0.145 | Peel style=Lock seed=5737254 fill=940/960(0.979) chains=117 remaining=20 rejectedShort=0 failedPeels=1
83,63,hard_100_140,near_square,CenterCross,peel_fallback,direct_diff_hard_near_square_center_cross_g0_v01,direct_diff120_83_direct_diff_hard_near_square_center_cross_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_83_direct_diff_hard_near_square_center_cross_g0_v01.asset,30,32,118,115,947,0.986,0.980,0.996,16,16,15,118,8.03,13,0.487,609,True,16,192.9,ok,51,Style=Onion | Score=91385 | TargetInitial=18 | OpeningRatio=0.136 | Peel style=Onion seed=3738337 fill=947/960(0.986) chains=118 remaining=13 rejectedShort=0 failedPeels=1
84,64,hard_100_140,dag_unlock,StairLadder,peel_fallback,direct_diff_hard_dag_unlock_stair_ladder_g0_v01,direct_diff120_84_direct_diff_hard_dag_unlock_stair_ladder_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_84_direct_diff_hard_dag_unlock_stair_ladder_g0_v01.asset,25,40,124,113,987,0.987,0.980,0.996,17,17,14,124,7.96,13,0.479,648,True,17,193.7,ok,43,Style=Onion | Score=94110 | TargetInitial=18 | OpeningRatio=0.137 | Peel style=Onion seed=2909709 fill=987/1000(0.987) chains=124 remaining=13 rejectedShort=0 failedPeels=1
85,65,hard_100_140,long_spine,SnakeSpine,peel_fallback,direct_diff_hard_long_spine_snake_spine_g1_v02,direct_diff120_85_direct_diff_hard_long_spine_snake_spine_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_85_direct_diff_hard_long_spine_snake_spine_g1_v02.asset,24,41,124,117,961,0.977,0.980,0.984,22,22,18,124,7.75,13,0.464,549,True,22,191.7,ok,48,Style=Onion | Score=90560 | TargetInitial=18 | OpeningRatio=0.177 | Peel style=Onion seed=3443461 fill=961/984(0.977) chains=124 remaining=23 rejectedShort=0 failedPeels=1
86,66,hard_100_140,room_gate,KeyDoor,peel_fallback,direct_diff_hard_room_gate_key_door_g1_v02,direct_diff120_86_direct_diff_hard_room_gate_key_door_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_86_direct_diff_hard_room_gate_key_door_g1_v02.asset,26,41,130,119,1045,0.980,0.980,0.988,24,24,25,130,8.04,13,0.483,663,True,24,193.5,ok,60,Style=Onion | Score=95316 | TargetInitial=18 | OpeningRatio=0.185 | Peel style=Onion seed=4709411 fill=1045/1066(0.980) chains=130 remaining=21 rejectedShort=0 failedPeels=1
87,67,hard_100_140,near_square,DoubleShell,peel_fallback,direct_diff_hard_near_square_double_shell_g1_v02,direct_diff120_87_direct_diff_hard_near_square_double_shell_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_87_direct_diff_hard_near_square_double_shell_g1_v02.asset,29,35,119,120,990,0.975,0.980,0.979,11,11,24,119,8.32,15,0.230,534,True,11,191.0,ok,106,Style=Lock | Score=92740 | TargetInitial=14 | OpeningRatio=0.092 | Peel style=Lock seed=5051064 fill=990/1015(0.975) chains=119 remaining=25 rejectedShort=0 failedPeels=1
88,68,hard_100_140,dag_unlock,ZigRiver,peel_fallback,direct_diff_hard_dag_unlock_zig_river_g1_v02,direct_diff120_88_direct_diff_hard_dag_unlock_zig_river_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_88_direct_diff_hard_dag_unlock_zig_river_g1_v02.asset,23,43,127,118,972,0.983,0.980,0.988,19,19,14,127,7.65,13,0.514,696,True,19,193.7,ok,35,Style=Onion | Score=93040 | TargetInitial=18 | OpeningRatio=0.150 | Peel style=Onion seed=2109590 fill=972/989(0.983) chains=127 remaining=17 rejectedShort=0 failedPeels=1
89,69,hard_100_140,long_spine,LongCorridor,peel_fallback,direct_diff_hard_long_spine_long_corridor_g2_v03,direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03.asset,22,42,122,122,911,0.986,0.980,0.996,17,17,15,122,7.47,13,0.403,565,True,17,193.4,ok,45,Style=Onion | Score=88570 | TargetInitial=18 | OpeningRatio=0.139 | Peel style=Onion seed=3166987 fill=911/924(0.986) chains=122 remaining=13 rejectedShort=0 failedPeels=1
90,70,hard_100_140,room_gate,FourPockets,peel_fallback,direct_diff_hard_room_gate_four_pockets_g2_v03,direct_diff120_90_direct_diff_hard_room_gate_four_pockets_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_90_direct_diff_hard_room_gate_four_pockets_g2_v03.asset,25,42,130,124,1032,0.983,0.980,0.988,19,19,18,130,7.94,13,0.468,689,True,19,193.7,ok,38,Style=Onion | Score=98261 | TargetInitial=18 | OpeningRatio=0.146 | Peel style=Onion seed=2443086 fill=1032/1050(0.983) chains=130 remaining=18 rejectedShort=0 failedPeels=1
91,71,hard_100_140,near_square,DenseKernel,peel_fallback,direct_diff_hard_near_square_dense_kernel_g2_v03,direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03.asset,30,33,126,125,977,0.987,0.980,0.987,14,14,14,126,7.75,13,0.479,748,True,14,193.2,ok,53,Style=Onion | Score=94925 | TargetInitial=18 | OpeningRatio=0.111 | Peel style=Onion seed=4023221 fill=977/990(0.987) chains=126 remaining=13 rejectedShort=0 failedPeels=1
92,72,hard_100_140,dag_unlock,FourPockets,peel_fallback,direct_diff_hard_dag_unlock_four_pockets_g2_v03,direct_diff120_92_direct_diff_hard_dag_unlock_four_pockets_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_92_direct_diff_hard_dag_unlock_four_pockets_g2_v03.asset,24,41,127,123,962,0.978,0.980,0.988,18,18,21,127,7.57,13,0.444,733,True,18,192.5,ok,52,Style=Onion | Score=90745 | TargetInitial=18 | OpeningRatio=0.142 | Peel style=Onion seed=3927696 fill=962/984(0.978) chains=127 remaining=22 rejectedShort=0 failedPeels=1
93,73,hard_100_140,long_spine,ZigRiver,peel_fallback,direct_diff_hard_long_spine_zig_river_g3_v04,direct_diff120_93_direct_diff_hard_long_spine_zig_river_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_93_direct_diff_hard_long_spine_zig_river_g3_v04.asset,23,43,124,127,966,0.977,0.980,0.984,18,18,14,124,7.79,13,0.468,660,True,18,192.1,ok,48,Style=Onion | Score=93881 | TargetInitial=18 | OpeningRatio=0.145 | Peel style=Onion seed=3518887 fill=966/989(0.977) chains=124 remaining=23 rejectedShort=0 failedPeels=1
94,74,hard_100_140,room_gate,VerticalGate,peel_fallback,direct_diff_hard_room_gate_vertical_gate_g3_v04,direct_diff120_94_direct_diff_hard_room_gate_vertical_gate_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_94_direct_diff_hard_room_gate_vertical_gate_g3_v04.asset,24,39,123,129,918,0.981,0.980,0.983,21,21,14,123,7.46,13,0.430,590,True,21,191.9,ok,55,Style=Onion | Score=88045 | TargetInitial=18 | OpeningRatio=0.171 | Peel style=Onion seed=4261192 fill=918/936(0.981) chains=123 remaining=18 rejectedShort=0 failedPeels=1
95,75,hard_100_140,near_square,StairLadder,peel_fallback,direct_diff_hard_near_square_stair_ladder_g3_v04,direct_diff120_95_direct_diff_hard_near_square_stair_ladder_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_95_direct_diff_hard_near_square_stair_ladder_g3_v04.asset,31,35,131,130,1068,0.984,0.980,0.984,16,16,26,131,8.15,13,0.445,717,True,16,194.3,ok,44,Style=Onion | Score=99951 | TargetInitial=18 | OpeningRatio=0.122 | Peel style=Onion seed=3118373 fill=1068/1085(0.984) chains=131 remaining=17 rejectedShort=0 failedPeels=1
