"order","section10","category","replacementMark","finalStatus","sourcePool","rhythmStyleGroup","productionLane","productionChainLanguage","initialAssetPath","finalAssetPath","initialWidth","initialHeight","initialArea","initialArrowCount","initialChainCount","initialArrowCoverage","finalWidth","finalHeight","finalArea","finalArrowCount","finalChainCount","finalArrowCoverage","arrowDelta","areaDelta","finalIsLargeCanvas","finalIsLowArrowLate"
"107","11","normal","REPLACED","ReplacedRhythmV4","ExternalHardGateDedupFront300","hub","HubMixed","unknown_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_53_direct_normal_rect_lock_buckle_g5_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","21","36","756","743","105","0.9828","23","31","713","667","94","0.9355","-76","-43","True","False"
"108","11","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L108_hammer_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","42","36","1512","624","89","0.4127","42","36","1512","627","80","0.4147","3","0","True","False"
"109","11","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","23","37","851","831","108","0.9765","27","36","972","960","90","0.9877","129","121","True","False"
"110","11","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset","21","37","777","761","104","0.9794","26","35","910","893","87","0.9813","132","133","True","False"
"111","12","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","20","35","700","693","89","0.99","24","32","768","763","83","0.9935","70","68","True","False"
"112","12","normal","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","longchain","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","22","38","836","823","108","0.9844","36","40","1440","1343","92","0.9326","520","604","True","False"
"113","12","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L113_lightningbolt_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset","34","49","1666","775","97","0.4652","34","49","1666","774","95","0.4646","-1","0","True","False"
"114","12","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset","18","37","666","659","94","0.9895","25","33","825","814","81","0.9867","155","159","True","False"
"115","12","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset","18","33","594","584","74","0.9832","22","30","660","651","70","0.9864","67","66","False","False"
"116","12","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelHard","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset","20","34","680","673","89","0.9897","24","32","768","754","82","0.9818","81","88","True","False"
"117","12","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","22","26","572","489","49","0.8549","22","26","572","489","49","0.8549","0","0","False","False"
"118","12","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L118_carrot_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","34","47","1598","782","95","0.4894","34","47","1598","790","98","0.4944","8","0","True","False"
"119","12","normal","REPLACED","ReplacedRhythmV4","ExternalHardGateDedupFront300","longchain","CampaignLongChainLab","long_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_32_direct_normal_rect_section_unlock_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset","21","36","756","748","102","0.9894","22","28","616","585","43","0.9497","-163","-140","False","False"
"120","12","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset","22","38","836","821","106","0.9821","24","32","768","759","87","0.9883","-62","-68","True","False"
"121","13","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","17","24","408","406","51","0.9951","20","27","540","538","45","0.9963","132","132","False","False"
"122","13","normal","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","peel","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset","20","32","640","630","89","0.9844","26","34","884","867","79","0.9808","237","244","True","False"
"123","13","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L123_car_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","38","30","1140","662","90","0.5807","38","30","1140","672","86","0.5895","10","0","True","False"
"124","13","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","21","36","756","741","96","0.9802","25","33","825","818","82","0.9915","77","69","True","False"
"125","13","normal","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","longchain","maze_long_chain","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset","21","34","714","702","93","0.9832","24","32","768","728","76","0.9479","26","54","True","False"
"126","13","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","20","26","520","439","50","0.8442","20","26","520","439","50","0.8442","0","0","False","False"
"127","13","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV8/shape_refresh_v8_L127_maskonlyb01_01_main_mushroom_20260614_170705.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","34","34","1156","707","96","0.6116","34","34","1156","716","88","0.6194","9","0","True","False"
"128","13","normal","REPLACED","ReplacedRhythmV4Final","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset","19","34","646","640","80","0.9907","20","27","540","536","63","0.9926","-104","-106","False","False"
"129","13","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset","22","35","770","762","102","0.9896","23","29","667","631","42","0.946","-131","-103","False","False"
"130","13","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelHard","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset","22","31","682","673","96","0.9868","24","32","768","757","77","0.9857","84","86","True","False"
"131","14","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset","18","31","558","548","81","0.9821","24","32","768","756","72","0.9844","208","210","True","False"
"132","14","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","19","32","608","600","86","0.9868","25","33","825","809","81","0.9806","209","217","True","False"
"133","14","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L133_musicnote_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset","34","47","1598","700","94","0.438","34","47","1598","697","88","0.4362","-3","0","True","False"
"134","14","normal","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","flow","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","14","29","406","399","56","0.9828","20","27","540","535","50","0.9907","136","134","False","False"
"135","14","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","20","30","600","510","52","0.85","20","30","600","510","52","0.85","0","0","False","False"
"136","14","normal","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","longchain","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset","23","36","828","817","113","0.9867","34","42","1428","1364","99","0.9552","547","600","True","False"
"137","14","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset","21","31","651","639","80","0.9816","22","30","660","650","72","0.9848","11","9","False","False"
"138","14","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L138_bowlingpin_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset","28","44","1232","729","99","0.5917","28","44","1232","740","90","0.6006","11","0","True","False"
"139","14","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelHard","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain.asset","20","39","780","761","101","0.9756","24","32","768","754","85","0.9818","-7","-12","True","False"
"140","14","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","Campaign500_HardGateUntil0910","strict_peak_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1.asset","23","34","782","769","102","0.9834","24","32","768","755","80","0.9831","-14","-14","True","False"
"141","15","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","Campaign500_HardGateUntil0910","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","23","39","897","880","114","0.981","26","34","884","862","92","0.9751","-18","-13","True","False"
"142","15","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","26","24","624","536","50","0.859","26","24","624","536","50","0.859","0","0","False","False"
"143","15","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L143_watermelonslice_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset","42","34","1428","755","87","0.5287","42","34","1428","759","89","0.5315","4","0","True","False"
"144","15","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_80_l106_long_normal_b_section_s11_slot_seedmaze_chamber_corridor.asset","22","40","880","866","113","0.9841","23","28","644","609","40","0.9457","-257","-236","False","False"
"145","15","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset","21","34","714","704","95","0.986","23","31","713","702","77","0.9846","-2","-1","True","False"
"146","15","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset","22","31","682","668","95","0.9795","22","30","660","645","71","0.9773","-23","-22","False","False"
"147","15","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L147_caveentrance_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_06_L147_caveentrance.asset","44","43","1892","858","100","0.4535","44","43","1892","859","106","0.454","1","0","True","False"
"148","15","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_headmix_outerclean","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L148_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset","23","37","851","851","111","1","21","27","567","539","34","0.9506","-312","-284","False","False"
"149","15","normal","REPLACED","ReplacedRhythmV4","HubMixedRefill30Front300","hub","hub_spoke","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset","22","39","858","843","114","0.9825","23","31","713","682","98","0.9565","-161","-145","True","False"
"150","15","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","20","37","740","725","104","0.9797","26","35","910","902","84","0.9912","177","170","True","False"
"151","16","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","30","30","900","810","84","0.9","30","30","900","810","84","0.9","0","0","True","False"
"152","16","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","Campaign500_HardGateUntil0910","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain.asset","21","39","819","804","106","0.9817","23","31","713","689","82","0.9663","-115","-106","True","False"
"153","16","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L153_pumpkin_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","43","38","1634","1045","115","0.6395","43","38","1634","1056","131","0.6463","11","0","True","False"
"154","16","normal","REPLACED","ReplacedRhythmV4","HubMixedRefill30Front300","hub","hub_spoke","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset","23","38","874","858","113","0.9817","23","31","713","686","99","0.9621","-172","-161","True","False"
"155","16","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset","18","35","630","615","84","0.9762","23","31","713","703","75","0.986","88","83","True","False"
"156","16","normal","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","longchain","maze_long_chain","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_11_nutation_longchain_patch_v1_rect_c80hf_03_d1_weave_patch.asset","26","29","754","737","94","0.9775","24","32","768","728","74","0.9479","-9","14","True","False"
"157","16","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset","20","33","660","649","84","0.9833","24","32","768","751","80","0.9779","102","108","True","False"
"158","16","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L158_starfish_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_08_L158_starfish.asset","43","43","1849","835","99","0.4516","43","43","1849","837","96","0.4527","2","0","True","False"
"159","16","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","peel","PeelLight","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset","21","37","777","766","100","0.9858","22","30","660","649","71","0.9833","-117","-117","False","False"
